SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,G1,G2
9927712,interacts with,CHUK (interacts with) TIA1,0.337886344,0.138888889,0.723529412,FALSE,interacts with,CHUK (interacts with) TIA1,TIA1,CHUK
9927713,interacts with,CHUK (interacts with) UBR5,0.337886344,0.138888889,0.642857143,FALSE,interacts with,CHUK (interacts with) UBR5,UBR5,CHUK
9927714,interacts with,CHUK (interacts with) EMD,0.409830053,0.2,-0.679411765,FALSE,interacts with,CHUK (interacts with) EMD,EMD,CHUK
9927715,interacts with,NECAP1 (interacts with) GABRG2,0.872262273,0.170982143,-0.964285714,FALSE,interacts with,NECAP1 (interacts with) GABRG2,GABRG2,NECAP1
9927716,interacts with,NECAP1 (interacts with) MRPL9,0.779493665,0.045833333,0.591176471,FALSE,interacts with,NECAP1 (interacts with) MRPL9,MRPL9,NECAP1
9927717,interacts with,NECAP1 (interacts with) CYFIP2,0.745690873,0.027926587,0.785714286,FALSE,interacts with,NECAP1 (interacts with) CYFIP2,CYFIP2,NECAP1
9927718,interacts with,GORASP2 (interacts with) GATM,0.86360028,0.126198986,-0.71978022,FALSE,interacts with,GORASP2 (interacts with) GATM,GATM,GORASP2
9927719,interacts with,GORASP2 (interacts with) MYH10,0.265737006,0.088095238,0.714285714,FALSE,interacts with,GORASP2 (interacts with) MYH10,MYH10,GORASP2
9927720,interacts with,GORASP2 (interacts with) NLK,0.109507431,0.012301587,0.539215686,FALSE,interacts with,GORASP2 (interacts with) NLK,NLK,GORASP2
9927721,interacts with,GORASP2 (interacts with) MMP14,0.071858659,0.002777778,-0.964285714,FALSE,interacts with,GORASP2 (interacts with) MMP14,MMP14,GORASP2
9927722,interacts with,DERL2 (interacts with) MTA1,0.297098605,0.10952381,0.678571429,FALSE,interacts with,DERL2 (interacts with) MTA1,MTA1,DERL2
9927723,interacts with,PAK1 (interacts with) RPH3A,0.230751883,0.066269841,0.626373626,FALSE,interacts with,PAK1 (interacts with) RPH3A,RPH3A,PAK1
9927724,interacts with,SERPINI1 (interacts with) SYNJ1,0.051975842,1.46E-05,0.642857143,FALSE,interacts with,SERPINI1 (interacts with) SYNJ1,SYNJ1,SERPINI1
9927725,interacts with,SERPINI1 (interacts with) WNK1,0.409830053,0.2,0.571428571,FALSE,interacts with,SERPINI1 (interacts with) WNK1,WNK1,SERPINI1
9927726,interacts with,WASF1 (interacts with) USP14,0.109507431,0.012301587,0.892857143,FALSE,interacts with,WASF1 (interacts with) USP14,USP14,WASF1
9927727,interacts with,WASF1 (interacts with) VPS35,0.089107644,0.006746032,0.648351648,FALSE,interacts with,WASF1 (interacts with) VPS35,VPS35,WASF1
9927728,interacts with,PRDX6 (interacts with) GATM,0.109507431,0.012301587,0.75,FALSE,interacts with,PRDX6 (interacts with) GATM,GATM,PRDX6
9927729,interacts with,WWP1 (interacts with) PPP1R9A,0.448780165,0.235714286,0.75,FALSE,interacts with,WWP1 (interacts with) PPP1R9A,PPP1R9A,WWP1
9927730,interacts with,CAPNS1 (interacts with) GNG7,0.144518824,0.023809524,-0.857142857,FALSE,interacts with,CAPNS1 (interacts with) GNG7,GNG7,CAPNS1
9927731,interacts with,POLL (interacts with) CUL4B,0.872262273,0.170189201,0.53674504,FALSE,interacts with,POLL (interacts with) CUL4B,CUL4B,POLL
9927732,interacts with,GLDC (interacts with) MAPRE3,0.200485572,0.048905099,-0.71271806,FALSE,interacts with,GLDC (interacts with) MAPRE3,MAPRE3,GLDC
9927733,interacts with,BRMS1 (interacts with) DAAM2,0.448780165,0.235714286,-0.535714286,FALSE,interacts with,BRMS1 (interacts with) DAAM2,DAAM2,BRMS1
9927734,interacts with,PLD2 (interacts with) ADAMTSL4,0.089107644,0.006746032,0.629411765,FALSE,interacts with,PLD2 (interacts with) ADAMTSL4,ADAMTSL4,PLD2
9927735,interacts with,PLD2 (interacts with) MYH10,0.337886344,0.138888889,-0.56127451,FALSE,interacts with,PLD2 (interacts with) MYH10,MYH10,PLD2
9927736,interacts with,LIG4 (interacts with) RPS6KA2,0.197267262,0.048015873,0.580882353,FALSE,interacts with,LIG4 (interacts with) RPS6KA2,RPS6KA2,LIG4
9927737,interacts with,COPS5 (interacts with) UBE2V2,0.071858659,0.002777778,0.67032967,FALSE,interacts with,COPS5 (interacts with) UBE2V2,UBE2V2,COPS5
9927738,interacts with,COPS5 (interacts with) VDAC3,0.614809278,0.007242063,0.642857143,FALSE,interacts with,COPS5 (interacts with) VDAC3,VDAC3,COPS5
9927739,interacts with,EDEM1 (interacts with) RPS12,0.071858659,0.002777778,-0.588235294,FALSE,interacts with,EDEM1 (interacts with) RPS12,RPS12,EDEM1
9927740,interacts with,ARF6 (interacts with) PSMA2,0.109507431,0.012301587,0.821428571,FALSE,interacts with,ARF6 (interacts with) PSMA2,PSMA2,ARF6
9927741,interacts with,CHCHD2 (interacts with) HINT1,0.575659484,0.004512386,0.700980392,FALSE,interacts with,CHCHD2 (interacts with) HINT1,HINT1,CHCHD2
9927742,interacts with,USPL1 (interacts with) CDK8,0.144518824,0.023809524,0.664835165,FALSE,interacts with,USPL1 (interacts with) CDK8,CDK8,USPL1
9927743,interacts with,CLPP (interacts with) HNRNPUL1,0.448780165,0.235714286,-0.535714286,FALSE,interacts with,CLPP (interacts with) HNRNPUL1,HNRNPUL1,CLPP
9927744,interacts with,CLPP (interacts with) ABCD3,0.371077115,0.166666667,0.607142857,FALSE,interacts with,CLPP (interacts with) ABCD3,ABCD3,CLPP
9927745,interacts with,FURIN (interacts with) HABP4,0.371077115,0.166666667,-0.714285714,FALSE,interacts with,FURIN (interacts with) HABP4,HABP4,FURIN
9927746,interacts with,FURIN (interacts with) HSP90AB1,0.197267262,0.048015873,-0.535714286,FALSE,interacts with,FURIN (interacts with) HSP90AB1,HSP90AB1,FURIN
9927747,interacts with,FURIN (interacts with) GNAI2,0.168425923,0.034126984,0.594117647,FALSE,interacts with,FURIN (interacts with) GNAI2,GNAI2,FURIN
9927748,interacts with,FURIN (interacts with) USP14,0.230751883,0.066269841,-0.529411765,FALSE,interacts with,FURIN (interacts with) USP14,USP14,FURIN
9927749,interacts with,RBBP7 (interacts with) HSPA9,0.779493665,0.04462261,0.718575757,FALSE,interacts with,RBBP7 (interacts with) HSPA9,HSPA9,RBBP7
9927750,interacts with,CD151 (interacts with) DEAF1,0.809065931,0.063126472,0.558823529,FALSE,interacts with,CD151 (interacts with) DEAF1,DEAF1,CD151
9927751,interacts with,PARP1 (interacts with) CTSA,0.799253672,0.055884726,0.558823529,FALSE,interacts with,PARP1 (interacts with) CTSA,CTSA,PARP1
9927752,interacts with,NELFCD (interacts with) TIA1,0.448780165,0.235714286,-0.611764706,FALSE,interacts with,NELFCD (interacts with) TIA1,TIA1,NELFCD
9927753,interacts with,NDUFS6 (interacts with) LAMTOR5,0.071858659,0.002777778,0.964285714,FALSE,interacts with,NDUFS6 (interacts with) LAMTOR5,LAMTOR5,NDUFS6
9927754,interacts with,SEPHS2 (interacts with) PREP,0.337886344,0.138888889,-0.642857143,FALSE,interacts with,SEPHS2 (interacts with) PREP,PREP,SEPHS2
9927755,interacts with,LAMTOR3 (interacts with) ATP5C1,0.86360028,0.132291667,0.595238095,FALSE,interacts with,LAMTOR3 (interacts with) ATP5C1,ATP5C1,LAMTOR3
9927756,interacts with,DAXX (interacts with) ATP5C1,0.71346315,0.019544537,-0.730769231,FALSE,interacts with,DAXX (interacts with) ATP5C1,ATP5C1,DAXX
9927757,interacts with,RSL1D1 (interacts with) RPL11,0.868018022,0.151140873,0.642857143,FALSE,interacts with,RSL1D1 (interacts with) RPL11,RPL11,RSL1D1
9927758,interacts with,RSL1D1 (interacts with) BASP1,0.168425923,0.034126984,0.642857143,FALSE,interacts with,RSL1D1 (interacts with) BASP1,BASP1,RSL1D1
9927759,interacts with,SH3GL2 (interacts with) NELL1,0.144518824,0.023809524,0.607142857,FALSE,interacts with,SH3GL2 (interacts with) NELL1,NELL1,SH3GL2
9927760,interacts with,SH3GL2 (interacts with) CYFIP2,0.144518824,0.023809524,0.68627451,FALSE,interacts with,SH3GL2 (interacts with) CYFIP2,CYFIP2,SH3GL2
9927761,interacts with,CMTM6 (interacts with) EEF1A1,0.297098605,0.10952381,0.714285714,FALSE,interacts with,CMTM6 (interacts with) EEF1A1,EEF1A1,CMTM6
9927762,interacts with,PJA2 (interacts with) USP14,0.089107644,0.006746032,0.928571429,FALSE,interacts with,PJA2 (interacts with) USP14,USP14,PJA2
9927763,interacts with,PJA2 (interacts with) ARL1,0.872262273,0.166987625,0.892857143,FALSE,interacts with,PJA2 (interacts with) ARL1,ARL1,PJA2
9927764,interacts with,PJA2 (interacts with) VPS35,0.051975842,3.97E-04,0.963235294,FALSE,interacts with,PJA2 (interacts with) VPS35,VPS35,PJA2
9927765,interacts with,PJA2 (interacts with) TRIM8,0.071858659,0.002777778,-0.964285714,FALSE,interacts with,PJA2 (interacts with) TRIM8,TRIM8,PJA2
9927766,interacts with,PJA2 (interacts with) YBX1,0.197267262,0.048015873,-0.576923077,FALSE,interacts with,PJA2 (interacts with) YBX1,YBX1,PJA2
9927767,interacts with,ARMC1 (interacts with) CDC42,0.86360028,0.132291667,0.67032967,FALSE,interacts with,ARMC1 (interacts with) CDC42,CDC42,ARMC1
9927768,interacts with,ARMC1 (interacts with) NFATC1,0.109507431,0.012301587,-0.714285714,FALSE,interacts with,ARMC1 (interacts with) NFATC1,NFATC1,ARMC1
9927769,interacts with,ARMC1 (interacts with) ATP6V1A,0.8386611,0.096180556,0.642857143,FALSE,interacts with,ARMC1 (interacts with) ATP6V1A,ATP6V1A,ARMC1
9927770,interacts with,ARMC1 (interacts with) RASA1,0.109507431,0.012301587,0.796568627,FALSE,interacts with,ARMC1 (interacts with) RASA1,RASA1,ARMC1
9927771,interacts with,ARMC1 (interacts with) TMEM30A,0.813252505,0.083085317,0.841176471,FALSE,interacts with,ARMC1 (interacts with) TMEM30A,TMEM30A,ARMC1
