SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,Gene1,Gene2
9927898,interacts with,PSMC6 (interacts with) VPS35,0.109507431,0.012301587,0.796703297,FALSE,interacts with,VPS35,PSMC6
9927897,interacts with,PSMC6 (interacts with) AGTPBP1,0.813252505,0.083085317,0.666666667,FALSE,interacts with,AGTPBP1,PSMC6
9927896,interacts with,PSMC6 (interacts with) KIF3A,0.813252505,0.083085317,0.666666667,FALSE,interacts with,KIF3A,PSMC6
9927895,interacts with,PSMC6 (interacts with) SNAP25,0.109507431,0.012301587,0.796703297,FALSE,interacts with,SNAP25,PSMC6
9927684,interacts with,PRKCE (interacts with) VDAC3,0.8386611,0.096180556,0.857142857,FALSE,interacts with,VDAC3,PRKCE
9927681,interacts with,GNG3 (interacts with) NDEL1,0.230751883,0.066269841,0.75,FALSE,interacts with,NDEL1,GNG3
9927679,interacts with,DDX1 (interacts with) PFN2,0.658210522,0.010714286,-0.642857143,FALSE,interacts with,PFN2,DDX1
9927692,interacts with,CCDC6 (interacts with) DLG2,0.745690873,0.027926587,0.785714286,FALSE,interacts with,DLG2,CCDC6
9927691,interacts with,DAAM2 (interacts with) RPS4X,0.8386611,0.096180556,0.642857143,FALSE,interacts with,RPS4X,DAAM2
9927688,interacts with,ECT2 (interacts with) GULP1,0.197267262,0.048015873,0.585784314,FALSE,interacts with,GULP1,ECT2
9927687,interacts with,SEC23IP (interacts with) WASF2,0.782649554,0.049628261,0.707527553,FALSE,interacts with,WASF2,SEC23IP
9927669,interacts with,ADAM15 (interacts with) U2AF2,0.109507431,0.012301587,0.892857143,FALSE,interacts with,U2AF2,ADAM15
9927664,interacts with,ATP6V1A (interacts with) VPS35,0.051975842,3.97E-04,1,FALSE,interacts with,VPS35,ATP6V1A
9927678,interacts with,DDX1 (interacts with) RANBP6,0.144518824,0.023809524,0.857142857,FALSE,interacts with,RANBP6,DDX1
9927677,interacts with,DDX1 (interacts with) TUBA1B,0.144518824,0.023809524,0.648351648,FALSE,interacts with,TUBA1B,DDX1
9927676,interacts with,DDX1 (interacts with) AKAP12,0.265737006,0.088095238,0.805882353,FALSE,interacts with,AKAP12,DDX1
9927675,interacts with,DDX1 (interacts with) MYH10,0.86360028,0.123342169,0.664835165,FALSE,interacts with,MYH10,DDX1
9927674,interacts with,DDX1 (interacts with) UBE2V2,0.168425923,0.034126984,0.832352941,FALSE,interacts with,UBE2V2,DDX1
9927673,interacts with,TBK1 (interacts with) EPS15,0.575659484,0.004512386,0.785714286,FALSE,interacts with,EPS15,TBK1
9927672,interacts with,TBK1 (interacts with) TIA1,0.197267262,0.048015873,0.571428571,FALSE,interacts with,TIA1,TBK1
9927718,interacts with,GORASP2 (interacts with) GATM,0.86360028,0.126198986,-0.71978022,FALSE,interacts with,GATM,GORASP2
9927717,interacts with,NECAP1 (interacts with) CYFIP2,0.745690873,0.027926587,0.785714286,FALSE,interacts with,CYFIP2,NECAP1
9927716,interacts with,NECAP1 (interacts with) MRPL9,0.779493665,0.045833333,0.591176471,FALSE,interacts with,MRPL9,NECAP1
9927715,interacts with,NECAP1 (interacts with) GABRG2,0.872262273,0.170982143,-0.964285714,FALSE,interacts with,GABRG2,NECAP1
9927714,interacts with,CHUK (interacts with) EMD,0.409830053,0.2,-0.679411765,FALSE,interacts with,EMD,CHUK
9927713,interacts with,CHUK (interacts with) UBR5,0.337886344,0.138888889,0.642857143,FALSE,interacts with,UBR5,CHUK
9927712,interacts with,CHUK (interacts with) TIA1,0.337886344,0.138888889,0.723529412,FALSE,interacts with,TIA1,CHUK
9927711,interacts with,CHUK (interacts with) RBM5,0.891347804,0.179628967,-0.607843137,FALSE,interacts with,RBM5,CHUK
9927726,interacts with,WASF1 (interacts with) USP14,0.109507431,0.012301587,0.892857143,FALSE,interacts with,USP14,WASF1
9927725,interacts with,SERPINI1 (interacts with) WNK1,0.409830053,0.2,0.571428571,FALSE,interacts with,WNK1,SERPINI1
9927724,interacts with,SERPINI1 (interacts with) SYNJ1,0.051975842,1.46E-05,0.642857143,FALSE,interacts with,SYNJ1,SERPINI1
9927721,interacts with,GORASP2 (interacts with) MMP14,0.071858659,0.002777778,-0.964285714,FALSE,interacts with,MMP14,GORASP2
9927720,interacts with,GORASP2 (interacts with) NLK,0.109507431,0.012301587,0.539215686,FALSE,interacts with,NLK,GORASP2
9927719,interacts with,GORASP2 (interacts with) MYH10,0.265737006,0.088095238,0.714285714,FALSE,interacts with,MYH10,GORASP2
9927702,interacts with,ZFPM2 (interacts with) RPS24,0.71346315,0.021775794,-0.80952381,FALSE,interacts with,RPS24,ZFPM2
9927701,interacts with,ZFPM2 (interacts with) HERC1,0.265737006,0.088095238,0.805882353,FALSE,interacts with,HERC1,ZFPM2
9927700,interacts with,RTCA (interacts with) NPEPPS,0.144518824,0.023809524,0.681372549,FALSE,interacts with,NPEPPS,RTCA
9927699,interacts with,RTCA (interacts with) EFEMP2,0.872262273,0.170982143,-0.549450549,FALSE,interacts with,EFEMP2,RTCA
9927698,interacts with,RTCA (interacts with) GABRG2,0.071858659,0.002777778,0.964285714,FALSE,interacts with,GABRG2,RTCA
9927710,interacts with,TOMM20 (interacts with) VPS35,0.051975842,3.97E-04,0.826470588,FALSE,interacts with,VPS35,TOMM20
9927709,interacts with,TSPYL5 (interacts with) ERBB4,0.197267262,0.048015873,0.535714286,FALSE,interacts with,ERBB4,TSPYL5
9927708,interacts with,TSPYL5 (interacts with) BASP1,0.297098605,0.10952381,0.857142857,FALSE,interacts with,BASP1,TSPYL5
9927707,interacts with,TSPYL5 (interacts with) MAPRE2,0.168425923,0.034126984,0.554945055,FALSE,interacts with,MAPRE2,TSPYL5
9927706,interacts with,YWHAB (interacts with) TBC1D2B,0.265737006,0.088095238,-0.692307692,FALSE,interacts with,TBC1D2B,YWHAB
9927748,interacts with,FURIN (interacts with) USP14,0.230751883,0.066269841,-0.529411765,FALSE,interacts with,USP14,FURIN
9927747,interacts with,FURIN (interacts with) GNAI2,0.168425923,0.034126984,0.594117647,FALSE,interacts with,GNAI2,FURIN
9927746,interacts with,FURIN (interacts with) HSP90AB1,0.197267262,0.048015873,-0.535714286,FALSE,interacts with,HSP90AB1,FURIN
9927745,interacts with,FURIN (interacts with) HABP4,0.371077115,0.166666667,-0.714285714,FALSE,interacts with,HABP4,FURIN
9927758,interacts with,RSL1D1 (interacts with) BASP1,0.168425923,0.034126984,0.642857143,FALSE,interacts with,BASP1,RSL1D1
9927757,interacts with,RSL1D1 (interacts with) RPL11,0.868018022,0.151140873,0.642857143,FALSE,interacts with,RPL11,RSL1D1
9927752,interacts with,NELFCD (interacts with) TIA1,0.448780165,0.235714286,-0.611764706,FALSE,interacts with,TIA1,NELFCD
9927734,interacts with,PLD2 (interacts with) ADAMTSL4,0.089107644,0.006746032,0.629411765,FALSE,interacts with,ADAMTSL4,PLD2
9927733,interacts with,BRMS1 (interacts with) DAAM2,0.448780165,0.235714286,-0.535714286,FALSE,interacts with,DAAM2,BRMS1
9927728,interacts with,PRDX6 (interacts with) GATM,0.109507431,0.012301587,0.75,FALSE,interacts with,GATM,PRDX6
9927727,interacts with,WASF1 (interacts with) VPS35,0.089107644,0.006746032,0.648351648,FALSE,interacts with,VPS35,WASF1
9927741,interacts with,CHCHD2 (interacts with) HINT1,0.575659484,0.004512386,0.700980392,FALSE,interacts with,HINT1,CHCHD2
9927738,interacts with,COPS5 (interacts with) VDAC3,0.614809278,0.007242063,0.642857143,FALSE,interacts with,VDAC3,COPS5
9927737,interacts with,COPS5 (interacts with) UBE2V2,0.071858659,0.002777778,0.67032967,FALSE,interacts with,UBE2V2,COPS5
9927735,interacts with,PLD2 (interacts with) MYH10,0.337886344,0.138888889,-0.56127451,FALSE,interacts with,MYH10,PLD2
9927782,interacts with,TRIM5 (interacts with) RAB27A,0.891347804,0.186472461,-0.821428571,FALSE,interacts with,RAB27A,TRIM5
9927780,interacts with,AMPH (interacts with) CFLAR,0.891347804,0.196626984,-0.523809524,FALSE,interacts with,CFLAR,AMPH
9927779,interacts with,ARMC1 (interacts with) PDHB,0.089107644,0.006746032,0.928571429,FALSE,interacts with,PDHB,ARMC1
9927778,interacts with,ARMC1 (interacts with) PSMD6,0.575659484,0.004563492,0.904761905,FALSE,interacts with,PSMD6,ARMC1
9927777,interacts with,ARMC1 (interacts with) CUL1,0.230751883,0.066269841,0.75,FALSE,interacts with,CUL1,ARMC1
9927776,interacts with,ARMC1 (interacts with) VPS35,0.614809278,0.007242063,0.880952381,FALSE,interacts with,VPS35,ARMC1
9927775,interacts with,ARMC1 (interacts with) U2AF2,0.745690873,0.026520014,-0.549450549,FALSE,interacts with,U2AF2,ARMC1
9927788,interacts with,EPHX1 (interacts with) USP14,0.898526805,0.200534474,-0.713235294,FALSE,interacts with,USP14,EPHX1
9927787,interacts with,KIF3A (interacts with) NOTCH3,0.409830053,0.2,-0.730769231,FALSE,interacts with,NOTCH3,KIF3A
9927786,interacts with,PRPS1 (interacts with) FLNA,0.265737006,0.088095238,-0.656862745,FALSE,interacts with,FLNA,PRPS1
9927784,interacts with,AAAS (interacts with) PCMT1,0.868018022,0.146331533,-0.81127451,FALSE,interacts with,PCMT1,AAAS
9927783,interacts with,SOGA1 (interacts with) GULP1,0.230751883,0.066269841,0.505494505,FALSE,interacts with,GULP1,SOGA1
9927766,interacts with,PJA2 (interacts with) YBX1,0.197267262,0.048015873,-0.576923077,FALSE,interacts with,YBX1,PJA2
9927765,interacts with,PJA2 (interacts with) TRIM8,0.071858659,0.002777778,-0.964285714,FALSE,interacts with,TRIM8,PJA2
9927764,interacts with,PJA2 (interacts with) VPS35,0.051975842,3.97E-04,0.963235294,FALSE,interacts with,VPS35,PJA2
9927763,interacts with,PJA2 (interacts with) ARL1,0.872262273,0.166987625,0.892857143,FALSE,interacts with,ARL1,PJA2
9927762,interacts with,PJA2 (interacts with) USP14,0.089107644,0.006746032,0.928571429,FALSE,interacts with,USP14,PJA2
9927760,interacts with,SH3GL2 (interacts with) CYFIP2,0.144518824,0.023809524,0.68627451,FALSE,interacts with,CYFIP2,SH3GL2
9927759,interacts with,SH3GL2 (interacts with) NELL1,0.144518824,0.023809524,0.607142857,FALSE,interacts with,NELL1,SH3GL2
9927774,interacts with,ARMC1 (interacts with) ZC3H15,0.197267262,0.048015873,0.825980392,FALSE,interacts with,ZC3H15,ARMC1
9927773,interacts with,ARMC1 (interacts with) PAFAH1B1,0.779493665,0.045833333,0.738095238,FALSE,interacts with,PAFAH1B1,ARMC1
9927772,interacts with,ARMC1 (interacts with) PCMT1,0.813252505,0.083085317,0.587912088,FALSE,interacts with,PCMT1,ARMC1
9927771,interacts with,ARMC1 (interacts with) TMEM30A,0.813252505,0.083085317,0.841176471,FALSE,interacts with,TMEM30A,ARMC1
9927770,interacts with,ARMC1 (interacts with) RASA1,0.109507431,0.012301587,0.796568627,FALSE,interacts with,RASA1,ARMC1
9927769,interacts with,ARMC1 (interacts with) ATP6V1A,0.8386611,0.096180556,0.642857143,FALSE,interacts with,ATP6V1A,ARMC1
9927768,interacts with,ARMC1 (interacts with) NFATC1,0.109507431,0.012301587,-0.714285714,FALSE,interacts with,NFATC1,ARMC1
9927767,interacts with,ARMC1 (interacts with) CDC42,0.86360028,0.132291667,0.67032967,FALSE,interacts with,CDC42,ARMC1
9927661,interacts with,CLCN6 (interacts with) VPS35,0.846554538,0.114980159,0.714285714,FALSE,interacts with,VPS35,CLCN6
9927939,interacts with,SYNJ1 (interacts with) VPS35,0.071858659,0.00185103,0.714285714,FALSE,interacts with,VPS35,SYNJ1
9927938,interacts with,SYNJ1 (interacts with) RPL11,0.836879784,0.091162664,-0.538461538,FALSE,interacts with,RPL11,SYNJ1
9927937,interacts with,SYNJ1 (interacts with) HERC1,0.868018022,0.149871283,0.678571429,FALSE,interacts with,HERC1,SYNJ1
9927935,interacts with,GGH (interacts with) MAPRE2,0.109507431,0.012301587,0.811764706,FALSE,interacts with,MAPRE2,GGH
9927950,interacts with,OAT (interacts with) HPRT1,0.071858659,0.002777778,0.964285714,FALSE,interacts with,HPRT1,OAT
9927949,interacts with,OAT (interacts with) PFN2,0.051975842,3.97E-04,-0.892857143,FALSE,interacts with,PFN2,OAT
