"SUID","EdgeBetweenness","interaction","name","p.adj","p.vec","reg.mat","selected","shared interaction","shared name","X"
"9932549","2112.65460379","interacts with","ANKMY2 (interacts with) PAFAH1B1","0.863600279675641","0.126198985536089","0.785714285714286","false","interacts with","ANKMY2 (interacts with) PAFAH1B1","PAFAH1B1:ANKMY2"
"9932550","390.0","interacts with","ANKMY2 (interacts with) WBP11","0.448780165372471","0.235714285714286","-0.535714285714286","false","interacts with","ANKMY2 (interacts with) WBP11","WBP11:ANKMY2"
"9932551","390.0","interacts with","ANKMY2 (interacts with) PTGER3","0.109507430764323","0.0123015873015873","0.504901960784314","false","interacts with","ANKMY2 (interacts with) PTGER3","PTGER3:ANKMY2"
"9932552","390.0","interacts with","YWHAB (interacts with) TBC1D2B","0.265737005578696","0.0880952380952381","-0.714285714285714","false","interacts with","YWHAB (interacts with) TBC1D2B","TBC1D2B:YWHAB"
"9932553","390.0","interacts with","CLCN6 (interacts with) VPS35","0.846554537547995","0.114980158730159","0.714285714285714","false","interacts with","CLCN6 (interacts with) VPS35","VPS35:CLCN6"
"9932554","776.0","interacts with","ZFPM2 (interacts with) HERC1","0.265737005578696","0.0880952380952381","0.805882352941176","false","interacts with","ZFPM2 (interacts with) HERC1","HERC1:ZFPM2"
"9932555","390.0","interacts with","ZFPM2 (interacts with) RPS24","0.713463150372692","0.0217757936507936","-0.80952380952381","false","interacts with","ZFPM2 (interacts with) RPS24","RPS24:ZFPM2"
"9932556","390.0","interacts with","PAPSS1 (interacts with) NFATC1","0.813252504549783","0.0830853174603175","0.666666666666667","false","interacts with","PAPSS1 (interacts with) NFATC1","NFATC1:PAPSS1"
"9932557","390.0","interacts with","FKBP3 (interacts with) PCMT1","0.863600279675641","0.132291666666667","0.576923076923077","false","interacts with","FKBP3 (interacts with) PCMT1","PCMT1:FKBP3"
"9932558","776.0","interacts with","ATP6V1B2 (interacts with) MRPL9","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","ATP6V1B2 (interacts with) MRPL9","MRPL9:ATP6V1B2"
"9932559","390.0","interacts with","ATP6V1B2 (interacts with) GOT2","0.79925367244055","0.0575892857142857","0.714285714285714","false","interacts with","ATP6V1B2 (interacts with) GOT2","GOT2:ATP6V1B2"
"9932560","450.95227843","interacts with","RTCA (interacts with) GABRG2","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","RTCA (interacts with) GABRG2","GABRG2:RTCA"
"9932561","559.56497684","interacts with","RTCA (interacts with) EFEMP2","0.448780165372471","0.235714285714286","-0.535714285714286","false","interacts with","RTCA (interacts with) EFEMP2","EFEMP2:RTCA"
"9932562","390.0","interacts with","RTCA (interacts with) NPEPPS","0.144518824391785","0.0238095238095238","0.681372549019608","false","interacts with","RTCA (interacts with) NPEPPS","NPEPPS:RTCA"
"9932563","563.61017129","interacts with","BCAS2 (interacts with) ZC3H15","0.168425923122207","0.0341269841269841","0.718137254901961","false","interacts with","BCAS2 (interacts with) ZC3H15","ZC3H15:BCAS2"
"9932564","436.95282712","interacts with","BCAS2 (interacts with) U2AF2","0.0718586588842205","0.00277777777777778","-0.821428571428571","false","interacts with","BCAS2 (interacts with) U2AF2","U2AF2:BCAS2"
