“Gene”,”P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"SORT1",43.86418271,40.97141186,41.73651621,34.53177899,36.52723011,38.75267184,32.73597303,3
"EIF2S2",145.1150701,68.17488222,99.81647318,49.08352487,41.51533439,41.68370857,74.51037219,10
"RNF2",47.32033613,38.49559695,34.2899013,31.25722071,28.21584173,27.95381698,30.83159369,4
"MON2",69.90623367,25.01248439,31.56676009,22.47720579,26.4892785,21.50348023,37.20955713,10
"UBR4",590.3680709,271.1150701,691.1313511,71.27574552,124.8245241,81.46634899,345.7334851,8
"PRDX6",225.2243627,120.9524795,262.2150701,63.89366223,85.45250611,84.98505939,184.7879124,3
"FANCC",43.31207759,63.61507075,53.3766971,96.21507012,73.0710452,95.3747391,61.05304684,10
"KCNA2",291.2097628,47.96870897,97.75177461,19.71884509,26.37362996,14.53757607,52.9765053,8
"MADD",73.69760414,93.18334814,100.6272985,116.6904973,101.5459391,112.9734683,83.51779981,3
"HNRNPU",182.9958372,102.3150701,168.8676065,22.68295856,75.81507013,71.9017585,100.8261953,10
"RNF41",11.60621455,12.34282212,19.25734101,15.03046638,10.3744259,13.55460416,10.43552344,9
"EFTUD2",75.27578732,43.98395002,69.81287638,27.96600922,27.98446622,27.18384026,31.3901921,4
"POLA1",45.21417678,56.22084717,47.83483207,41.56572638,40.29748751,38.4632092,33.3887243,4
"JUN",94.81507012,134.1122631,93.35943271,20.69487124,24.59079411,38.36506865,105.2150701,6
"AGPAT4",53.96633812,67.72072086,51.01986508,14.31868106,27.40469019,19.51231939,25.66851017,6
"TOM1L2",75.21507013,49.14426176,126.4655989,35.88690593,43.35602454,30.366057,53.7046725,10
"RNF19A",333.1272328,189.9483827,366.9770707,56.63768632,90.07950942,67.00853042,169.007428,10
"RALBP1",184.7184239,98.03767896,170.9750474,94.33484372,114.8498803,79.32720878,156.4306927,10
"CFHR3",3.247469004,4.458415631,3.239189473,4.514612837,5.369223641,4.421286153,4.29679784,5
"TRIM23",65.00042297,12.25193221,36.06678775,3.700127478,11.63823858,4.605277805,18.65591125,7
"HIP1",35.62920084,46.04630858,77.91887089,24.53491879,48.85030993,30.71225636,30.81540865,9
"GAS7",83.81521034,102.1062898,101.2639007,85.55671734,143.3929823,120.7593578,104.350865,10
"TCEB1",301.2150701,149.1157932,418.0756749,30.81185813,49.11528101,65.98282014,185.2948298,10
