Gene,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
ELL2,15.37945101,14.06473536,18.16947152,15.37945101,21.2110359,9.212202513,15.37945101,23.24462575
ELP3,58.13352972,61.93925575,47.63924443,61.40594245,67.1437454,43.99144118,47.77285333,43.92574042
EMC1,2.398685812,2.353044755,2.767715317,1.783105687,3.379055599,2.299768223,2.353044755,2.353044755
EMD,8.454493979,6.635873268,9.318905814,6.504442665,6.305196166,5.888073059,5.693269411,6.791731593
EML2,6.329556141,9.56048026,8.49947429,9.864163149,11.21235356,6.869024993,5.903683197,6.084423311
ENAH,1.882837222,2.389169687,1.937799991,2.483678277,3.353975797,1.659880207,1.331731059,2.252576521
ENO2,146.221893,256.9088621,190.3938012,195.9689044,237.5960142,134.7158228,123.7250716,118.8325164
ENSA,4.755707564,10.75139571,24.70883895,4.272284209,4.151388163,4.788649607,4.03987007,7.208613446
EP300,7.120547851,5.827053385,6.697700665,6.075819356,6.169997132,5.243641902,5.522457421,6.522788662
EPAS1,15.03877352,33.38092917,18.5587389,8.870614995,7.588863498,18.14566511,32.2428605,33.82980944
EPHB6,3.552447519,2.963240469,5.177950681,3.215812885,2.898523196,1.900513401,2.085664452,2.208474615
EPM2AIP1,37.02605927,35.97823389,35.69901641,40.21198303,47.65273988,34.07468432,25.66723221,40.82466067
EPN3,2.400546488,1.844695234,1.210467981,1.683330265,2.652948855,1.200373377,1.392960277,1.968484717
EPRS,29.94333436,31.67864007,35.70186055,31.84137345,44.03075734,26.4445787,25.24732938,28.11667104
EPS15,15.24085941,14.44278752,15.24085941,14.83488913,16.36661445,8.747522637,10.78490047,15.93838681
EPS8,1.390381777,2.732034466,1.749534044,1.558159996,2.020213761,1.593360677,2.066182638,1.979830928
EPS8L2,16.84560349,17.16086833,15.88830213,20.22194896,19.08398387,18.4346673,14.60851026,14.98343256
ERBB3,1.209557971,1.329552697,1.325506866,1.130449286,1.476519164,1.711549474,2.308811709,1.155351047
ERBB4,4.446111757,6.426035857,8.462782434,4.3764703,5.633459325,6.709861706,5.287768047,6.709861706
ERC1,3.592990128,3.845287318,3.691315582,3.592990128,4.892052258,4.02780018,3.043188956,2.932723012
ERC2,4.256940558,2.090992748,2.895972776,2.222343885,2.288187549,2.314095907,1.94016384,2.271298118
ERCC5,6.388053079,5.650941433,3.449350323,5.015310621,4.395153197,2.870126801,3.380857807,3.087607489
ERCC6,1.557033824,1.368505662,1.736524116,1.146477475,1.683330265,1.368505662,1.368505662,1.350813775
ERH,68.29776576,79.93925575,79.93925575,82.93925575,83.4847103,66.55973221,81.85242193,69.6774232
ERN1,2.234306334,1.771232521,2.223213343,1.979830928,2.178669943,1.530521766,2.178669943,2.150504345
ESD,142.4426325,154.3563577,114.1228116,208.9392558,131.7012423,146.5412181,164.9238634,133.412361
ESYT2,1.867587761,1.867587761,1.632852564,1.575883402,1.956963234,1.67788344,1.867587761,1.867587761
ETS1,2.580510408,2.71286429,3.680195723,2.532049282,2.194896817,2.532049282,7.109286385,2.832686374
ETS2,5.722868973,5.394705327,8.467559398,4.997561661,4.997561661,4.3764703,4.876655649,4.997561661
EVL,17.86994298,28.87565517,32.32973883,21.92982751,18.36130883,14.39786813,15.66085044,16.18655367
EWSR1,13.14429824,15.10672373,15.10672373,16.16406505,16.44768273,16.40663159,15.58817109,13.68058176
EXOSC8,3.337609413,2.201666869,2.075686476,2.765488335,2.706718478,2.441296499,1.94016384,3.724042525
EZR,2.716662563,7.323989703,4.506280019,2.716662563,1.666507021,1.555668631,2.379749375,3.599484792
F8,8.360684111,10.19678095,12.41944165,8.180933704,8.399436559,7.00497241,3.908103867,8.172104462
FABP5,31.46929648,30.38461063,29.30296659,31.3975257,30.44436574,21.00563203,18.56109876,23.80573343
FAF1,15.8502304,17.15865345,15.16158669,17.15865345,17.50091487,15.88938902,11.4428957,13.68100281
FAF2,20.6771796,19.78267759,19.56428534,20.64950503,24.93995972,17.77526179,15.86414758,17.35988852
FAM103A1,17.34407158,17.39934564,10.56003397,18.92044183,16.29138276,7.521195064,10.69424995,7.876476833
FAM161A,1.979830928,1.979830928,2.267742809,1.979830928,1.723913493,1.979830928,1.919472317,1.931788179
FAM96B,19.64832458,18.95937709,15.81701052,24.65909997,21.16675954,13.42704372,12.17256931,14.24473438
FANCC,3.137993645,2.755539055,3.067818491,2.867174046,2.706718478,3.290872389,3.067818491,2.447557435
FARSB,50.19881581,51.4847103,52.93925575,69.41060889,57.52949815,40.39380121,32.13766325,39.4419888
FBXL17,47.88861402,57.16387919,55.03016485,36.68930906,46.4847103,45.34821682,46.4847103,55.13001506
FBXL3,2.467061813,2.085330567,2.017326727,3.723880666,5.337527573,2.299768223,2.484150765,2.826372498
FBXL5,12.35993426,20.880409,20.67423557,19.23209184,22.41359187,12.91636329,11.49074438,12.02045967
FBXO3,9.281379563,7.756787871,10.86477707,5.753537841,8.85998578,6.064535117,5.211541478,5.366925049
FBXO6,2.304075098,2.146807735,2.059500704,2.08872798,1.691751176,2.550106823,1.944244933,1.871221212
FBXW2,1.487484272,1.2273481,1.2273481,1.2273481,1.380889923,1.265733555,1.197820826,0.977487721
FBXW7,2.706718478,2.567400144,3.692307081,2.937390089,3.214410305,2.582225746,2.635531105,2.884078913
FCER1G,2.119851198,3.429819786,2.521476501,2.932569702,5.428280796,2.230680419,2.631491373,2.77972877
FDFT1,192.4974157,198.2314423,209.1210739,211.8028921,160.8127978,209.2603181,82.42062659,195.7760523
FEM1C,4.928329824,4.520688475,4.051610875,5.015310621,4.317131609,4.005729784,4.317131609,4.140860564
FEN1,6.690790603,6.584185681,4.522879883,7.575482944,7.26461303,3.94975856,3.735103483,3.496443058
FEZ1,3.36668485,3.902973576,3.340007324,4.123551414,4.060653058,3.36668485,3.735103483,3.838819689
FEZ2,20.32224704,13.19690546,11.49416328,8.071022217,7.12064796,5.788797682,9.201805544,2.628581573
FH,23.96812835,20.76700651,21.00438103,42.47178087,29.84683703,16.41655525,17.34047164,18.17441973
FHIT,2.608530034,2.930882436,2.260141443,3.397197493,2.888431166,2.124032281,2.301490934,3.115303138
FHL1,34.73365035,37.21198307,45.08884343,33.53279501,42.06104953,29.30296659,33.97935023,60.07064226
FIBP,7.954883032,16.65691326,10.20728843,18.99926276,8.819076557,7.082311567,8.447408287,9.790518792
FKBP1B,68.26226501,62.73311406,68.72885741,62.73311406,60.4847103,63.21198303,30.44550695,55.23239086
FKBP3,81.28160096,77.68427147,66.84834666,95.62752861,98.10256754,79.7791655,52.37853703,56.02835507
FKBP4,18.50483163,20.47582065,17.62048659,21.83805385,21.20422599,13.29508175,13.90818103,16.14756838
FKBP5,58.26077106,63.06380689,42.67461273,44.21198303,33.34513967,47.71464481,52.59472391,47.99009858
FLNC,2.169831975,2.001173106,1.877861426,2.601130772,2.269793174,2.480013666,2.79424508,4.39285962
FLOT1,85.22646035,81.03016485,90.49412399,85.10641444,87.29692709,72.1652093,54.33658811,54.93925575
FLOT2,9.814208038,10.39750653,13.15535424,12.49079069,7.90157002,10.0648321,5.448207556,7.356988999
FMR1,31.12109474,31.12109474,36.57561944,31.12109474,33.2524419,28.49113572,31.12109474,30.25931262
FOXN3,1.450406529,1.331731059,1.847754505,1.253663353,1.664100717,1.579808622,1.527605268,1.23106457
FOXO3,3.949848638,3.294788028,2.549577029,2.716662563,2.989503289,2.685369599,4.288343266,3.179022464
FRA10AC1,35.26650593,30.75745837,30.75745837,46.42056629,27.39498179,22.69374466,18.26430933,22.77654278
FRAT1,2.598278032,4.140642774,2.387724685,2.716662563,5.337527573,2.716662563,2.990478652,2.134362968
FRK,1.238228636,1.305892151,1.071576383,1.138816663,1.091180969,1.200373377,1.0034443,1.182736822
FSCN1,4.561182661,6.129227275,6.145403085,6.084423311,6.164112257,6.262352305,7.109286385,6.084423311
FTSJ1,1.870238313,1.994818683,2.299768223,2.888712313,2.256069781,2.299768223,1.767486522,2.494596688
FUBP3,2.283947674,2.283947674,2.540544544,2.096716997,3.092320137,2.262619558,2.203101303,1.749712449
FUNDC1,24.2138421,26.84155164,26.12177766,36.48471035,31.75428737,18.06855866,17.71584587,15.51808316
FUNDC2,13.03223082,11.67515556,9.709134183,12.41125859,14.16120848,11.67515556,12.8966675,14.9109522
FUT11,5.90314689,3.811139388,5.024376215,3.735103483,4.627368107,4.140986136,5.499663682,4.999936433
FXR1,57.31887223,19.15480189,24.19956307,30.21200383,28.46205787,30.21200383,29.81839005,21.84254599
FXR2,16.861279,25.83703449,22.85179833,19.23209184,21.36800781,17.56906763,14.74299141,17.6060098
FYN,4.546600513,2.783966817,3.679558915,3.979184949,4.680075914,2.798883183,3.679558915,6.594854745
GAB1,1.533930838,1.533930838,1.533930838,0.998238193,1.533930838,2.382074872,1.653777233,1.601681661
GABARAP,27.63254142,43.3595109,47.7905679,50.45420775,45.57561939,24.62068828,34.30207666,25.52909999
GABARAPL1,6.495000696,6.936513218,6.016592109,6.549178014,4.622185377,4.393225554,4.925367491,3.697422604
GABARAPL2,24.93995972,38.77854634,42.3828396,47.94740723,38.77854634,26.12177766,25.70006668,38.77854634
GABBR2,12.30577225,13.06022257,40.42261336,13.49443959,38.02014691,11.39526817,14.59592522,21.48924109
GABRB2,15.48630756,23.12295304,136.0638371,22.39326425,44.16379789,17.43469534,21.7608673,27.43414074
GABRG2,42.0951589,40.59708044,47.38416411,46.53103565,56.57477168,39.83713235,25.66723221,49.40528109
GADD45A,6.027104558,6.947223838,6.027104558,4.082353167,5.660667757,7.588657057,4.715833229,5.269563948
GADD45B,26.96821178,20.23642673,30.88999542,41.13021074,24.95321965,20.8682192,36.90267816,101.6665285
GAPDH,13.77428753,62.42844935,67.37744561,53.35541824,47.7554241,23.61437111,39.32454067,19.39987826
GARS,92.02279541,119.5360399,70.28265136,119.0301648,93.44697783,67.61889954,94.90651379,50.60643655
GART,1.523177708,1.560913841,1.331731059,1.523177708,1.723408218,1.27316238,1.523177708,1.762910868
GAS2L1,8.228915086,9.655787619,11.64744335,6.250936008,8.360684111,9.223799425,8.037914006,10.86724215
GAS7,1.331731059,1.898532402,15.91382639,1.890820645,1.39910405,1.94016384,1.94016384,1.982386987
GATM,7.7668245,14.93913837,16.24335027,7.200188576,9.135301641,8.527797474,14.77355758,13.64779425
GBP2,4.179371577,5.019489146,3.737281106,6.234262081,4.850807714,4.375135422,4.798769124,6.504337618
GCH1,2.059982782,3.347647208,2.285408111,1.749247144,2.283947674,2.059982782,1.817510872,2.568445369
GDI1,143.7574376,124.726871,127.4702495,124.726871,162.9765812,109.1491883,92.65949767,103.6054942
GDPD5,8.203909472,8.293739606,9.225963784,7.125647925,7.468930544,8.685763089,8.591361509,9.178164007
GEMIN2,1.4874825,1.029662191,1.146793107,1.749836084,1.318066289,1.073254021,1.303008919,1.431691586
GFAP,146.8363798,412.5756194,350.5756194,207.7102108,335.5756194,255.0271491,374.6311967,352.7775611
GFPT1,1.473247678,1.6442863,1.540704042,1.850721727,2.041555136,1.440273179,2.353044755,1.401218116
GFPT2,2.406980542,2.30195886,2.256402744,2.706718478,2.350545087,2.983100211,3.043188956,2.826269113
GGA1,44.17259786,48.0562777,41.26705032,45.94424058,56.72406063,43.52889228,37.18063176,39.04568676
GGH,5.594955022,3.377465809,5.604540618,5.284118861,6.743007328,5.284118861,3.043683002,3.599560239
GIGYF2,4.373174992,4.373174992,2.791208519,3.449744345,2.931673698,3.592990128,3.940417676,3.053335648
GIN1,1.537705783,2.096802919,1.590453586,1.858481608,1.715996242,1.470336789,1.818656363,1.590453586
GIPC1,25.33208192,23.12295304,25.32234934,22.03469514,23.82911087,23.03461378,19.99613706,20.1097801
GIT1,11.47802707,13.19690546,11.74963759,13.97167691,13.3006741,12.92661778,10.77147506,10.7687538
GLI3,1.90482902,1.523177708,2.170923468,1.738409423,1.979830928,1.917815288,2.141617121,1.506933272
GLMN,4.194030219,3.002902237,3.629408446,4.383968095,5.497140183,1.887674426,3.043188956,3.217429292
GLRX3,2.35894355,2.617084361,3.214907776,2.546281739,3.772355659,2.473160236,2.351064373,2.617084361
GLRX5,30.51053822,45.87798782,38.66652849,46.25429908,47.00718269,33.39502471,27.72716184,38.66652849
GMNN,6.724138339,6.559173654,5.132052166,8.764845229,7.212592972,7.212592972,5.272122138,8.542078699
GMPS,1.731525506,3.697068994,3.236761312,2.366242404,3.483478174,2.250642017,1.94016384,2.250642017
GNA11,18.05451399,14.31708439,15.50937605,14.61749031,13.80484945,12.5930767,17.34047164,13.35208457
GNA13,4.740413083,4.624115543,4.406123347,3.342732432,3.79491662,3.978142839,4.724447118,5.083561854
GNAL,3.043188956,2.720962775,1.810733228,2.691944161,4.537566404,1.680038445,1.94016384,1.863886205
GNAQ,24.2103053,17.55377179,14.12809451,11.95926895,14.50660081,14.12809451,15.91382639,11.95655128
GNB5,10.48480235,11.02263416,9.515263904,15.66683477,13.97565823,7.5790223,6.733293143,8.066253805
GNE,1.331731059,1.154181783,1.331731059,1.331731059,1.383701374,1.331731059,1.21365366,1.764498013
GNG3,19.69309307,26.75182823,19.72726941,37.14827678,19.99255456,21.8559307,12.48402148,14.79420605
GNG4,4.304359772,2.654665857,3.499219269,5.900737662,4.636743251,4.819462952,2.569188526,4.182062212
GNG5,16.92946636,17.46314587,19.72794794,17.34047164,13.64037537,16.73445753,23.1336016,16.92946636
GNG7,9.46384618,12.41125859,18.40877173,13.89220281,13.89220281,14.61076633,20.71020093,11.15999526
GNL1,2.47821263,3.154068476,3.115303138,3.093872368,2.439723772,2.927193887,2.825153363,3.115303138
GOLGA2,70.96305012,46.98033833,49.21050075,56.68005794,55.61012031,48.19900676,56.52306975,46.53214517
GOLGA3,5.753537841,6.257707061,6.866877543,5.753537841,6.358486164,6.159436501,5.405619184,4.987431321
GOLGA4,5.029350373,6.257707061,5.766487635,6.796192992,6.535925627,4.426914269,5.55212657,6.386298775
GOLGA7,6.302443492,7.135740472,8.132730511,7.200188576,8.502319583,5.372455788,7.281733164,7.200188576
GOLIM4,4.873952069,4.160079235,4.030092407,2.492065107,3.737217731,3.737217731,4.969975965,6.868545253
GORASP2,4.784540808,4.12448442,3.818897033,3.888123027,3.410434825,2.772598736,2.353044755,3.076006118
GOT1,9.746431063,18.96840158,13.97565823,13.97565823,19.09795283,8.610142401,8.756522872,7.200188576
GOT2,49.34777202,69.4847103,57.41339693,68.5957033,66.03016485,34.63963809,48.85375073,55.66349947
GP6,2.594176409,3.208475545,3.284056208,2.839140973,2.706718478,4.275787075,3.11564552,3.999219629
GPBP1L1,4.315577708,3.534095652,5.290407254,4.455006579,4.807227919,3.666738361,4.24906263,5.5108
GPD2,1.520032916,1.6782089,1.436094874,1.545123231,1.580951602,1.474817304,1.398967359,1.155351047
GPI,40.80106373,61.59481679,55.38621073,54.70831826,59.68999545,34.03016604,35.13002359,23.29548334
GPN1,15.13777462,24.3799768,16.35430209,21.6130005,17.91767284,15.16456932,13.39536,13.05692215
GPNMB,7.109286385,9.56048026,4.150468596,3.563655012,15.67786873,4.501013607,4.807227919,5.263794833
GPRIN2,11.65068735,10.30781573,6.092099279,9.814208038,15.03460248,9.814208038,5.903683197,14.44757033
GRB10,9.404207996,11.64377402,8.78722079,10.54429305,14.24770022,11.98596431,10.54429305,10.54429305
GRB2,38.84834667,25.1452239,27.31286803,26.83923359,32.85673124,20.91343018,25.45617178,21.6079966
GRIA3,18.29187195,17.7418561,25.24176977,14.59319919,17.24956255,12.01193395,14.80785626,15.21170891
GRK5,7.578092763,6.352606043,4.946995957,6.010331497,6.080822618,5.826796169,5.350128815,6.697250305
GRN,5.428965134,7.300805059,7.176076923,5.150560717,6.848430624,5.428965134,5.085470465,5.358780087
GRPEL1,19.05028618,15.31865593,16.75058309,17.61211563,19.24516985,15.89180182,11.92857261,16.04217119
GRWD1,6.719363224,3.319483049,3.7206984,5.195415357,6.331028981,3.773038327,5.006263876,5.85459255
GSAP,1.365739289,1.523177708,1.331731059,1.331731059,2.496983537,0.961558837,1.314744524,1.351066351
GSK3B,11.89220002,14.16112464,13.97565823,13.55775941,13.97565823,12.5930767,14.89307672,12.05473764
GSPT1,11.1442422,17.88389743,11.92586706,16.37642185,12.53405697,13.15232567,11.69519804,17.89204694
GSTP1,5.8693406,7.77685974,5.303992224,7.166235306,7.164517578,5.829735587,4.497131611,4.574106337
GTF2A1,6.259230841,5.218877493,6.742974009,7.286680794,5.531629619,5.284118861,3.041860083,5.531629619
GTF2B,2.560321219,2.210307152,2.952608614,3.263056842,3.582489729,2.916382996,3.28286669,2.673756693
GTF2F1,3.459330516,3.2565816,3.329581621,3.673536854,2.56266716,2.764546572,2.9499261,3.329581621
GTF3C1,19.5056027,21.75523652,20.73089135,19.77956822,20.34344038,15.60608845,19.09598388,22.34519584
GTF3C3,4.957747372,5.519009906,3.083263468,4.706849106,5.337527573,5.467467877,4.186819624,5.56080094
GTPBP4,4.744170571,5.059322457,4.383278475,5.770780892,4.781011662,3.380238006,3.043188956,4.511824461
GULP1,1.237265805,1.691889927,1.910159067,1.138816663,1.652520453,1.617608067,1.540045031,1.590453586
H2AFV,23.66529297,29.20907281,33.6211088,28.9828741,29.39387568,26.34283856,26.11002604,40.33512344
H2AFX,5.708743752,8.51134074,7.221395923,8.325855475,8.938107915,5.983251429,6.344525434,6.251073725
H2AFY,14.89393843,24.02410917,20.31285805,22.2078287,25.4444364,13.39657334,14.94830388,21.38912087
HABP4,5.195415357,4.764620249,3.683258186,3.812039525,5.384206158,3.174211528,1.94016384,3.683258186
HADHA,26.61674176,36.81171939,30.39382201,35.69425672,33.93925695,28.94779509,21.26614573,26.45841301
HAUS7,3.182756416,3.782731234,2.556797291,2.822702271,2.556797291,2.050640617,2.055431228,2.447557435
HCFC2,3.043188956,2.169618614,1.787592494,2.179038567,1.459016168,1.979830928,2.583660535,3.418360922
HCLS1,1.01535264,1.180562903,1.015221036,1.138816663,1.069395381,1.069395381,1.94016384,1.175006822
HDAC11,14.90280585,23.12295304,22.9681125,13.06131804,18.15860329,16.47869144,18.80829296,16.87289549
HDAC2,19.05028618,18.86904626,16.95715903,21.26970343,21.94162945,19.948829,17.0570653,17.84213067
HDAC3,5.195415357,5.910406378,5.195415357,5.702158925,6.093759127,4.151520177,5.863133572,4.345979448
HDAC4,2.986947718,2.910792194,3.31178893,3.679289871,3.629408446,4.853912609,1.84620499,6.36160308
HEATR3,1.351724095,1.608421076,1.384540589,1.125310737,1.307057589,1.165389706,1.307057589,1.501256184
HECW2,10.05640184,6.706671646,6.706671646,6.504442665,7.579106986,5.284118861,5.153956762,4.153913531
HELZ,3.115303138,2.353044755,2.622299533,3.570627763,3.615729982,3.032710822,2.353044755,3.115303138
HERC1,17.5987799,18.01019265,20.26653205,16.62629876,22.39776603,13.98698919,13.1409142,11.91527179
HERPUD1,11.1547762,15.1325687,18.50483163,11.79186577,11.50313719,12.97917037,11.79186577,11.54668231
HES1,2.754692134,2.283947674,2.417321875,2.283947674,2.11683776,2.071840232,3.35093663,3.542549229
HEY1,130.3169474,116.7310843,123.2067806,114.2748134,118.1537502,114.9795272,107.5487557,144.967253
HGH1,4.872029403,3.844515426,4.872029403,5.864047002,5.52195844,5.466549841,4.750711156,6.455271989
HINT1,91.60732278,160.2450571,110.211983,152.8257039,110.211983,92.93925575,90.89695852,86.88762635
HINT3,3.215639841,2.816778298,2.756983401,2.714199954,2.283947674,2.127455532,1.94016384,2.778544818
HIP1,1.817960915,2.032997704,1.96942194,2.299768223,2.266335478,2.623343944,2.821067933,2.196703
HIPK1,1.70121647,1.979830928,2.256402744,2.028410603,1.979830928,1.917815288,2.600672668,2.690196629
HIPK2,4.71879581,8.440393022,9.469598648,4.722180405,5.711746087,7.521195064,15.35498081,13.37854444
HIPK3,64.78072156,76.9158897,54.4847103,57.81049988,50.46008428,54.03751334,77.12391567,97.47739781
HIVEP3,6.302443492,4.644518749,3.616311838,5.753537841,5.337527573,7.436219192,4.502922464,7.230300964
HK1,32.97555314,34.66652873,38.36490094,36.45137092,43.21198303,23.81902167,25.85982409,29.34042529
HLA-A,25.7581413,45.34885891,25.85842924,46.72055978,39.04232155,40.07847467,52.66652848,50.36380396
HLA-B,9.808125856,19.72988951,15.48489763,15.41123957,14.86471164,14.44902778,15.02052944,19.29084854
HLA-C,11.13467675,27.14148327,15.96294626,21.83123551,16.7778274,21.06379621,28.64430106,26.84858754
HLTF,11.1442422,14.63102071,10.85585453,15.11100671,11.18341483,8.792321942,8.453402261,6.997089493
HM13,8.47093448,8.727208673,8.856309469,9.814208038,7.737655463,5.73203686,6.009239661,8.360684111
HMGB1,159.8393927,184.1194475,223.479375,184.1194475,206.5208251,176.4684756,194.1210739,192.2516552
HMGXB4,3.247410685,2.210573095,2.478808008,2.119728189,1.751396813,2.96037932,2.544540603,2.205421474
HMOX2,3.481729328,4.717745401,4.143244159,3.999219629,3.183867836,3.525292828,3.999219629,3.999219629
HNMT,1.979511326,1.74085526,1.74085526,1.517700203,2.245073694,1.427069938,1.74085526,1.857276827
HNRNPA0,1.898684036,2.031135683,2.215937716,2.031135683,1.998944081,1.900009703,1.62250594,2.0549012
HNRNPA1,18.52801464,20.27347662,22.51130258,18.50483163,17.79501321,24.93823711,26.15611465,25.86260602
HNRNPA2B1,7.983523455,8.680637046,10.02283947,10.1697781,12.46152707,8.319049655,12.56823898,11.78708948
HNRNPC,16.64012435,19.02996509,26.08558128,17.64012549,19.50481911,15.8459581,16.51540275,21.87035727
HNRNPH1,61.11421861,67.98329955,76.67617649,75.09587073,73.79086941,57.94225864,81.69058515,74.8317963
HNRNPK,9.010847127,9.56048026,11.14787704,10.60574479,10.06820818,7.372406903,9.480593944,5.657217128
HNRNPL,18.95851186,17.61509934,19.8676743,19.53251781,20.55688364,18.39202963,18.24954242,17.08216064
HNRNPM,3.712983837,5.538810784,5.460959577,4.424496833,4.363481361,3.977579676,3.616450897,4.346460564
HNRNPU,5.578535437,5.337527573,4.703241445,5.337527573,4.317529803,4.182288772,8.360684111,5.337527573
HNRNPUL1,5.935284433,6.055748593,6.649006987,7.493166747,5.19262386,5.86913802,5.814574339,8.023022568
HNRNPUL2,30.06323442,27.30313299,25.66723221,30.14227834,30.14227834,24.94287938,27.04088247,26.2452808
HOXA3,1.888029901,2.101658119,1.792384469,2.283947674,1.683330265,1.917815288,1.413055052,1.750823086
HOXA5,10.63008781,14.10298839,7.727133096,7.699817012,7.853780393,6.666772392,7.120033549,6.845587627
HOXB5,7.49777914,7.756787871,5.173282355,8.463390482,5.971804241,6.699417467,6.094796035,5.55585963
HOXB9,1.693031195,1.693031195,1.442702884,1.767323523,1.757450281,1.455777571,1.896523295,1.533133202
HPRT1,159.5128492,140.8126293,195.5429711,159.6210739,162.3028921,120.9687131,72.14693141,78.20826828
HRAS,1.602769092,2.989499645,2.171575965,1.756909928,1.764425319,1.590453586,1.556578286,1.756909928
HSD17B14,2.706718478,2.421814301,2.45019856,2.355468996,1.937205492,3.592990128,4.214920495,3.999219629
HSP90AA1,69.2093854,17.60505634,18.57447395,15.98531169,21.08039404,19.04988253,14.5308086,15.95099691
HSP90AB1,28.84359678,58.58657152,48.22325982,40.05708332,55.18654897,28.74361134,30.07887472,30.84486458
HSP90B1,23.03444558,11.91920909,15.15643365,11.02698906,11.54853452,10.72241164,15.2552802,8.933356769
HSPA2,7.857737434,11.51922269,7.556326058,6.790835931,6.279058943,6.331003265,8.452069564,7.426677074
HSPA4,34.81687072,35.60538556,39.06354608,39.21198303,62.44236663,26.37219063,24.81361529,29.43256155
HSPA5,2.283947674,6.819342133,3.579082613,2.622882348,6.504791134,2.151363842,5.867919227,2.507308771
HSPA9,12.53080891,13.22038013,14.24277351,15.83032415,11.44161851,9.814208038,12.06754318,10.69667706
HSPB1,46.45483099,71.4289533,51.09996974,43.62249634,45.17586663,18.60186335,9.814208038,14.90893313
HSPD1,209.0047095,214.9599065,231.211983,218.3803053,298.8219544,197.2645508,161.1956955,238.6711372
HSPE1,9.814208038,10.69217873,10.80460809,11.43133399,14.85099231,7.385570756,6.127630041,7.372953233
HSPH1,39.30289213,49.47351168,62.35764093,37.30289216,57.03654001,39.67871017,31.90139401,53.93717137
HTATSF1,4.339459988,4.587197274,4.406123347,3.483230428,4.359132777,3.312622287,3.305581912,4.406123347
HUS1,5.784668214,3.652208682,4.737207143,3.089638166,4.535352665,4.737207143,3.439278515,3.937086605
HUWE1,159.4532337,224.2757668,204.1770063,207.6911956,215.0822323,193.5756194,202.6427978,202.6427978
ICE1,11.41511757,12.91574355,11.92335228,11.06119635,13.97565823,9.740152071,11.06119635,9.324439942
ID2,14.54895481,8.696415356,14.08094842,10.74800164,12.93625341,10.06044772,18.06048205,12.93625341
IFITM2,24.67680467,53.28645518,41.1617888,23.67312555,24.71274069,29.47089971,49.7527792,63.21198303
IFRD1,3.043188956,3.258979039,3.655890161,4.267582214,5.005761942,2.707835957,3.161776333,4.325704715
IGF2R,11.64744335,5.554949332,5.753537841,7.052637672,4.705683835,5.753537841,7.018630516,6.546157081
IGFBP5,10.96534935,20.90915834,8.870755448,14.10628551,37.98582497,26.23194637,8.774940116,26.22341727
IK,8.696092422,9.05621588,9.814208038,8.509508394,7.552530342,6.75067415,6.683154255,6.495882727
IKBKAP,2.562383705,2.542644004,2.851304873,3.015711147,3.570366251,2.764546572,2.542644004,2.725532686
IKBKB,2.570732445,3.377465809,2.549464469,3.986467029,3.330795091,2.106086346,1.897506557,2.380640088
IL17RA,7.212724616,8.159743478,7.258586021,10.74301287,8.247348424,8.002018019,14.1388206,8.002018019
ILF2,1.365268923,1.604966005,1.436094874,1.660561628,1.437936163,1.567720545,1.523177708,1.704460076
ILF3,1.523177708,1.523177708,1.523177708,1.560156669,1.476519164,1.523177708,1.523177708,1.523177708
IMMT,6.494668189,11.53050132,11.05232587,15.09317122,13.08037798,8.857346201,9.849005208,9.56048026
IMPDH1,13.89794754,10.09866974,13.19449848,11.32270779,15.27107608,10.27350193,11.73635654,10.0506199
ING2,1.70121647,2.024527888,1.306553844,1.439752407,1.439752407,1.200373377,1.67765016,1.259026047
ING4,6.228969073,5.942316219,6.73426703,8.551018833,7.978694108,10.28763541,6.301595074,6.97292234
INO80C,9.42916436,7.491672248,9.469598648,11.89465353,14.36211451,7.521195064,8.969577118,9.469598648
IP6K2,7.163391757,6.901178529,5.536921242,5.661680503,4.907805154,4.343017178,4.618007232,5.661680503
IPO8,9.293369403,9.03381058,7.812031938,8.588165863,11.50905028,8.696415356,9.724293829,8.876882569
IQGAP1,1.216570232,1.397261831,1.174396499,1.174396499,1.216570232,1.216570232,1.577581478,1.491516062
IRAK1,16.73371058,21.05119367,19.44086226,20.81799139,14.84947347,13.69699201,20.58558274,19.03898106
IRAK2,7.988110152,7.988110152,7.200188576,7.456354875,8.555390932,6.117653173,4.198307547,6.828334271
IRS1,3.19615366,1.968097951,2.571726277,2.589685229,2.659907674,3.112880888,2.269019192,1.979830928
IRS4,1.271645885,1.507521821,1.507521821,1.969954043,2.283947674,1.39366833,1.688716817,1.578134893
ISG15,1.436094874,1.436094874,1.790564107,1.526638746,1.413791037,1.436094874,1.317631035,1.331731059
ITGA6,2.375495376,1.730988003,1.979830928,1.159261891,1.479509926,1.941704633,1.683330265,1.613275628
ITGB1,94.70867089,87.2928208,127.3028921,62.21198303,84.2075354,75.33080962,57.24211168,58.28256559
ITGB1BP1,11.82338133,16.45926533,16.45926533,32.22817954,13.35863322,9.814208038,16.45926533,13.78752483
ITGB5,7.018410631,7.018410631,9.566435837,7.751378016,8.905047672,8.681430668,8.149607975,7.751378016
ITPR1,18.50483163,14.11919293,15.4911302,9.738423962,9.987286873,9.201112599,11.22426087,7.321674696
