Gene,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
ACOT8,1.664479905,1.331731059,1.519340393,1.974843174,1.979830928,1.555188465,2.281902997,1.275143579
ACOX1,12.26956286,3.999219629,2.346901435,1.869679547,3.294847727,1.970442026,2.469554362,2.545159289
ACSL6,14.96867236,17.92839948,15.91382639,23.94111484,22.2883523,9.384771247,10.20331201,12.63700921
ACTB,552.122912,427.0128939,566.9281848,380.623606,434.8643545,331.211983,333.0408803,285.0703595
ACTN1,12.50438833,10.3049147,19.00805356,16.69306502,8.271822427,8.696415356,14.87842335,39.07418249
ACTN2,4.686421275,4.755705561,4.896951525,5.637613748,4.045462381,4.486840258,2.978863302,6.542630456
ACTR1A,1.802254982,3.166900835,2.399146971,3.29471121,3.629408446,2.460413652,2.353044755,3.052755627
ACTR2,5.195415357,5.319160071,5.195415357,5.735734615,5.195415357,4.070934906,4.401448591,5.195415357
ACTR3,1.70121647,1.424475905,1.205520836,1.45062516,1.872073589,1.244972033,1.70121647,1.70121647
ADAM17,2.49987522,2.473592098,2.473592098,2.473592098,2.283947674,3.118063322,3.017376819,2.07800406
ADAM9,8.546396045,7.914404632,7.914404632,11.37914667,7.521195064,6.966417513,4.704662787,5.452720395
ADAMTS1,1.979830928,2.576401833,1.804374796,1.528119822,1.979830928,1.806644947,3.281719296,3.31903384
ADD1,183.211983,179.0048472,208.4847103,183.211983,214.8472691,151.8299999,146.9186654,183.211983
ADD2,140.4236646,148.8209253,140.8483467,160.2476505,157.3021094,115.8326778,108.9182602,137.6927093
ADNP,1.701191311,1.735744826,2.205993956,2.15376036,2.70853271,1.618211112,1.881367836,1.204474573
ADSL,5.771847304,6.682536902,6.066309402,10.3206233,9.172010196,3.553826842,3.933685646,5.622627114
ADSS,6.302443492,4.379676122,6.302443492,4.712075046,9.459972675,4.676256778,3.783140166,5.325795803
AGFG1,2.240174199,1.736129399,2.649954529,1.683330265,2.314057223,1.801129486,1.155351047,1.155351047
AGO3,3.545582408,2.38493204,2.681489294,2.285225084,2.644225977,2.571832094,2.096160628,3.504401878
AGPAT4,1.403191568,2.041911202,2.001173106,2.001173106,2.530726554,2.032743428,2.001173106,2.669875271
AGTPBP1,5.128200115,6.257707061,4.946995957,8.04571604,5.326280441,4.3764703,4.773482825,5.955262434
AHCY,3.586981579,5.667977219,5.959103197,5.753537841,5.667977219,4.041802784,6.439303228,2.922392274
AHCYL1,57.66652848,85.89540688,53.47047567,68.51840324,70.84834666,50.4837325,77.16365707,82.04994171
AHCYL2,8.250032219,10.51136891,6.980823157,12.31404717,12.92832591,11.13714859,10.79242186,8.996461798
AHSA1,31.50717786,47.21198303,36.06562964,38.58440254,33.4438025,24.47531211,28.66660297,26.29704055
AIMP1,2.410165254,2.164110322,1.979830928,2.015418315,2.283947674,1.833491068,2.220283726,2.15793231
AIP,15.48092039,13.97565823,11.57113254,16.05858562,12.72739204,11.91212565,13.97565823,16.08055055
AKAP12,9.161557844,21.23658577,14.80719466,9.767242191,11.66476602,11.57630476,5.767094971,9.383548358
AKAP6,5.662781965,4.964638321,5.662781965,5.662781965,7.548116031,8.972719257,4.007158536,2.786142217
AKR1B1,30.09346882,63.8832212,34.27234703,58.84834666,59.38630877,37.44216322,44.22955412,43.03016485
AKR1C1,1.572847313,3.330964184,1.798955768,3.674552501,2.382918052,2.024475067,2.512123505,2.508051846
AKR7A2,32.13205898,34.6537918,39.9796704,83.45261889,59.66652848,53.62614562,39.9796704,55.85049422
ALAD,23.94111484,23.94111484,26.35017813,23.94111484,23.94111484,26.62089689,19.43052825,24.43525929
ALAS1,6.949663261,6.949663261,6.871159096,11.79758963,10.72136196,5.284118861,6.458369542,6.084423311
ALDH7A1,2.706718478,2.91368529,2.476989998,2.54018864,2.395258573,2.374306878,3.304506415,2.605197756
ALDH9A1,56.69100908,43.18037795,39.57911627,27.38864658,31.49711887,19.62888185,33.53554413,34.71198327
ALDOA,14.67452428,48.5706954,31.69135272,64.39380121,41.84834666,16.64168604,15.58169021,10.26067285
ALDOC,83.85407639,222.3174301,158.6815507,208.3521027,192.8920942,123.3133455,95.84834666,84.85394747
ALMS1,34.57562058,34.57562058,49.66652848,27.33008883,26.00290181,56.30017674,59.66652848,34.57562058
ALOX5,1.911935086,8.321421767,2.416717831,1.979830928,4.887408572,3.022217087,9.814208038,17.68803717
AMD1,1.536342485,1.704465497,1.653753278,1.56776873,1.476519164,1.401620675,1.363457935,2.006296002
