HGNC ID	Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
HGNC:41142	CCDC13-AS1		
HGNC:25766	CCDC14	"FLJ12892, DKFZp434L1050"	Q49A88
HGNC:25798	CCDC15	FLJ13215	Q0P6D6
HGNC:26574	CCDC17	FLJ33084	Q96LX7
HGNC:30370	CCDC18	NY-SAR-41	Q5T9S5
HGNC:52262	CCDC18-AS1	ENST00000440778.1	
HGNC:28909	CCDC22	JM1	O60826
HGNC:28688	CCDC24	MGC45441	Q8N4L8
HGNC:25591	CCDC25	FLJ10853	Q86WR0
HGNC:28416	CCDC26	"MGC27434, RAM"	Q8TAB7
HGNC:26546	CCDC27	FLJ32825	Q2M243
HGNC:21098	CCDC28A	"CCRL1AP, DKFZp586D0623"	Q8IWP9
HGNC:28163	CCDC28B	"MGC1203, RP4-622L5.5"	Q9BUN5
HGNC:26103	CCDC30	"FLJ20972, PFD6L, LOC728621"	Q5VVM6
HGNC:26552	CCDC33	"FLJ32855, CT61"	Q8N5R6
HGNC:25079	CCDC34	"NY-REN-41, L15, RAMA3"	Q96HJ3
HGNC:44008	CCDC34P1		
HGNC:27945	CCDC36	"FLJ25320, CT74"	Q8IYA8
HGNC:49641	CCDC37-AS1		
HGNC:26843	CCDC38	FLJ40089	Q502W7
HGNC:25244	CCDC39	"DKFZp434A128, CILD14, FAP59"	Q9UFE4
HGNC:41089	CCDC39-AS1		
HGNC:26090	CCDC40	"FLJ20753, KIAA1640, FLJ32021, CILD15, FAP172"	Q4G0X9
HGNC:26528	CCDC42	"FLJ32734, CCDC42A"	Q96M95
HGNC:26472	CCDC43	FLJ31795	Q96MW1
HGNC:24856	CCDC47	GK001	Q96A33
HGNC:18111	CCDC50	Ymer	Q8IVM0
HGNC:25714	CCDC51	FLJ12436	Q96ER9
HGNC:30703	CCDC54	"NYD-SP17, FLJ25362, SP17"	Q8NEL0
HGNC:27564	CCDC57	"FLJ00130, FLJ23754"	Q2TAC2
HGNC:31136	CCDC58	FLJ33273	Q4VC31
HGNC:32457	CCDC58P1		
HGNC:45025	CCDC58P2		
HGNC:45026	CCDC58P3		
HGNC:45027	CCDC58P4		
HGNC:45028	CCDC58P5		
HGNC:25005	CCDC59	"HSPC128, TAP26, BR22"	Q9P031
HGNC:28610	CCDC60	MGC39827	Q8IWA6
HGNC:33629	CCDC61		Q9Y6R9
HGNC:30723	CCDC62	"TSP-NY, FLJ40344, CT109, ERAP75"	Q6P9F0
HGNC:26669	CCDC63	"ODA5, FLJ35843"	Q8NA47
HGNC:29937	CCDC65	"NYD-SP28, FLJ35732, FAP250, CFAP250, CILD27, DRC2"	Q8IXS2
HGNC:27709	CCDC66	DKFZp686C0433	A2RUB6
HGNC:24350	CCDC68	SE57-1	Q9H2F9
HGNC:24487	CCDC69	"FLJ13705, DKFZP434C171"	A6NI79
HGNC:25303	CCDC70	"DKFZP434K1172, FLJ25853"	Q6NSX1
HGNC:25760	CCDC71	FLJ12800	Q8IV32
HGNC:26685	CCDC71L	FLJ36031	Q8N9Z2
HGNC:23261	CCDC73	NY-SAR-79	Q6ZRK6
HGNC:25197	CCDC74A	FLJ40345	Q96AQ1
HGNC:25267	CCDC74B	DKFZp434E2321	Q96LY2
HGNC:51917	CCDC74BP1		
HGNC:42659	CCDC75P1		
HGNC:28203	CCDC77	MGC13183	Q9BR77
HGNC:14153	CCDC78	FLJ34512	A2IDD5
HGNC:30649	CCDC80	"URB, SSG1, DRO1"	Q76M96
HGNC:26281	CCDC81	"FLJ16339, FLJ23514"	Q6ZN84
HGNC:26282	CCDC82	FLJ23518	Q8N4S0
HGNC:28535	CCDC83	"MGC34732, FLJ42119, CT148"	Q8IWF9
HGNC:30460	CCDC84	DLNB14	Q86UT8
HGNC:29400	CCDC85A	KIAA1912	Q96PX6
HGNC:24926	CCDC85B	DIPA	Q15834
HGNC:35459	CCDC85C		A6NKD9
HGNC:28359	CCDC86	MGC2574	Q9H6F5
HGNC:25579	CCDC87	FLJ10786	Q9NVE4
HGNC:25523	CCDC88A	"FLJ10392, APE, GIV, HkRP1, GRDN"	Q3V6T2
HGNC:26757	CCDC88B	"FLJ37970, BRLZ, HkRP3, FLJ00354, GIPIE"	A6NC98
HGNC:19967	CCDC88C	"DAPLE, HkRP2, SCA40"	Q9P219
HGNC:26762	CCDC89	FLJ38159	Q8N998
HGNC:1217	CCDC90AP1		
HGNC:28108	CCDC90B	"MDS025, MDS011"	Q9GZT6
HGNC:24855	CCDC91	"p56, FLJ11088, DKFZp779L1558"	Q7Z6B0
HGNC:29563	CCDC92	FLJ22471	Q53HC0
HGNC:52279	CCDC92B		
HGNC:25611	CCDC93	FLJ10996	Q567U6
HGNC:25518	CCDC94	FLJ10374	Q9BW85
HGNC:26900	CCDC96	FLJ90575	Q2M329
HGNC:28289	CCDC97	"FLJ40267, MGC20255"	Q96F63
HGNC:28097	CCDC102A	MGC10992	Q96A19
HGNC:26295	CCDC102B	"FLJ23594, HsT1731, AN"	Q68D86
HGNC:32700	CCDC103	"FLJ13094, FLJ34211, PR46b, CILD17"	Q8IW40
HGNC:26866	CCDC105	FLJ40365	Q8IYK2
HGNC:30181	CCDC106	HSU79303	Q9BWC9
HGNC:28465	CCDC107	MGC31967	Q8WV48
HGNC:28504	CCDC110	"KM-HN-1, MGC33607, CT52"	Q8TBZ0
HGNC:28599	CCDC112	MGC39633	Q8NEF3
HGNC:25002	CCDC113	"HSPC065, DKFZp434N1418"	Q9H0I3
HGNC:26560	CCDC114	"FLJ32926, CILD20"	Q96M63
HGNC:28178	CCDC115	"MGC12981, FLJ30131, ccp1"	Q96NT0
HGNC:26688	CCDC116	FLJ36046	Q8IYX3
HGNC:26599	CCDC117	FLJ33814	Q8IWD4
HGNC:28910	CCDC120	JM11	Q96HB5
HGNC:25833	CCDC121	"FLJ43364, FLJ13646"	Q6ZUS5
HGNC:26478	CCDC122	FLJ31846	Q5T0U0
HGNC:25171	CCDC124		Q96CT7
HGNC:28924	CCDC125	KENAE	Q86Z20
HGNC:22398	CCDC126	FLJ23031	Q96EE4
HGNC:30520	CCDC127	FLJ25701	Q96BQ5
HGNC:27363	CCDC129	FLJ38344	Q6ZRS4
HGNC:28118	CCDC130	MGC10471	P13994
HGNC:26185	CCDC134	FLJ22349	Q9H6E4
HGNC:22225	CCDC136	"KIAA1793, NAG6, DKFZP434G156"	Q96JN2
HGNC:33451	CCDC137	MGC16597	Q6PK04
HGNC:33459	CCDC137P		
HGNC:26531	CCDC138	FLJ32745	Q96M89
HGNC:26514	CCDC140	FLJ32447	Q96MF4
HGNC:26821	CCDC141	"FLJ39502, CAMDI"	Q6ZP82
HGNC:25889	CCDC142	FLJ14397	Q17RM4
HGNC:29072	CCDC144A	"KIAA0565, FLJ43983"	A2RUR9
HGNC:26704	CCDC144B	FLJ36492	Q3MJ40
HGNC:29073	CCDC144CP		Q8IYA2
HGNC:33735	CCDC144NL	MGC87631	Q6NUI1
HGNC:51340	CCDC144NL-AS1		
HGNC:29296	CCDC146	KIAA1505	Q8IYE0
HGNC:25191	CCDC148	MGC125588	Q8NFR7
HGNC:44134	CCDC148-AS1		
HGNC:25405	CCDC149	DKFZp761B107	Q6ZUS6
HGNC:26834	CCDC150	FLJ39660	Q8NCX0
HGNC:50280	CCDC150P1		
HGNC:28303	CCDC151	MGC20983	A5D8V7
HGNC:34438	CCDC152	LOC100129792	Q4G0S7
HGNC:27446	CCDC153	LOC283152	Q494R4
HGNC:34454	CCDC154	LOC645811	A6NI56
HGNC:26520	CCDC155	"FLJ32658, KASH5"	Q8N6L0
HGNC:33854	CCDC157		Q569K6
HGNC:26374	CCDC158	FLJ25770	Q5M9N0
HGNC:26996	CCDC159		P0C7I6
HGNC:37286	CCDC160		A6NGH7
HGNC:21565	CCDC162P	"bA425D10.7, bA425D10.3"	A2VCL2
HGNC:27003	CCDC163	LOC126661	
HGNC:41910	CCDC166		P0CW27
HGNC:21239	CCDC167	dJ153P14.2	Q9P0B6
HGNC:26851	CCDC168	FLJ40176	Q8NDH2
HGNC:34361	CCDC169	"RP11-251J8.1, LOC728591"	A6NNP5
HGNC:38866	CCDC169-SOHLH2		
HGNC:21177	CCDC170	"FLJ23305, bA282P11.1"	Q8IYT3
HGNC:29828	CCDC171	"FLJ39267, FLJ46740, Em:AL513423.1, bA778P13.1, bA536D16.1"	Q6TFL3
HGNC:30524	CCDC172	MGC35062	P0C7W6
HGNC:25064	CCDC173	LOC129881	Q0VFZ6
HGNC:28033	CCDC174	FLJ33839	Q6PII3
HGNC:19847	CCDC175		P0C221
HGNC:23243	CCDC177	PLPL	Q9NQR7
HGNC:29588	CCDC178	FLJ44050	Q5BJE1
HGNC:44653	CCDC179		H3BU77
HGNC:29303	CCDC180	"DKFZp434I2420, BDAG1"	Q9P1Z9
HGNC:28051	CCDC181	FLJ25846	Q5TID7
HGNC:49392	CCDC182		A6NF36
HGNC:28236	CCDC183	"MGC15438, bA216L13.7"	Q5T5S1
HGNC:44105	CCDC183-AS1		
HGNC:33749	CCDC184	LOC387856	Q52MB2
HGNC:26654	CCDC185	FLJ35728	Q8N715
HGNC:24349	CCDC186	"FLJ10188, FLJ35301"	Q7Z3E2
HGNC:30942	CCDC187	MGC50722	A0A096LP49
HGNC:51899	CCDC188		H7C350
HGNC:28078	CCDC189	MGC104706	A1A4V9
HGNC:28736	CCDC190	MGC48998	Q86UF4
HGNC:29272	CCDC191		Q8NCU4
HGNC:49566	CCDC192		P0DO97
HGNC:53438	CCDC194		
HGNC:53441	CCDC195		
HGNC:20100	CCDC196		
HGNC:51693	CCEPR	CCHE1	
HGNC:28373	CCER1	MGC26598	Q8TC90
HGNC:44662	CCER2		I3L3R5
HGNC:13930	CCHCR1	HCR	Q8TD31
HGNC:1568	CCIN	"KBTBD14, BTBD20"	Q13939
HGNC:1569	CCK		P06307
HGNC:1570	CCKAR		P32238
HGNC:1571	CCKBR		P32239
HGNC:1572	CCL~withdrawn		
HGNC:10609	CCL1	"I-309, TCA3, P500, SISe"	P22362
HGNC:10618	CCL2	"MCP1, MCP-1, MCAF, SMC-CF, GDCF-2, HC11, MGC9434"	P13500
HGNC:10627	CCL3	"G0S19-1, LD78ALPHA, MIP-1-alpha"	P10147
HGNC:10628	CCL3L1	"G0S19-2, LD78BETA"	P16619
HGNC:30554	CCL3L3	MGC12815	P16619
HGNC:10629	CCL3P1	LD78gamma	
HGNC:10630	CCL4	"MIP-1-beta, Act-2, AT744.1"	P13236
HGNC:10631	CCL4L1	"AT744.2, LAG-1"	Q8NHW4
HGNC:24066	CCL4L2		Q8NHW4
HGNC:10632	CCL5	"RANTES, SISd, TCP228, MGC17164"	P13501
HGNC:10634	CCL7	"MCP-3, NC28, FIC, MARC, MCP3"	P80098
HGNC:10635	CCL8	"MCP-2, HC14"	P80075
HGNC:10610	CCL11	"eotaxin, MGC22554"	P51671
HGNC:10611	CCL13	"MCP-4, NCC-1, SCYL1, CKb10, MGC17134"	Q99616
HGNC:10612	CCL14	"HCC-1, HCC-3, NCC-2, SCYL2, CKb1, MCIF"	Q16627
HGNC:10613	CCL15	"HCC-2, NCC-3, SCYL3, MIP-5, Lkn-1, MIP-1d, HMRP-2B"	Q16663
HGNC:44436	CCL15-CCL14		
HGNC:10614	CCL16	"NCC-4, SCYL4, LEC, HCC-4, LMC, LCC-1, CKb12, Mtn-1"	O15467
HGNC:10615	CCL17	"TARC, ABCD-2"	Q92583
HGNC:10616	CCL18	"DC-CK1, PARC, AMAC-1, DCCK1, MIP-4, CKb7"	P55774
HGNC:10617	CCL19	"ELC, MIP-3b, exodus-3, CKb11"	Q99731
HGNC:10619	CCL20	"LARC, MIP-3a, exodus-1, ST38, CKb4"	P78556
HGNC:10620	CCL21	"SLC, exodus-2, TCA4, CKb9, 6Ckine, ECL"	O00585
HGNC:10621	CCL22	"MDC, STCP-1, ABCD-1, DC/B-CK, A-152E5.1, MGC34554"	O00626
HGNC:10622	CCL23	"Ckb-8, MPIF-1, MIP-3, CKb8"	P55773
HGNC:10623	CCL24	"Ckb-6, MPIF-2, eotaxin-2, MPIF2"	O00175
HGNC:10624	CCL25	"TECK, Ckb15"	O15444
HGNC:10625	CCL26	"MIP-4alpha, eotaxin-3, IMAC, MIP-4a, TSC-1"	Q9Y258
HGNC:10626	CCL27	"ALP, ILC, CTACK, skinkine, ESkine, PESKY, CTAK"	Q9Y4X3
HGNC:17700	CCL28	"SCYA28, MEC, CCK1"	Q9NRJ3
HGNC:21708	CCM2	"MGC4607, OSM"	Q9BSQ5
HGNC:16153	CCM2L	dJ310O13.5	Q9NUG4
HGNC:1575	CCM3~withdrawn		
HGNC:1576	CCNA~withdrawn		
HGNC:1577	CCNA1	CT146	P78396
HGNC:1578	CCNA2		P20248
HGNC:1579	CCNB1		P14635
HGNC:19437	CCNB1IP1	HEI10	Q9NPC3
HGNC:37693	CCNB1IP1P1		
HGNC:37694	CCNB1IP1P2		
HGNC:37695	CCNB1IP1P3		
HGNC:1580	CCNB2	HsT17299	O95067
HGNC:50850	CCNB2P1		
HGNC:18709	CCNB3		Q8WWL7
HGNC:50851	CCNB3P1		
HGNC:1581	CCNC	CycC	P24863
HGNC:1582	CCND1	U21B31	P24385
HGNC:1583	CCND2		P30279
HGNC:49398	CCND2-AS1		
HGNC:49399	CCND2-AS2		
HGNC:1584	CCND2P1		
HGNC:1585	CCND3		P30281
HGNC:1586	CCND3P1		
HGNC:50852	CCND3P2		
HGNC:1587	CCNDBP1	"DIP1, GCIP, HHM"	O95273
HGNC:1588	CCNE~withdrawn		
HGNC:1589	CCNE1		P24864
HGNC:1590	CCNE2	CYCE2	O96020
HGNC:1591	CCNF	"FBX1, FBXO1"	P41002
HGNC:1592	CCNG1		P51959
HGNC:39177	CCNG1P1		
HGNC:1593	CCNG2		Q16589
HGNC:50853	CCNG2P1		
HGNC:1594	CCNH	"p34, p37, CycH"	P51946
HGNC:50854	CCNHP1		
HGNC:1595	CCNI	CCNI1	Q14094
HGNC:33869	CCNI2	FLJ16793	Q6ZMN8
HGNC:23434	CCNJ	"FLJ10895, bA690P14.1"	Q5T5M9
HGNC:25876	CCNJL	FLJ14166	Q8IV13
HGNC:22512	CCNJP1		
HGNC:37997	CCNJP2		
HGNC:1596	CCNK	CPR4	O75909
HGNC:20569	CCNL1	ania-6a	Q9UK58
HGNC:1597	CCNL1~withdrawn		
HGNC:20570	CCNL2	"ania-6b, PCEE, SB138, HLA-ISO, CCNS"	Q96S94
HGNC:50855	CCNL2P1		
HGNC:1598	CCNM~withdrawn		
HGNC:18576	CCNO	"UDG2, FLJ22422, UNG2"	P22674
HGNC:1599	CCNT1	"CCNT, CYCT1"	O60563
HGNC:1600	CCNT2		O60583
HGNC:40130	CCNT2-AS1		
HGNC:39178	CCNT2P1		
HGNC:23354	CCNY	"CFP1, CBCP1"	Q8ND76
HGNC:26868	CCNYL1	FLJ40432	Q8N7R7
HGNC:23495	CCNYL2	"bA178A10.2, CCNYL2P"	Q5T2Q4
HGNC:33206	CCNYL3		P0C7X3
HGNC:1601	CCO~withdrawn		
HGNC:24342	CCP110	"KIAA0419, CP110"	O43303
HGNC:24227	CCPG1	"KIAA1254, CPR8"	Q9ULG6
HGNC:1602	CCR1	"CKR-1, MIP1aR, CD191"	P32246
HGNC:1603	CCR2	"CC-CKR-2, CKR2, MCP-1-R, CD192, FLJ78302"	P41597
HGNC:1604	CCR3	"CC-CKR-3, CKR3, CD193"	P51677
HGNC:1605	CCR4	"CC-CKR-4, CMKBR4, CKR4, k5-5, ChemR13, CD194"	P51679
HGNC:1606	CCR5	"CKR-5, CC-CKR-5, CKR5, CD195, IDDM22"	P51681
HGNC:1607	CCR6	"CKR-L3, GPR-CY4, CMKBR6, GPR29, DRY-6, DCR2, BN-1, CD196"	P51684
HGNC:1608	CCR7	"BLR2, CDw197, CD197"	P32248
HGNC:1609	CCR8	"CY6, TER1, CKR-L1, GPR-CY6, CDw198"	P51685
HGNC:1610	CCR9	"GPR-9-6, CDw199"	P51686
HGNC:4474	CCR10		P46092
HGNC:39812	CCR12P		
HGNC:21142	CCRL1P1	dJ509I19.4	
HGNC:1612	CCRL2	"HCR, CRAM-B, CKRX, CRAM-A, ACKR5"	O00421
HGNC:1613	CCS		O14618
HGNC:29578	CCSAP	"FLJ41471, CSAP"	Q6IQ19
HGNC:29349	CCSER1	KIAA1680	Q9C0I3
HGNC:29197	CCSER2		Q9H7U1
HGNC:1614	CCT		
HGNC:1615	CCT2	Cctb	P78371
HGNC:1616	CCT3	Cctg	P49368
HGNC:35129	CCT3P1		
HGNC:1617	CCT4	Cctd	P50991
HGNC:35151	CCT4P1		
HGNC:35141	CCT4P2		
HGNC:1618	CCT5	KIAA0098	P48643
HGNC:35135	CCT5P1		
HGNC:35139	CCT5P2		
HGNC:1619	CCT6~withdrawn		
HGNC:1620	CCT6A	"TTCP20, TCPZ, Cctz, HTR3, TCP20"	P40227
HGNC:1621	CCT6B	"Cctz2, TSA303"	Q92526
HGNC:33094	CCT6P1		
HGNC:35150	CCT6P2		
HGNC:35137	CCT6P3		
HGNC:35148	CCT6P4		
HGNC:38608	CCT6P5	CCT6-2P	
HGNC:1622	CCT7	"Ccth, Nip7-1"	Q99832
HGNC:35149	CCT7P1		
HGNC:35134	CCT7P2		
HGNC:1623	CCT8	"Cctq, PRED71"	P50990
HGNC:32153	CCT8L1P		A6NM43
HGNC:15553	CCT8L2	CESK1	Q96SF2
HGNC:35144	CCT8P1		
HGNC:1624	CCV	CTRCT8	
HGNC:21691	CCZ1	"CGI-43, CCZ1A"	P86791
HGNC:21717	CCZ1B	"DKFZP586I1023, H_NH0577018.2, MGC19819"	P86790
HGNC:1634	CD1A		P06126
HGNC:1635	CD1B		P29016
HGNC:1636	CD1C		P29017
HGNC:1637	CD1D		P15813
HGNC:1638	CD1E		P15812
HGNC:1639	CD2		P06729
HGNC:14258	CD2AP	CMS	Q9Y5K6
HGNC:1656	CD2BP2	"LIN1, Snu40, PPP1R59"	O95400
HGNC:1673	CD3D		P04234
HGNC:1674	CD3E		P07766
HGNC:24219	CD3EAP	"ASE-1, CAST, PAF49"	O15446
HGNC:1675	CD3G		P09693
HGNC:1676	CD3W~withdrawn		
HGNC:1678	CD4		P01730
HGNC:1685	CD5	T1	P06127
HGNC:1690	CD5L	Spalpha	O43866
HGNC:1691	CD6	Tp120	P30203
HGNC:1695	CD7	"GP40, LEU-9, TP41, Tp40"	P09564
HGNC:1706	CD8A		P01732
HGNC:1707	CD8B		P10966
HGNC:1708	CD8B2		A6NJW9
HGNC:1709	CD9	"BA2, P24, TSPAN29, MRP-1"	P21926
HGNC:1626	CD11B~withdrawn		
HGNC:1627	CD13~withdrawn		
HGNC:1628	CD14		P08571
HGNC:1629	CD15~withdrawn		
HGNC:1633	CD19		P15391
HGNC:1640	CD20~withdrawn		
HGNC:1642	CD20L~withdrawn		
HGNC:1643	CD22	"SIGLEC-2, SIGLEC2"	P20273
HGNC:1644	CD23A~withdrawn		
HGNC:1645	CD24	CD24A	P25063
HGNC:1646	CD24P1		
HGNC:1647	CD24P2		
HGNC:1648	CD24P3		
HGNC:1649	CD24P4		
HGNC:1650	CD26~withdrawn		
HGNC:11922	CD27	"S152, Tp55"	P26842
HGNC:43896	CD27-AS1		
HGNC:1652	CD27LG~withdrawn		
HGNC:1653	CD28		P10747
HGNC:1654	CD28LG1~withdrawn		
HGNC:1655	CD28LG2~withdrawn		
HGNC:1657	CD30~withdrawn		
HGNC:1658	CD30LG~withdrawn		
HGNC:1659	CD33	"SIGLEC3, SIGLEC-3, p67, FLJ00391"	P20138
HGNC:1660	CD33L1~withdrawn		
HGNC:1661	CD33L2~withdrawn		
HGNC:1662	CD34		P28906
HGNC:1663	CD36	"SCARB3, GPIV, FAT, GP4, GP3B"	P16671
HGNC:1666	CD37	TSPAN26	P11049
HGNC:1667	CD38		P28907
HGNC:1668	CD39~withdrawn		
HGNC:1669	CD39L1~withdrawn		
HGNC:1670	CD39L2~withdrawn		
HGNC:1671	CD39L3~withdrawn		
HGNC:1672	CD39L4~withdrawn		
HGNC:11919	CD40	"p50, Bp50"	P25942
HGNC:11935	CD40LG	"CD40L, TRAP, gp39, hCD40L, CD154"	P29965
HGNC:1681	CD44	"IN, MC56, Pgp1, CD44R, HCELL, CSPG8"	P16070
HGNC:40133	CD44-AS1	RP1-68D18.4	
HGNC:6953	CD46	"TRA2.10, MGC26544, TLX"	P15529
HGNC:6959	CD46P1		
HGNC:1682	CD47	"IAP, OA3"	Q08722
HGNC:1683	CD48	"BLAST, mCD48, hCD48, SLAMF2"	P09326
HGNC:1684	CD49B~withdrawn		
HGNC:1804	CD52	"HE5, EDDM5"	P31358
HGNC:1686	CD53	TSPAN25	P19397
HGNC:2665	CD55	"CR, TC, CROM"	P08174
HGNC:1687	CD57~withdrawn		
HGNC:1688	CD58		P19256
HGNC:1689	CD59	"16.3A5, EJ16, EJ30, EL32, G344, p18-20"	P13987
HGNC:1692	CD63	"ME491, TSPAN30"	P08962
HGNC:1693	CD68	"SCARD1, macrosialin, GP110, DKFZp686M18236, LAMP4"	P34810
HGNC:1694	CD69	CLEC2C	Q07108
HGNC:11937	CD70	CD27L	P32970
HGNC:1696	CD72	"LYB2, CD72b"	P21854
HGNC:1697	CD74		P04233
HGNC:1698	CD79A	MB-1	P11912
HGNC:1699	CD79B	B29	P40259
HGNC:1700	CD80	"B7.1, B7-1"	P33681
HGNC:1701	CD81	"TAPA-1, TSPAN28"	P60033
HGNC:49384	CD81-AS1		
HGNC:6210	CD82	"R2, IA4, TSPAN27"	P27701
HGNC:1703	CD83	"HB15, BL11"	Q01151
HGNC:13946	CD83P1	"HB15p, b34I8.3"	
HGNC:1704	CD84	"SLAMF5, hCD84, mCD84"	Q9UIB8
HGNC:1705	CD86	"B7.2, B7-2"	P42081
HGNC:15855	CD93	"C1qRP, C1qR(P), dJ737E23.1, CDw93, ECSM3"	Q9NPY3
HGNC:1710	CD94~withdrawn		
HGNC:16892	CD96	TACTILE	P40200
HGNC:7082	CD99		P14209
HGNC:18237	CD99L2	CD99B	Q8TCZ2
HGNC:7083	CD99P1		
HGNC:5949	CD101	V7	Q93033
HGNC:21685	CD109	"FLJ38569, DKFZp762L1111, CPAMD7"	Q6YHK3
HGNC:1630	CD151	"SFA-1, PETA-3, TSPAN24, RAPH"	P48509
HGNC:17013	CD160	"BY55, NK1, NK28"	O95971
HGNC:1631	CD163	"M130, MM130, SCARI1"	Q86VB7
HGNC:30375	CD163L1	"M160, CD163B, SCARI2, WC1"	Q9NR16
HGNC:1632	CD164	"MUC-24, MGC-24, DFNA66"	Q04900
HGNC:32043	CD164L2		Q6UWJ8
HGNC:30072	CD177	"PRV1, HNA2A, NB1"	Q8N6Q3
HGNC:34508	CD177P1		
HGNC:6726	CD180	"RP105, Ly78"	Q99467
HGNC:7203	CD200	"MRC, OX-2"	P41217
HGNC:24235	CD200R1	"OX2R, HCRTR2, CD200R"	Q8TD46
HGNC:24665	CD200R1L	"CD200RLa, CD200R2"	Q6Q8B3
HGNC:17935	CD207	"Langerin, CLEC4K"	Q9UJ71
HGNC:1641	CD209	"DC-SIGN, CDSIGN, DC-SIGN1, CLEC4L"	Q9NNX6
HGNC:16961	CD226	"DNAM-1, DNAM1, PTA1, TLiSA1"	Q15762
HGNC:18171	CD244	"2B4, NAIL, NKR2B4, Nmrk, SLAMF4"	Q9BZW8
HGNC:1677	CD247	"CD3H, CD3Q"	P20963
HGNC:18219	CD248	TEM1	Q9HCU0
HGNC:17635	CD274	"B7-H, B7H1, PD-L1, PDL1, B7-H1"	Q9NZQ7
HGNC:19137	CD276	"B7-H3, B7H3, B7RP-2"	Q5ZPR3
HGNC:19319	CD300A	"Irp60, CMRF35H, CMRF-35-H9, IRC1, IRC2, IGSF12"	Q9UGN4
HGNC:19320	CD300C	"CMRF35, LIR, CMRF-35A, CMRF35A, IGSF16"	Q08708
HGNC:28874	CD300E	"IREM2, CLM2"	Q496F6
HGNC:30811	CD300LB	"TREM5, CLM7"	A8K4G0
HGNC:16848	CD300LD	"CMRF35A4, CD300D"	Q6UXZ3
HGNC:29883	CD300LF	"IREM1, NKIR, IGSF13, CD300f, CLM1"	Q8TDQ1
HGNC:30455	CD300LG	"Trem4, CLM9"	Q6UXG3
HGNC:30843	CD302	"DCL-1, KIAA0022, BIMLEC, CLEC13A"	Q8IX05
HGNC:16692	CD320	"8D6, 8D6A"	Q9NPF0
HGNC:1712	CDA	CDD	P32320
HGNC:20299	CDADC1	NYD-SP15	Q9BWV3
HGNC:1713	CDAN1	"CDA-I, CDAI"	Q8IWY9
HGNC:1714	CDAN2~withdrawn		
HGNC:1715	CDAN3	CDAIII	
HGNC:1716	CDB2	CDTB	
HGNC:1731	CDC2L3~withdrawn		
HGNC:1732	CDC2L4~withdrawn		
HGNC:1743	CDC5L	"PCDC5RP, hCDC5, CEF1, CDC5"	Q99459
HGNC:1744	CDC6		Q99741
HGNC:1745	CDC7	"Hsk1, huCdc7, HsCdc7"	O00311
HGNC:1718	CDC14A	"Cdc14A1, Cdc14A2, cdc14, DFNB105"	Q9UNH5
HGNC:1719	CDC14B	"Cdc14B1, Cdc14B2, CDC14B3, hCDC14B"	O60729
HGNC:22427	CDC14C	"MGC26484, CDC14B2, CDC14Bretro, CDC14CP"	A4D256
HGNC:1720	CDC16	"APC6, ANAPC6, CUT9"	Q13042
HGNC:1721	CDC18L~withdrawn		
HGNC:1723	CDC20	"p55CDC, CDC20A"	Q12834
HGNC:24222	CDC20B	FLJ37927	Q86Y33
HGNC:29487	CDC20P1	OTTHUMG00000020142	
HGNC:1724	CDC23	"APC8, ANAPC8, CUT23"	Q9UJX2
HGNC:1725	CDC25A		P30304
HGNC:1726	CDC25B		P30305
HGNC:1727	CDC25C	PPP1R60	P30307
HGNC:17839	CDC26	"APC12, ANAPC12"	Q8NHZ8
HGNC:22770	CDC26P1	TCAG_1970866	
HGNC:1728	CDC27	"APC3, ANAPC3, NUC2"	P30260
HGNC:38091	CDC27P1		
HGNC:38092	CDC27P2		
HGNC:51754	CDC27P3		
HGNC:51753	CDC27P4		
HGNC:51755	CDC27P5		
HGNC:51756	CDC27P6		
HGNC:51757	CDC27P7		
HGNC:51758	CDC27P8		
HGNC:51759	CDC27P9		
HGNC:51760	CDC27P10		
HGNC:51761	CDC27P11		
HGNC:1734	CDC34	"E2-CDC34, UBE2R1, UBC3"	P49427
HGNC:1735	CDC37	P50CDC37	Q16543
HGNC:17179	CDC37L1	"HARC, FLJ20639, CDC37B"	Q7L3B6
HGNC:49735	CDC37L1-AS1		
HGNC:34406	CDC37P1	A-761H5.2	
HGNC:35453	CDC37P2		
HGNC:17350	CDC40	"PRP17, EHB3, PRPF17, FLJ10564"	O60508
HGNC:1736	CDC42	"G25K, CDC42Hs"	P60953
HGNC:41317	CDC42-IT1		
HGNC:1737	CDC42BPA	"MRCKA, PK428, FLJ23347, KIAA0451, MRCK"	Q5VT25
HGNC:1738	CDC42BPB	"MRCKB, KIAA1124"	Q9Y5S2
HGNC:29829	CDC42BPG	"HSMDPKIN, MRCKgamma, DMPK2, kappa-200"	Q6DT37
HGNC:17014	CDC42EP1	"MSE55, CEP1, Borg5"	Q00587
HGNC:16263	CDC42EP2	"CEP2, BORG1"	O14613
HGNC:16943	CDC42EP3	"CEP3, UB1, BORG2"	Q9UKI2
HGNC:49673	CDC42EP3P1		
HGNC:17147	CDC42EP4	"CEP4, KAIA1777, BORG4, MGC3740, MGC17125"	Q9H3Q1
HGNC:17408	CDC42EP5	"CEP5, Borg3"	Q6NZY7
HGNC:16339	CDC42P1	bK3216D2.3	
HGNC:33952	CDC42P2		
HGNC:44427	CDC42P3		
HGNC:44428	CDC42P4		
