“Gene“,”P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL"
"ASXL2",335.5159837,272.9604149,544.3034145,486.535814,556.6916595,510.1310096
"PPP2CB",29.69844746,33.90134105,30.56507113,20.42730663,27.61147873,31.40335566
"IKBKB",187.7070805,120.0152882,299.6068666,315.4255623,387.9694115,279.3052819
"PHKA2",142.7344685,143.5738455,148.5192867,178.6299592,175.597799,169.1964388
"LIMA1",389.6916595,139.6416092,308.0711034,432.4947733,481.1979136,383.4085654
"ABCD3",514.9223289,331.0179072,432.4373356,650.4106725,586.8062896,606.1022785
"RPL7",5060.462493,3203.858326,5082.024993,4894.869517,5468.801349,4766.190391
"CPNE3",578.615871,360.9851316,734.6083261,752.8384448,605.0870538,774.2407233
"DLG4",79.29468283,182.465305,59.17466987,45.64234128,52.49538838,52.35335282
"FBXW7",393.4833261,827.7752213,271.5622102,303.6311044,252.7148597,338.4208261
"RHOA",3790.572801,3429.243615,4870.102133,3401.646315,4015.808352,3962.573723
"STK3",129.4980709,75.16133558,191.9847879,138.376536,135.2624663,115.624483
"LGR4",83.31514374,55.69799103,83.84292034,104.1823158,72.23208756,76.96285119
"AHCYL2",806.1176666,661.8511388,1149.582025,1145.879159,617.2874096,1218.596981
"CYB5B",117.4595312,235.7763091,218.8584667,164.5473568,132.9994633,163.6202115
"CDKN1B",1030.923728,911.6404459,1249.760132,1200.30853,1651.211328,1036.668042
"CEP63",81.15937942,85.80679936,110.3469435,122.757536,164.1805749,86.93645789
"STAG2",187.4919813,161.3311137,202.77289,313.7039029,335.4220812,286.714291
"TRIM38",47.25059383,41.3030696,96.55742469,94.62224554,50.3587844,52.35335282
"KCTD12",523.4531764,495.9274706,1217.958729,1989.721439,1768.159987,1441.610766
"LIMK2",261.5525758,144.3394294,213.615847,270.5391952,195.7974617,188.773006
"H2AFY2",164.6001634,160.8441294,114.6325004,133.6885537,109.5763546,133.4914834
"CFLAR",103.3724285,92.68888792,194.2835301,320.6633121,193.9343365,151.6307654
"USP7",552.8059957,707.689161,685.9732522,574.2748999,627.661853,549.0219219
"GFAP",16500.06703,11797.52139,15967.80967,16957.7475,15319.91159,15514.84027
"NXT2",81.65523471,55.18705222,66.42850222,74.03371223,77.28263183,69.51112833
"PHKB",161.7843996,120.8020688,169.1335156,193.8772131,127.2560356,176.0301344
"CAPN3",699.7442148,660.3507554,220.8543393,398.2370349,762.3744154,394.4732396
"MAPRE3",217.7751513,242.60834,125.7500776,155.9214444,158.2516969,204.3171623
"RAB9A",253.0522214,291.3121845,545.6810204,352.4451671,480.3517492,540.2598782
"CYP27A1",254.430297,202.2155094,328.9564162,279.8669578,251.8163969,255.8184258
"RALGDS",645.179097,344.150832,424.9972666,442.2521724,932.4598861,659.6701147
"ISYNA1",193.1514543,91.38851708,345.3583261,323.0487278,242.9833382,272.7749933
"ITSN1",149.7933974,99.43376302,298.7749928,219.7587112,210.360666,332.1257905
"RAB15",267.8283122,703.902205,282.8186742,207.3170334,297.0471718,322.218445
"USP3",108.7889851,96.38814282,231.185855,234.5250238,216.1085047,148.3086332
"CAMK1D",35.72092637,97.0845146,69.21250974,55.56429199,47.7916391,39.20223097
"SERBP1",1192.76097,966.497491,1291.902921,1204.917223,1387.119704,1454.96494
"IGFBP5",1031.993775,615.7220576,2344.066011,4116.046478,1057.169018,1923.869616
"TAB2",368.942422,377.8761839,724.7749928,573.8874468,612.0870399,585.8183419
"CD2AP",35.71133749,22.64021717,35.72665156,90.24304461,71.36589334,52.35335282
"NUP107",71.57707274,65.74510055,93.94972021,151.9137307,165.3029907,81.68180241
"TCF12",727.5789333,357.6499928,503.9039388,867.5379603,1042.571011,880.8263165
"SCAF11",145.5739866,83.4061917,173.4175556,272.2744755,229.1498967,202.1047747
"MED9",140.604949,127.7645308,113.3131033,98.25200845,107.2187384,117.1738918
"GAB1",135.2944209,75.69239851,63.73129928,103.7086431,152.260265,93.92196197
"PPP1CC",996.3786628,1016.913633,1672.465999,1285.292854,1817.079818,1537.724014
"RAD17",129.5960151,105.1073108,121.6469878,150.2190172,171.6969452,126.3643036
"SMC3",139.0164244,121.8458074,150.6920555,226.2737345,259.0351586,184.0355092
"WIPF1",139.7304673,70.72002328,107.4852921,170.0257832,121.8169719,117.4633488
"MAP4K5",116.8136981,67.59106448,116.3608916,236.009142,346.0209144,232.6529633
"NOTCH2",645.104907,487.6041355,1094.666952,850.8757981,607.3854025,845.4786511
"PRPSAP1",558.9061135,595.927993,727.491983,742.5273756,822.5694212,719.8968758
"EZR",1565.239268,1250.599134,1737.817521,1577.669538,1325.889521,2131.566659
"MSH6",197.2138266,180.8377183,319.8591585,273.0326417,462.7655667,313.888289
"PAN2",167.1603669,142.8742499,229.017076,233.4349598,270.0848743,188.9947416
"CHRD",147.5153957,165.8663621,108.5133802,92.98429538,103.694731,110.2286757
"CAMK2B",191.931154,167.3978722,148.9764699,130.2938193,149.4328206,155.9981657
"PTBP3",68.43884101,61.7243898,43.85875698,56.28069985,67.24347618,70.41815155
"BNIP3",1443.904188,2248.549602,1984.977096,1162.872625,1312.084988,1180.499175
"RAB27A",60.95515463,37.25704884,85.1848696,53.0362564,55.12190026,66.93522273
"TLE3",99.54022424,142.6206144,160.1047232,121.6688444,99.78135911,112.3805007
"SOS2",374.1551543,240.8925151,289.0717607,375.7369095,475.1865739,355.8414846
"PNN",263.5749886,192.3743517,333.4806857,681.4187618,716.6736896,501.3955326
"CTSK",54.13781828,61.68441531,204.0756938,115.2860175,86.93755928,113.0574415
"TMEM165",342.5963527,302.7333261,312.6763603,440.2478166,644.7958261,373.5666595
"SP3",328.1850318,246.0064978,334.4529126,656.7425753,438.2280784,300.972849
"IVNS1ABP",146.2320112,88.89042287,129.4496373,147.6799485,227.6190007,239.5892213
"MAP7",371.4566772,210.486174,171.9116029,194.4257305,383.175069,240.0278808
"PRSS23",112.9716178,99.70806213,187.3188455,252.2675972,220.686406,159.4727034
"SLC35A3",27.47831931,23.64157277,30.41365067,56.67341371,43.22569271,32.51051066
"CTNNA1",320.8610477,304.2936269,460.9519051,357.1262744,492.9336997,431.9414959
"POLA1",153.9694159,101.3496697,125.8709271,158.9790857,135.1057679,124.9283681
"MATK",207.9866437,227.63585,147.2382929,89.66145405,113.9709678,192.4346875
"CPLX2",36.15348588,53.87544414,33.37527577,34.86595414,32.77663626,39.14549754
"R3HDM2",765.4924114,977.5303952,649.2036837,589.5359384,598.207308,594.6534736
"NEDD4L",258.4565992,458.2087528,282.4388346,253.9800566,247.1221445,339.5193533
"CDC34",200.2034557,277.2753621,238.0629453,192.8688985,210.4045769,198.583441
"GALNT6",140.5154537,53.27912126,49.72917412,48.68091384,183.0295753,66.3238181
"SRF",116.8754562,159.4282485,113.7598629,136.820952,137.0877037,157.2048155
"SFPQ",232.7975835,304.9248186,220.4834506,235.3985746,242.7686917,229.8667106
"PHF3",103.1210208,146.5906163,150.3962246,239.501601,284.7160551,178.091436
"GNB5",266.4243822,511.4621202,312.4353467,266.139775,236.4764619,309.4409097
"TUBB2B",1397.189217,2434.255756,960.7740533,893.5151995,965.496959,1572.440756
"MAP3K5",448.5064502,400.6499928,671.6916595,644.3701035,545.1035836,556.5426855
"COPG1",108.2545566,197.0314596,106.4824799,100.8989555,82.43271412,85.81336591
"SHB",120.3748544,86.20545257,101.1646667,73.87548408,92.79672826,89.14832656
"LSM4",257.695602,495.5910711,290.8665085,273.270647,214.197997,212.820706
"PRKAA1",22.40779698,23.24272296,29.70805347,35.60125048,32.72962746,27.33409082
"ROCK1",113.182943,74.69364733,117.7372261,183.9029225,196.9165012,155.0720746
"LAMB2",180.566615,113.4120911,340.2785042,301.1327655,255.4024103,249.9197839
"FXR2",326.8068304,318.9833261,202.3412833,251.4122063,295.9055212,302.858352
"CCDC90B",249.938876,158.6892017,176.8548241,230.6559484,211.1395852,184.8072057
"CXorf56",44.31953402,47.61148394,37.80582871,39.64035848,34.69596604,37.01701076
"C20orf27",145.8137817,140.6535605,129.0446282,148.5359773,116.5682248,142.0453065
"ITGA6",130.7307959,78.16637837,147.9390659,242.2025063,103.7183648,171.1609628
"ERBB3",482.7001999,233.1620034,121.782959,376.691751,922.32675,332.8980984
"MSC",97.67028747,48.23967731,33.94829468,37.6564542,41.61224145,45.98518227
"RECK",78.98780933,64.24542634,129.0107458,141.537048,100.9493141,111.3897626
"MLH3",121.4557614,102.0066269,98.11199159,68.71653766,94.31770493,104.382593
"PDE4A",164.9320154,139.3709138,65.08739772,88.88150023,83.14502499,145.3555191
"EMD",374.8701207,362.5163904,259.2072012,326.757975,236.8571798,302.9833261
"IQGAP1",377.8192289,147.3684082,630.8166436,767.5773915,929.9802789,928.4863142
"SLC6A12",424.7130296,213.2127528,331.3889344,373.6407897,389.0226711,376.8498829
"COPS7B",203.2905539,137.3106574,133.5861367,119.4111578,118.0582184,110.8731209
"CLMN",154.8815058,94.51167483,94.86049468,168.5844036,682.3330689,231.5666997
"RBPJ",524.6262024,274.8583265,485.5576259,495.8583261,745.0479231,578.5647915
"PPP3R1",127.311629,371.274216,93.15146527,54.21261041,103.8654632,86.39296578
"SKP2",149.2229219,93.18449006,110.5743802,146.4894597,108.4371911,103.2276306
"LPCAT4",42.44798677,51.00680886,31.66422697,39.64161457,46.14808338,39.02471778
"NAP1L1",2057.574994,1033.748032,1355.006868,1298.276245,2031.066659,1862.174957
"GLDC",187.9100331,168.5266814,136.979716,76.75186224,92.82521728,104.5573109
"PTGS2",14.84673117,23.51718449,24.61164054,21.11740985,20.52877957,36.01184688
"PHYHIP",350.5930401,1161.32013,325.0521048,238.8883645,241.5599119,378.9947484
"HSPBP1",300.6103604,416.4001241,228.5536518,261.2320517,218.5841337,245.6777392
"DVL2",241.8969508,174.2594844,220.0152389,240.7877326,255.4150597,208.5542836
"GTF3C1",504.2720667,532.4281622,482.3074624,550.8762057,448.9878379,501.3934363
"PTPRF",328.0248963,304.1044274,259.4582781,234.9247182,232.7791011,273.0808812
"MON2",266.8016878,258.191662,283.8191679,408.0507159,413.493583,219.8862785
"TOR1AIP2",90.26815473,130.950576,107.5401152,144.5569876,84.50651914,75.32865815
"ARID1A",337.5614614,246.5642844,296.4335763,342.4648494,320.0244036,436.139057
"TIPRL",246.5012381,515.6940826,239.6522947,249.3159708,191.0123306,214.4865355
"DNM2",279.7930525,195.0595497,218.365716,220.8584363,241.6966555,246.0041686
"ZNF83",54.557043,53.44720408,110.7113663,216.6648886,162.1357122,88.42019562
"DEDD",67.69935415,66.72489252,59.48002968,57.33184667,55.91352267,52.4416708
"LIMK1",58.01823274,59.56292279,35.5738846,33.27559904,38.00898091,45.0376541
"ATRX",22.99181073,34.69721043,33.76736678,32.81958562,37.4213488,29.03475112
"RAD21",867.4833261,750.1083261,758.1470538,962.793538,1080.457487,842.2723636
"SOX13",246.5619524,110.5987059,127.1722465,228.6549929,192.6666537,226.2446132
"KAT2B",909.2704938,447.6742109,578.3886374,795.3346035,1042.881631,752.1261142
"SRRM2",468.151675,379.2437358,464.3656503,581.6547351,785.4748806,536.4416595
"SRSF4",722.2616236,670.1083261,884.1551813,689.0534555,1057.108492,938.0414603
"ZFYVE26",108.3651296,85.7100482,103.6237217,144.4785918,113.9798771,110.4180679
"MPDZ",371.9516665,419.8632466,485.6344915,507.1215667,608.3944907,492.595079
"WDR11",118.6813715,163.5389119,170.519729,274.9151624,249.8903235,169.9708298
"GAS7",1139.733923,2226.617602,766.5022048,628.9489026,1211.98151,755.5505709
"EEF1A1",8863.987366,7689.627954,10282.06666,7983.619505,8864.345061,9026.572486
"FBLN1",56.48392428,45.3381379,276.5421741,71.98061097,40.84770077,84.80378922
"TRAF3",190.4351188,170.7667046,104.0393886,104.850433,112.0606997,144.5873676
"TSPYL2",598.0355138,884.8983176,624.7160134,663.9107894,760.7749928,728.2192823
"TIMP2",137.9544843,137.6596949,198.4966894,188.9019719,177.8411782,166.119607
"SEPT2",2660.608326,1968.108326,2619.148378,2860.687329,3121.361359,2571.94233
"NOS2",31.27926816,33.63593179,24.36879947,31.81460039,32.70851576,45.03340457
"PLIN3",457.2200551,314.2749928,525.2384888,416.102201,496.9416595,428.1474436
"CTBP2",441.3166595,354.982447,643.1405575,601.7079629,540.8583261,548.6433454
"CD81",3653.820391,2747.009505,3906.2314,4071.174111,3327.431321,3916.347554
"XPC",304.8354874,223.5200123,306.6083261,321.201013,329.8999928,240.8304307
"SAFB",65.84149471,78.869082,60.29826586,44.50641525,68.85974739,57.57192708
"PHGDH",869.5963487,870.1920531,840.9237631,850.5666595,927.5197828,746.1922706
"TBC1D2",85.60676987,63.03299205,81.86887128,84.93499538,116.8024772,71.26608153
"MAP3K11",433.9714335,269.5458814,295.9899908,375.5391575,402.2991426,358.6219716
"B2M",5936.153037,4912.92348,9150.561948,11408.42161,7241.093089,7195.928722
"TOMM40",211.2073057,328.3583261,198.423066,242.3231082,214.0743897,231.8857156
"HAUS7",207.0670614,204.3171623,191.9847879,305.7333261,246.2225993,205.6610465
"EPS8",492.5442334,232.8226166,924.2491171,881.3570997,591.7346821,644.4518326
"RAB3GAP2",15.66157519,15.04587389,12.00916522,16.41096745,15.99253233,15.29098922
"PDCD5",135.3004273,153.6824321,137.5281161,166.4327495,147.8494894,134.6804822
"NYNRIN",144.7721847,88.03145825,155.1061866,135.1342046,136.0542053,151.4472713
"OAZ3",29.77312654,34.48821164,26.40580132,23.24189221,32.23976499,26.14704978
"PKD2",141.4062599,117.9560196,172.5336535,283.6897811,314.4389367,312.3896158
"HNRNPM",33.16231868,29.39370879,31.05534822,28.21374703,31.16147523,30.71470431
"CDH1",51.62962529,37.72241553,157.5872571,143.3779309,41.59163688,71.77715864
"YES1",105.4679078,46.75712887,104.502533,218.6176774,214.5743899,171.9793641
"RGS4",415.8999928,2677.321291,298.7749928,181.3433863,137.073295,265.2085826
"SSFA2",1314.023275,447.6244789,699.1685348,992.5371213,1674.193433,1212.304101
"DIXDC1",385.7113636,231.7152844,731.1121203,438.2139505,737.4339139,408.8284752
"COL1A2",274.8475296,161.3311137,1655.001974,1397.92685,346.5859953,891.9177138
"ARRB1",482.5512408,614.1273556,431.6290772,366.5110913,412.9259943,426.8289634
"ID1",706.9911557,482.1587755,1253.779509,1328.563295,554.1371357,691.955019
"NUAK1",713.7596074,1401.861709,592.747078,440.4238384,699.6387306,645.8658679
"HIPK1",441.1063904,493.6916595,782.8783898,623.1918385,707.1862629,640.7571356
"TMED9",462.3777092,336.2164305,319.2389132,363.4833261,334.2869747,402.4235819
"KAT6A",840.371463,452.4181063,732.2098434,828.2681037,1089.330877,901.9846056
"PPFIA1",374.8583261,289.1499929,483.5751278,517.8290255,594.6328182,401.9192698
"SHMT1",22.34882557,16.0177962,18.47266013,18.63131346,23.46104814,18.935765
"ZBTB7A",55.15008442,65.08883841,38.2678645,40.24686158,50.00670022,54.89082921
"SNAP23",285.0594504,153.0464105,525.6146724,536.669313,390.7005849,440.9667641
"GRIA3",208.981518,658.4555674,414.7333261,199.0131447,176.7407751,283.3414739
"GOLGA7",1614.381047,1693.024993,1359.162142,1458.413104,2599.353327,1799.149751
"MAP3K14",85.17044241,74.53315927,59.73284773,76.70737121,71.46348886,67.97599064
"EIF2S1",294.2084087,391.6984898,469.1083261,349.0611416,367.6119361,410.3022012
"SOX10",1040.41281,522.6510316,427.1950487,617.4426846,1442.296219,791.766871
"TMX1",303.9003531,172.3382908,438.5241386,461.7981819,402.0729854,510.2905375
"CNTN2",386.911582,233.9836425,160.6793382,178.3955278,344.1557468,188.9596426
"NCBP1",11.24509973,11.59373937,11.77015295,11.98928546,11.81970513,11.77494862
"TGFB1I1",162.6633183,56.73565153,187.3188455,341.3691314,178.5746535,212.0561972
"CCND1",174.5277162,82.43184826,302.8741445,154.8007212,89.30834514,173.4162947
"BAIAP2",199.6453938,461.0355865,205.6792428,203.7537845,203.6793712,246.6708505
"KLHDC3",456.7779857,685.3434423,386.2322141,394.0624194,301.9896206,481.1157882
"SON",597.5119976,482.2129798,791.3335358,990.0205368,978.0930923,745.3623096
"SYNCRIP",248.5475925,143.0595411,346.5278564,241.218029,393.075577,370.6202021
"PPP1R15A",120.9671725,99.84403382,134.3465444,88.25651163,103.9493773,103.4438663
"PCP4",187.2558334,814.4625525,183.6469806,189.9278058,184.6771214,247.0362325
"PLXNB2",640.5266449,402.5914496,768.8549195,761.240974,685.6499928,678.7749928
"TFRC",837.9416595,367.254114,1065.294713,912.5447677,701.3062237,374.513285
"CPOX",177.3838259,155.2424549,116.8598732,155.1021346,245.0700681,163.5416337
"TMBIM4",321.5891779,386.7212494,573.8999928,621.3038354,437.9015851,378.2157053
"GPNMB",727.1432554,348.4481374,689.0308993,778.118563,935.9218041,1101.041293
"ANXA5",853.674275,746.6499928,1710.220577,1097.339695,1142.581419,1212.283301
"DOC2A",90.71692253,237.7376768,81.6620532,68.80103627,77.96282786,73.60367935
"HDAC6",433.5163076,351.2388847,449.169232,463.1073296,479.7541595,476.5660387
"PA2G4",421.9416595,422.7333261,394.042137,440.9590959,469.135067,364.5175601
"RB1",147.555018,176.3623548,224.631979,270.3734572,181.585803,172.0958503
"SSBP3",273.2951638,469.7576452,271.0341654,205.8525735,233.5403007,284.3433544
"PPME1",312.4366129,788.3603792,353.2805489,298.1015224,330.0706378,375.5666595
"GNG7",186.3680823,243.2358414,150.5123719,111.7522928,134.6542073,144.4630967
"NAIP",54.36905429,34.56664509,359.363041,129.0186617,272.2475459,111.7003078
"GABBR2",291.3711102,772.6916595,222.7455606,183.2505525,162.328325,255.9105589
"IGF2R",230.3240936,205.5378282,389.5845935,322.5809318,251.1922679,259.6259873
"NMI",79.30915497,53.58587156,104.5196012,205.2177957,109.4253986,99.63720307
"NGB",55.60366384,59.54655853,51.57972715,48.35988979,54.02962038,63.06259658
"RNF114",267.2331135,283.9260969,370.3829405,413.8760034,355.3254871,315.9416595
"EPHB6",265.2103799,736.1261038,241.3166733,191.4104765,153.0414529,247.7333341
"C14orf1",275.7608112,347.5843584,254.5534015,282.4456697,210.5290084,254.8166629
"NEK1",109.5731936,80.0172748,86.90797797,178.5744936,133.3125919,116.7405836
"PRKCB",714.5437588,2241.291662,1361.02569,512.186827,525.220852,897.2648717
"NEK9",408.6971381,290.596915,509.5153499,464.9877929,463.9250011,406.9363932
"PKP2",15.26401332,14.21082861,87.56117402,74.98406283,17.86401966,64.60131005
"CDKN1C",228.7518348,150.3550877,317.3715483,265.3484523,592.4416595,257.8982755
"ENO3",32.43122924,36.70756118,41.74897596,42.58702659,35.3203952,34.20600954
"MED8",126.3282863,271.1315089,213.3292853,260.1224016,203.8631808,159.7960956
"PRPF19",407.6539369,859.5619743,492.1091564,425.411875,398.2843496,398.1209454
"AKR1C1",285.9411475,435.859492,2449.420627,574.4273346,468.8166595,936.644633
"CENPI",17.4625732,18.503892,18.09468344,18.49935454,24.86826693,16.87721883
"TBC1D4",173.0747729,85.66058447,96.48171805,339.2796848,233.4416948,190.7687251
"NCK1",191.4849446,145.6888513,191.8596621,259.0258901,233.4342204,206.0462759
"KDM6A",50.01360849,27.35470255,36.04819951,70.56575399,64.32583744,43.42422835
"MITF",167.9078046,90.28679336,103.3883906,121.768416,158.2014545,141.6855962
"TTC1",301.2043434,550.45535,319.5249928,296.6744668,348.5561304,299.9243353
"PMAIP1",29.12005868,19.64814678,13.65338149,37.19831357,20.67867917,19.16717347
"MTA1",115.5438375,88.42005603,67.16656809,63.96684514,99.90025344,98.55948929
"CD47",117.7087211,221.5444768,104.3916233,95.35855935,126.7339243,118.8963073
"RPL30",5337.816659,4067.036936,4825.841324,4434.337427,5074.295639,4635.594202
"APPL2",150.6914446,180.8431675,295.7550362,229.6917115,222.0617549,190.8726164
"ZEB2",736.6326422,233.304481,126.7518129,274.960544,415.0587333,300.4238683
"DPM2",207.9382295,224.7707316,177.7397252,187.0688455,137.3271148,163.6941881
"PRKACA",397.6425866,540.1580129,367.1467232,294.7916668,340.0356496,347.42356
"CTGF",237.3842552,62.98749041,556.0407805,882.334092,1128.417371,262.3197308
"PRMT2",268.7603516,206.6504425,305.2289401,354.8955683,459.7749928,302.9833261
"ID3",340.5666595,289.2444075,1498.263512,1116.526689,618.7333261,820.8472689
"CD55",95.47963172,110.748015,405.7775907,546.2261215,409.7897088,307.990565
"RDX",44.1467915,35.26389681,26.025085,32.55916672,52.61154308,32.66647082
"RXRB",590.7412343,458.4833261,357.2243017,357.5657576,388.0973476,435.3080352
"TRAF1",63.20541594,54.51209782,95.98176919,67.71041519,52.81478918,53.92512631
"TRIM8",595.6186459,592.7356701,781.6500768,623.2333261,671.0307915,576.4416595
"RPL6",3867.37026,3417.739982,4324.754639,3506.334754,3929.838197,4208.551024
"MACF1",690.8583261,412.0425309,604.7314703,958.1732404,885.3447225,773.3583261
"MAPT",892.72533,2038.824538,973.4301097,884.5517228,936.7092966,785.5066535
"TBC1D2B",233.5169098,148.7567221,322.9118574,301.0021827,269.255206,260.4162842
"DGKZ",1012.963757,1677.264089,894.7085415,652.1709166,618.0878813,1117.148063
"SYNE2",101.0651726,65.56679439,114.5206641,204.394044,138.9534247,96.2255703
"SEPT8",920.7380134,602.3137571,471.3503002,430.6454854,1276.158543,690.9416595
"SREBF1",453.744982,293.2570234,379.1193372,422.1708261,654.3583261,278.6309487
"CEP192",33.1495292,48.03627619,52.58385838,67.12673766,65.88964308,52.19206461
"GDF9",41.27332146,43.2635559,41.44494065,54.1411121,66.0944648,47.08307169
"LRP1",402.9710111,330.5923072,504.1503626,331.9522932,265.6995819,377.2253402
"NOTCH3",802.8783073,229.3613657,311.1916595,527.0441273,483.3736804,531.0004264
"RBM39",482.8638351,390.0364147,617.4833261,927.9556256,993.3847032,734.071847
"SMAD4",128.9692752,125.0595846,313.7304404,192.249382,218.1783749,190.3045199
"HMGXB4",284.7087603,253.0084874,268.9108248,308.6192375,410.1253344,216.1501714
"PRPF40A",451.5313867,270.476299,578.3999928,799.0341726,876.1323203,704.0968583
"DCX",75.51814739,83.34193128,48.51613533,42.80417229,34.37289973,33.69306846
"ADNP",348.8649447,343.0569833,495.6114666,446.279587,492.2268893,400.8583261
"MYH10",134.6659932,437.7749928,175.8451933,117.6842296,92.11338416,89.18493437
"CLU",5360.520963,7866.262354,8759.551727,9623.943367,6395.2298,8227.012663
"HAP1",138.7812525,134.7854448,121.6858027,131.8992395,124.5435347,160.7400451
"DLG1",61.94737242,60.50848056,51.64204988,119.2996767,153.7034502,109.2027543
"CDK12",92.56612634,66.2697253,73.85608497,109.0432815,96.05365351,94.8702137
"DHX15",291.8236216,273.5125149,510.1507881,449.600592,616.3781771,472.2442906
"SPG21",264.3507791,354.871872,570.9601955,347.2441079,363.3188488,380.4404548
"SUPT5H",372.8876884,340.6989591,258.884569,242.9108199,334.0062754,288.7565448
"AP2B1",708.9904701,905.9623912,562.4611295,596.5369536,553.1697917,489.4307454
"AHCYL1",7435.251901,7893.09084,8117.257942,6869.914777,5955.677135,6521.010411
"SSR1",1016.14289,646.7333261,1197.637764,1564.179325,972.5215815,1199.962493
"DDX17",2195.935466,1734.77865,3401.274993,4139.608326,4279.754159,3322.149993
"CREG1",388.0782227,598.2060189,1092.284197,1013.886324,813.1914692,839.3102619
"UBE2J1",45.57880158,42.23152832,36.78076725,56.75498773,42.24390376,38.80271697
"MAN2A1",280.5166612,220.39603,291.2395149,664.7862809,1182.691912,439.9552225
"KPNA1",188.0633894,254.4781631,175.6633841,186.9086731,192.5210647,238.9577376
"NPM1",661.2003675,552.6670624,815.3907015,675.7749928,787.5903266,780.6695351
"DAZAP2",1504.563708,1559.313439,1913.834906,1459.527869,1761.931662,1673.808121
"SORBS1",1967.922951,856.6784875,1969.60898,2515.393602,2056.402022,2093.194171
"PDCD6IP",202.0399208,290.472053,460.152194,541.3669653,423.7038713,423.7950675
"DHRS1",137.2866856,160.4596391,144.2750061,159.8684141,168.1874569,164.2684513
"SREK1",210.6567093,132.5837759,223.7334122,418.845218,411.2592012,269.8167061
"EPOR",47.78214383,39.14090289,62.80009093,59.1177808,40.47391334,49.81158263
"PAK2",435.44506,237.2682909,431.7074544,492.8887961,626.9845074,463.0770962
"ZBTB5",224.9048766,200.7768479,306.5116903,253.4837854,304.5399235,274.199947
"TPM1",311.6662408,219.6084506,578.2958819,674.9400971,428.8999928,718.9412724
