Genename,VCPonly
PLEKHB1,true
PDGFRB,true
ACVR1,true
SYT3,true
KLHL3,true
PCSK7,true
SYT2,true
SYT9,true
RAB30,true
EPHB1,true
RHOG,true
TLR10,true
IL2RG,true
NME2,true
AJUBA,true
GSC,true
INPP4A,true
RAB2B,true
VEPH1,true
NAT9,true
RHEBL1,true
ZSCAN4,true
EIF2AK4,true
ADA,true
GEMIN5,true
RAPGEF6,true
TINF2,true
FLT3,true
RALGPS1,true
SLC25A34,true
TINAG,true
SIT1,true
FBXL12,true
SIGLEC7,true
ABCG4,true
OSMR,true
MTA3,true
FOXG1,true
EXOC7,true
INCENP,true
RAB6B,true
LY6G6F,true
SYNJ2,true
ZBTB44,true
RTN4R,true
FLT4,true
GEMIN6,true
PRKAR1A,true
ARL4D,true
GOPC,true
SPTLC1,true
PDLIM4,true
AOX1,true
GRK6,true
RAB34,true
SHC2,true
PLTP,true
LMO7,true
PREB,true
EPHA2,true
FER,true
MAPK8IP2,true
BMPR1B,true
SOX5,true
RAPGEF1,true
PDCD6,true
HOXC8,true
SALL1,true
SOCS1,true
SHC4,true
NSL1,true
NTRK1,true
ZNF76,true
MGC3121,true
STRAP,true
FSHR,true
CCL5,true
SNRPD3,true
SNRPG,true
PDILT,true
ACVR2A,true
DLL1,true
GRID2,true
DKFZp781O1323,true
TNK2,true
HOXD13,true
RFX1,true
COL4A1,true
NEUROG1,true
RAB38,true
ZNF521,true
RASD2,true
KDR,true
NEU3,true
BCL2A1,true
GEMIN7,true
SDHB,true
MAPK12,true
CHRND,true
COMMD6,true
TUB,true
HOXA13,true
VPS28,true
FBXO4,true
RASL12,true
ATG5,true
GDF6,true
UBE2W,true
KIF5A,true
ARHGDIA,true
ABCG5,true
SYCE3,true
TTC8,true
KIFC3,true
CLPB,true
LBR,true
TRIOBP,true
ARCN1,true
ZNF839,true
CENPJ,true
EPB41L2,true
MSL2,true
WWTR1,true
RAP1GAP2,true
PVR,true
TULP3,true
HHATL,true
NUP205,true
KRT38,true
C3orf62,true
SMC4,true
TRAIP,true
ME2,true
PHLDA3,true
C6orf32,true
KIAA0232,true
LRMP,true
SYNPO,true
RASAL3,true
feat,true
IL6R,true
DCLRE1B,true
FAM53C,true
AXIN2,true
TIPIN,true
LAS1L,true
HNRNPD,true
RHOJ,true
LNX2,true
CGNL1,true
ICK,true
WDCP,true
BCAR3,true
EEA1,true
CCDC172,true
RNF125,true
TEX11,true
CCAR1,true
PLXNB3,true
AMOTL1,true
TMEM222,true
OXSR1,true
PHF23,true
TRIM31,true
RFWD3,true
MARCH3,true
TRIM17,true
RNF152,true
MKRN1,true
ATXN7L3,true
NSG2,true
GUK1,true
NCAPD3,true
EFNA3,true
RNF144B,true
BMPR1A,true
PDGFRL,true
RNF4,true
RNF185,true
BFAR,true
UBOX5,true
ZNRF1,true
UFL1,true
CADPS2,true
RMND5B,true
SNURF,true
KLHL5,true
IRF2BP1,true
PYGM,true
TRAPPC4,true
BBX,true
RNF165,true
MARCH5,true
ARPC1B,true
ARPC3,true
ASXL1,true
KIDINS220,true
MGA,true
WNK2,true
HEATR1,true
SIMC1,true
ODF2L,true
SRD5A3,true
NUDT15,true
LY6D,true
STX12,true
ABCA12,true
SNX9,true
TNNT3,true
MYOG,true
FRZB,true
CAMSAP1,true
HIVEP2,true
ITGA2,true
CHP,true
FAM82C,true
TNKS2,true
USP13,true
TSC22D4,true
ETS1,true
REPS1,true
SOCS7,true
PIK3R3,true
COMMD1,true
CLU,true
CBR1,true
CHCHD3,true
ERP70,true
BANF1,true
SLC25A1,true
UBASH3B,true
