"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","C9","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","DEGPPI","Degree","Eccentricity","GRN","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","OG_Gene_GRN","OG_Gene_VCP","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","VCP"
"16539","false","4.05789022","0.0","false","NA","","","0.24643348","0.0","false","false","1","6","false","false","","INTS7","INTS7","48.0","1","0","false","false","false","0","0.56315854","false","0","INTS7","0","0.0","true"
"16540","false","4.09734134","0.0","false","NA","","","0.2440607","0.0","false","false","1","6","false","false","","RAB5A","RAB5A","6.0","1","0","false","false","false","0","0.55752267","false","0","RAB5A","0","0.0","true"
"16541","false","3.86320755","3.405E-4","false","NA","","","0.25885226","0.0","false","false","3","6","false","false","","RNF166","RNF166","52.5","3","0","false","false","false","1","0.59097035","false","0","RNF166","34408","0.5255102","true"
"16542","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","PIK3CB","PIK3CB","475.0","1","0","false","false","false","0","0.65627297","false","0","PIK3CB","0","0.0","true"
"16543","false","4.13765009","0.0","false","NA","","","0.24168308","0.0","false","false","1","6","false","false","","SRSF11","SRSF11","80.0","1","0","false","false","false","0","0.55176427","false","0","SRSF11","0","0.0","true"
"16544","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","KRT5","KRT5","475.0","1","0","false","false","false","0","0.65627297","false","0","KRT5","0","0.0","true"
"16545","false","3.31389365","8.8616E-4","false","NA","","","0.30175983","0.0","false","false","2","6","false","false","","ASS1","ASS1","356.5","2","0","false","false","false","0","0.66944376","false","0","ASS1","188066","0.52356406","true"
"16546","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","HEXIM1","HEXIM1","283.0","1","0","false","false","false","0","0.61179858","false","0","HEXIM1","0","0.0","true"
"16547","false","4.09691252","0.0","false","NA","","","0.24408625","0.0","false","false","1","6","false","false","","FKBP10","FKBP10","13.0","1","0","false","false","false","0","0.55758393","false","0","FKBP10","0","0.0","true"
"16548","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","BMP2K","BMP2K","283.0","1","0","false","false","false","0","0.61179858","false","0","BMP2K","0","0.0","true"
"16549","false","3.38121784","0.0","false","NA","","","0.29575143","1.0","false","false","2","6","false","false","","IRS2","IRS2","280.5","2","0","false","false","false","0","0.65982602","false","0","IRS2","0","0.52725564","true"
"16550","false","3.93996569","0.0","false","NA","","","0.25380932","0.0","false","false","1","6","false","false","","FNBP1","FNBP1","54.0","1","0","false","false","false","0","0.5800049","false","0","FNBP1","0","0.0","true"
