"Gene.symbol","Cell.type","SUID","name","selected","DEG","ALSOD"
"A1BG",NA,39883,"A1BG","false",FALSE,FALSE
"A2M",NA,41528,"A2M","false",FALSE,FALSE
"AAAS",NA,43413,"AAAS","false",FALSE,FALSE
"AASDHPPT",NA,45220,"AASDHPPT","false",FALSE,FALSE
"ABCA5",NA,42076,"ABCA5","false",FALSE,FALSE
"ABCB8",NA,42836,"ABCB8","false",FALSE,FALSE
"ABCD3",NA,45286,"ABCD3","false",FALSE,FALSE
"ABI1",NA,40586,"ABI1","false",TRUE,FALSE
"ABI2",NA,42190,"ABI2","false",FALSE,FALSE
"ABL1",NA,38442,"ABL1","false",TRUE,FALSE
"ABTB2",NA,41324,"ABTB2","false",FALSE,FALSE
"ACAD9",NA,38809,"ACAD9","false",FALSE,FALSE
"ACAN",NA,43030,"ACAN","false",FALSE,FALSE
"ACAT1",NA,41523,"ACAT1","false",FALSE,FALSE
"ACAT2",NA,45009,"ACAT2","false",FALSE,FALSE
"ACF",NA,39995,"ACF","false",FALSE,FALSE
"ACOT7",NA,40472,"ACOT7","false",FALSE,FALSE
"ACOT8",NA,44479,"ACOT8","false",FALSE,FALSE
"ACTA1",NA,41773,"ACTA1","false",FALSE,FALSE
"ACTB",NA,41831,"ACTB","false",FALSE,FALSE
"ACTG1",NA,42721,"ACTG1","false",FALSE,FALSE
"ACTN1",NA,42365,"ACTN1","false",FALSE,FALSE
"ACTN2",NA,38511,"ACTN2","false",FALSE,FALSE
"ACTN3",NA,39893,"ACTN3","false",FALSE,FALSE
"ACTR1A",NA,44984,"ACTR1A","false",FALSE,FALSE
"ACTR2",NA,42686,"ACTR2","false",FALSE,FALSE
"ACTR3",NA,40715,"ACTR3","false",FALSE,FALSE
"ADAM15",NA,43443,"ADAM15","false",FALSE,FALSE
"ADAM9",NA,42819,"ADAM9","false",FALSE,FALSE
"ADAMTS1",NA,38925,"ADAMTS1","false",TRUE,FALSE
"ADAMTSL4",NA,45636,"ADAMTSL4","false",FALSE,FALSE
"ADCY7",NA,39327,"ADCY7","false",FALSE,FALSE
"ADD1",NA,42579,"ADD1","false",FALSE,FALSE
"ADNP",NA,37928,"ADNP","false",TRUE,FALSE
"ADRA1A",NA,43918,"ADRA1A","false",FALSE,FALSE
"ADRA1B",NA,44006,"ADRA1B","false",FALSE,FALSE
"ADRA2A",NA,38135,"ADRA2A","false",FALSE,FALSE
"ADRA2B",NA,40972,"ADRA2B","false",FALSE,FALSE
"ADRA2C",NA,40719,"ADRA2C","false",FALSE,FALSE
"ADSL",NA,40233,"ADSL","false",FALSE,FALSE
"ADSS",NA,45061,"ADSS","false",FALSE,FALSE
"AFDN",NA,42738,"AFDN","false",FALSE,FALSE
"AFP",NA,45161,"AFP","false",FALSE,FALSE
"AGO3",NA,39181,"AGO3","false",TRUE,FALSE
"AGPAT4",NA,44669,"AGPAT4","false",FALSE,FALSE
"AGR2",NA,43089,"AGR2","false",FALSE,FALSE
"AGTRAP",NA,45252,"AGTRAP","false",FALSE,FALSE
"AGXT2",NA,40515,"AGXT2","false",FALSE,FALSE
"AHSA1",NA,45107,"AHSA1","false",FALSE,FALSE
"AID",NA,38835,"AID","false",FALSE,FALSE
"AIFM1",NA,38109,"AIFM1","false",FALSE,FALSE
"AIMP1",NA,45519,"AIMP1","false",FALSE,FALSE
"AIRE",NA,38407,"AIRE","false",FALSE,FALSE
"AKAP12",NA,44546,"AKAP12","false",FALSE,FALSE
"AKR1B1",NA,43869,"AKR1B1","false",TRUE,FALSE
"AKR1C1",NA,37878,"AKR1C1","false",TRUE,FALSE
"AKR7A2",NA,45558,"AKR7A2","false",FALSE,FALSE
"AKT1",NA,38671,"AKT1","false",FALSE,FALSE
"ALB",NA,39590,"ALB","false",FALSE,FALSE
"ALDH7A1",NA,39010,"ALDH7A1","false",FALSE,FALSE
"ALDH9A1",NA,39235,"ALDH9A1","false",FALSE,FALSE
"ALDOA",NA,42438,"ALDOA","false",TRUE,FALSE
"ALDOB",NA,40570,"ALDOB","false",FALSE,FALSE
"ALG12",NA,39881,"ALG12","false",FALSE,FALSE
"ALG13",NA,38726,"ALG13","false",FALSE,FALSE
"ALMS1",NA,44915,"ALMS1","false",TRUE,FALSE
"ALOX5",NA,43430,"ALOX5","false",FALSE,FALSE
"ALPL",NA,39162,"ALPL","false",FALSE,FALSE
"ALPP",NA,38571,"ALPP","false",FALSE,FALSE
"AMD1",NA,43247,"AMD1","false",TRUE,FALSE
"AMFR",NA,38573,"AMFR","false",FALSE,FALSE
"ANKRD10",NA,37914,"ANKRD10","false",TRUE,FALSE
"ANKRD13",NA,45289,"ANKRD13","false",FALSE,FALSE
"ANKRD24",NA,44938,"ANKRD24","false",FALSE,FALSE
"ANKRD27",NA,41913,"ANKRD27","false",TRUE,FALSE
"ANKRD7",NA,44110,"ANKRD7","false",FALSE,FALSE
"ANP32B",NA,44381,"ANP32B","false",FALSE,FALSE
"ANXA11",NA,41192,"ANXA11","false",FALSE,FALSE
"ANXA2",NA,38904,"ANXA2","false",FALSE,FALSE
"ANXA4",NA,38536,"ANXA4","false",FALSE,FALSE
"ANXA5",NA,38665,"ANXA5","false",FALSE,FALSE
"ANXA7",NA,40218,"ANXA7","false",FALSE,FALSE
"AOPEP",NA,44675,"AOPEP","false",FALSE,FALSE
"AP2A1",NA,42627,"AP2A1","false",FALSE,FALSE
"AP2B1",NA,40362,"AP2B1","false",FALSE,FALSE
"AP2M1",NA,40372,"AP2M1","false",FALSE,FALSE
"AP3S1",NA,40474,"AP3S1","false",FALSE,FALSE
"APBB1",NA,39477,"APBB1","false",FALSE,FALSE
"APEH",NA,45573,"APEH","false",FALSE,FALSE
"APEX1",NA,43207,"APEX1","false",FALSE,TRUE
"APEX2",NA,42424,"APEX2","false",FALSE,FALSE
"APLP1",NA,37840,"APLP1","false",FALSE,FALSE
"APLP2",NA,41235,"APLP2","false",FALSE,FALSE
"APOA1",NA,40783,"APOA1","false",FALSE,FALSE
"APOA5",NA,45337,"APOA5","false",FALSE,FALSE
"APOC2",NA,42795,"APOC2","false",FALSE,FALSE
"APOM",NA,44441,"APOM","false",FALSE,FALSE
"APP",NA,39077,"APP","false",FALSE,FALSE
"APPBP2",NA,41853,"APPBP2","false",FALSE,FALSE
"APTX",NA,39827,"APTX","false",FALSE,FALSE
"ARAF",NA,45432,"ARAF","false",FALSE,FALSE
"ARAP1",NA,41941,"ARAP1","false",FALSE,FALSE
"ARF6",NA,43477,"ARF6","false",FALSE,FALSE
"ARFGEF2",NA,39051,"ARFGEF2","false",FALSE,FALSE
"ARGLU1",NA,43666,"ARGLU1","false",FALSE,FALSE
"ARHGAP17",NA,42859,"ARHGAP17","false",FALSE,FALSE
"ARHGAP24",NA,42593,"ARHGAP24","false",FALSE,FALSE
"ARHGEF7",NA,44140,"ARHGEF7","false",FALSE,FALSE
"ARID1A",NA,41201,"ARID1A","false",FALSE,FALSE
"ARID1B",NA,43845,"ARID1B","false",FALSE,FALSE
"ARID4A",NA,45659,"ARID4A","false",FALSE,FALSE
"ARIH2",NA,44758,"ARIH2","false",FALSE,FALSE
"ARL1",NA,44034,"ARL1","false",FALSE,FALSE
"ARL6IP1",NA,43652,"ARL6IP1","false",FALSE,FALSE
"ARMC1",NA,38011,"ARMC1","false",TRUE,FALSE
"ARMC7",NA,43082,"ARMC7","false",FALSE,FALSE
"ARNT2",NA,39497,"ARNT2","false",FALSE,FALSE
"ARPC2",NA,45491,"ARPC2","false",FALSE,FALSE
"ARRB1",NA,38026,"ARRB1","false",FALSE,FALSE
"ARRB2",NA,37911,"ARRB2","false",FALSE,FALSE
"ARRDC3",NA,44130,"ARRDC3","false",FALSE,FALSE
"ASAP2",NA,44582,"ASAP2","false",FALSE,FALSE
"ASB12",NA,41312,"ASB12","false",FALSE,FALSE
"ASB17",NA,37961,"ASB17","false",FALSE,FALSE
"ASB18",NA,41961,"ASB18","false",FALSE,FALSE
"ASB3",NA,40886,"ASB3","false",FALSE,FALSE
"ASB4",NA,39793,"ASB4","false",FALSE,FALSE
"ASB8",NA,38369,"ASB8","false",FALSE,FALSE
"ASCC2",NA,45357,"ASCC2","false",FALSE,FALSE
"ASF1B",NA,44218,"ASF1B","false",FALSE,FALSE
"ASH2L",NA,40943,"ASH2L","false",FALSE,FALSE
"ASL",NA,39430,"ASL","false",FALSE,FALSE
"ASXL2",NA,39858,"ASXL2","false",TRUE,FALSE
"ATAD3A",NA,39836,"ATAD3A","false",FALSE,FALSE
"ATAD5",NA,38414,"ATAD5","false",FALSE,FALSE
"ATF2",NA,38177,"ATF2","false",FALSE,FALSE
"ATF7IP",NA,43726,"ATF7IP","false",TRUE,FALSE
"ATG12",NA,45031,"ATG12","false",FALSE,FALSE
"ATG4B",NA,39471,"ATG4B","false",FALSE,FALSE
"ATG9A",NA,44227,"ATG9A","false",FALSE,FALSE
"ATM",NA,41948,"ATM","false",TRUE,FALSE
"ATN1",NA,38302,"ATN1","false",FALSE,FALSE
"ATP4A",NA,38544,"ATP4A","false",FALSE,FALSE
"ATP5C1",NA,38728,"ATP5C1","false",FALSE,FALSE
"ATP5J2",NA,42947,"ATP5J2","false",FALSE,FALSE
"ATP5L",NA,45451,"ATP5L","false",FALSE,FALSE
"ATP6V0D2",NA,44176,"ATP6V0D2","false",FALSE,FALSE
"ATP6V1A",NA,45273,"ATP6V1A","false",FALSE,FALSE
"ATP6V1B1",NA,42011,"ATP6V1B1","false",FALSE,FALSE
"ATP6V1B2",NA,40073,"ATP6V1B2","false",FALSE,FALSE
"ATP6V1E1",NA,42439,"ATP6V1E1","false",FALSE,FALSE
"ATP6V1F",NA,39380,"ATP6V1F","false",FALSE,FALSE
"ATP6V1H",NA,41783,"ATP6V1H","false",FALSE,FALSE
"ATP8B1",NA,44020,"ATP8B1","false",TRUE,FALSE
"ATPAF2",NA,41766,"ATPAF2","false",FALSE,FALSE
"ATRAID",NA,42949,"ATRAID","false",FALSE,FALSE
"ATRX",NA,43036,"ATRX","false",FALSE,FALSE
"ATXN1",NA,40400,"ATXN1","false",FALSE,FALSE
"ATXN1L",NA,40465,"ATXN1L","false",FALSE,FALSE
"ATXN7",NA,43304,"ATXN7","false",FALSE,FALSE
"AUH",NA,41429,"AUH","false",TRUE,FALSE
"AXIN1",NA,39227,"AXIN1","false",FALSE,FALSE
"B2M",NA,37802,"B2M","false",FALSE,FALSE
"B4GALT3",NA,43557,"B4GALT3","false",FALSE,FALSE
"BAAT",NA,44383,"BAAT","false",FALSE,FALSE
"BAG3",NA,39737,"BAG3","false",FALSE,FALSE
"BAG6",NA,42389,"BAG6","false",FALSE,FALSE
"BAIAP2",NA,42227,"BAIAP2","false",FALSE,FALSE
"BAIAP2L1",NA,42274,"BAIAP2L1","false",FALSE,FALSE
"BAK1",NA,37835,"BAK1","false",FALSE,FALSE
"BANF1",NA,45472,"BANF1","false",FALSE,FALSE
"BAP1",NA,41895,"BAP1","false",FALSE,FALSE
"BARD1",NA,39511,"BARD1","false",FALSE,FALSE
"BARHL2",NA,44653,"BARHL2","false",FALSE,FALSE
"BATF2",NA,41751,"BATF2","false",FALSE,FALSE
