SrNo	V1	V2
546	A0A090N7X8	Q9HD26
547	A0A024R5N5	P61981
548	P38398	Q15648
549	A0A024R758	Q9H9D4
550	Q15691	Q7Z460
551	O14490	P63167
552	A0A024R244	P15311
553	P15018	P40189
554	N0E4C7	P38398
555	P14859	P38398
556	A0A024RB77	P38398
557	A0A024R274	P38398
558	P23511	P38398
559	P38398	Q99759
560	A0A024RBB6	P38398
561	A0A024R7I0	P49795
562	A0A024R5Z3	Q9P206
563	Q01780	Q96BC0
564	Q01780	Q96CU9
565	P01909	Q5Y7D3
566	P00533	Q6N089
567	K9JA46	Q96KM6
568	Q86U86	Q96KM6
569	P49023	P63261
570	P53680	P63010
571	A0A024RCR3	Q8NB16
572	P14866	P61978
573	P61978	Q15424
574	P26358	Q9Y6K1
575	O14503	P40763
576	A0A024R219	Q9Y6K9
577	A0A024R9E4	Q16890
578	A0A024R9E4	O43399
579	P52798	Q6UWM0
580	P17098	P24385
581	O14867	O75444
582	P30481	P61769
583	O14867	P17544
584	P08709	P13726
585	Q8TBK9	Q99623
586	A0A024RCL8	B2R4R0
587	P55197	Q8TEK3
588	Q13564	Q13625
589	P02686	Q05513
590	Q02447	Q9P0U3
591	P61769	Q6DU44
592	P49023	Q71U36
593	O15083	Q13136
594	A0A024R1E5	Q16566
595	P18206	P98179
596	Q06455	Q13547
597	P24666	P54762
598	A0A024R1J8	Q15633
599	P10747	Q08881
600	A0A024R6A3	Q16623
601	P04278	P54819
602	P17676	Q15744
603	A0A024R5P0	P52565
604	P17676	Q9NR55
605	P17544	P17676
606	P34969	Q96D09
607	Q92831	Q9Y6Q9
608	Q12982	Q7Z465
609	A0A024R5T1	Q09472
610	A0A024R5Z0	Q09472
611	Q09472	Q15796
612	P0CG47	Q9UDY8
613	O94763	Q9UBK9
614	A0A024R0M6	A0A024R178
615	Q96BA8	Q9NR55
616	Q9BWF2	Q9NQC7
617	A0A024R4C3	Q13526
618	Q13526	Q99640
619	P28702	Q9Y6Q9
620	P19174	Q08881
621	O43889	Q8TEY5
622	Q68CJ9	Q8TEY5
623	A0A024R2U4	O60934
624	E5KS60	P22557
625	O14867	P18846
626	A0A024R241	P18846
627	Q08117	Q9Y3E5
628	Q01780	Q96AT9
629	O75112	Q9NP98
630	P14859	P23511
631	P62330	Q92538
632	Q14511	Q9UM11
633	Q8IUC8	Q96BC0
634	Q01780	Q13901
635	P05412	Q16534
636	P35638	Q16534
637	P53567	Q16534
638	Q16534	Q9NR55
639	Q16520	Q16534
640	Q10587	Q16534
641	A0A024R4T4	Q8TBC4
642	O60610	Q13563
643	O60610	P49450
644	P18206	Q96Q36
645	A0A024R8M9	Q13472
646	P06748	P29353
647	P01892	P27797
648	P38398	Q16254
649	P38398	P52701
650	P38398	Q16576
651	P14635	P38398
652	P0CG47	P38398
653	P38398	Q06609
654	A7E2E1	P38398
655	E5KP27	P27694
656	O75116	P02686
657	P00519	P42684
658	P06493	P38398
659	A0A024RCX5	P06493
660	A0A024RAY1	P55287
661	P18206	P61604
662	P49023	P68371
663	A0A024R0J1	P53667
664	A0A024R8X1	P17544
665	A0A024R8X1	P17275
666	P18206	Q8WVM8
667	P17693	P61769
668	P18206	P63261
669	P10242	Q09472
670	Q09472	Q13363
671	O95359	Q09472
672	P40763	Q09472
673	B2R4P9	Q09472
674	O43597	Q13191
675	P17544	Q9NR55
676	Q13191	Q99962
677	A0A024R5E6	A4QPA9
678	O14727	P55211
679	A8KAH9	Q92565
680	P11310	P13804
681	A0A024RDF3	Q9NPD3
682	O60934	P78527
683	A0A024R244	P0CG47
684	A0A024R244	P42224
685	A0A024R244	P42224
686	Q07817	Q9NQC3
687	P18206	P68371
688	O60716	P12830
689	P14678	P18206
690	P14678	Q96BC0
691	O15350	Q13526
692	P02511	Q07817
693	P06493	P30291
694	A0A024R6A5	O14641
695	O60880	Q9BZW8
696	Q06265	Q9NPD3
697	Q9NPD3	Q9NXE4
698	A0A024RCL8	P04908
699	Q96BC0	Q9NPD3
700	P05230	P11362
701	O75530	Q92800
702	P27348	P55916
703	P43403	P46108
704	A8K6K3	P98170
705	Q7Z460	Q9UPY8
706	Q9UBX3	Q9UPY8
707	P28288	Q9UBJ2
708	K7PML8	Q7L590
709	P18206	Q15233
710	P49023	Q15233
711	P61244	Q9Y6D9
712	K7PML8	Q99459
713	A0A024R9R3	O43752
714	P17676	Q16520
715	Q13563	Q9UJY5
716	A0A0A6YYA9	P05771
717	O95453	Q9H0A9
718	O14641	O75369
719	P49407	Q08499
720	P06396	P60709
721	P06396	P68133
722	A0A024RBV9	O15379
723	O14727	P55211
724	A0A024RBV9	Q16778
725	P25205	P33993
726	P05412	P17544
727	A0A090N8E9	O75530
728	Q9NWF9	Q9Y3C5
729	O60496	P20936
730	A0A024R2C0	Q06455
731	P01112	P20936
732	P17844	Q92841
733	P29466	P29466
734	A0A024R3Z2	Q14790
735	Q96SZ6	Q9NQT4
736	A0A024RDB4	Q15424
737	Q13564	Q8TBC4
738	O14745	P48048
739	F1D8Q5	Q14994
740	P29466	P29466
741	Q13439	Q9UPN3
742	Q12873	Q63HR1
743	O43559	P11362
744	A1L4K2	P05412
745	Q7L5Y6	Q8NHY2
746	Q07817	Q16799
747	P38432	Q7Z6G8
748	P05556	P26006
749	B2R6F3	P49023
750	P49716	Q9NR55
751	B2R6F3	P61978
752	P30464	P61769
753	P17301	Q08722
754	P05019	P08833
755	A0A024R1U8	P05019
756	A0A024R433	P05019
757	P05019	P24592
758	A0A024RD62	Q9UBZ9
759	P01106	Q13952
760	A0A024RBG7	Q13952
761	A0A024R1K7	P05412
762	P17301	P21926
763	P17544	P49715
764	B2R4R0	P04908
765	O75419	Q9UBD5
766	P24723	Q12802
767	P16220	Q13627
768	P16220	P25490
769	E5KTA5	O15297
770	O60880	Q9UIB8
771	P61769	Q9MY34
772	P18847	P35638
773	A0A024RCW8	Q6FG43
774	A0A024R3Z7	Q07817
775	Q03933	Q9BPX3
776	P07948	Q13094
777	Q14565	Q9Y620
778	P52948	P52948
779	A0A024R4T5	O95751
780	Q06265	Q9Y3B2
781	L7RSM2	P30305
782	P56537	Q9H0D6
783	E9KL35	P56537
784	Q14687	Q5RKV6
785	P14635	Q9UM11
786	L7RT18	P42684
787	P02489	Q07817
788	A0A024R5Z3	I3VM53
789	O75528	Q8N2W9
790	P18206	P60866
791	A0A024R804	Q16236
792	Q01970	Q9NPB6
793	P01732	P61769
794	P18465	P61769
795	P30685	P61769
796	P61769	Q29637
