"Gene","C9AvgExpr","C9AdjPValue"
"RPS28",7.500226658,0.59872784
"NAPB",7.093861815,0.598759911
"USP13",1.405005663,0.600232639
"RPS16",6.207018716,0.60057079
"MAPRE2",4.162709303,0.605170985
"SRRM2",4.077322884,0.605170985
"PTMA",7.614602114,0.605170985
"SKAP2",3.561126885,0.605170985
"MAPT",5.879162275,0.605170985
"RPS19",1.483656431,0.605962913
"UBQLN1",5.300810022,0.606241073
"BCL6",1.475723854,0.606792436
"YWHAH",3.263887772,0.607038349
"LPL",2.338507087,0.608697222
"VDAC1",2.228413725,0.608805487
"GABARAPL1",2.279580095,0.610938677
"NDUFS1",4.878452153,0.610938677
"CCNL1",2.025374787,0.611802087
"KMT2C",3.509145118,0.614776618
"TTC9C",2.28463775,0.61537705
"CYB5A",2.973617827,0.61537705
"MCL1",4.455340396,0.620889479
"TTC19",2.374372199,0.628726464
"ATP5C1",5.866945253,0.628726464
"KCMF1",5.033039835,0.628726464
"ZFYVE26",1.039522295,0.629462579
"PTGER3",3.642410269,0.629462579
"MAP2K4",4.064676072,0.629630957
"PPP4R2",2.158015178,0.630408759
"GOLGA2",5.832223903,0.630694208
"SASH1",3.468336292,0.631066966
"RGS7BP",6.443995599,0.631066966
"UBE2K",2.500653095,0.631066966
"USP53",3.174024041,0.631066966
"ZBTB10",0.635168221,0.631682061
"MRPS23",2.81415895,0.631682061
"EIF2S2",2.756686471,0.631682061
"EIF2AK2",4.523360649,0.631682061
"VAMP3",3.984486036,0.635743336
"POLR2C",1.620198665,0.636888966
"MLH3",2.228720402,0.636888966
"BTBD1",6.040154165,0.637435348
"NEDD9",1.025342976,0.639533163
"LAMP1",9.082300275,0.642964678
"FH",4.679494428,0.643010986
"NUDT21",1.67706502,0.644399216
"HSPH1",5.646321126,0.644399216
"RQCD1",3.433851406,0.644399216
"NCKIPSD",3.870025495,0.644591991
"TIPRL",4.054749142,0.644591991
"S100A8",1.204844282,0.644591991
"PREX1",2.411182062,0.644591991
"TRAF5",1.728049091,0.644591991
"MLF2",3.565435164,0.646837578
"LDHA",8.380833548,0.646837578
"MED16",1.233350213,0.647608868
"GNAL",1.462705806,0.650019215
"GTF3C1",4.232149837,0.650019215
"DDX21",2.001813193,0.650019215
"NCK1",4.88616058,0.650019215
"RPS23",7.103330135,0.650939881
"PHYKPL",2.191491867,0.652209385
"CBX3",5.087479662,0.654916165
"CFL2",6.29452381,0.655609622
"FAF1",4.075774881,0.656050414
"CAND1",1.04517813,0.656772999
"RPL18",2.758032902,0.657316028
"TUBA4A",6.605303526,0.657316028
"BCL2",2.19293556,0.657316028
"PSAP",7.267785131,0.658006097
"RBBP8",1.803577689,0.658006097
"PRKAR2A",5.042411522,0.658469876
"NCOR2",5.866217189,0.658469876
"CLP1",1.718198666,0.658469876
"ALOX5",1.775555364,0.658469876
"CYFIP2",4.509820936,0.658469876
"MACF1",5.962755892,0.661895653
"EEF1D",6.897385155,0.661895653
"BTG1",2.161798546,0.661895653
"GIT1",3.541134386,0.662790649
"BBS10",0.753142363,0.664573727
"PLAT",3.640320327,0.666379306
"CHGB",2.996181412,0.666402064
"PPM1B",3.464932404,0.666402064
"CSK",4.162431388,0.669149629
"APEX1",4.874183939,0.669149629
"NDRG1",3.978569073,0.669808253
"CAMKK2",3.316052472,0.67385685
"PACSIN2",3.405488769,0.674677882
"SNAP25",8.595478206,0.677042018
"SERINC1",5.438401981,0.677444282
"ATP6V1A",7.571998899,0.678242643
"TRAK1",2.970203973,0.678478107
"TERF1",2.693348213,0.678838336
"RPL32",7.568754584,0.679295477
"TAX1BP1",2.051290511,0.679295477
"COMMD8",2.684048624,0.679518778
"KCNE4",0.833783439,0.679699787
"SLC38A2",8.053573353,0.681520797
"RPL6",3.175858416,0.681520797
"UTP14A",1.861493927,0.682098142
"PHF3",2.151432416,0.682469518
"PDE4DIP",1.746790249,0.682483751
"GTF3C3",2.40965124,0.682483751
"HDAC4",1.621676285,0.684693596
"HUS1",2.189652318,0.68507544
"CYCS",7.335691012,0.685193292
"PTP4A3",1.643047979,0.688196353
"GRB2",4.872955432,0.690407954
"LAMP2",3.702114942,0.690407954
"PFN2",5.595279873,0.690407954
"GNG4",2.156466577,0.691088515
"REPS1",3.372336883,0.691088515
"SP1",0.692171938,0.691088515
"TIA1",2.400289217,0.691088515
"STRN",2.066402475,0.691088515
"HCLS1",0.123006399,0.691088515
"NIPSNAP3A",3.407301294,0.693894714
"PCNA",1.42828824,0.695909255
"MT2A",8.637772277,0.696350144
"CNOT1",3.043336443,0.696350144
"LIMK2",1.301135649,0.697003065
"PSPH",0.90987329,0.69704071
"MORF4L1",7.774103568,0.69704071
"VAMP4",0.326756913,0.69704071
"COPS6",3.117130011,0.697493851
"GPNMB",2.359756025,0.697493851
"MED28",0.322334153,0.697925646
"DCP2",3.005911607,0.699803889
"PABPC1",5.955392368,0.700455573
"SMC5",0.191409367,0.700455573
"MYBPC1",3.010532583,0.700455573
"FKBP3",6.352827467,0.700455573
"PLAA",1.712091631,0.701531629
"STAT3",4.705146819,0.704146431
"TCF4",0.787598613,0.704146431
"FBXW7",1.622338669,0.704146431
"PHLDA1",1.337679626,0.704146431
"FBXO6",0.955711844,0.704219961
"AMD1",0.58444359,0.704464395
"PHLPP2",2.522632742,0.704464395
"DEDD2",4.465288963,0.704464395
"GSPT1",3.667546327,0.704464395
"RNF168",3.688023857,0.704464395
"EPS8",0.779297978,0.705896677
"AKAP12",3.678824653,0.708931815
"UTRN",4.781473575,0.709286236
"KAT2B",1.173789398,0.709631786
"SNAP23",0.857604313,0.709631786
"XRN1",2.254856933,0.709631786
"PHB",1.098685213,0.709631786
"POLR1C",2.797698546,0.711496002
"ZNF260",1.912531575,0.711496002
"YEATS2",1.592584306,0.711496002
"ZCCHC17",3.003403966,0.711529681
"HES1",1.237829727,0.71498528
"IMMT",3.506244459,0.717185416
"PHYH",5.07064222,0.717254437
"TGFB1I1",1.505436624,0.719830665
"TBC1D2B",1.753918301,0.719830665
"NSMAF",2.863092185,0.719912173
"HMGB1",7.500042769,0.719930938
"PCDH17",4.035363839,0.719930938
"KCTD12",1.342264828,0.719930938
"GOT2",5.896526669,0.720156452
"NAP1L4",3.854165216,0.720197917
"DZIP3",2.886650821,0.720339913
"CBX5",2.024378919,0.721429988
"TMCO1",3.331639476,0.723342815
"MADD",3.719947123,0.723342815
"GAS2L1",3.04990288,0.723414087
"VAPA",8.249676605,0.723414087
"SRSF1",5.081262848,0.723414087
"LTV1",1.192335833,0.723414087
"RPS9",3.980726663,0.723414087
"DCAF7",3.337719011,0.725210736
"EPAS1",3.853095299,0.725269338
"PSMD12",3.611246234,0.725564725
"GFPT1",0.667752525,0.725564725
"CYB5B",2.403567875,0.725564725
"A2M",3.762354158,0.725739842
"KIAA0368",1.627758785,0.726268502
"NONO",5.411034943,0.727049333
"RNF14",0.519638315,0.728092049
"BNIP3",7.824632057,0.728708923
"MITF",1.559309616,0.728708923
"SNX3",6.894251411,0.728708923
"HECW2",2.782983231,0.729501952
"RIMS1",2.729472734,0.729731297
"RBBP4",2.694530249,0.729731297
"SOCS7",1.796462601,0.729731297
"ROCK1",1.650335418,0.729731297
"L3MBTL1",1.746335702,0.729731297
"AASDHPPT",2.34779341,0.729731297
"SNRNP70",2.919707,0.729731297
"CTSZ",3.356873612,0.729731297
"MAGI1",3.768624791,0.730050191
"HNRNPH1",6.073111845,0.730324196
"MCMBP",1.187497238,0.730787863
"MFN1",1.165668289,0.730818786
"TDRD7",1.61769248,0.731081796
"ACTN1",3.602597796,0.731081796
"EIF5A2",5.402014044,0.731081796
"ADD2",7.032592055,0.731081796
"LRBA",0.955324127,0.731610488
"TNKS2",2.468403591,0.731610488
"HIPK2",2.793467994,0.731610488
"TXNDC9",4.419530489,0.73171792
"ACSL6",4.092899548,0.73171792
"PSMB4",7.1502176,0.73171792
"TLE3",1.135713778,0.73171792
"TNIP1",4.767948607,0.73171792
"SRI",0.609350498,0.73171792
"ETS1",1.438808843,0.73171792
"DNTTIP2",5.301917537,0.73171792
"TMEM30A",6.697527086,0.73171792
"PRKCI",4.444856458,0.73171792
"SFN",3.544101731,0.73171792
"NARS",7.820557173,0.73171792
"RPL12",5.236195344,0.73171792
"RGS2",5.600680708,0.73171792
"ZNF292",1.370753501,0.73171792
"CTTN",3.378423117,0.73171792
"PHC3",4.063647578,0.73171792
"HNRNPA0",1.034722982,0.73171792
"ZBED1",2.602712508,0.733093365
"CHCHD3",3.623151127,0.733751939
"HNRNPM",2.04191684,0.736399875
"NNT",3.114995252,0.736399875
"KIAA1191",6.318983605,0.736399875
"APLP2",1.168225343,0.736399875
"SULT1A1",3.365448797,0.736399875
"MLH1",1.651662967,0.736458088
"SFPQ",5.312319699,0.738444733
"LAPTM5",1.394706461,0.738577244
"PCP4",4.993340423,0.738672206
"ING4",2.946339461,0.738672206
"SIK3",5.548044899,0.738672206
"ARPC2",7.401603303,0.738672206
"UBE2N",3.506155508,0.738672206
"VDAC3",10.42093759,0.738672206
"PKN2",0.87819441,0.738672206
"RPS6",2.142003572,0.738672206
"FRK",0.267669885,0.740805604
"HSPE1",3.408624288,0.740805604
"POLD3",1.151441775,0.741122377
"CEP70",0.236335164,0.741122377
"PRDX2",0.859813264,0.743932416
"RASSF5",3.399919854,0.744385537
"SIAH1",3.684018383,0.744391229
"CREB1",0.500760791,0.744391229
"RPL22",2.661247853,0.745829849
"FEZ1",1.962738896,0.747359945
"ARF6",1.659301287,0.748243068
"TRIM3",1.949695741,0.748512098
"RPS15A",2.134944863,0.748512098
"KAT2A",2.974022529,0.748568713
"PNISR",3.889681231,0.749199929
"COPS5",4.119385962,0.749199929
"ZNF573",0.684085757,0.749199929
"KLHL22",3.029026339,0.74945376
"ADSS",2.567214363,0.74945376
"ALDH9A1",5.240612918,0.750304823
"SOS1",2.872197272,0.750639965
"ACAT1",2.57826968,0.750639965
"RAB15",5.387668292,0.750639965
"VDAC2",5.242800231,0.750639965
"SSX2IP",2.258798724,0.750639965
"PGK1",5.023101586,0.750639965
"SFXN1",4.660620091,0.750639965
"GNG5",4.035493094,0.750834953
"ATG4B",2.084272826,0.750834953
"FBXL17",5.523370626,0.751336483
"LIMK1",2.739170181,0.751336483
"DDX17",7.55676135,0.751674743
"WWP1",3.209073818,0.752403906
"HINT1",6.920980988,0.753561851
"TLN1",1.566569576,0.75380442
"CAPZA1",6.509851627,0.754070088
"PAK2",4.306485603,0.754070088
"RBM17",3.44106305,0.754070088
"FEZ2",3.324564029,0.755920116
"HIPK1",1.009355692,0.756044834
"NXT2",1.417090358,0.756629018
"ZNF12",0.42171774,0.756629018
"RND3",3.842813248,0.756629018
"RPH3A",3.862134682,0.756629018
"TRIM2",0.696673221,0.757146445
"PRPF40A",4.482488006,0.757590294
"LMF1",1.08859974,0.757842791
"NECAP1",4.30418322,0.758000814
"UBE2H",2.762495339,0.758458996
"SNAPC3",1.834635438,0.758458996
"GTF2B",1.665297121,0.758458996
"TAOK1",5.038685601,0.759756543
"MEGF10",3.539532715,0.760569535
"TCEAL4",6.333302849,0.761420596
"LCOR",1.593440568,0.763613252
"SPP1",9.003789931,0.763634098
"ITPR2",1.714999547,0.763671554
"PGRMC2",2.823673196,0.763671554
"ESD",7.290417237,0.763671554
"LPP",2.873587908,0.763671554
"CDH11",0.727250046,0.764505059
"UBE2I",1.850100381,0.765016346
"ZWINT",1.474958938,0.765287692
"H2AFV",4.784926317,0.765287692
"GABBR2",3.980097535,0.765287692
"SUMO1",6.333302176,0.766174931
"EPM2AIP1",5.271773137,0.766174931
"ZCCHC6",2.319400646,0.766174931
"GADD45B",4.812305013,0.766174931
"TIMELESS",1.118933411,0.766174931
"PNN",6.369398866,0.766587721
"SYNCRIP",2.515061479,0.766587721
"CDKN1A",4.03287419,0.766973819
"SAP18",2.527831274,0.767141344
"PSMB1",6.951896127,0.767141344
"IMPDH1",3.639255573,0.767141344
"TOM1L2",4.196181704,0.767141344
"GOT1",3.721216897,0.767909436
"DCUN1D1",2.786248299,0.769703671
"SMARCE1",3.171861648,0.769703671
"MCC",3.962669392,0.770753477
"IK",2.895255727,0.771118065
"AUTS2",1.609553924,0.771118065
"NGB",2.878496663,0.771118065
"ARMC7",2.752851884,0.772179885
"RABIF",3.247543224,0.772179885
"MAML1",1.603182167,0.772532528
"MFAP1",3.397915396,0.772532528
"ZC3H15",5.873115545,0.772532528
"PMPCB",5.203208024,0.772532528
"PUM2",2.646047581,0.772532528
"RPA2",2.766952033,0.772665008
"EPHB6",1.389036561,0.773278367
"THUMPD1",2.97949627,0.774219822
"FMR1",4.932221082,0.774405884
"UBE2L3",1.795279693,0.776547028
"DAZAP2",3.547351983,0.776547028
"ARL6IP5",2.523071065,0.776672775
"TIMP2",6.252507683,0.778146343
"SMAD4",2.316441034,0.778146343
"PPP6C",6.268470125,0.778146343
"ANXA5",4.232212761,0.7783706
"NFIA",6.559089844,0.7783706
"PRPS1",4.022574255,0.7783706
"NCOA2",4.234887972,0.7783706
"RRP1B",3.111142277,0.7783706
"NRG1",1.534756407,0.7783706
"L1CAM",6.713732438,0.7783706
"CD24",5.418627706,0.7783706
"CANX",1.891559676,0.778873002
"RPS6KA2",2.887994522,0.779083566
"GIGYF2",1.719805298,0.779083566
"YTHDF1",3.983419681,0.779083566
"TBK1",2.058911034,0.779083566
"CCNC",3.073730992,0.779083566
"NCKAP1",5.198315662,0.779083566
"CDKN2C",1.883867273,0.779759136
"JUN",5.302434823,0.780259077
"GOLGA7",2.716594734,0.780392098
"RAD17",1.194773377,0.781594484
"PAG1",0.419457165,0.781594484
"GSK3B",3.784267441,0.782238046
"GADD45A",2.635105859,0.782477779
"SEC24A",3.590707034,0.782621574
"COPS8",0.975682093,0.783149945
"IPO8",3.137823902,0.783959115
"GRB10",3.37262402,0.783959115
"BTBD2",0.954452406,0.783959115
"PALLD",2.407402038,0.78523758
"PTPRS",5.274534178,0.785442312
"KMT2E",0.380331692,0.785667727
"UQCRC2",5.168957117,0.785768292
"DLAT",2.39404375,0.78626301
"SMAD1",3.339584731,0.78626301
"PGAM1",7.959899366,0.78626301
"SMAD2",3.287968728,0.78626301
"HMOX2",2.019884276,0.78626301
"SNCA",2.783127067,0.786555776
"GNB5",3.441553837,0.786838104
"QKI",5.800394552,0.787321744
"VPS45",3.20335691,0.788056646
"TUBA1B",9.167706635,0.78845586
"CPSF7",2.544560948,0.78845586
"ZBTB5",2.600645354,0.78845586
"UBE2D1",4.964937205,0.78845586
"PLCB4",1.311241154,0.78845586
"MAP7",4.695946509,0.789150638
"RAP1A",3.542969744,0.789150638
"STX16",2.970522968,0.789150638
"EFEMP1",0.989091623,0.791164418
"PA2G4",3.968989974,0.791164418
"RAC1",0.111348321,0.791164418
"FYN",1.87152427,0.791164418
"COPS7A",2.585762388,0.791164418
"PCBP1",2.887454708,0.791164418
"SAT1",4.942627364,0.791164418
"IVNS1ABP",2.41332521,0.791164418
"RTCA",1.43091263,0.791164418
"RGS4",5.770093217,0.791164418
"EDRF1",1.463770199,0.791164418
"KLHL13",3.046121844,0.791164418
"CEBPZ",2.48253148,0.791401417
"UBE2D3",1.300776964,0.79167502
"SF3A2",3.199105253,0.79167502
"HSPA4",5.247327952,0.791839765
"RECK",1.173589364,0.793039094
"ATXN1L",4.771660441,0.793039094
"MAPK6",6.349779841,0.79379889
"ATG12",2.653107643,0.794089371
"PRDX3",5.408010098,0.795282644
"TBC1D4",2.706794862,0.79530806
"NMB",3.561289193,0.795667739
"SAFB",1.685207914,0.796094964
"LAMTOR3",2.299097785,0.798058519
"PSMA1",3.734013925,0.798783933
"PPFIA1",4.007334992,0.799456045
"ERH",6.311074467,0.799555169
"LCP2",1.148900163,0.800370352
"CUL5",5.053633494,0.802992638
"HOXB5",2.796437562,0.802992638
"SVIP",2.017901706,0.803183151
"AKR7A2",5.691555744,0.803183151
"PPP2CA",5.833864801,0.803448273
"TRIT1",1.477857849,0.80358444
"STAU1",5.251241677,0.805121195
"CDC42BPB",1.816561436,0.805798129
"TBCA",6.937076358,0.807254862
"GNA13",2.046675177,0.80847385
"ITSN1",3.260787446,0.80884153
"PRKAB2",3.828666083,0.80884153
"IKBKB",1.324736117,0.808845463
"HUWE1",7.588241831,0.80941065
"ANXA2",7.957818819,0.80941065
"SPEN",2.827465501,0.80941065
"XPOT",4.145058825,0.80941065
"CLDN1",0.957674375,0.809472371
"RASD1",4.658025757,0.810717668
"DDX20",0.66564946,0.810717668
"TFRC",7.443637816,0.810826019
"RAB3A",5.764098419,0.810871785
"PEX19",2.135121287,0.811519934
"TRIM32",2.845528309,0.812189799
"BNIP3L",5.495761325,0.812488816
"ARHGAP17",2.82516165,0.812488816
"SAT2",3.76832453,0.812488816
"TUBG1",1.793695465,0.812488816
"HSPD1",7.849205976,0.812488816
"CMTM6",1.124067513,0.812488816
"SDHA",4.683119757,0.812706079
"CDC42",3.163081089,0.812754461
"SRSF4",1.870853651,0.812754461
"DYSF",5.804169646,0.812754461
"TARDBP",3.788032207,0.812754461
"EVL",4.201787853,0.814962988
"CD55",1.65112698,0.814962988
"KTN1",6.169593916,0.814962988
"POGLUT1",2.631318773,0.814962988
"ZMPSTE24",3.665977669,0.814962988
"PRMT2",3.274130466,0.815511182
"HCFC2",1.074857992,0.816158652
"GGH",2.384469306,0.817646602
"PDCD10",2.888377436,0.817915763
"RPL15",5.700824195,0.818121613
"UBC",6.89151868,0.818243244
"GULP1",0.680447733,0.818243244
"EIF2S3",2.251170103,0.819765387
"GABRB2",4.63118236,0.820173862
"ICE1",3.447554612,0.820173862
"SKP1",7.921167696,0.820173862
"DERL1",1.526317629,0.820579455
"PSMD6",3.951114662,0.820579455
"BTF3",7.149409897,0.820579455
"RAB1B",4.445255359,0.820579455
"PCSK5",1.26599891,0.820579455
"NUP43",3.463640902,0.820579455
"SPAG1",1.281329557,0.820579455
"CLTC",7.571167253,0.820579455
"HINT3",1.419918679,0.820579455
"PRPSAP1",3.90957836,0.821354548
"FRA10AC1",4.922762576,0.821354548
"TCF25",3.08879349,0.821354548
"SCAF11",1.297595125,0.821354548
"DDX1",4.672386562,0.822268171
"RAN",2.30656316,0.822268171
"TARS",1.016669,0.822306171
"RPL35",2.568856568,0.822306171
"KPNB1",4.098918468,0.822306171
"PAFAH1B1",5.724428459,0.822306171
"NAA15",0.247947193,0.822306171
"TRIP11",0.658028812,0.822902822
"RUVBL2",6.694965899,0.822902822
"TRIP13",1.49855328,0.823909232
"NAIP",0.881213589,0.824055999
"KIF1B",3.499090214,0.824055999
"CLNS1A",3.877686867,0.824055999
"PPP2R2B",6.529512833,0.824090252
"RAB27A",0.465707,0.824212821
"HNRNPA1",4.369055832,0.824876848
"ARMC1",4.354245469,0.824876848
"NXN",2.652446681,0.824876848
"C1QBP",5.107430639,0.825200271
"USP11",5.229052615,0.825200271
"FCER1G",1.430364014,0.825200271
"HNRNPL",4.267564004,0.825200271
"TECPR1",4.369147915,0.825200271
"SS18",0.303666908,0.825200271
"GNAQ",3.830010048,0.825200271
"SSR3",2.765063966,0.825200271
"MYH10",6.638785816,0.825200271
"PIBF1",0.530364107,0.825200271
"WASF1",6.065252138,0.825200271
"DCTN2",6.462848667,0.825200271
"RANBP2",3.492131688,0.825959222
"PDE4B",1.733251508,0.826156718
"FUNDC1",4.675341531,0.826156718
"EXOSC8",1.281915469,0.826208404
"NMT1",2.125123945,0.826433901
"PRDM10",0.891631788,0.826666071
"EPRS",5.055768443,0.826666071
"AKAP6",2.542258896,0.826908301
"PARD6A",2.417142407,0.826908301
"DACH1",1.155331569,0.826995465
"TDG",1.24408075,0.827156431
"B2M",2.178907034,0.827156431
"COPS2",5.019494438,0.827358195
"IL17RA",3.050952,0.827437291
"SNAP91",6.014718221,0.827507783
"HLA-B",3.852225701,0.828552121
"PAICS",3.141449678,0.828895476
"EFHC1",1.611383527,0.82890082
"GCH1",1.079177493,0.829400312
"AHCY",2.376469823,0.830059599
"MCTS1",1.821527326,0.830295315
"USP20",1.863116338,0.830295315
"CXCL14",1.603471178,0.830295315
"ZFC3H1",1.871491071,0.830321463
"VAMP2",1.790008751,0.830444855
"CTTNBP2NL",1.549979847,0.83070203
"CDK12",0.781316539,0.830971129
"ILF3",0.57459102,0.830971129
"RIMBP2",4.034194305,0.831012805
"RPS14",4.248105328,0.831239091
"PCED1A",2.999763747,0.831839025
"MYOT",0.306982344,0.831839025
"TRIM16",0.764586781,0.831839025
"NLK",4.940138208,0.83194099
"PRKDC",1.941297643,0.832162071
"HSP90AA1",4.560379203,0.832493034
"NOL4",2.151547615,0.832776958
"FOXO3",1.593822156,0.832925656
"FANCC",1.60189358,0.833311757
"YWHAB",5.132519062,0.833689526
"AGFG1",0.923626669,0.833689526
"SMARCA1",4.264412504,0.833689526
"MSH3",0.649907007,0.833689526
"MAP2K1",2.41847624,0.834279498
"PDIA3",3.584682007,0.834329125
"WDR11",4.582417097,0.834329125
"TIMM13",3.725635988,0.834329125
"ANXA7",5.743210308,0.835264718
"MTHFD1",2.912285268,0.835264718
"SPOP",2.744752178,0.835264718
"ACTB",8.566707952,0.835391538
