GeneSymbol,GeneSymbol.1,INT
U2AF1,ZCCHC8,PPI
RPLP1,TMEM165,PPI
PSMC5,ZCCHC8,PPI
CALU,TMEM165,PPI
TXNDC9,ZCCHC8,PPI
ZCCHC8,MICB,PPI
ANXA1,VCAM1,PPI
ANXA1,ANXA4,PPI
TUBB,EEF1A1,PPI
SRSF10,SNU13,PPI
WDR5,HCFC2,PPI
UBD,ANXA1,PPI
ANXA1,ATP4A,PPI
CLK2,ZCCHC8,PPI
YWHAB,ZCCHC8,PPI
ANXA1,ZBTB1,PPI
RPA3,ZCCHC8,PPI
EIF3E,DYNC1LI1,PPI
GABPA,KCTD12,PPI
CNOT1,PPP6R1,PPI
RPL38,CEP57,PPI
SUMO2,RBM12,PPI
KAT6A,MEAF6,PPI
HIST1H3F,KAT6A,PPI
KMT2A,KAT6A,PPI
CEP57,FAM96B,PPI
ANXA1,SUMO3,PPI
UBXN7,ALPP,PPI
CYP2E1,AMFR,PPI
NFIA,DDX21,PPI
PSMD12,EIF3E,PPI
PLSCR1,EXD3,PPI
NFIA,ADNP,PPI
RPS17,CEP57,PPI
CSN3,EIF3E,PPI
SLC35A2,PLSCR1,PPI
ZNF638,PLSCR1,PPI
PLSCR1,PML,PPI
RGS3,PLSCR1,PPI
PLSCR1,EWSR1,PPI
PLSCR1,DAZAP2,PPI
VDAC1,MRPL58,PPI
GNAI2,PLSCR1,PPI
PLSCR1,HOXA1,PPI
PLSCR1,SHC1,PPI
PLSCR1,OGDH,PPI
UCHL1,TERF2IP,PPI
UCHL1,HSPA8,PPI
UCHL1,TRIM63,PPI
UBC,SNX11,PPI
CDK4,UCHL1,PPI
RNF2,BCLAF1,PPI
REL,KLHL40,PPI
PRKN,UCHL1,PPI
UCHL1,USP21,PPI
UCHL1,CDKN2A,PPI
OBFC2B,EEF1A1,PPI
ANXA1,USPL1,PPI
ITSN2,MAP4K3,PPI
ANXA1,SUMO2,PPI
PCNA,KMT5A,PPI
COX5A,HNRNPA0,PPI
SMC5,RABL2A,PPI
