"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_GSM764196.CEL","C_GSM764197.CEL","C_GSM764198.CEL","P_GSM764189.CEL","P_GSM764190.CEL","P_GSM764191.CEL","P_GSM764192.CEL","P_GSM764193.CEL","P_GSM764194.CEL","P_GSM764195.CEL","countP"
"CYCS",0.992274463,6.836225051,3.226268786,0.007533349,0.522212085,-2.522832848,1.989318755,49.98448617,85.26994434,82.56880305,239.1623453,234.6640681,146.5297748,121.7599715,102.3965849,111.6883668,94.14072597,10
"CBR4",0.239070768,6.581359462,3.174548756,0.008281038,0.525409251,-2.581762399,1.180232235,85.56575313,86.57436256,83.70258286,93.39081747,106.3220617,101.6282139,104.6700387,105.5737334,96.84085924,96.84098659,8
"CEP57",0.772599958,6.447017311,3.145356629,0.008735699,0.527407966,-2.615144891,1.708345712,67.79570616,54.04065596,58.87146986,132.9949146,123.3722066,169.1383971,69.62045631,75.21098934,92.76067241,87.89246012,10
"ABHD2",0.4415283,7.02830906,2.981853787,0.011788486,0.531137408,-2.803547753,1.35804219,124.1924218,103.4358592,91.05660728,193.1079023,117.2883147,126.4677313,131.1120219,147.9610765,143.9924218,153.4887742,3
"PNN",0.342594198,6.467124295,2.974903459,0.011939716,0.531137408,-2.81160423,1.268034676,85.40681951,67.18326635,73.2936177,103.9538741,104.4734588,102.5711125,76.49290574,99.19767592,91.09099558,90.71818228,10
"CALD1",0.593556989,6.550536379,2.889085451,0.0139748,0.535252306,-2.911343934,1.508962538,93.88759443,61.61369193,60.00861556,148.2260218,76.37930162,130.4565408,93.85751432,105.7924219,116.3245815,88.43399104,8
"TUBB4B",0.479746916,9.539453367,2.879773724,0.014215453,0.535252306,-2.9221929,1.394499016,689.0465853,510.8838924,582.2852335,741.8997578,754.8331287,914.1924218,826.1074979,602.3025106,1126.279534,885.4789811,10
"PLA2G16",0.467549079,9.278008455,2.845465482,0.015138274,0.535252306,-2.962204056,1.382758374,525.8907447,592.1901261,389.0027048,822.0161985,593.7799467,637.9006552,548.3346756,627.4691175,790.709456,828.6386546,10
"DDX17",0.542700095,9.325762369,2.814682624,0.016016843,0.535252306,-2.998151403,1.456696267,384.8620686,496.8638568,627.169869,621.4471478,1101.9245,729.6307594,781.7660125,607.6197624,675.1261405,616.1147156,10
"NKTR",0.518349317,7.741999703,2.760633577,0.017683553,0.540033066,-3.061359286,1.432315503,150.4477412,169.0000174,181.4549148,252.6950366,294.5498206,363.0688541,194.2924218,198.9747089,203.8924218,205.7315607,10
"SRSF11",0.494581747,8.005151616,2.715332915,0.019211893,0.543817038,-3.114405609,1.408912237,135.4053235,240.2033018,253.8056466,321.3440147,337.0179712,294.5371781,297.3523117,238.5185163,251.4839843,266.7622811,10
"HCFC2",0.533707375,6.187437516,2.701980342,0.019686772,0.543817038,-3.130050194,1.447644514,53.39706269,67.06063035,49.70931933,77.20046682,112.4645318,112.9924218,57.86132962,70.71531486,74.9260076,78.9588413,10
"RBM39",0.814007918,8.330897012,2.655548622,0.021429935,0.543817038,-3.184473121,1.75808877,211.162529,210.729947,229.4145094,536.1994516,693.4465465,544.6109853,244.2800153,310.4114302,280.2924218,272.6918556,10
"C1orf61",-0.284973883,5.320533223,-2.644398955,0.021870639,0.543817038,-3.197544884,-1.218388207,42.8094168,44.72347998,50.46558604,32.33712475,39.55001721,34.36496234,42.04027337,38.97416721,34.72263601,42.98448165,9
"TIA1",0.524395471,7.325451878,2.628161685,0.022528407,0.543817038,-3.216582245,1.438330754,117.0924218,123.3675863,133.1401296,225.5924218,213.5408163,258.8719506,160.7924218,140.2383952,129.2552656,161.1749275,10
"MOB1A",0.435869057,5.26016146,2.623310264,0.022728679,0.543817038,-3.222270373,1.352725449,34.17757651,27.04993404,32.28132731,48.82647877,41.31511671,54.70632663,32.52255859,31.81209153,45.44552888,44.13010135,9
"SF3B1",0.29584593,9.385698882,2.613372926,0.023144375,0.543817038,-3.233921519,1.227604577,535.279049,535.558196,678.7673107,795.2362052,766.6322462,752.3763718,587.1449771,667.4951005,706.5256148,725.8073899,10
"TAOK3",0.275954884,8.009891983,2.520825244,0.027391049,0.549092474,-3.342385971,1.210795219,265.3945764,219.0592061,197.1293223,314.9966064,261.9661213,282.7924218,249.3820268,245.9419901,275.967532,286.0211254,10
"NAV2",0.569085253,6.098752079,2.490563836,0.028937974,0.550390024,-3.377814236,1.483582601,64.30598892,49.05071479,44.57286372,98.09876206,111.4995673,53.69990322,54.65849471,91.96443515,68.39546849,80.51757803,10
"GLG1",0.559895129,8.687337474,2.354093466,0.037032467,0.552664793,-3.537098871,1.474162055,318.6829049,329.8072302,295.0418125,612.0051115,830.5686397,437.7549361,374.1924218,348.825018,428.303179,367.4291201,10
"RPL22",0.196226286,10.46379231,2.308421483,0.040199723,0.555451069,-3.590146796,1.145697586,1356.051441,1183.52988,1318.99658,1500.243987,1526.44444,1590.119533,1342.321501,1526.923834,1357.830821,1471.167798,10
"PNISR",0.699478593,6.487897145,2.292714979,0.041347798,0.557664416,-3.608350702,1.623917783,56.04239422,66.01090803,70.60542663,130.4928902,180.4924218,169.3196529,81.43034194,78.18061301,70.70966727,72.34836315,8
"RAP1GDS1",0.459314622,5.812397843,2.271323298,0.04296201,0.558281636,-3.633108244,1.374888497,52.69089681,47.35168749,36.44899316,87.75896957,65.23309058,79.61928194,46.23098911,46.6099659,60.40757439,58.21344389,10
"RIOK3",0.229904854,9.972418686,2.257267219,0.04405528,0.55859445,-3.649352388,1.172757603,901.411613,968.3777289,831.1629566,1228.864909,1065.687368,1153.51506,908.980109,1005.089177,1053.867555,992.2364473,10
"SOAT1",0.358611556,5.549009102,2.219065159,0.047162248,0.560193471,-3.693399229,1.282191328,43.59218821,33.2184432,42.04996695,57.9137022,50.53117266,65.69780773,52.21260235,52.51748173,42.00894277,37.52456687,10
"ZNF148",0.179751269,9.256613671,2.172952336,0.051190295,0.563374197,-3.746348523,1.132688585,544.7282018,550.4924218,587.4782801,588.2949713,597.8851975,710.8057301,655.310037,604.3825059,646.0750055,650.5118472,10
"TUG1",0.250630224,8.120895009,2.143492475,0.053931978,0.565543087,-3.780037292,1.189726719,271.170455,232.7574384,237.3088186,375.6768104,275.9695424,315.2075111,275.8924218,289.5478491,254.3182889,281.0349093,10
"PRKAR2A",-0.203300264,10.60502688,-2.123968351,0.055824749,0.567120527,-3.802299562,-1.151329089,1605.168447,1778.025758,1779.728791,1271.788057,1542.026947,1419.05242,1680.360782,1454.02888,1612.487592,1508.420302,10
"MAP2K5",0.390883006,6.960776557,2.102366244,0.057991803,0.568197599,-3.826867855,1.311195679,107.134885,109.5037988,93.2708097,152.6102759,89.84348942,127.966629,128.7133721,125.3448244,147.8366225,196.4446936,9
"PPFIBP1",-0.254994677,7.279312952,-2.071579109,0.061217171,0.570033607,-3.861760801,-1.19333134,176.3153853,175.3896369,175.7028059,148.0459695,162.1211378,180.1012049,148.2268235,111.631222,142.9621568,147.284215,10
"TNFAIP3",0.564845769,7.574998116,2.029874725,0.065854648,0.571513143,-3.908782883,1.479229364,166.0615817,109.9267921,166.9004988,399.3279771,167.6405339,235.5924218,136.7924218,169.4053781,253.7667546,224.8495862,10
"PHTF2",0.454871432,6.10716005,2.014807148,0.067609265,0.571721839,-3.925698341,1.370660651,55.83602535,64.65915177,46.79696694,72.59368778,93.67178724,113.4333782,58.93953474,47.90335,84.60677526,77.8386266,4
"BGN",0.545770453,6.202435729,1.990167136,0.070572561,0.574807085,-3.953271604,1.459799724,70.43292639,44.391175,57.71242808,115.8738661,40.18677103,81.59091325,98.13815507,78.86740588,83.76878769,105.5169446,8
"LPAR1",-0.443265407,5.397841268,-1.952547176,0.075329934,0.578555652,-3.995147166,-1.359678354,61.19827879,42.70557187,54.66742738,38.43331394,31.50560759,22.97090743,38.74182387,45.1387007,53.62524091,47.62080499,5
"IFI16",0.424624482,6.583882417,1.950317001,0.075621063,0.578748828,-3.997620821,1.342223091,84.34898889,64.13471805,87.94949152,155.2365352,79.0183125,146.6835687,77.84826243,102.3207252,102.5198933,94.39102721,10
"ANKRD40",0.302619097,6.242673219,1.933080034,0.077906454,0.58094108,-4.016705259,1.233381487,65.44612906,72.13075904,59.20884866,96.1425169,85.74807104,97.89430327,80.47828321,55.76154654,73.544686,83.26562777,10
"KLF6",0.335165445,8.042983667,1.896692424,0.082941136,0.585438501,-4.056786308,1.261522069,276.3274325,177.5293989,229.5961184,314.3152622,231.5230635,404.3747939,265.6991896,296.7996369,255.614174,243.7542665,10
"FAM46A",0.455946237,7.496333024,1.89353664,0.083391557,0.58597335,-4.060248762,1.371682171,163.4535119,129.4020193,143.3163196,337.277788,165.8166686,212.6209289,155.3924218,272.1383111,164.2209431,147.132977,10
"RPL35A",0.182309921,11.55733222,1.857322864,0.088722952,0.589829102,-4.099819021,1.134699216,2900.07552,2834.60812,2553.636527,3362.76523,2786.650599,3382.105775,2929.360856,2962.293022,2980.186745,3592.234116,10
"DMD",-0.223293956,10.46881194,-1.841687262,0.091119503,0.591173459,-4.116808512,-1.16739594,1700.785649,1442.494559,1605.734167,1555.794549,1376.582008,1609.196285,1327.179654,1376.024156,1099.843775,1198.330429,10
"G3BP1",0.527051152,3.843125977,1.835441455,0.092093185,0.592121253,-4.123578576,1.440980839,10.34333112,11.69275119,11.3482585,24.85073536,24.05010973,23.27844646,11.66685514,10.17428259,13.39843502,12.20488329,9
"FXR1",0.507346754,10.53613255,1.832641604,0.092532727,0.592620126,-4.12661033,1.421433646,995.9603544,1312.042903,1197.18117,2098.63198,2772.344743,2384.388711,1434.663287,1223.806421,1206.303982,1133.677006,10
"MCMBP",0.158901813,6.382825306,1.826025343,0.093578978,0.593445812,-4.133766882,1.116436977,76.59290574,80.45189328,74.83227739,84.03299151,94.59880847,96.25889653,77.13260095,83.98459829,83.29253982,86.01711349,10
"DCN",-0.434939139,9.592488887,-1.816847988,0.095047998,0.593445812,-4.143675553,-1.351853803,1229.942422,794.624658,886.7195285,1207.975443,591.2093002,780.2896045,581.1924218,816.0582309,494.3924218,664.1523427,10
"SRI",0.238807479,7.934930078,1.795573933,0.098533999,0.595243046,-4.166562365,1.180016865,234.9522002,216.6482487,203.3555133,260.0924218,224.8990761,332.9606319,237.1424218,217.3206985,245.9926952,301.2924218,10
"PFDN1",-0.186907138,8.277484271,-1.782702876,0.100698766,0.596534692,-4.180351957,-1.138320756,327.9924218,338.4786859,353.2431935,257.1936789,274.0790049,268.4262202,307.0924218,320.3793294,332.2496714,341.1005834,10
"SNX27",-0.215764297,7.773007135,-1.770251209,0.10283371,0.597906224,-4.193650236,-1.161318984,217.6233495,245.914091,267.6912713,183.3735005,249.2047526,200.7673403,229.9742897,197.1924218,235.9653404,178.2199182,10
"UBE2L3",0.23478958,8.114914865,1.751925787,0.106049861,0.600566687,-4.213144921,1.176735096,240.3189089,250.9659856,250.9980049,273.8457553,269.9484978,410.9382624,306.010734,275.8384741,275.7621672,250.4754097,10
"KPNA6",0.212884083,8.918413545,1.744298976,0.107414785,0.601490038,-4.221230943,1.159002825,438.7333437,421.0688076,449.7786338,541.2291613,472.9924218,669.448493,479.4557904,454.8747273,515.8191185,438.9924218,10
"PTPN13",0.197114068,3.811799226,1.744156774,0.107440383,0.601490038,-4.221381552,1.146402824,12.55873608,13.11050859,12.62478588,18.45918276,13.42747472,15.27632322,14.91171195,14.92423172,12.23827258,13.91567531,4
"PSMB2",-0.221041658,7.055925045,-1.736675828,0.108794765,0.601999166,-4.22929672,-1.165574854,140.8014668,158.5810542,145.5496393,104.9901012,135.7419503,103.6725181,138.0913843,122.370949,150.5125449,142.4418313,10
"NR2F2",-0.402922762,5.705850964,-1.710706932,0.113615573,0.606706501,-4.256648319,-1.322183817,72.98649518,54.33140894,64.46385224,47.29972212,28.69484839,77.03390921,59.76851776,42.34337037,45.02211377,49.28161464,10
"MYOF",0.544951783,6.950192788,1.704926573,0.11471421,0.606747765,-4.262709643,1.458971582,142.560954,72.76641143,82.45549735,267.2191428,91.65556821,198.984201,97.71600384,117.4863415,124.5073279,140.2881138,10
"COL1A2",0.917005163,8.706422105,1.699472239,0.115759544,0.607803274,-4.268419992,1.888191595,553.569895,187.8743771,184.4785522,1180.645565,310.7317147,784.7872309,232.4560693,239.9744131,673.706416,779.332205,10
"RBM5",0.317951167,6.59618041,1.675195221,0.120515697,0.612101516,-4.293727593,1.246558999,78.99164,95.21008164,75.80248663,122.1998128,126.7924218,137.230148,93.14013302,108.4924218,77.39287913,75.80248663,10
"MED13L",0.271979191,5.595098703,1.673462219,0.120861746,0.612101516,-4.295527265,1.207463175,39.31837199,45.28849333,42.69323224,47.45341519,64.35588811,63.02995284,38.03729244,57.29323156,52.91036604,41.27874857,10
"CCDC93",0.244931636,6.517408335,1.668993073,0.121758218,0.612101516,-4.300164044,1.185036615,89.47088379,79.43126433,75.73494077,113.7055725,84.2725955,128.2924218,86.80591571,77.26498642,95.01557728,98.71622646,10
"KCTD12",0.327664003,8.989113837,1.663352146,0.122898134,0.612897944,-4.306007667,1.254979678,434.7107609,375.2795115,499.2135865,802.4924218,567.7732241,618.4928983,416.3924218,389.3678766,598.2510536,515.6919814,10
"SCAF11",0.223005954,6.775776665,1.642688738,0.127154708,0.615681147,-4.327327727,1.167162918,94.7291746,103.0870685,97.38050156,113.7924218,158.7938022,105.0282575,124.5924218,101.2090779,112.1952977,97.72854942,8
"FAM120A",0.192103798,7.556729693,1.616859566,0.132657563,0.620701216,-4.353783803,1.142428438,158.2832708,169.6841314,187.8839851,216.1549776,181.2904192,226.5470553,168.1107282,171.6678011,190.5482859,227.2318598,10
"ZFYVE26",0.17223225,7.666538174,1.611421882,0.133842317,0.620996696,-4.359325413,1.12680061,202.0320695,182.3912191,177.1212902,196.7623539,225.630563,254.5590543,211.6159589,209.1663178,177.9924218,206.2122032,10
"FOSL2",0.328597602,4.630299976,1.606602753,0.134900034,0.621343174,-4.364228368,1.255792065,18.29630705,25.05105337,20.5428583,27.54074467,16.71050053,30.49942235,35.51348644,32.34433508,22.27744944,25.67011176,3
"SUN1",0.275018742,5.16652264,1.595278283,0.137414376,0.622103623,-4.375718938,1.210009808,29.87285465,43.46335703,23.90992424,36.34535121,39.29273866,31.25767541,34.06325313,47.74180917,37.58766271,42.15572113,3
"CIAPIN1",0.219292563,6.728636066,1.560508063,0.145391326,0.628450531,-4.410722797,1.16416259,83.49290083,115.5320085,89.8635023,109.1924218,102.9677297,115.4009118,88.29244855,108.8257137,141.836694,117.4170274,10
"CST3",0.341558014,10.02938038,1.558810591,0.145790845,0.628675293,-4.412420798,1.267124265,928.2847167,759.3052536,984.9519801,1623.993883,833.447569,808.8228423,1408.192422,1182.092422,1369.297435,897.022534,10
"ARIH1",0.247580586,8.655363172,1.556791899,0.146267205,0.629007431,-4.414438781,1.187214474,287.0039937,380.0743927,419.0867983,407.7089267,573.1933467,459.7065578,407.611072,336.3663506,445.399489,378.6505228,10
"ZFHX3",0.2591707,8.130051118,1.550764413,0.147697566,0.630679646,-4.420455469,1.196790559,263.9924218,285.5760945,199.9937036,349.479196,329.6295,376.159808,303.320406,267.6798167,231.3362612,242.6510285,10
"TMED10",0.226367092,8.458283848,1.54270239,0.149629638,0.632151658,-4.428482586,1.169885302,280.3009646,364.7924218,306.0695696,390.6347022,421.0108879,411.4541628,278.2924218,306.6043236,424.241327,377.9224681,10
"PPIC",0.232618996,7.167481788,1.4632737,0.169856069,0.646458334,-4.506270442,1.174965989,127.198698,125.8375579,132.2924218,140.563242,148.5685463,198.6972209,109.3693602,139.502283,190.2798285,147.7685566,10
"ALMS1",0.160111935,4.578490469,1.45460881,0.172197328,0.648140502,-4.514608768,1.117373829,25.05158011,20.04279905,21.51684358,29.39774844,26.09897875,24.9860151,22.73203419,25.12715746,21.09645245,24.29024687,9
"RPS29",0.174909452,4.98850925,1.441180982,0.175879493,0.65126926,-4.527471073,1.12889355,32.39152186,26.80595909,28.56529856,34.09343779,40.72205084,27.53263486,31.73529287,36.94935491,30.50947713,30.65316753,9
"SLC16A7",0.525996995,3.812872202,1.441076297,0.175908459,0.65126926,-4.527571063,1.439928319,11.91631538,8.672333487,12.49030131,43.07215426,12.79157528,20.0844832,13.36235695,10.94367715,11.04258746,13.02985783,5
"MMRN2",0.208696348,6.810704437,1.439979203,0.176212262,0.651500433,-4.528618686,1.155643446,105.8046244,90.95882054,108.4924218,139.7924218,99.27779763,138.5680156,126.2538208,98.08754956,96.29205727,132.7598508,10
"POGZ",0.134725334,8.218479548,1.437604376,0.176871408,0.652068344,-4.53088475,1.097883774,283.9743495,284.7925365,268.5656722,295.0924218,308.0432122,357.648461,296.2924218,322.1714359,308.0739827,264.6925685,10
"GNAI3",0.181601741,7.793577186,1.429105432,0.179247395,0.653367563,-4.538975595,1.13414236,222.1582463,198.4273348,190.2110231,281.2524315,216.558302,285.7286022,211.5059136,213.1367339,199.2994573,220.4924218,10
"RPL12",0.130810936,11.89307392,1.405785799,0.185904959,0.656569578,-4.561022273,1.094908975,3665.9734,3757.111247,3302.012967,3786.237103,3681.301115,3806.988881,3453.748436,4357.792422,4106.078774,4247.393425,10
"ETV6",0.198986336,4.726958383,1.371927885,0.195938302,0.662495951,-4.592623337,1.147891542,26.46728771,23.45198318,22.3969033,30.27865009,37.62202482,24.82025923,23.84999817,23.08277416,30.27865009,25.89332237,10
"NACA",0.150665869,11.59905656,1.366078691,0.197716415,0.663511946,-4.598032591,1.110081707,3382.873157,2815.692422,2516.955436,3795.771833,3157.109613,3337.692422,2938.868123,3205.05451,2908.779231,3141.453672,10
"SCN1B",-0.208161176,10.21850908,-1.365152696,0.197999133,0.663753558,-4.598887568,-1.155214836,1204.367699,1341.449649,1417.397136,846.3228946,1143.243108,1015.294043,1561.842631,1122.956567,1228.476051,1189.375469,10
"OSBPL3",-0.434694425,4.668242836,-1.349405424,0.202858414,0.666667372,-4.613369381,-1.351624517,17.60739056,59.07982513,29.75136463,20.80022093,24.85688516,27.69264859,34.19634039,19.62460448,14.89808468,25.49059578,5
"RAB31",0.334939355,6.94402465,1.311271295,0.215033727,0.67403138,-4.647979185,1.261324386,125.9883923,104.0020032,87.49246013,235.5730887,81.56043251,156.9924218,108.5348468,126.4924218,140.0994568,120.4204358,7
"SNRPB",-0.096144749,8.844556059,-1.277293689,0.226378384,0.681527843,-4.678253137,-1.068913232,474.8513452,505.3035212,465.6924218,431.1995546,462.3711823,478.6924218,458.7874388,418.1769929,457.3431589,450.4204463,10
"PLEKHB1",-0.370906421,5.286841922,-1.266126175,0.230211094,0.684226894,-4.688084474,-1.293165049,33.85179594,73.70199587,40.91724192,21.80726757,31.07946883,33.76092195,35.80466763,41.21802614,64.06074906,37.2310004,3
"RBPJ",0.134917605,4.512552424,1.263118345,0.231252274,0.684910271,-4.690722223,1.098030101,21.68781128,21.97569615,20.50182991,24.14052919,24.93761066,27.4329366,20.52396275,19.94701561,22.8093089,25.47183163,7
"SKIV2L2",0.151969896,8.084269613,1.258811144,0.23274983,0.685415049,-4.694491892,1.111085544,233.4490797,282.4250789,243.0288157,287.5519966,344.2746991,319.7176975,262.53876,260.9090232,261.7804181,238.4050294,10
"CRYL1",0.167664739,6.468502875,1.258716114,0.232782959,0.685415049,-4.694574962,1.123238849,91.60705309,77.64234844,76.49290574,100.7737654,75.37881469,110.4592122,76.37758133,88.692448,90.41854381,106.0660528,10
"RBFOX2",0.142444161,9.203122003,1.258279155,0.232935335,0.685453092,-4.69495687,1.103773505,538.8305991,585.0686661,527.8862053,535.2857949,677.8447217,745.8638601,608.108189,550.1997543,621.2675435,540.5090289,10
"ANXA1",0.597448675,8.812094041,1.250508708,0.23565845,0.68761527,-4.701732909,1.513038476,503.7890698,227.3974748,332.1961331,1578.256902,238.7931808,720.9510175,398.0924218,617.2411519,331.5223428,399.5401188,10
"HMOX2",0.139974686,6.973464165,1.249631909,0.235967315,0.687690222,-4.702495662,1.101885781,105.6479477,131.8876993,116.175216,118.4003324,113.9738239,131.3391107,136.1799199,115.9958288,147.2595655,147.1800525,10
"LPP",0.23255987,4.79367676,1.245554151,0.237408029,0.68871884,-4.706038106,1.174917836,22.87459291,27.11740148,24.51908703,25.19171017,28.15134859,20.30323024,29.03346428,44.83712727,30.83116385,30.65142366,7
"TBCB",0.177857209,8.546398913,1.23753211,0.240262829,0.690947072,-4.712983323,1.131202496,386.9924218,337.9924218,308.4062102,436.0186923,368.6742449,470.9377578,294.6112493,385.0262123,448.9618313,343.1083418,10
"PTPRB",-0.288494026,6.49467198,-1.220290078,0.246491392,0.696040928,-4.727803574,-1.221364676,92.49242992,94.62963651,127.5014486,89.96857216,87.87486704,114.0760798,97.84183082,57.45700198,54.96566267,114.3281568,9
"SFPQ",0.137699065,7.540000996,1.212681465,0.249280411,0.697923715,-4.734296475,1.100149103,165.2058422,186.7924218,170.9489724,187.2534235,231.9715537,217.810338,184.3924218,161.1407796,175.2776349,191.7765505,10
"AR",-0.165094131,6.150653852,-1.212071407,0.249505112,0.697963265,-4.73481582,-1.121239233,77.78311781,76.39583518,76.73708127,68.57830607,60.55111864,67.12392726,98.43108865,60.71839436,67.84315776,63.56350149,10
"MTDH",0.164945009,7.867480649,1.205983382,0.251756288,0.699133894,-4.739988324,1.121123343,196.6486938,222.9512578,228.4914079,269.1924218,284.868787,288.878147,223.6218758,189.9512335,245.2563837,208.6924218,10
"MCL1",-0.147833422,8.820866075,-1.197284038,0.255000853,0.700436226,-4.747346972,-1.107904418,466.7924218,571.9050503,429.5788774,387.5524774,535.4481961,448.9575568,431.171852,465.3536657,446.1870261,373.9025051,10
"RPS16",0.141601764,12.2064405,1.195501232,0.25566983,0.700724245,-4.748850281,1.103129195,3865.153679,4622.792422,4807.592422,3926.092422,5368.192422,4967.974411,4694.577808,5233.268477,5579.214983,4509.598951,10
"RANBP2",0.245117856,8.285961403,1.185380589,0.25949368,0.703900423,-4.757353542,1.185189587,253.0447404,330.2577963,254.6618824,428.5033981,423.9953235,445.0090301,280.2083259,249.528231,267.9092223,272.2340009,10
"RBM15",0.251693154,6.280358292,1.149789393,0.273297487,0.712032921,-4.786836535,1.190603593,66.18686542,75.78698289,64.90096578,65.97137555,99.69678091,144.2537049,69.1806665,76.42248672,75.75666203,65.06603055,4
"JAG1",0.215197211,4.59335601,1.148257896,0.273904017,0.71211813,-4.78809032,1.160862589,24.49385685,16.99784548,24.70148455,27.98830621,25.05429676,35.01697815,26.46405945,24.98490269,23.31988584,17.25866689,8
"IL13RA1",0.324043808,6.029717195,1.132539788,0.280189277,0.715734582,-4.80088628,1.251834471,63.38127949,53.16789673,51.63191556,131.3924218,68.69546842,95.87871542,63.08848669,38.83763301,59.5013969,64.53243489,10
