"","C_MW2.CEL","C_MW3B.CEL","C_MW7.CEL","P_3A.CEL","P_4Aa.CEL","P_5A.CEL","P_7Aa.CEL","P_8A.CEL","P_MW4.CEL","P_MW5.CEL","P_MW8.CEL"
"SRSF11",8.360684111,6.764680785,6.510958323,6.468900009,7.112833444,6.793689193,5.021802639,6.596233686,6.257707061,6.480781076,6.119199694
"RANBP2",11.91791978,11.39374523,15.5506841,10.88655895,12.33725067,10.71228916,8.383174238,15.12878671,9.442119384,8.886003011,11.3241067
"PSMB2",39.21198303,49.66796395,71.73770286,41.84834666,42.81780731,41.05923514,62.52202337,50.85115343,31.95883068,32.50505395,35.02314362
"NR2F2",1.376650993,1.925626919,1.569473894,1.979830928,2.683327453,1.979830928,1.48503958,1.269291227,2.026938746,2.738411521,2.681910918
"MYOF",2.386215671,1.627386666,2.299768223,2.487600708,2.506907747,2.985788494,1.841785284,1.922493537,4.315928014,2.480171994,3.066101916
"VPS13B",2.661120728,2.348699449,2.866294552,5.61357751,3.115303138,3.115303138,1.779144437,4.434085515,2.975910031,5.163850243,3.115303138
"RIOK3",7.200188576,13.78406953,9.736492084,10.93471214,10.89869336,6.009290835,7.447996494,10.28448286,6.257707061,6.539480362,5.570806256
"ADAMTS1",1.979830928,1.593992368,1.751931458,1.979830928,2.576401833,1.804374796,1.528119822,1.979830928,1.806644947,3.281719296,3.31903384
"ANKRD40",13.24339351,6.848430624,7.209756043,10.16311111,11.19082304,13.79016224,7.83254675,11.82756107,11.23515128,8.360684111,11.88434526
"SLC16A7",12.36866646,15.58762225,15.42160661,12.92453062,15.732286,11.53776153,11.85502307,15.32306334,9.767196594,11.01367683,13.04774272
"KLF6",17.56432738,15.80544618,23.20800424,28.52328038,22.07146045,23.10107915,18.22390783,19.32583023,17.67425746,22.21643597,22.30265498
"RBM5",8.342932917,9.020272398,9.20595861,9.602796181,7.250869845,9.055114528,12.79708678,12.41125859,9.20164893,11.77402119,11.33712835
"SUN1",2.295536207,2.75370072,4.317131609,3.240858693,3.237891324,4.053937551,2.945695754,3.881810286,3.10299968,3.758122392,4.766524456
"ALMS1",38.35925447,33.62982946,21.08486841,34.57562058,34.57562058,49.66652848,27.33008883,26.00290181,56.30017674,59.66652848,34.57562058
"C1orf61",63.21198303,27.90659381,42.21941962,46.55290063,76.57741382,61.97295286,36.96646419,47.36188872,64.51403486,39.11406068,69.50946826
"ARIH1",2.323596104,2.475074277,2.714306597,2.34552759,2.247500206,1.952927591,1.924936919,2.592145066,1.644749477,2.626964352,2.447557435
"SNX27",13.37854444,12.38829937,14.1388206,11.95809749,17.36275656,16.87863598,18.50483163,15.62542868,14.40765819,14.56656737,12.25618023
"FOSL2",1.877209197,2.060745078,1.987778449,1.763412477,1.792966158,1.761834226,1.757194755,1.934001074,1.525898529,1.987778449,2.006357643
"OSBPL8",6.257707061,6.797159307,11.80917401,8.374804718,5.687043963,7.31769131,7.143430263,6.98849091,6.508602755,6.431653463,6.508602755
"LPAR1",6.715546471,1.887290625,3.237891324,2.983787906,3.789082393,2.052926735,1.97991041,2.834984376,2.229477967,2.362932753,3.408753494
"SKIV2L2",4.273850333,4.03308813,4.689198842,3.714520932,5.057999004,4.406123347,3.739263265,4.21572324,3.052931738,3.644707136,3.117515455
"TNFAIP3",1.602526746,1.49425067,1.644321733,1.644321733,3.123711995,1.49425067,1.599836239,1.313324393,2.18272857,2.578854429,1.979830928
"KPNA6",9.569493253,16.18655367,11.63319234,17.735127,16.28463939,15.38051685,10.88335772,17.03796316,13.97565823,11.55988288,12.2194464
"FAM46A",13.66038257,16.12794322,9.210581816,14.55751982,14.40740352,15.8518038,18.18195431,23.30477122,11.38383678,10.92000248,16.28939243
"DCN",3.265900624,1.977220985,3.237891324,3.735697144,5.855740384,2.032177531,3.265900624,2.496241889,7.889838356,3.31411943,3.337842531
"JMJD1C",2.597209277,8.999928224,3.301557883,12.37680495,4.688908123,4.890856941,4.009668269,6.848430624,4.562297904,5.006779722,6.867873975
"ZFHX3",2.353067754,1.944075984,2.447557435,3.043188956,2.422264851,2.447557435,2.447557435,1.807534528,2.715980501,4.462658642,2.447557435
"SCN1B",121.4194495,134.9392558,91.78742152,135.1544751,141.2605706,176.6853352,151.5681401,181.4749501,109.0301648,108.6274206,93.29330998
"SF3B1",11.21360611,9.672302852,12.8905414,10.23009802,13.66857379,14.69806108,12.32034949,13.69347684,11.54742269,10.73403452,12.32034949
"RBFOX2",40.84339405,31.66242079,37.84834671,39.3984735,38.93925576,35.74762805,36.42195478,45.46443468,40.69561515,38.93925576,40.66907068
"RPS29",114.3070091,51.83394759,140.0495474,62.70088822,134.4220129,124.0301648,145.4157259,101.1453848,123.0931949,142.2138374,129.5987742
"TAOK3",1.338030267,1.402613227,1.331731059,1.331731059,0.925442763,1.331731059,1.457794476,1.322744832,1.065234979,1.180522291,1.349932603
"MMRN2",1.523177708,1.384163005,1.523177708,1.523177708,1.570232211,1.683330265,1.648137774,1.505777179,1.590453586,1.343890865,1.979830928
"CEP57",3.033271945,2.855943472,4.331095505,3.807541261,7.327856689,3.712729799,3.628412784,3.516685465,3.091326018,3.497336023,3.999219629
"RPL35A",28.40160959,33.7060693,38.23752504,22.19097815,56.43161587,52.58400243,54.21198303,36.51920246,32.60853728,49.97274863,31.11056079
"SREK1",2.329417846,2.087655017,2.329417846,2.329417846,2.446576415,2.329417846,2.826864704,2.938470983,1.990482101,3.598545604,1.979830928
"FAM120A",4.151388163,4.898651598,2.977868197,3.592990128,2.676682037,3.207471475,3.692001155,4.004487044,3.505505816,3.592990128,4.304359772
"CCDC93",1.867538251,1.683330265,1.889119235,1.607731576,2.260734134,1.867538251,2.716662563,2.070580241,1.867538251,1.550838382,2.365234234
"ZNF148",6.683760475,9.148742752,7.109286385,9.962037687,8.180933704,8.180933704,8.180933704,9.867376603,11.63839038,5.587246005,7.976171024
"MAP2K5",1.456458737,1.200373377,1.357886702,1.270522213,1.230002397,1.089333206,1.811965623,1.493111804,1.383875422,1.86487436,2.258403044
"RBM39",14.77385857,12.92465989,14.21205078,12.70669404,12.0368463,10.68274549,15.8229173,13.05602323,12.12010632,14.10641609,14.06348084
"PTPN13",1.90482902,1.197058491,1.398758202,1.436094874,1.38701788,1.994740068,1.276055322,1.783713088,1.234847128,2.969930919,2.388476911
"POGZ",1.509475106,1.430398389,1.375638103,1.382479079,1.483264456,1.486685028,1.486685028,1.322744832,1.829896179,1.889694375,1.556121168
"ABHD2",9.197658923,13.91777918,13.1091133,21.53379011,14.91505179,15.60379317,10.87310808,15.76430779,12.73337091,7.756188341,14.91505179
"AR",16.98090321,20.67118061,21.08770638,26.93016078,22.65727829,21.58015019,18.83329917,24.43990629,18.95187216,18.11794109,18.14214829
"PPFIBP1",25.97904178,30.75745837,13.29988772,22.65583746,25.70313684,29.49590641,20.35276059,23.86864125,28.58398817,28.66660297,19.91674752
"OSBPL3",1.320017667,1.448582709,1.902163404,3.002873948,1.511111708,2.425935284,1.470230079,1.906209276,1.439652632,1.243768919,1.511111708
"ANXA1",1.331731059,1.331731059,1.060921519,1.108837727,1.331731059,1.331731059,1.740239475,1.318111906,1.068094764,1.36444318,1.4468584
"PHTF2",2.269183583,2.571832094,3.019726863,2.926637321,2.278567663,2.383446156,2.654261703,2.499442114,1.745323856,2.211729903,2.841086255
"WSB1",4.106679247,3.115303138,4.224153108,3.048020433,4.000508826,3.676944397,4.106679247,5.090522837,5.269475291,3.719820713,4.325337466
"ETV6",9.651388516,8.239973033,6.306511303,10.36016861,7.390854186,10.52098932,6.56334483,8.23914116,8.231012798,8.23914116,10.39837617
"NACA",14.6651084,16.10888055,24.95467026,10.54456158,23.2263319,39.20008734,23.94111484,23.17475585,17.71344861,24.07133367,16.18655367
"PLA2G16",9.101786246,6.848430624,7.200188576,9.274892066,5.511892972,7.200188576,7.007932002,7.200188576,7.132951283,8.360684111,6.07492216
"SNRPB",3.868267684,3.999219629,7.727133096,5.195415357,5.923875414,5.217684332,9.905644003,6.026820961,4.268061877,5.195415357,4.059890131
"MTDH",4.946995957,4.946995957,3.941016792,4.999560201,5.337527573,5.114402061,4.88539667,5.045673038,3.850117876,5.179972539,4.337827531
"COL1A2",2.283947674,2.016052113,1.511241368,1.751928301,2.353044755,1.979830928,1.751928301,1.751928301,1.979830928,2.645176711,2.266570917
