"","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sample_control_1","sample_control_2","sample_control_3","sample_control_4","sample_control_5","sample_control_6","sample_control_7","sample_control_8","sample_control_9","sample_C9_1","sample_C9_2","sample_C9_3","sample_C9_4","sample_C9_5","sample_C9_6","sample_C9_7","sample_sALS_1","sample_sALS_2","sample_sALS_3","sample_sALS_4","sample_sALS_5","sample_sALS_6","sample_sALS_7","sample_sALS_8","sample_sALS_9","sample_sALS_10"
"SRSF11",4178,"ENSG00000116754",1366.49281538222,0.275435923291572,0.121150865902512,2.2734952923342,0.0229963494974391,0.320145739077083,1036.30873578683,1304.85759322993,1199.32889613764,1040.95579923426,1328.89803879708,1169.7747507744,967.308221727202,1383.31687596969,1158.84633374941,1023.1377276143,1775.55265904044,2546.56604453142,2170.73371136752,1855.2592676968,957.303331275043,1552.25504029982,1217.80469235571,1180.40074848527,1228.72303071818,1145.75922064077,1229.9013295155,1482.95931805149,1482.36434535057,1541.27215150041,1351.76202176781,1197.46331432023
"HCFC2",3578,"ENSG00000111727",240.288572146471,0.319675487178977,0.144341482377795,2.21471666989166,0.0267795179364802,0.334250363987489,147.630574092537,206.459077901752,278.091401415182,105.788190979092,294.116404174943,214.101867862203,95.8182672465624,235.358702277659,207.603750785439,143.096185680322,238.115298519679,209.123344271795,182.696213755534,239.330245008414,205.605132840489,278.542816835604,265.744856965667,390.994502864511,344.373046725947,292.928732785181,251.233326363426,365.354300321809,354.842460291018,186.04705260715,264.959424908521,249.547698327805
"BGN",12732,"ENSG00000182492",973.442317890332,0.385142089485871,0.174578588769507,2.20612442912096,0.0273752886815154,0.335628282625582,961.046090171028,440.083823948471,464.441309579995,764.49599347557,480.748408153063,1307.96777457637,821.299433541964,638.274096574182,527.247621042386,1745.77346529992,1887.11061385871,1803.81761487642,2811.79202353931,558.737150940695,1060.83499391103,402.775528569793,1020.22916826384,376.160023081033,499.111335721473,614.594145052454,956.970579511597,1475.20415601636,1003.1276742609,1054.26663144052,1103.21601256159,530.174597179951
"PSMB2",5148,"ENSG00000126067",2281.58720180116,-0.225435714164525,0.103218007071676,-2.1840735019034,0.0289568474516084,0.341991350042249,2647.21882367893,2540.89549382594,2210.39660300109,3543.19914319305,1859.48012340504,2492.34037997773,3038.80790410527,2136.93232332895,2436.32338223336,2130.70220477999,1724.92972155988,1345.39452029047,2058.30527213335,2222.35227507813,2864.61903166767,2002.76208443064,2472.58258220229,1947.55527443081,2049.70837411284,2366.60460379927,2939.42991845209,1831.0799249619,2198.42845622997,1993.62184803544,2147.81268332925,2119.78429458674
"MED13L",4799,"ENSG00000123066",1187.34997963401,0.198945880422038,0.0911250405195286,2.18321856745186,0.0290197180462652,0.342051138804285,956.704014462424,914.5774942139,1312.09448159122,897.083859502698,1369.93753705405,1131.82032874428,1061.98579531607,803.492788239294,1228.04758401122,1157.6481421538,1120.26685720872,1197.05086721097,1106.98770938264,1098.57980885441,1035.31662635991,1475.75384412666,984.411383194558,1436.82532759967,1489.5282181053,1305.20144228334,1060.88981905283,1455.38540859324,1223.20973952005,1267.67354472519,1456.10445016099,1324.52239881681
"PHTF2",131,"ENSG00000006576",296.333042555265,0.251743267250868,0.117157381453582,2.14876147048924,0.0316533130964546,0.353382365267399,214.209068291133,332.3266736401,338.296756360737,204.523835892911,329.293116966631,259.841812360037,182.510985231548,248.607370948918,220.784941311499,218.937164090892,298.112854052196,249.29975031416,398.904750744331,267.222115667289,329.55148951738,346.543880100634,300.407229613363,396.29253135861,390.289452956073,348.548112427937,328.887263603031,347.258922239833,410.660375392977,302.782458164578,223.925885652777,216.640309537325
"KLF6",930,"ENSG00000067082",686.590126514752,0.278206580991513,0.129834561939043,2.14277752269176,0.0321309670169767,0.354258879203946,468.944176529236,466.343969821939,754.956038206164,448.541929751349,516.902251855631,713.348496104521,391.25792459013,975.725480965661,548.117839375313,824.234029518653,625.287024065455,988.957687196667,820.511397872486,1009.50577029865,734.19988925664,403.429384947341,666.672967257348,731.12793218567,787.925530908967,538.58099287402,664.626345197792,772.069464830993,778.261216278728,952.123151577768,738.6037066034,531.08869131302
"TAOK3",6198,"ENSG00000135090",1040.96590940076,0.227385767621192,0.107663110517857,2.11201187228821,0.0346854310000398,0.362177109224533,971.17760015777,932.687939643878,888.745715862953,761.674975049461,962.473947217006,1080.24124239566,961.604753438716,872.074131949341,893.02565814054,1054.61888846397,1443.6911800012,2021.18227320819,1302.6564353575,926.72989608521,929.597675076679,1006.93882142448,946.282773282093,943.049071949633,1112.55452295596,916.792774444761,803.946644362964,1040.91508204893,1086.05714812667,1189.24194411629,1061.01008646996,956.14246319005
"CEP57",10232,"ENSG00000166037",403.515713402536,0.180430070610404,0.086435299710874,2.08745814746918,0.0368467404948657,0.368171617787131,306.840016741352,409.296066717508,453.92926347839,300.438462380621,407.463589837047,349.375320738777,355.896421201518,321.864715366468,414.10906902704,307.656799212692,416.23304150684,532.594921125705,476.739824060298,340.10087448564,406.8356883865,423.698932651341,407.86058482122,498.014678445312,394.881093579086,478.326664927701,369.99817155341,476.511622825378,452.92251111303,423.165845145675,376.33617431697,390.318194820412
"RPL35A",12790,"ENSG00000182899",3607.29275117272,-0.249221012515972,0.122741263972129,-2.03045825381562,0.0423099804525624,0.387118981984941,5780.75012672151,3012.67259727688,2765.62376527676,4420.53587371298,3015.42599097633,4422.17676166295,5491.29926815419,3307.49116710724,4613.41668412087,4101.13668159802,3941.08942904224,4510.0591193198,3746.89394601586,3179.67325511178,2897.42836137625,2810.27471070287,3854.45583842376,2953.12108261082,2183.78428030481,3298.22921281543,2756.71477200596,3289.05038756685,2624.2394085792,4884.64712629361,3317.85474553591,2611.56693817779
