"","ravits_control1","ravits_control2","ravits_control3","ravits_control4","ravits_control5","ravits_control6","ravits_control7","ravits_control8","ravits_sALS1","ravits_sALS2","ravits_sALS3","ravits_sALS4","ravits_sALS5","ravits_sALS6","ravits_sALS7","ravits_sALS8","ravits_sALS9","ravits_sALS10","ravits_sALS11","ravits_sALS12","ravits_sALS13"
"JAG1",20.4916638045876,13.2862352052302,4.7925152960166,35.7317746941316,21.0333344906105,4.10716554546536,28.20950734814,4.7925152960166,64.9705306559299,57.1939822894974,48.8039402991844,9.69705468608576,102.13059992815,2.77071086508365,63.5201213568662,14.4204666290915,53.2936303783067,59.4982243049216,54.4354327431177,149.412967243232,60.9580593602619
"LPAR1",425.596094402973,115.147371778662,108.310845689975,547.225512445311,639.23046995377,611.967666274339,820.332473683911,108.310845689975,1746.15488143415,980.746809941495,650.105317947626,349.093968699087,4759.00226054086,267.096527394063,2802.82535487172,198.004099484063,1048.1080641067,1147.57200128118,2427.82030034305,1261.14674045982,2112.88499298714
"ADAMTS1",436.630067220828,467.970728895332,164.862526182971,342.760357251114,502.971042166772,225.072671891502,249.372044957558,164.862526182971,508.265036281788,367.21136356325,1048.82430190134,783.037165901425,4499.42031905682,293.14120952585,518.74765774774,212.979199445043,795.851546982713,689.435674133279,353.830312830265,2474.17744062097,776.723659590434
"CST3",33.1019184535646,11.0718626710252,11.5020367104398,29.1147793804035,11.8884064512146,18.8929615091407,36.1081694056192,11.5020367104398,42.5470731729098,77.9917940311328,30.3873590542092,46.0610097589074,70.9240277278817,29.9236773429034,115.13021995932,15.5297332928677,18.9488463567313,33.4677511715184,61.6934904422,40.5187707778255,54.0756978195872
"LPP",408.25699426063,310.012154788705,368.065174734075,428.119596798206,420.666689812209,236.572735418805,594.656414898791,368.065174734075,643.955702076473,632.383463269102,892.283361319051,513.943898362545,3286.61944491004,356.867559422774,825.76157763926,396.562832300015,525.830486399293,600.932065479708,606.047817873377,792.648453341212,684.303376044231
"IFI16",72.5089642316176,74.550541984903,9.5850305920332,30.4381784431491,92.3637731978981,4.10716554546536,125.250212625742,9.5850305920332,259.307162175437,250.223672516551,94.8453934116226,50.9095371019503,709.240277278817,34.3568147270372,235.553783365045,26.0677665987422,153.959376648442,151.72047197755,251.310247830727,240.580201493339,294.958351743203
"COL1A2",25.220509297954,0.738124178068346,2.87550917760996,68.1550517313991,7.31594243151668,0,15.7973241149584,2.87550917760996,194.336631519507,94.2400844542855,34.0706753032042,70.3036464741218,194.331835974396,11.0828434603346,183.943684762592,6.65559998265759,17.7645434594356,174.776033895707,38.1048029201824,144.348120896003,73.7395879358007
"GNAI3",274.273038615249,138.029221298781,170.613544538191,127.046310023579,132.60145657124,132.250730563985,186.182748497724,170.613544538191,304.154077141477,237.225040178029,201.661564632479,232.729312466058,400.011516385253,217.223731822558,146.890280637753,285.0815325905,344.63214311305,180.725856326199,347.479512343568,250.709894187795,249.731404475912
"TUBB4B",1007.24409008704,913.059608270544,1004.51120604508,886.015672508188,630.085541914374,884.68345849324,510.027892854371,1004.51120604508,462.268200419183,609.635856676688,567.230702345238,244.850630823666,116.315405473726,828.44254866001,131.010250298536,600.11326510296,505.697337145266,598.700882068274,402.822202299071,478.627979813064,361.815578138329
"TNFAIP3",3.15256366224424,2.21437253420504,0,7.27869484510087,4.57246401969793,0.821433109093073,16.925704408884,0,42.5470731729098,79.291657264985,22.0998974939703,29.0911640582573,39.7174555276138,8.31213259525094,0,1.10926666377627,4.73721158918282,29.7491121524608,8.16531491146765,27.8566549097551,24.5798626452669
"SERBP1",222.255738188219,264.248455748468,216.62169137995,343.422056782487,236.853636220353,259.572862473411,419.757469340323,216.62169137995,415.696404108295,402.957602494186,223.761462126449,380.609396428866,869.52857994383,356.313417249757,506.837634993328,346.645832430083,336.34202283198,319.802955638954,590.624445262827,552.068251847873,405.076136393999
"ZBTB20",108.763446347426,81.1936595875181,12.4605397696432,66.8316526686535,58.5275394521335,27.1072926000714,126.378592919667,12.4605397696432,183.987343450421,176.131468186975,91.1620771626275,96.9705468608576,398.593035830695,27.7071086508365,363.917361940379,26.6223999306304,62.7680535566723,336.908695126619,205.947387211462,96.2320805973356,200.571679185378
"TCF4",143.441646632113,97.4323915050217,119.812882400415,232.918235043228,141.746384610636,66.5360818365389,423.1426102221,119.812882400415,386.948381694167,341.214098886206,244.940530558171,191.516830050194,757.468616133777,90.3251742017269,702.691342510332,112.590566373291,274.758272172603,362.939168260022,458.164892254574,412.784977299098,388.361829795217
"MMRN2",12.610254648977,0.738124178068346,5.75101835521992,10.5871925019649,9.14492803939585,0,2.2567605878512,5.75101835521992,6.89952537939079,18.198085273931,15.654094058229,29.0911640582573,18.4402472092493,1.66242651905019,83.3701592808868,7.21023331454573,68.6895680431509,14.1308282724189,5.44354327431177,53.180886645896,5.89916703486406
"CALD1",2436.9317109148,1147.04497271821,1499.09878459399,3777.64262460735,1855.50589919342,2996.58798197153,2827.72101657755,1499.09878459399,2121.60405416267,3398.49242490661,10177.0027959733,3854.57923771909,14599.0018675072,1409.18354598154,5096.16640302691,1327.79219654019,2546.25122918576,3532.70706810472,2453.22350228984,8853.35141495488,4840.26655210596
"RPL22",135.560237476503,276.79656677563,273.173371872946,223.654441604009,193.872474435192,312.966014564461,206.493593788385,273.173371872946,491.016222833311,385.409448837181,271.644573363385,191.516830050194,470.935544113135,274.300375643281,374.50404883319,268.442532633856,323.314690961727,425.41230378019,469.959236015583,301.358357660077,344.118077033737
"MOB1A",140.289082969869,247.271599652896,196.493127136681,205.12685472557,203.017402474588,110.072036618472,267.426129660367,196.493127136681,365.674845107712,297.668680552157,220.998974939703,225.456521451494,699.310913396914,208.911599227307,240.847126811451,311.149299189243,232.123367869958,214.937335301529,392.842372962832,283.631395444779,458.168639707775
"MCL1",573.766586528453,615.595564509001,712.167772988067,520.095831659026,465.476837205249,463.288273528493,1152.07628009804,712.167772988067,1172.34435404815,744.171701380392,609.588839208681,732.127628799475,1702.17666546916,927.633997630005,1646.22981183211,600.11326510296,1112.06042056067,751.165081849635,959.878130703641,1496.66209560593,1061.85006627553
"DMD",312.10380256218,312.22652732291,181.157078189428,283.869098958934,402.376833733417,149.500825854939,296.764017302433,181.157078189428,577.835250523978,490.698370779211,371.094112086251,293.335904254094,690.800030069568,146.847675849433,931.62844656737,333.889265796656,291.338512734743,577.13277575774,368.34642822843,369.733783347658,406.059330899809
"NKTR",832.276806832481,482.733212456699,452.413443943967,578.325390419833,525.833362265261,400.85935723742,943.325925721802,452.413443943967,1023.42959794297,1371.35571171409,773.496412288961,710.309255755782,2063.88920688136,377.370819824393,921.041759674559,454.799332148269,588.598539955965,1157.24046273073,1054.23288079171,1012.96926944564,1170.98465642052
"DDX17",2209.94712723322,1121.94875066389,973.839108150574,1568.88958888492,1695.46965850399,1302.79291102161,2291.74037696289,973.839108150574,2267.06904757816,2930.54166071982,1738.52526952566,1643.65076929154,4400.12668023778,891.614756383917,4590.65210389518,1117.0315304227,1821.45785604079,3638.31641624596,2584.7757980857,2689.43341037817,2930.90282182163
"PTPN13",127.678828320892,36.168084725349,49.8421590785727,201.818357068706,61.2710178639522,36.9644899091883,226.804439079046,49.8421590785727,315.078325658846,81.8913837326895,152.857624333295,72.7279101456432,638.316249550935,44.3313738413383,528.01100877895,78.2032997962267,106.587260756613,190.394317775749,239.515904069718,306.423204007306,300.857518778067
