"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL","countP"
"SNX27",-0.213222642,8.482228276,-2.475043836,0.020534784,0.14492789,-3.363979143,-1.159274842,408.6829467,395.0725423,322.0223605,460.9078285,364.0221856,378.504015,446.2984457,399.1916595,307.5487192,409.674112,316.8596525,261.5633529,359.8013031,343.117058,299.2004116,329.7146021,415.0261778,350.4182834,282.0156448,394.0666595,308.0564248,348.7777318,359.0103463,410.1681307,24
"TUBB4B",-0.580403432,11.50591895,-2.460031792,0.021233323,0.147586503,-3.392763983,-1.495267323,3895.969928,4508.760895,2489.812661,3615.208988,3850.313841,3738.600889,3202.364637,6000.656826,1312.205585,3530.97469,1533.782706,1672.337658,1294.288945,1584.113474,2171.827587,3384.672755,4411.590972,4050.360371,3538.607455,2338.969902,3024.181782,4596.763224,3868.218621,2150.468455,24
"SCN1B",-0.598115919,9.30973629,-2.44165555,0.022118279,0.149672001,-3.42786102,-1.513738415,842.3785077,768.2237243,707.8999928,1319.738097,1250.638991,863.4740688,1094.108153,336.0887167,413.8563007,1217.783278,378.707519,349.3564762,393.2258581,429.9707288,342.2749928,558.6084866,967.7774545,859.7885388,392.8468522,656.7093222,735.9204229,823.3583261,463.4419446,583.6496677,24
"PLEKHB1",0.629150337,11.35065473,2.437812066,0.022307624,0.15004541,-3.435182311,1.546653837,2023.360575,1541.40305,3577.15768,2113.899993,2843.039863,648.3014625,3368.734426,1443.327755,5991.001753,3880.543891,3063.743629,2577.960903,4044.616545,4078.349759,2681.578284,3737.508165,2626.966821,1635.837493,2763.219308,3966.039039,4238.931783,2134.110859,1669.279924,2218.566659,24
"DMD",0.528699484,8.030663523,2.41597412,0.023412119,0.15398635,-3.476651676,1.442628153,412.1913932,214.4001939,123.3973855,166.9743822,199.2898904,173.3254015,200.7478383,245.2805446,166.674098,225.0784975,558.3757906,370.2892028,178.049227,238.4552785,447.7699528,325.400285,286.7274346,340.8139798,355.0911364,210.6087876,173.9777287,293.4451736,441.4545493,427.1239446,24
"TAOK3",0.325498991,8.928247815,2.378844873,0.025406197,0.159657203,-3.546648921,1.253097778,707.0626449,351.4252749,411.4982688,332.5537764,526.9234083,324.6916595,407.4058282,401.8001642,366.4191659,434.5569687,581.2109308,556.3494786,668.618764,580.8583261,679.7609995,518.5598612,485.6888119,486.267005,456.7127873,491.8356399,396.7492125,461.8556982,669.5183007,730.6706906,24
"LPP",0.62144727,8.276560027,2.325048564,0.028572828,0.169828412,-3.64690149,1.538417704,285.6291596,326.5492218,333.8248862,138.4654353,298.176655,265.6083272,230.3269066,109.28031,439.3492185,184.7741963,509.0560243,625.4653511,597.8057344,616.9045302,522.2993086,327.5643556,153.9338866,362.9905326,301.5711337,380.4473354,364.6602886,152.2594138,275.3737122,454.8745179,24
"WSB1",0.964417277,6.464102101,2.295264325,0.030477388,0.175701028,-3.701797859,1.951275217,79.02927686,101.9279632,23.27389596,35.38609497,23.90702019,112.5488101,63.85654449,91.59856749,76.26541643,69.76617389,91.55315394,133.1587809,205.6360407,104.3923858,217.7391484,144.7609346,31.19314288,197.8978377,412.0104421,84.05010574,98.03043669,34.08232429,308.0069445,49.86715327,22
"MED13L",0.343404002,8.085854029,2.253283631,0.033358517,0.183443024,-3.778418886,1.26874664,320.1434136,176.3663463,349.8911599,172.5580525,276.3536682,188.741117,217.251693,215.9835047,340.039584,214.4339608,338.3722123,402.3010153,447.5831086,330.1505855,265.4175666,283.3935178,202.7753178,288.4156177,300.7541595,291.7359577,283.9536898,190.6293298,263.2044556,389.0866585,24
"SOAT1",0.317188196,4.174932908,2.231081862,0.034980231,0.188271229,-3.818576601,1.245899929,15.74416415,17.9814099,13.61642992,14.76239649,15.77486771,20.83803283,14.86349161,12.61507967,16.38882517,15.18595127,30.14865982,21.00816773,19.09931959,21.71574356,20.50858267,16.51557748,22.97762712,28.52610903,29.54498711,14.72683942,13.38917482,15.95700602,14.83927161,20.71081491,20
"PTPRB",0.597883579,6.992970402,2.227306016,0.035263038,0.188926093,-3.82538083,1.513494654,120.6414345,93.15220582,114.2272213,92.76378278,79.21146862,66.8319499,141.4418945,85.24418246,300.0288228,120.8985315,148.2260518,286.9033403,357.2561431,208.4395769,198.0014384,168.2845251,61.60398886,113.5947443,79.2179102,112.2930804,186.125738,65.83779076,122.7175397,122.2225521,23
"LPAR1",0.797876697,9.626695287,2.200038421,0.037367555,0.192917036,-3.874296877,1.738540525,1078.566659,816.4825669,664.2517533,384.3166595,554.5041595,216.6671945,618.2333261,478.3440951,3374.848385,990.0041595,439.5249928,1009.3518,2773.173967,2419.015168,865.7788935,747.1324835,386.2735123,523.4429307,1549.538543,1070.879603,1130.324705,528.4974956,532.1409516,647.8171955,24
"SRSF11",0.433472689,9.913858667,2.184355916,0.038628695,0.195842386,-3.902252476,1.350480388,1051.646222,858.6098105,811.109997,583.5659286,909.1034298,744.5535212,850.0320839,614.0919705,736.7504669,1021.285334,999.4509935,1605.549483,1330.486396,991.8111668,1356.899993,893.1916595,612.1091307,1397.316659,1428.450893,917.4639089,814.9739488,500.0201363,1629.793339,1941.835354,24
