"","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL"
"OSBPL8",259.9150701,204.0096269,174.8717224,204.9104788,193.5482975,509.209601,20.03845338,98.71507012,42.34757127,230.1167877
"VPS13B",68.34817656,68.60171656,106.4517427,52.28487033,67.27955429,95.77280055,77.85589222,65.54577457,69.22632652,65.71978051
"RBPJ",207.9742461,217.0365008,170.7141043,342.8457607,316.6150701,231.8559879,139.8771394,239.3103025,201.4150701,214.7606263
"HCFC2",15.22893409,11.72281662,15.20099731,17.21471336,19.60541685,11.5497828,16.08106066,15.87519692,16.10220474,13.77336155
"SNRPB",19.19634779,21.04009729,13.81102743,54.39592976,15.12057892,44.51576612,18.95591108,19.28023157,15.92328187,15.93087504
"TUG1",23.97403987,26.02887727,44.21799536,28.51860163,20.12584396,31.53296531,30.34762853,23.24626542,27.45201219,26.340145
"CCDC93",57.23286341,70.46594545,49.47277519,176.573299,63.91402968,183.2782752,54.88125464,48.8266282,42.88863449,70.81507014
"CALD1",9.056084203,6.381001942,13.61581472,11.89799358,8.66284407,31.14581137,8.855518577,12.09627082,8.003359736,10.97442628
"UBE2L3",54.34487418,70.49532622,39.25620823,129.0633223,61.70553991,78.80398394,63.96892656,43.83757017,45.21576343,57.79824596
"PSMB2",118.3952866,333.6833342,132.1939151,268.8150701,137.9707029,214.8055766,58.7738524,93.51507012,51.115182,208.4150701
"KCTD12",114.842835,21.72970108,39.90874343,194.3343727,73.33828172,99.74987081,14.18078493,171.1150701,72.45776369,41.7973692
"FXR1",102.7469972,85.01054981,89.15856444,124.8021415,87.16524517,116.3992434,24.19716196,57.00761633,49.19670638,104.6372623
"FAM46A",36.01060841,35.07661473,26.91774192,70.28492344,69.24329796,132.7698688,22.77180722,22.43358123,20.62281515,49.99659539
"AR",115.1099623,127.3269664,107.216502,127.5568895,91.77628561,106.9929958,92.5991144,103.2150701,100.4615079,130.0150701
"RBM5",25.14475749,34.82374153,51.87340548,33.89175763,38.92911567,32.79271444,44.16676357,32.25410329,63.80859189,55.01985108
"CYCS",26.66304608,35.49976232,29.14210983,35.88446084,24.29325995,51.38799449,32.02454802,31.74747629,33.63136582,33.37793979
"CBR4",30.93597324,19.24966337,21.97073378,44.38825827,23.37627614,52.02082293,18.80378633,19.89125469,21.93034799,33.9203957
"CIAPIN1",131.7941676,257.197299,72.61130583,272.0436192,130.0619461,175.5882384,46.11236748,59.26078816,35.94826795,128.3691339
"ZFHX3",51.04575224,38.80041354,66.49361358,68.03368266,48.71613796,85.54646824,43.47219019,54.33579133,55.3611142,55.51266502
"PTPN13",33.40559331,18.99592974,25.55161131,21.58797577,24.9651043,20.81975212,23.43592961,25.70607183,26.00841547,19.52567909
"TUBB4B",233.946343,903.0506414,115.1494925,499.4150701,349.4818351,547.1150701,56.62957354,65.75756903,61.14185884,296.7751033
"IFI16",26.27866538,14.23506996,29.71150087,40.57603094,23.89719639,34.02801457,16.10207402,35.55164726,29.45234545,16.19803491
"RBFOX2",313.2649443,405.5742311,264.2401504,327.0860468,199.939282,427.0085011,191.9157601,243.9194727,202.4279106,473.9195841
"WSB1",4.173134978,4.101276637,5.283363376,5.356607768,4.654947344,4.654947344,4.897453255,4.537608952,5.311829784,4.244011127
"RBMS1",241.8534081,152.4338323,156.7268818,141.0916467,136.6126629,204.6015408,110.949694,159.3592408,151.8481448,245.1310007
"MTDH",241.3892308,316.8919692,129.475672,366.7477155,282.4453699,456.3442595,23.93857158,93.16409183,27.45424537,313.6971956
"MYOF",20.94429103,13.9046893,22.41943318,16.1656609,17.11811068,15.73568463,33.99319302,25.90519907,21.44290417,22.51351876
"JAG1",153.3563019,99.34239308,122.7037218,155.129755,168.8611615,109.1257874,112.1150701,72.47478889,44.39057606,128.2150998
"JMJD1C",30.17323642,21.51973057,26.78333829,91.8926668,37.75077159,135.5150701,8.191171459,23.67636425,14.4360614,65.95198048
"ANKRD40",137.5800128,134.4461849,104.1039874,166.2612944,190.6015526,247.6217605,109.4723326,124.5698778,108.2388342,97.18952548
"KPNA6",57.33944368,90.57689119,37.25713244,65.86385458,52.53260893,94.87294389,31.6686348,42.96098038,29.73975773,51.4502422
"RAB31",347.8290172,308.4317795,236.5150701,348.6606097,317.8313233,436.4488376,90.01507012,245.9845091,152.8762379,309.6963854
"PLA2G16",94.37580335,101.2124767,124.3141483,71.30921317,84.05408275,93.10531375,107.2553821,117.1565245,121.0587339,100.0614876
"RPL22",468.2202039,459.0624618,518.2639515,907.753682,802.5739981,612.0045546,243.5150701,556.6563832,509.6895062,533.6149123
"FOSL2",31.82318515,26.93650832,19.37602615,28.55607549,47.14785004,58.46211498,20.04739255,26.45803041,20.11070434,23.831428
