"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"GLG1",0.390901567,5.803428237,1.258241147,0.235012495,0.999972288,-4.555799787,1.311212549,42.08136688,50.9702795,45.97244208,61.01507154,58.99419464,140.9483814,51.05430164,44.90390645,54.65846016,47.08417785,7
"RPS16",0.841529769,4.847455449,1.187984416,0.260487451,0.999972288,-4.569690715,1.791949238,19.25696786,37.22068116,9.779851939,101.3325304,51.63847031,107.2165778,18.18319261,19.05897833,14.88938047,19.27346699,5
"ALMS1",0.436928885,7.825058445,1.18488146,0.261661328,0.999972288,-4.570293873,1.353719548,254.5504118,102.4172747,236.7961515,133.4768494,289.8983224,166.5396344,324.8041441,294.8044928,374.7085401,251.9027635,10
"MCMBP",0.222104441,3.927862444,1.175846678,0.265103094,0.999972288,-4.572044873,1.166433808,15.67563382,13.6289532,11.94316481,17.54055081,13.11675387,22.42591523,15.33540899,17.30123226,12.59008708,15.16408473,4
"PNN",0.561440373,5.161172049,1.168742241,0.267834493,0.999972288,-4.573416278,1.475741848,29.11324911,24.14625339,28.78329729,60.01507327,78.72368985,71.15964971,16.92944788,45.322137,17.99137809,36.64188728,9
"SFPQ",0.760883037,4.233847889,1.142009129,0.278310875,0.999972288,-4.578532564,1.694527484,11.14198812,20.85085562,9.472333202,49.21187117,27.62800756,91.03680463,12.18908558,15.55433059,11.49900379,9.364604892,7
"PTPRB",-0.479336116,4.549097036,-1.140247211,0.279012424,0.999972288,-4.578867276,-1.394101995,33.08503326,34.80866603,22.3843032,19.39503627,48.95224714,17.35290973,10.61659717,25.11084456,13.21181906,33.05515987,8
"NACA",1.066924537,6.285434327,1.108292462,0.291975657,0.999972288,-4.584882744,2.09496267,53.55353985,96.38286832,19.45604531,343.6277829,273.199404,386.370896,21.80180028,68.44351498,35.45136161,43.26832455,10
"ZFYVE26",0.129700306,5.611811887,1.10322474,0.294073458,0.999972288,-4.585827,1.094066405,42.95767359,44.73739493,50.38113475,49.31528101,47.14151227,50.01518215,48.51528152,53.31509922,54.68097637,49.11405284,4
"TMED10",0.328257405,5.829764805,1.075945913,0.305564505,0.999972288,-4.590862665,1.255495976,65.01507039,33.67025247,52.12302704,39.77718713,55.22721501,41.73677746,71.81040365,68.70515724,103.4762897,66.33260028,10
"ABHD2",-0.564026486,5.065644094,-1.066694948,0.309537943,0.999972288,-4.592552017,-1.478389572,43.3833348,55.35518963,35.54740106,48.47086684,23.27965291,75.32696643,13.16055084,25.16309127,13.70991027,53.86896485,8
"SRSF11",0.218890829,2.076254973,1.060541767,0.312202392,0.999972288,-4.593670424,1.163838462,3.803359171,3.776868835,3.796392898,7.36270225,4.181923312,4.514863554,4.043798247,3.480862655,4.022654582,4.144124724,3
"SCN1B",-0.495911058,7.543089957,-1.056087808,0.314141811,0.999972288,-4.594477342,-1.410211019,253.5249377,309.5675316,170.1412189,300.8124059,145.9216508,246.7715541,83.69449122,173.3361999,74.81733649,324.398457,10
"GNAI3",0.360977159,3.841358474,1.051287292,0.316242273,0.999972288,-4.59534455,1.284295476,11.22128308,9.921448626,15.64149885,27.81075574,10.6316125,25.71659446,9.056084203,14.00556966,14.3354509,15.20783179,5
"RPL35A",0.399244113,7.043674373,1.050408564,0.3166279,0.999972288,-4.595503009,1.318816747,152.9312571,67.92506957,123.6397434,73.91990888,173.6433992,87.21507012,216.4588446,185.1447569,205.1989293,135.1497149,6
"ETV6",-0.196675196,6.311852126,-1.03680081,0.322644725,0.999972288,-4.597945667,-1.146054138,81.41507012,120.2129649,68.20954059,73.55804161,70.04068585,65.8194461,71.96332783,87.88379208,73.76235568,94.81507012,9
"PRKAR2A",0.197466247,8.623626451,1.0257292,0.327602822,0.999972288,-4.599917379,1.146682708,430.6672601,309.4522309,345.4175269,364.6869296,436.4703777,282.1150701,471.4709291,449.5620375,500.5292514,415.5728939,10
"RBM39",0.372538883,6.136181234,1.022465269,0.329075232,0.999972288,-4.600495925,1.294629141,64.60518176,65.76018812,47.61986242,113.9966498,89.66155951,136.5248542,36.40014569,84.67746695,52.37671489,65.01420134,9
"ADAMTS1",0.348907525,5.975452058,0.999938254,0.339371386,0.999972288,-4.604454697,1.273595837,73.52456986,47.8734273,42.58704277,65.26543046,143.0142152,84.86852273,41.41712825,73.81507013,58.26914545,45.97543519,6
"RIOK3",0.436557605,9.975991256,0.999426449,0.339608032,0.999972288,-4.604543937,1.353371212,1194.468431,415.0282218,1091.41507,541.5150701,1244.483263,661.5830269,1616.703562,1390.417225,1863.859167,1061.967442,5
"ARIH1",-0.23017012,4.363910998,-0.989545384,0.344200544,0.999972288,-4.606260634,-1.172973256,21.54502763,28.85527737,19.6307571,27.54835576,15.91833795,27.59706439,16.38454045,21.02361778,15.33482843,17.55879876,6
"SRI",0.438152699,3.381889448,0.968970515,0.353908448,0.999972288,-4.609797005,1.354868373,9.498789406,6.901151247,9.13222855,33.16078922,13.57622176,14.8152371,5.82145553,11.26486986,8.27435215,6.994085397,9
"RBM15",0.443838172,3.640972642,0.966191178,0.355234887,0.999972288,-4.610270704,1.360218268,11.01754458,7.16330214,12.89287533,21.27583969,10.58310004,37.34379031,8.282720054,11.740095,7.149477116,15.34740788,8
"G3BP1",0.145065405,6.303800458,0.961238332,0.357607526,0.999972288,-4.611112456,1.105780783,76.31507012,70.00243389,74.72581249,72.95829428,70.39642197,103.9140817,94.61758808,76.81507012,76.10901807,80.34929436,9
"OSBPL8",-0.790870127,7.161238613,-0.946577659,0.364697472,0.999972288,-4.613585994,-1.730117627,259.9150701,204.0096269,174.8717224,204.9104788,193.5482975,509.209601,20.03845338,98.71507012,42.34757127,230.1167877,10
"VPS13B",-0.191024805,6.175969127,-0.933437595,0.371136996,0.999972288,-4.615779722,-1.141574335,68.34817656,68.60171656,106.4517427,52.28487033,67.27955429,95.77280055,77.85589222,65.54577457,69.22632652,65.71978051,8
"RBPJ",0.233662546,7.789394919,0.929360944,0.373151162,0.999972288,-4.616455799,1.175816189,207.9742461,217.0365008,170.7141043,342.8457607,316.6150701,231.8559879,139.8771394,239.3103025,201.4150701,214.7606263,10
"HCFC2",0.157619393,3.912361734,0.896714817,0.389559791,0.999972288,-4.621791347,1.11544501,15.22893409,11.72281662,15.20099731,17.21471336,19.60541685,11.5497828,16.08106066,15.87519692,16.10220474,13.77336155,3
"SNRPB",0.374410878,4.41061367,0.891432831,0.392261248,0.999972288,-4.622641303,1.296310101,19.19634779,21.04009729,13.81102743,54.39592976,15.12057892,44.51576612,18.95591108,19.28023157,15.92328187,15.93087504,3
"TUG1",-0.188182109,4.7856072,-0.886160533,0.394970692,0.999972288,-4.623485949,-1.139327184,23.97403987,26.02887727,44.21799536,28.51860163,20.12584396,31.53296531,30.34762853,23.24626542,27.45201219,26.340145,4
"CCDC93",0.407901998,6.154261101,0.879141808,0.398597684,0.999972288,-4.624604533,1.326755011,57.23286341,70.46594545,49.47277519,176.573299,63.91402968,183.2782752,54.88125464,48.8266282,42.88863449,70.81507014,5
"CALD1",0.343115608,3.446808176,0.869950474,0.403382012,0.999972288,-4.626059197,1.268493044,9.056084203,6.381001942,13.61581472,11.89799358,8.66284407,31.14581137,8.855518577,12.09627082,8.003359736,10.97442628,7
"UBE2L3",0.276431063,5.926293975,0.866271374,0.405308075,0.999972288,-4.626638216,1.211194923,54.34487418,70.49532622,39.25620823,129.0633223,61.70553991,78.80398394,63.96892656,43.83757017,45.21576343,57.79824596,3
"PSMB2",-0.47751455,7.104511688,-0.855520881,0.410972101,0.999972288,-4.628319395,-1.392342895,118.3952866,333.6833342,132.1939151,268.8150701,137.9707029,214.8055766,58.7738524,93.51507012,51.115182,208.4150701,8
"KCTD12",0.643736723,5.985197844,0.842520356,0.41789313,0.999972288,-4.630330877,1.562370618,114.842835,21.72970108,39.90874343,194.3343727,73.33828172,99.74987081,14.18078493,171.1150701,72.45776369,41.7973692,10
"FXR1",-0.376220921,6.260253318,-0.827759048,0.425846294,0.999972288,-4.632585835,-1.297937506,102.7469972,85.01054981,89.15856444,124.8021415,87.16524517,116.3992434,24.19716196,57.00761633,49.19670638,104.6372623,9
"FAM46A",0.454845435,5.336149527,0.82441726,0.427660758,0.999972288,-4.633092015,1.370635952,36.01060841,35.07661473,26.91774192,70.28492344,69.24329796,132.7698688,22.77180722,22.43358123,20.62281515,49.99659539,7
"AR",-0.125231205,6.773553569,-0.819997027,0.430068683,0.999972288,-4.633759084,-1.090682511,115.1099623,127.3269664,107.216502,127.5568895,91.77628561,106.9929958,92.5991144,103.2150701,100.4615079,130.0150701,4
"RBM5",0.222221464,5.312591101,0.809875628,0.435616187,0.999972288,-4.6352759,1.166528427,25.14475749,34.82374153,51.87340548,33.89175763,38.92911567,32.79271444,44.16676357,32.25410329,63.80859189,55.01985108,9
"CYCS",0.164729198,5.032490635,0.801460488,0.440264319,0.999972288,-4.636525673,1.120955649,26.66304608,35.49976232,29.14210983,35.88446084,24.29325995,51.38799449,32.02454802,31.74747629,33.63136582,33.37793979,3
"CBR4",0.270940144,4.748153427,0.801033177,0.440501213,0.999972288,-4.636588859,1.206593859,30.93597324,19.24966337,21.97073378,44.38825827,23.37627614,52.02082293,18.80378633,19.89125469,21.93034799,33.9203957,6
"CIAPIN1",-0.483442565,6.738589102,-0.768550211,0.458753252,0.999972288,-4.641312974,-1.398075784,131.7941676,257.197299,72.61130583,272.0436192,130.0619461,175.5882384,46.11236748,59.26078816,35.94826795,128.3691339,10
"ZFHX3",0.174551299,5.791140246,0.766028009,0.460190549,0.999972288,-4.64167319,1.128613334,51.04575224,38.80041354,66.49361358,68.03368266,48.71613796,85.54646824,43.47219019,54.33579133,55.3611142,55.51266502,9
"PTPN13",-0.136406252,4.566175145,-0.75438877,0.466860549,0.999972288,-4.643323003,-1.09916369,33.40559331,18.99592974,25.55161131,21.58797577,24.9651043,20.81975212,23.43592961,25.70607183,26.00841547,19.52567909,6
"TUBB4B",-0.676008025,7.705481447,-0.749851312,0.469477354,0.999972288,-4.643960585,-1.59771272,233.946343,903.0506414,115.1494925,499.4150701,349.4818351,547.1150701,56.62957354,65.75756903,61.14185884,296.7751033,7
"IFI16",0.244101312,4.650920039,0.711776269,0.491798918,0.999972288,-4.649185451,1.184354779,26.27866538,14.23506996,29.71150087,40.57603094,23.89719639,34.02801457,16.10207402,35.55164726,29.45234545,16.19803491,10
"RBFOX2",-0.219386495,8.18001865,-0.697329281,0.500436811,0.999972288,-4.651108495,-1.16423839,313.2649443,405.5742311,264.2401504,327.0860468,199.939282,427.0085011,191.9157601,243.9194727,202.4279106,473.9195841,3
"WSB1",0.094843961,2.2326112,0.694315701,0.502250197,0.999972288,-4.651505452,1.067949895,4.173134978,4.101276637,5.283363376,5.356607768,4.654947344,4.654947344,4.897453255,4.537608952,5.311829784,4.244011127,4
"RBMS1",-0.172392687,7.366704196,-0.691274701,0.50408411,0.999972288,-4.651904551,-1.126925925,241.8534081,152.4338323,156.7268818,141.0916467,136.6126629,204.6015408,110.949694,159.3592408,151.8481448,245.1310007,9
