"","C_JK.C.05.07.CEL","C_JK.C.12.07.CEL","C_JK.C.35.96.CEL","C_JK.C.39.97.CEL","C_JK.CC2.CEL","C_JK.CC4.CEL","P_LC.04.06.CEL","P_LC.299.99.CEL"
"MOB1A",10.02034843,26.13563388,12.66098336,28.73326254,12.66098336,9.468379124,10.29999747,13.78181374
"ZFYVE26",2.894330998,2.714543548,2.611348649,2.489926856,2.843187486,2.169335802,2.572850629,3.019682322
"CYCS",3.333609832,8.621472377,10.87699581,12.41736819,5.616347131,3.046353309,2.672730498,6.535418292
"SCN1B",15.05441663,32.35635442,36.0549035,32.35635442,36.0549035,15.84371373,32.35635442,43.94450424
"UBE2W",3.882587309,6.583432123,4.427465723,4.25304621,4.538576027,3.320721269,3.942382499,10.19730016
"MED13L",7.812139944,4.40146997,6.543076035,3.754654851,3.635279429,6.745428352,5.128010253,6.419079516
"CBR4",6.643365293,6.128005569,3.635279429,2.801940806,5.71915504,8.232299975,6.439960071,9.661311292
"DDX17",959.86853,290.7153044,356.9911152,304.2040843,417.1648223,670.660024,322.6280603,275.4525065
"RBM15",4.358053232,5.306299895,7.468504958,6.410942653,3.332184892,3.667148148,2.661132144,7.342292891
"TNFAIP3",27.67244372,10.77775276,16.40579711,8.160568549,6.254525818,10.94881389,8.053538554,10.46238919
"CIAPIN1",9.110123379,52.60457184,33.21824296,53.68252849,17.96461962,7.569130485,12.07764199,15.9373344
"ETV6",7.198439221,5.95457882,10.9737938,5.306299895,9.414923426,8.827102086,4.598654497,8.658110682
"POGZ",2.531259113,2.147859346,1.919452279,2.104931762,2.286145193,4.138949888,4.339878901,2.502484778
"PTPN13",16.55636756,2.738457104,3.267984495,2.639197757,6.118171509,9.077327272,3.267984495,3.517864873
"TIA1",10.0202327,4.850020173,5.306299895,5.306299895,6.731807142,4.946478715,5.37831456,4.337039851
"RBPJ",122.7153044,63.93195684,64.16373504,45.03756506,70.61168959,99.21255429,67.62955108,60.36335022
"ABHD2",12.48261208,29.51018366,12.54931443,12.54931443,15.92801322,7.491174745,10.18911507,19.28916129
"RBFOX2",45.58050495,44.21287774,45.91259334,61.27086458,43.95994358,36.90731929,42.99289901,53.09445925
