"","C_GSM764196.CEL","C_GSM764197.CEL","C_GSM764198.CEL","P_GSM764189.CEL","P_GSM764190.CEL","P_GSM764191.CEL","P_GSM764192.CEL","P_GSM764193.CEL","P_GSM764194.CEL","P_GSM764195.CEL"
"ALMS1",25.05158011,20.04279905,21.51684358,29.39774844,26.09897875,24.9860151,22.73203419,25.12715746,21.09645245,24.29024687
"RPS29",32.39152186,26.80595909,28.56529856,34.09343779,40.72205084,27.53263486,31.73529287,36.94935491,30.50947713,30.65316753
"SLC16A7",11.91631538,8.672333487,12.49030131,43.07215426,12.79157528,20.0844832,13.36235695,10.94367715,11.04258746,13.02985783
"MMRN2",105.8046244,90.95882054,108.4924218,139.7924218,99.27779763,138.5680156,126.2538208,98.08754956,96.29205727,132.7598508
"POGZ",283.9743495,284.7925365,268.5656722,295.0924218,308.0432122,357.648461,296.2924218,322.1714359,308.0739827,264.6925685
"GNAI3",222.1582463,198.4273348,190.2110231,281.2524315,216.558302,285.7286022,211.5059136,213.1367339,199.2994573,220.4924218
"RPL12",3665.9734,3757.111247,3302.012967,3786.237103,3681.301115,3806.988881,3453.748436,4357.792422,4106.078774,4247.393425
"ETV6",26.46728771,23.45198318,22.3969033,30.27865009,37.62202482,24.82025923,23.84999817,23.08277416,30.27865009,25.89332237
"NACA",3382.873157,2815.692422,2516.955436,3795.771833,3157.109613,3337.692422,2938.868123,3205.05451,2908.779231,3141.453672
"SCN1B",1204.367699,1341.449649,1417.397136,846.3228946,1143.243108,1015.294043,1561.842631,1122.956567,1228.476051,1189.375469
"OSBPL3",17.60739056,59.07982513,29.75136463,20.80022093,24.85688516,27.69264859,34.19634039,19.62460448,14.89808468,25.49059578
"RAB31",125.9883923,104.0020032,87.49246013,235.5730887,81.56043251,156.9924218,108.5348468,126.4924218,140.0994568,120.4204358
"SNRPB",474.8513452,505.3035212,465.6924218,431.1995546,462.3711823,478.6924218,458.7874388,418.1769929,457.3431589,450.4204463
"PLEKHB1",33.85179594,73.70199587,40.91724192,21.80726757,31.07946883,33.76092195,35.80466763,41.21802614,64.06074906,37.2310004
"RBPJ",21.68781128,21.97569615,20.50182991,24.14052919,24.93761066,27.4329366,20.52396275,19.94701561,22.8093089,25.47183163
"SKIV2L2",233.4490797,282.4250789,243.0288157,287.5519966,344.2746991,319.7176975,262.53876,260.9090232,261.7804181,238.4050294
"CRYL1",91.60705309,77.64234844,76.49290574,100.7737654,75.37881469,110.4592122,76.37758133,88.692448,90.41854381,106.0660528
"RBFOX2",538.8305991,585.0686661,527.8862053,535.2857949,677.8447217,745.8638601,608.108189,550.1997543,621.2675435,540.5090289
"ANXA1",503.7890698,227.3974748,332.1961331,1578.256902,238.7931808,720.9510175,398.0924218,617.2411519,331.5223428,399.5401188
"HMOX2",105.6479477,131.8876993,116.175216,118.4003324,113.9738239,131.3391107,136.1799199,115.9958288,147.2595655,147.1800525
"LPP",22.87459291,27.11740148,24.51908703,25.19171017,28.15134859,20.30323024,29.03346428,44.83712727,30.83116385,30.65142366
"TBCB",386.9924218,337.9924218,308.4062102,436.0186923,368.6742449,470.9377578,294.6112493,385.0262123,448.9618313,343.1083418
"PTPRB",92.49242992,94.62963651,127.5014486,89.96857216,87.87486704,114.0760798,97.84183082,57.45700198,54.96566267,114.3281568
"SFPQ",165.2058422,186.7924218,170.9489724,187.2534235,231.9715537,217.810338,184.3924218,161.1407796,175.2776349,191.7765505
"AR",77.78311781,76.39583518,76.73708127,68.57830607,60.55111864,67.12392726,98.43108865,60.71839436,67.84315776,63.56350149
"MTDH",196.6486938,222.9512578,228.4914079,269.1924218,284.868787,288.878147,223.6218758,189.9512335,245.2563837,208.6924218
"MCL1",466.7924218,571.9050503,429.5788774,387.5524774,535.4481961,448.9575568,431.171852,465.3536657,446.1870261,373.9025051
"RPS16",3865.153679,4622.792422,4807.592422,3926.092422,5368.192422,4967.974411,4694.577808,5233.268477,5579.214983,4509.598951
"RANBP2",253.0447404,330.2577963,254.6618824,428.5033981,423.9953235,445.0090301,280.2083259,249.528231,267.9092223,272.2340009
"RBM15",66.18686542,75.78698289,64.90096578,65.97137555,99.69678091,144.2537049,69.1806665,76.42248672,75.75666203,65.06603055
"JAG1",24.49385685,16.99784548,24.70148455,27.98830621,25.05429676,35.01697815,26.46405945,24.98490269,23.31988584,17.25866689
"IL13RA1",63.38127949,53.16789673,51.63191556,131.3924218,68.69546842,95.87871542,63.08848669,38.83763301,59.5013969,64.53243489
