"","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL"
"AR",19.61673554,20.2539573,19.47500342,22.85796473,21.90770286,22.89785842,23.62357386,27.89625944,21.30453138,19.25581014,22.27534003,20.7869895,19.89112908,19.29690896,20.90826567,23.75570064,25.90510607,19.22186565,20.00279328,18.39392998,21.95008099,16.62837359,18.97606583,19.0373538
"CCDC93",28.76980282,36.25668801,40.411841,27.63749787,31.97295849,28.17569655,31.48420822,29.5085273,46.00336204,25.33814019,26.39114165,27.17325422,26.0934402,23.32481335,24.47243342,23.9685116,26.51807233,27.28327866,27.586577,28.52717024,32.47416142,25.36832203,37.26410763,29.18314553
"PPFIBP1",121.973,68.00762279,63.57053724,57.13658475,44.72824512,56.5070538,42.36189083,50.98089393,42.93355721,64.40778495,154.1074438,85.49447995,76.78686913,79.51617149,75.66453438,84.42870849,54.02632647,151.7705842,110.6156419,62.61291401,74.86838972,44.72704883,66.31984156,62.18364421
"SRI",1380.04681,780.8395171,1302.524993,1076.941458,1054.970019,449.8203398,1198.596768,699.6394292,829.895558,1313.440586,1033.958528,827.4097826,849.2726261,938.8166595,1500.383263,1519.533498,819.4502133,1323.500202,1181.776609,1442.264819,1465.73524,908.1837965,1568.290634,1179.547829
"ZNF148",257.819464,177.0301324,82.28422462,151.8807522,101.3809522,325.8855392,140.7853823,228.140571,129.4090859,163.6633073,198.9743318,241.9545748,256.6737692,194.4291562,231.5191925,212.7807264,152.2698884,285.0249929,319.462902,184.4136817,121.777226,188.9217043,269.1158268,332.3864275
"PHTF2",33.34560345,30.98284176,53.60560047,24.27291446,67.97400076,40.40222829,33.7876294,31.19874307,31.76621795,45.41142107,34.51005216,32.09722559,33.26842041,26.51283775,25.19983245,27.01606608,26.47070902,28.08327962,33.56536821,45.03846351,39.02640449,21.02895292,36.66433851,35.78093112
"RIOK3",934.4070588,813.5998489,1429.076383,505.9732173,708.9388519,636.6321816,612.3976886,371.1035952,1351.228242,780.0971166,1145.661397,1624.365663,1510.543322,1258.881058,722.6131932,698.0402876,401.8748664,823.6358349,854.0293307,1361.150689,992.9891892,323.0795863,838.3282647,1139.145661
"CIAPIN1",159.6149995,198.7278193,85.77118547,256.2306676,142.8721423,247.6754867,152.6210314,246.2250718,93.64989119,145.6888513,107.6195139,71.27809425,128.2614216,84.9798815,105.5086784,146.2138797,393.3280703,190.721204,142.6295254,114.0174022,102.2735271,264.122422,171.03235,159.7142745
"TNFAIP3",71.54173105,122.3111802,105.5099305,51.44201629,132.9600943,51.00973842,79.96473388,62.24374881,88.23295088,64.94575437,514.4580968,228.1382853,112.8222347,149.0602203,131.0633615,104.7306541,54.23333523,129.62177,102.1985166,79.53074658,125.6117112,65.0124307,60.0940796,78.40556241
"RBM15",313.4088036,206.5752353,200.6082511,190.686697,291.6571752,375.7333261,205.9390967,189.5895672,179.1571059,194.9065014,217.6972301,229.6917115,219.3406515,204.0185687,246.8166674,209.5669797,234.8232989,291.9833262,251.2751262,188.9853052,180.6987727,190.3330866,141.0471063,238.5865069
"FAM120A",1955.251845,1393.170826,1718.524993,1351.219951,1749.461352,1076.073834,1333.695884,1268.49058,1575.684406,1623.191659,2090.518311,2056.566811,2127.358804,1902.927489,1813.77686,1599.103508,936.1671527,1502.107951,1753.54436,1774.024993,1967.073038,1236.289255,1596.274993,1339.195457
"RAP1GDS1",1044.406689,1001.23822,321.8039287,1263.725617,680.0230395,1013.522258,914.2609582,1639.087006,446.8147748,1001.358843,351.6916595,267.8918568,487.2767022,450.7869216,729.0762191,820.3596615,1443.871758,1032.8015,1271.807682,564.7657396,477.9409726,1252.024993,790.0249928,812.7333261
"ETV6",35.28361233,55.42593655,60.12365866,45.89413022,61.84966581,43.99288283,36.03875392,50.59151941,44.27904506,53.35617854,38.58579111,44.29270205,43.81672855,41.34752707,34.15609883,35.30944085,41.7456944,62.76808888,44.87254205,41.44966825,45.96098722,37.70101201,33.30787106,51.06856758
"MCL1",27.71008397,51.20848135,29.37866976,27.29453493,44.59099955,43.76327002,35.39386217,26.56442015,33.45399158,25.92339604,38.84792804,31.22945095,18.60661622,32.6404676,24.93949908,42.54604275,20.64985627,30.24211965,34.05440497,28.9128964,28.10339874,13.61370965,28.94333899,56.64371055
"SKIV2L2",277.4416597,291.5185844,156.8365205,244.1661635,139.3418578,347.3059665,272.9279566,232.5930616,167.5523038,239.9274475,228.2346123,229.0235875,283.1796476,240.4296618,327.2479283,263.7079631,360.8324671,366.1499928,388.9165005,228.7899458,206.6896708,274.1083265,387.1083261,326.3846619
"SLC16A7",50.16616864,48.55873303,44.36649965,69.30165262,45.78739188,66.15103993,57.00644654,61.22423928,45.86269613,47.69626567,34.53217555,28.88774432,45.15757484,41.60405487,38.91353259,43.33552772,43.12462646,94.66216819,91.97303811,55.13841983,38.57497785,34.47448722,53.09827448,59.57707751
"RANBP2",569.7059444,372.7362401,169.1605765,243.5106729,217.687772,677.6147074,267.6623069,313.0539202,235.5254523,295.0208478,298.1040017,431.6397535,410.5944028,334.2829547,659.2288736,334.1277814,504.8191814,623.573185,594.697832,252.8583307,194.7923991,340.2015197,572.8821597,784.7999054
"ABHD2",315.4466065,353.089459,315.0052739,354.1069067,331.6719915,301.5777441,227.8019986,317.2794745,286.260533,358.149337,299.2081567,269.4481272,315.9416595,380.0895024,175.0312803,241.4246361,160.706563,300.1953601,376.953923,333.6762997,322.5192566,230.7206016,294.4561072,235.2920477
"HCFC2",67.38682231,59.83203125,80.3949357,48.43643121,57.13837058,60.32069039,49.18963744,55.60411903,59.54468569,56.46183668,61.59919531,68.16914282,74.34677948,73.47085666,82.01210433,70.22079459,58.76143144,69.11430388,97.26088557,57.94368839,66.13354865,39.76782706,69.74697389,55.60172724
"SUN1",564.8982072,486.7162997,326.7958261,386.5711542,307.180821,479.3806204,523.7309676,604.7376282,362.1766854,350.2921611,527.3675208,713.7939518,575.7110992,399.4556879,480.5666595,604.1265809,571.074021,510.0572748,399.8225897,462.7828228,487.2333261,456.8100547,590.6280111,694.9266073
"PSMB2",182.0838817,240.0257223,225.2334022,326.8818434,222.8716925,326.2028724,229.3916179,269.5027236,258.0852696,249.9237846,189.7656731,183.9029225,155.1852732,242.1318693,226.4143947,202.3883307,253.9577891,230.7591328,236.6916833,185.1702876,232.2908648,364.9200014,260.1193506,197.5807964
"SNRPB",209.1928892,478.2472531,178.6384625,353.7333261,229.1217104,436.0749993,300.249374,365.7425463,98.85719313,284.3121637,248.1083331,239.8486246,270.2088873,178.1991212,258.5868995,338.0580253,430.5731164,326.3212001,220.2388384,145.6268459,218.8423721,536.8863857,298.1152617,229.6343226
"OSBPL8",1094.576929,440.4785218,574.4324665,620.1499928,947.5447736,721.8166595,742.1783494,755.3237571,274.1488569,718.7060909,451.8781151,621.6499928,455.6940733,614.5164707,1000.108326,534.1842877,409.4268814,659.7684346,731.3392424,831.2875399,290.3262343,651.7597799,985.8704785,1055.371318
"FOSL2",54.94648413,110.4424273,88.88576451,85.99514851,92.13726111,90.95451753,73.99909194,57.78943109,87.86231323,76.40079238,75.15823262,80.52524064,60.44506373,107.5307546,55.27389755,73.4457155,71.23543452,82.94122599,73.33256495,73.72868788,73.24770563,70.12587424,53.93365724,65.76377123
