"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"128629","false","4.10185706","0.0","NA",,,"0.24379202","0.0","false","1","8","false",,"HMOX2","HMOX2","21.0","1","0",,"0","0.68981429","false","0","HMOX2","0","0.0"
"128630","false","3.6328081","0.00339552","NA",,,"0.27526915","0.0","false","4","6","false",,"LASP1","LASP1","143.75","4","0","false","0","0.73671919","false","0","LASP1","329922","0.25628366"
"128631","false","4.07118739","0.0","NA",,,"0.24562859","1.0","false","2","8","false",,"MED1","MED1","54.0","2","0","false","0","0.69288126","false","0","MED1","0","0.65853659"
"128632","false","3.90236353","8.746E-5","NA",,,"0.25625496","0.33333333","false","5","6","false",,"CTBP1","CTBP1","45.5","5","0",,"1","0.70976365","false","0","CTBP1","13968","0.27259036"
"128633","false","4.12830613","2.1888E-4","NA",,,"0.2422301","0.0","false","2","8","false",,"RAB8A","RAB8A","14.0","2","0",,"0","0.68716939","false","0","RAB8A","71344","0.5"
"128634","false","4.07512662","0.0","NA",,,"0.24539115","0.0","false","2","6","false",,"UBE2L6","UBE2L6","37.0","2","0",,"1","0.69248734","false","0","UBE2L6","0","0.0"
"128635","false","3.92346652","0.0","NA",,,"0.25487665","0.0","false","1","8","false",,"HOXA3","HOXA3","186.0","1","0","false","0","0.70765335","false","0","HOXA3","0","0.0"
"128636","false","4.0073157","0.0","NA",,,"0.2495436","0.0","false","1","6","false",,"ZZZ3","ZZZ3","62.0","1","0",,"0","0.69926843","false","0","ZZZ3","0","0.0"
"128637","false","4.55346089","0.0","NA",,,"0.21961317","0.0","false","1","8","false",,"KIRREL","KIRREL","54.0","1","0","false","0","0.64465391","false","0","KIRREL","0","0.0"
"128638","false","4.07512662","0.0","NA",,,"0.24539115","0.0","false","1","6","false",,"PCBP3","PCBP3","37.0","1","0","false","0","0.69248734","false","0","PCBP3","0","0.0"
"128639","false","4.01266179","0.0","NA",,,"0.24921114","0.0","false","1","7","false",,"EIF5A2","EIF5A2","213.0","1","0",,"0","0.69873382","false","0","EIF5A2","0","0.0"
"128640","false","3.92346652","0.0","NA",,,"0.25487665","0.0","false","1","8","false",,"ZNF32","ZNF32","186.0","1","0",,"0","0.70765335","false","0","ZNF32","0","0.0"
"128641","false","4.02335397","3.224E-5","NA",,,"0.24854885","0.0","false","2","6","false",,"TWIST2","TWIST2","42.5","2","0",,"0","0.6976646","false","0","TWIST2","6382","0.52531646"
"128642","false","4.11395611","0.0","NA",,,"0.24307503","0.0","false","1","8","false",,"NANOS2","NANOS2","34.0","1","0",,"0","0.68860439","false","0","NANOS2","0","0.0"
"128643","false","4.55346089","0.0","NA",,,"0.21961317","0.0","false","1","8","false",,"KIAA0753","KIAA0753","54.0","1","0",,"0","0.64465391","false","0","KIAA0753","0","0.0"
"128644","false","3.67585819","2.1066E-4","NA",,,"0.27204532","0.33333333","false","3","6","false",,"RPS9","RPS9","128.0","3","0",,"0","0.73241418","false","0","RPS9","54010","0.36268939"
"128645","false","3.97861564","0.0","NA",,,"0.25134371","0.0","false","1","6","false",,"CDC42EP1","CDC42EP1","120.0","1","0",,"0","0.70213844","false","0","CDC42EP1","0","0.0"
"128646","false","3.89898706","1.912E-5","NA",,,"0.25647687","0.0","false","2","6","false",,"NUP107","NUP107","36.5","2","0",,"0","0.71010129","false","0","NUP107","3988","0.50714286"
"128647","false","4.06612268","0.0","NA",,,"0.24593454","0.0","false","1","6","false",,"EPRS","EPRS","52.0","1","0","false","0","0.69338773","false","0","EPRS","0","0.0"
"128648","false","3.94850872","7.717E-5","NA",,,"0.25326017","0.0","false","3","6","false",,"FAF1","FAF1","40.33333333","3","0","false","0","0.70514913","false","0","FAF1","20294","0.36085627"
"128649","false","3.97974114","1.2478E-4","NA",,,"0.25127262","0.0","false","2","7","false",,"GPRASP2","GPRASP2","72.0","2","0",,"0","0.70202589","false","0","GPRASP2","12544","0.5035461"
"128650","false","3.85087226","5.1558E-4","NA",,,"0.25968143","0.0","false","5","6","false",,"JMJD6","JMJD6","27.2","5","0",,"0","0.71491277","false","0","JMJD6","216668","0.20793651"
"128651","false","3.21722003","0.0017895","NA",,,"0.31082736","0.0","true","5","7","false",,"NAA50","NAA50","33.6","5","0",,"0","0.778278","false","0","NAA50","138370","0.20375"
"128652","false","3.91249297","0.0","NA",,,"0.25559151","0.0","false","1","6","false",,"FXR2","FXR2","58.0","1","0",,"0","0.7087507","false","0","FXR2","0","0.0"
"128653","false","3.63055712","5.5782E-4","NA",,,"0.27543982","0.0","false","2","7","false",,"NAP1L1","NAP1L1","219.5","2","0","false","0","0.73694429","false","0","NAP1L1","87634","0.50813953"
"128654","false","4.11705121","0.0","NA",,,"0.24289229","0.0","false","1","8","false",,"CIAO1","CIAO1","30.0","1","0","false","0","0.68829488","false","0","CIAO1","0","0.0"
