"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10407","false","3.52555556","2.4465E-4","NA","0.28364324","0.0","false","2","5","false","MAPK8","MAPK8","190.0","2","0","0","0.49488889","false","0","MAPK8","39764","0.50943396"
"10408","false","3.47611111","0.0","NA","0.2876778","0.0","false","1","5","false","DDX17","DDX17","282.0","1","0","0","0.50477778","false","0","DDX17","0","0.0"
"10409","false","3.56527778","4.035E-5","NA","0.28048305","0.0","false","4","4","false","KIT","KIT","76.0","4","0","1","0.48694444","false","0","KIT","9076","0.35714286"
"10410","false","3.28416667","7.0708E-4","NA","0.30449125","0.1","false","5","4","false","CSNK2B","CSNK2B","112.0","5","0","0","0.54316667","false","0","CSNK2B","104768","0.21800391"
"10411","false","3.63888889","2.171E-5","NA","0.27480916","0.0","false","2","4","false","BAX","BAX","71.0","2","0","0","0.47222222","false","0","BAX","3268","0.51094891"
"10412","false","3.56972222","1.5959E-4","NA","0.28013384","0.0","false","2","4","false","VCL","VCL","195.5","2","0","0","0.48605556","false","0","VCL","25104","0.50651042"
"10413","false","3.77444444","4.65E-5","NA","0.26493965","0.0","false","2","5","false","SNTB2","SNTB2","56.5","2","0","0","0.44511111","false","0","SNTB2","4366","0.50917431"
"10414","false","3.31055556","6.502E-5","NA","0.3020641","0.0","false","3","4","false","CCND1","CCND1","121.33333333","3","0","0","0.53788889","false","0","CCND1","11000","0.3498062"
"10415","false","3.39722222","9.899E-5","NA","0.29435814","0.0","false","2","5","false","PPIA","PPIA","178.0","2","0","0","0.52055556","false","0","PPIA","17668","0.51156069"
"10416","false","3.68111111","1.193E-5","NA","0.27165711","0.0","false","2","5","false","SNRP70","SNRP70","76.5","2","0","0","0.46377778","false","0","SNRP70","2790","0.52068966"
"10417","false","3.575","0.0","NA","0.27972028","0.0","false","1","5","false","B2M","B2M","285.0","1","0","0","0.485","false","0","B2M","0","0.0"
"10418","false","3.97611111","0.0","Neurons","0.25150203","0.0","false","1","5","false","ERC2","ERC2","40.0","1","0","0","0.40477778","false","0","ERC2","0","0.0"
"10419","false","3.74805556","0.0","NA","0.26680501","0.0","false","1","5","false","ABL2","ABL2","23.0","1","0","0","0.45038889","false","0","ABL2","0","0.0"
"10420","false","3.59055556","4.374E-5","NA","0.27850843","0.0","false","2","5","false","SPRY2","SPRY2","106.5","2","0","0","0.48188889","false","0","SPRY2","10654","0.52227723"
"10421","false","3.58472222","3.17E-6","Neurons","0.27896164","0.0","false","2","5","false","SH3GL2","SH3GL2","53.5","2","0","0","0.48305556","false","0","SH3GL2","744","0.51470588"
"10422","false","3.59861111","8.31E-6","NA","0.27788499","0.0","false","2","5","false","LCP2","LCP2","76.5","2","0","0","0.48027778","false","0","LCP2","1292","0.51013514"
"10423","false","3.80583333","0.0","NA","0.26275454","0.0","false","1","5","false","PDE4D","PDE4D","122.0","1","0","0","0.43883333","false","0","PDE4D","0","0.0"
