"","SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared.name","Stress","TopologicalCoefficient","C9","VCP"
"4179",130836,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","VPS8","VPS8",NA,NA,NA,NA,NA,"false",NA,"VPS8",NA,NA,FALSE,TRUE
"4180",130837,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","PIK3C2B","PIK3C2B",NA,NA,NA,NA,NA,"false",NA,"PIK3C2B",NA,NA,FALSE,FALSE
"4181",130838,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","SHKBP1","SHKBP1",NA,NA,NA,NA,NA,"false",NA,"SHKBP1",NA,NA,FALSE,FALSE
"4182",130839,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","ADAM12","ADAM12",NA,NA,NA,NA,NA,"false",NA,"ADAM12",NA,NA,FALSE,FALSE
"4183",130840,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","PRKACB","PRKACB",NA,NA,NA,NA,NA,"false",NA,"PRKACB",NA,NA,FALSE,FALSE
"4184",130841,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","DTX1","DTX1",NA,NA,NA,NA,NA,"false",NA,"DTX1",NA,NA,FALSE,FALSE
"4185",130842,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","SYT11","SYT11",NA,NA,NA,NA,NA,"false",NA,"SYT11",NA,NA,FALSE,FALSE
"4186",130843,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","SH2B","SH2B",NA,NA,NA,NA,NA,"false",NA,"SH2B",NA,NA,FALSE,FALSE
"4187",130844,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","PNRC2","PNRC2",NA,NA,NA,NA,NA,"false",NA,"PNRC2",NA,NA,FALSE,FALSE
"4188",130845,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","TRIP12","TRIP12",NA,NA,NA,NA,NA,"false",NA,"TRIP12",NA,NA,FALSE,FALSE
"4189",130846,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","TAF12","TAF12",NA,NA,NA,NA,NA,"false",NA,"TAF12",NA,NA,FALSE,FALSE
"4190",130847,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","DCP1A","DCP1A",NA,NA,NA,NA,NA,"false",NA,"DCP1A",NA,NA,FALSE,FALSE
"4191",130848,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","DROSHA","DROSHA",NA,NA,NA,NA,NA,"false",NA,"DROSHA",NA,NA,FALSE,FALSE
"4192",130849,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","BBS5","BBS5",NA,NA,NA,NA,NA,"false",NA,"BBS5",NA,NA,FALSE,FALSE
"4193",130850,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","HAUS6","HAUS6",NA,NA,NA,NA,NA,"false",NA,"HAUS6",NA,NA,FALSE,FALSE
"4194",130851,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","NCBP2","NCBP2",NA,NA,NA,NA,NA,"false",NA,"NCBP2",NA,NA,FALSE,FALSE
"4195",130852,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","ORC3","ORC3",NA,NA,NA,NA,NA,"false",NA,"ORC3",NA,NA,FALSE,FALSE
"4196",130853,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","BBS12","BBS12",NA,NA,NA,NA,NA,"false",NA,"BBS12",NA,NA,FALSE,FALSE
"4197",130854,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","HAUS4","HAUS4",NA,NA,NA,NA,NA,"false",NA,"HAUS4",NA,NA,FALSE,FALSE
"4198",130855,"false",NA,NA,"Endothelial","","",NA,NA,"false",NA,NA,"","","ZC3HAV1","ZC3HAV1",NA,NA,NA,NA,NA,"false",NA,"ZC3HAV1",NA,NA,FALSE,FALSE
"4199",130856,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","IFNAR1","IFNAR1",NA,NA,NA,NA,NA,"false",NA,"IFNAR1",NA,NA,FALSE,FALSE
"4200",130857,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","HJURP","HJURP",NA,NA,NA,NA,NA,"false",NA,"HJURP",NA,NA,FALSE,FALSE
"4201",130858,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","EP400","EP400",NA,NA,NA,NA,NA,"false",NA,"EP400",NA,NA,FALSE,FALSE
"4202",130859,"true",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","AR","AR",NA,NA,NA,NA,NA,"false",NA,"AR",NA,NA,FALSE,FALSE
"4203",130860,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","BBS7","BBS7",NA,NA,NA,NA,NA,"false",NA,"BBS7",NA,NA,FALSE,FALSE
