Entity 1	Entity 2	Weight	Network group	Networks
COX7B	UQCR11	0.105849511	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFAB1	UQCRC2	0.105368865	Co-expression	"[Bild-Nevins-2006 B, Chen-Brown-2002, Gysin-McMahon-2012, Kang-Willman-2010, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wang-Maris-2006]"
COX6B1	NDUFA1	0.104947759	Co-expression	"[Bild-Nevins-2006 B, Chen-Brown-2002, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
COX7B	NDUFB1	0.104820001	Co-expression	"[Bild-Nevins-2006 B, Cheok-Evans-2003, Mallon-McKay-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
ATP5G3	ATP5C1	0.104417617	Co-expression	"[Burington-Shaughnessy-2008, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFA7	UQCR11	0.104279243	Co-expression	"[Bahr-Bowler-2013, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Mallon-McKay-2013, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
ATP5J	NDUFB6	0.103729242	Co-expression	"[Bahr-Bowler-2013, Burington-Shaughnessy-2008, Chen-Brown-2002, Innocenti-Brown-2011, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
NDUFV1	NDUFS8	0.103519767	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Mallon-McKay-2013, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFAB1	ATP5G3	0.103321706	Co-expression	"[Bahr-Bowler-2013, Chen-Brown-2002, Gysin-McMahon-2012, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
UQCRH	COX7B	0.103194832	Co-expression	"[Bild-Nevins-2006 B, Gysin-McMahon-2012, Innocenti-Brown-2011, Mallon-McKay-2013, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wu-Garvey-2007]"
COX7C	ATP5O	0.103081459	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Bild-Nevins-2006 B, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFB7	NDUFA13	0.102806979	Co-expression	"[Bahr-Bowler-2013, Chen-Brown-2002, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
NDUFB1	COX5B	0.101974952	Co-expression	"[Bild-Nevins-2006 B, Cheok-Evans-2003, Gysin-McMahon-2012, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
NDUFB5	COX7B	0.101251153	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Chen-Brown-2002, Gysin-McMahon-2012, Rieger-Chu-2004, Roth-Zlotnik-2006, Wang-Maris-2006, Wu-Garvey-2007]"
UQCRQ	NDUFA2	0.101010923	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Gysin-McMahon-2012, Kang-Willman-2010, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
COX8A	COX6B1	0.099995541	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Cheok-Evans-2003, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFB7	NDUFS7	0.099392975	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
COX7A2	ATP5I	0.098989782	Co-expression	"[Bahr-Bowler-2013, Burington-Shaughnessy-2008, Cheok-Evans-2003, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
COX6B1	NDUFB8	0.09820072	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Mallon-McKay-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFB1	ATP5I	0.097288293	Co-expression	"[Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFA1	COX5B	0.097128793	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Innocenti-Brown-2011, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
COX6B1	NDUFB1	0.097078827	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFAB1	COX7B	0.09680952	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Chen-Brown-2002, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wu-Garvey-2007]"
NDUFA9	ATP5G3	0.096555524	Co-expression	"[Chen-Brown-2002, Mallon-McKay-2013, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFA1	NDUFC1	0.096240058	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Innocenti-Brown-2011, Mallon-McKay-2013, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wu-Garvey-2007]"
UQCRB	ATP5L	0.095745237	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Smirnov-Cheung-2009]"
COX7C	ATP5I	0.095510486	Co-expression	"[Arijs-Rutgeerts-2009, Cheok-Evans-2003, Gysin-McMahon-2012, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wu-Garvey-2007]"
UQCRC1	NDUFS8	0.095159525	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Cheok-Evans-2003, Gysin-McMahon-2012, Kang-Willman-2010, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
COX6B1	COX4I1	0.095158107	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Cheok-Evans-2003, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
UQCRQ	COX7C	0.094574529	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Cheok-Evans-2003, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFA1	UQCRB	0.09453528	Co-expression	"[Chen-Brown-2002, Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
NDUFS2	SDHC	0.094485496	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Kang-Willman-2010, Salaverria-Siebert-2011]"
COX7C	COX7B	0.094020546	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wu-Garvey-2007]"
ATP5J	UQCR11	0.093757811	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
COX8A	ATP5D	0.093570892	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wu-Garvey-2007]"
NDUFB5	SDHD	0.093416828	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Burington-Shaughnessy-2008, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
MT-CO3	MT-ND2	0.093414875	Co-expression	"[Bahr-Bowler-2013, Kang-Willman-2010, Roth-Zlotnik-2006]"
UQCRFS1	ATP5G3	0.093245392	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Chen-Brown-2002, Cheok-Evans-2003, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
COX5A	ATP5G3	0.092689009	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Ramaswamy-Golub-2001, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
COX6B1	COX7B	0.091817247	Co-expression	"[Arijs-Rutgeerts-2009, Chen-Brown-2002, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
COX5B	NDUFB9	0.091200206	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Roth-Zlotnik-2006]"
UQCRH	COX7C	0.08996199	Co-expression	"[Bahr-Bowler-2013, Cheok-Evans-2003, Innocenti-Brown-2011, Kang-Willman-2010, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFA1	ATP5H	0.089468692	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
COX6B1	NDUFA13	0.089197137	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Perou-Botstein-1999, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ATP5G1	ATP5H	0.08847978	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Cheok-Evans-2003, Kang-Willman-2010, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
