GeneSymbol,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL
COPG1,21.08598006,14.16521255,14.8920857,18.78620241,16.87252541,12.76800139,10.95391524
CREB3L2,2.353044755,3.479645483,1.847754505,2.535478654,2.894362488,2.210903868,2.635866489
CREG1,8.696415356,22.47567899,8.696415356,8.696415356,8.878125456,7.361878492,9.231999116
CSRP1,22.90997281,41.90077996,43.21198303,29.56703067,25.65536692,26.57586032,34.11804346
CST3,9.697163111,15.87935862,17.53090305,9.814208038,10.39389339,8.034789107,9.697163111
CTDSP2,7.472636044,12.2071941,11.1442422,9.514321739,9.490507354,10.7964703,12.2071941
CTNNB1,5.662781965,7.788039228,7.494352262,5.39656418,6.169997132,6.246279133,7.827942085
CXorf40B,1.347360448,1.161280293,1.476519164,2.084587938,1.476519164,2.034312896,1.363845706
CYP1B1,1.53608072,1.683330265,1.235698924,1.487587995,1.683330265,2.299768223,1.756775869
DCN,3.735697144,5.855740384,2.032177531,3.265900624,2.496241889,7.889838356,3.31411943
DDX5,18.99564177,23.20966979,24.82001006,16.31506289,19.50481911,20.239895,23.7464482
DLST,4.161420716,6.416249384,4.946995957,5.56780819,6.767068902,4.921104079,5.816839562
DMD,3.043188956,3.532430457,3.453802298,2.283947674,3.731481664,3.151680469,3.043188956
DST,1.126848572,1.203852023,1.230120201,1.115889799,1.170482918,1.532222123,1.308435158
EIF2S2,9.034964539,4.61597416,5.31553368,6.504442665,6.504442665,4.795653366,6.743875064
ERGIC2,6.340542242,5.490267924,5.903683197,4.694948395,7.265672046,4.948725498,5.903683197
ERH,68.29776576,79.93925575,79.93925575,82.93925575,83.4847103,66.55973221,81.85242193
FAM120A,3.592990128,2.676682037,3.207471475,3.692001155,4.004487044,3.505505816,3.592990128
FAM129A,1.560068569,1.974855607,1.689886897,1.865633853,1.560068569,1.487452926,2.46195163
FAM168B,30.21200383,30.21200383,37.84834671,29.41783303,30.21200383,28.47043678,18.03295674
FBN1,1.556578286,1.765452805,1.683330265,1.556578286,1.556578286,1.883376982,1.536891301
FBXW7,2.706718478,2.567400144,3.692307081,2.937390089,3.214410305,2.582225746,2.635531105
GBAS,1.977056682,2.122338351,2.228595108,1.661667817,2.002064067,1.668474484,1.367424427
GLTSCR2,80.52858968,107.4847103,74.7926039,112.3484149,95.79515296,79.4847103,77.44125561
GULP1,1.237265805,1.691889927,1.910159067,1.138816663,1.652520453,1.617608067,1.540045031
HBB,5.248037159,4.59658581,29.18377601,10.52098932,14.86471164,15.42076518,2.633506322
HCFC2,1.200373377,1.359747931,1.331731059,1.201541175,1.331731059,1.402437482,1.234951565
HMOX2,3.481729328,4.717745401,4.143244159,3.999219629,3.183867836,3.525292828,3.999219629
HNRNPH3,9.864993909,7.09836654,8.79403035,5.505511999,6.848430624,6.27488634,6.332755145
HNRNPUL1,5.935284433,6.055748593,6.649006987,7.493166747,5.19262386,5.86913802,5.814574339
HSP90AB1,28.84359678,58.58657152,48.22325982,40.05708332,55.18654897,28.74361134,30.07887472
ID2,1.784546753,2.001173106,1.979830928,1.951497302,2.861594033,1.806487095,2.468509749
IL1R1,1.917815288,2.778084639,1.917815288,1.486069312,1.917815288,1.917815288,1.917815288
ITGA6,2.375495376,1.730988003,1.979830928,1.159261891,1.479509926,1.941704633,1.683330265
JAG1,5.154544439,7.756787871,4.171567282,5.931535747,5.972080544,7.599558862,6.188843934
KAT7,8.452371554,8.082935347,12.41125859,7.414426727,8.271822427,7.342647724,7.915489337
KCTD12,2.283947674,5.007942559,2.480342655,2.06954522,2.283947674,1.533821907,5.042831093
KDM6A,1.523177708,1.612635586,1.523177708,1.556578286,1.43723913,1.873491633,1.794072718
KLC1,8.360684111,14.05218884,9.755511381,9.150631899,14.56851048,6.883609138,5.968661062
KPNA6,17.735127,16.28463939,15.38051685,10.88335772,17.03796316,13.97565823,11.55988288
LYRM1,15.265384,15.91382639,11.55366011,16.70250369,20.78118627,7.326058771,9.778757968
MAN2A1,2.197424914,3.823755734,2.479660728,2.604179898,2.706718478,2.22860815,3.706591574
MBNL2,106.6378906,110.158365,101.3043518,101.9803764,115.1817699,91.21198303,106.9999394
MCMBP,2.3873265,1.735744826,2.299768223,2.540034465,2.52671809,2.299768223,2.879379146
MEST,7.963024794,4.811131406,8.360684111,3.467754007,7.168081054,7.11737342,5.328016922
MGAT4A,18.50483163,12.12387637,11.1442422,8.682312697,10.22120719,11.68384319,11.4298486
MLH3,6.001912369,6.190911122,3.960207488,7.042449096,4.363724766,7.977917699,4.03717964
MON2,1.735744826,1.735744826,1.523177708,1.886325708,1.621243116,1.851414498,2.210923473
MPHOSPH9,1.870632056,1.555216572,1.625426825,1.870632056,2.158456208,1.900142975,2.117243196
MRPL16,1.331731059,2.236377663,1.453901753,1.785540842,1.437292621,1.453901753,1.17055869
MRPS17,1.791606856,2.445694986,1.979830928,2.588306773,2.195081572,1.309545313,1.556578286
MXI1,24.41247337,43.21198303,29.30296659,28.08647841,31.44700953,27.61621934,32.68065383
MYD88,4.864956351,5.553390411,4.3764703,5.125808101,4.193771751,4.3764703,5.218174286
NACA,9.2563289,24.1217666,26.77594785,19.51860603,19.06930393,13.97565823,14.14399597
NDUFC2,24.25481921,32.46529693,32.12107918,56.58022162,31.21093909,26.9671417,30.95799187
NDUFS5,233.6287049,356.3325541,246.211983,295.3584374,262.716603,180.7837711,164.7204306
NISCH,29.62603099,35.75743782,39.63984594,36.89967061,41.73339343,25.54999682,34.92554956
NKTR,15.32050061,8.999025298,10.52098932,5.778227672,9.819264568,7.509855327,6.095769183
NPEPPS,7.109286385,9.415007065,7.109286385,5.972128297,9.56782321,5.643159529,6.253777359
NPTX2,25.4139267,16.14398584,51.02310582,11.01309092,6.686293549,6.291682726,7.832022362
NSFL1C,7.384058786,6.522317004,7.639568238,7.384058786,7.384058786,8.270955501,7.049003939
NUTF2,34.83947576,29.66329309,33.30289331,35.79032547,30.75745837,24.47540233,26.47584593
ORAI2,24.23004007,30.55731007,29.63567256,23.3920905,27.79465249,49.17317281,34.72682774
OTUB1,9.663984973,12.09960053,9.663984973,11.51815228,12.6820836,8.696415356,7.258777259
PABPC1,70.11607823,70.572932,59.070721,44.14067771,72.16072846,74.684616,94.90549479
PCDH9,41.52518555,46.81665725,35.45682916,23.94111484,35.45682916,22.14930396,37.18588472
PDCL3,1.979830928,2.867416705,2.520225274,2.452043078,4.620054552,2.299768223,2.773337347
PFDN1,13.45447271,16.18655367,15.07350969,20.5351906,18.15514447,13.97565823,10.10363899
PFDN5,5.249186733,12.43658618,17.8677477,9.308824101,7.816336285,6.384766338,6.618584272
PI4KA,26.01131738,37.79879712,36.23272397,47.93739394,50.58896606,28.46908225,33.57690578
PIAS3,5.802026634,5.657550556,7.362307263,6.293840471,5.337527573,5.285594264,4.761443192
PITPNB,24.49211831,32.30289736,32.30289736,36.74826452,34.54690777,26.03019449,24.43929159
PLEKHB1,2.133362664,3.900450808,10.08458396,2.292785813,3.198897061,3.315984355,3.954679654
PLOD2,2.751342642,3.777487666,3.284056208,3.099025504,1.81557326,3.64088337,2.112078075
POGZ,1.382479079,1.483264456,1.486685028,1.486685028,1.322744832,1.829896179,1.889694375
PPFIA1,24.05004667,17.77032481,18.06459318,14.94789506,13.97565823,15.58211204,14.1388206
PPP1R7,6.290494687,7.667657482,7.008764197,9.353304296,7.995677868,5.41517227,6.503704668
PPP2CA,65.45465826,65.17519826,69.07049952,44.08377196,67.16996826,39.38754113,36.20226367
PPP2CB,38.67962555,47.21198303,78.30289212,35.79568462,45.34215517,26.12177766,31.19311464
PRKD1,5.42102415,2.974857702,2.984096039,2.492894879,3.629408446,2.7781375,2.577645759
PRPF3,1.412784492,1.523177708,1.503486239,1.503486239,1.319253032,1.456391479,1.75733232
PSAP,152.4717705,174.7419787,163.499226,176.0291633,191.2551854,144.9862622,158.346133
PSMD4,60.30289212,87.4847103,67.82857558,89.94652508,84.79714908,58.68891249,41.54588601
PSMD6,12.14372546,22.87307819,16.09564458,18.50795817,18.50839157,5.954593632,9.814208038
PTPN13,1.436094874,1.38701788,1.994740068,1.276055322,1.783713088,1.234847128,2.969930919
RAB40B,4.871639927,5.743018045,7.727133096,5.575566414,4.613796055,5.460562986,6.091965236
RAP1GDS1,68.87069854,90.75794582,78.9038974,91.73488354,92.82911808,75.76223175,61.72116076
RBM15,1.70121647,1.487392311,1.245985007,1.696554272,1.265256977,1.41815949,1.364335278
RNF130,2.996092972,5.235302932,6.257707061,4.406949338,6.297606936,4.232133409,4.447674948
RNF7,15.42958827,15.57025136,15.57025136,17.34047164,22.08430953,6.580882873,9.078748855
ROBO1,29.8004434,24.96779866,24.2138421,20.53364264,24.2138421,20.07912588,18.70366603
RPL12,35.72097246,58.45581896,35.27548054,35.91377843,35.48471055,30.38416491,60.38186408
RPL15,34.57562058,62.81051493,51.18165257,60.13619901,46.92981977,62.50481402,83.78132925
RPL35A,22.19097815,56.43161587,52.58400243,54.21198303,36.51920246,32.60853728,49.97274863
RPL36AL,8.656747552,13.09381979,20.1963095,15.8229173,10.87015822,10.22072863,12.24778217
RPL37,3.562619704,3.377465809,4.685289953,4.223147973,3.30554355,3.341054003,2.638024624
RPLP2,24.36297695,65.12107394,56.94833645,47.72063649,49.76618538,36.21241091,51.65730285
RPSA,134.8637168,197.9088933,220.4025874,218.5564594,176.0301648,149.8238806,189.8421578
RSAD1,4.973659997,5.973758949,6.370866255,6.504442665,7.079533352,5.973758949,5.250446597
RUVBL2,106.7719596,91.90853147,82.04746268,122.7574376,137.8445794,87.6781951,70.1058905
SCN1B,135.1544751,141.2605706,176.6853352,151.5681401,181.4749501,109.0301648,108.6274206
SERBP1,1.979830928,1.735744826,2.080621874,1.285193219,1.502903655,1.205381158,1.781174911
SF3A1,4.631411031,6.257707061,6.391512113,7.200188576,5.808112968,4.791016758,7.11696586
SF3B1,10.23009802,13.66857379,14.69806108,12.32034949,13.69347684,11.54742269,10.73403452
SKIV2L2,3.714520932,5.057999004,4.406123347,3.739263265,4.21572324,3.052931738,3.644707136
SLC2A1,19.07169567,31.89022622,18.17709742,14.08499912,15.43588687,21.99332163,28.66660297
SNAPC5,2.924591148,3.219531183,3.219531183,3.299599552,3.219531183,3.093813792,4.600507202
SNRPF,1.805047558,2.783966817,1.964395951,1.722410612,2.098895036,1.534373542,1.543647122
SON,3.967756691,4.981181781,6.77667117,5.015310621,5.181084663,3.182279274,5.681261871
SPARC,29.18749934,67.03929258,33.30289331,32.939261,29.27052537,41.51234486,63.14750002
SRP19,40.61009516,35.45468678,33.84834786,41.6129531,39.23093892,34.03016604,24.90644989
SRSF11,6.468900009,7.112833444,6.793689193,5.021802639,6.596233686,6.257707061,6.480781076
SSBP3,5.409208048,4.06191306,6.488819776,3.833140875,3.999219629,3.969945136,3.309364893
STAT3,31.4343699,22.12687473,22.65136681,15.56497279,31.51701889,24.95335251,22.12687473
STMN1,2.100099672,2.301416386,2.770591145,2.239153848,3.238751056,2.070995853,2.301416386
SUN1,3.240858693,3.237891324,4.053937551,2.945695754,3.881810286,3.10299968,3.758122392
SYT11,64.72352763,32.49882113,32.75529773,36.00376346,36.12107418,26.72986383,37.40540848
TAB2,4.510646095,4.957751246,4.510646095,4.266566775,4.510646095,2.766594686,4.510646095
TARDBP,12.89070358,15.55631568,14.2482048,15.17775882,17.18733129,13.74797938,16.83432258
TARS,2.263071963,2.085465353,1.746989374,1.949193882,2.114633933,1.796670287,1.562282857
TBCB,86.19973182,100.8872714,93.30289212,105.5924788,122.9114677,57.8442984,56.52574462
TCF4,18.5997337,21.05574435,34.36411769,10.62680046,11.99839833,18.5997337,31.14555596
TERF2IP,112.5320003,135.3209952,160.2574489,98.15818893,141.1082115,92.21955239,88.90218375
TM4SF1,2.706718478,4.002652608,3.629408446,1.793898711,2.267140273,2.706718478,2.629813878
TMEM260,1.350310132,1.523177708,1.485249109,1.470230079,1.683330265,1.563818404,1.556578286
TMEM43,12.98901248,11.27771228,12.42700228,12.41125859,12.41125859,10.00152312,11.03404632
TMX1,2.394821411,3.382788337,2.32215911,2.394821411,3.790306509,2.303392413,3.728966228
TSPAN7,58.59671937,66.01115418,86.93925575,55.03016485,90.30699951,49.61473515,44.47330318
TUG1,2.7707107,3.409760812,3.614571928,2.926740842,4.151388163,2.299768223,3.043188956
UBE2L3,2.693279555,4.46702609,3.518200752,3.424486552,3.518200752,3.214506681,2.084600466
VPS13B,6.057172526,5.835676397,6.215830143,6.016953448,4.607724992,4.012435319,5.985560361
XPOT,67.84834666,55.94567509,62.03016485,37.67613295,54.90021805,48.18914853,47.39380121
YLPM1,2.846775734,3.505776956,3.360512853,5.445963248,3.156282117,2.764546572,2.502083544
YME1L1,2.283947674,3.496439202,3.045793646,3.498750186,2.854629365,1.788502547,2.02162625
ZFP36,12.41125859,12.41125859,11.160238,12.41125859,13.87289876,13.94833574,29.19663644
ZFYVE26,4.058819507,3.146204802,2.716662563,3.516733968,3.701178174,3.24224424,4.056143527
ZMYND11,9.238853545,8.096981696,11.4104776,8.2257053,7.521195064,7.875903786,9.637965787
ZNF24,8.360684111,14.46239806,13.97904164,8.180933704,10.22629162,8.161294849,10.71813248
ZNF273,1.785919714,1.163091484,1.683330265,1.177719971,1.321527456,1.971237059,1.94016384
ZNF506,1.580755446,1.580755446,1.580755446,1.681891732,1.580755446,1.438152453,1.94016384
ZNF518A,1.381521562,1.052933667,1.122242179,1.013846296,1.210188972,1.022290218,1.210188972
