GeneSymbol,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL
FAM168B,346.538761,282.6880158,383.1399975,119.5189445,158.2699216,105.6621201,238.7455087
FBN1,54.06945428,28.92922062,51.67884432,24.62852422,31.69695536,23.47045237,27.14881404
FBXW7,63.06896725,45.49308384,109.1215876,44.20204491,49.17961256,28.92791761,52.92903898
GBAS,82.75898655,17.48206402,50.80204106,6.707119901,13.51620435,7.769162171,19.98477698
GLTSCR2,1026.01507,571.117365,817.7063041,204.4150701,609.7014191,513.1530166,549.9239702
GULP1,84.66074647,14.39716703,26.56047323,16.76427675,17.05571594,11.31091714,23.27717529
HBB,102.5959111,183.3008293,664.0513514,21.60681319,58.62830447,86.91974448,56.51508435
HCFC2,17.21471336,19.60541685,11.5497828,16.08106066,15.87519692,16.10220474,13.77336155
HMOX2,46.22360983,45.53125155,54.33766221,53.12962243,48.49988306,43.62547117,45.44662688
HNRNPH3,54.29202406,55.91508436,60.18596172,60.17092526,48.71963436,48.59764728,54.64883354
HNRNPUL1,100.073786,70.18258112,78.81802712,51.37192896,67.20911267,62.73995311,59.19732663
HSP90AB1,186.6394937,182.5771133,420.743725,54.27655538,51.11846905,45.84910813,67.28356977
ID2,42.74602589,19.9043249,27.40171148,19.47637887,25.41634717,22.66148286,20.83503892
IL1R1,30.34762853,39.47452592,24.34864927,24.78232471,20.72458631,28.80487569,43.88819034
ITGA6,36.52382109,50.84538247,36.57227088,17.29040255,47.40944716,17.26480682,40.66875963
JAG1,155.129755,168.8611615,109.1257874,112.1150701,72.47478889,44.39057606,128.2150998
KAT7,66.51507023,51.34677182,95.83317755,55.34116727,51.950326,49.71207307,37.75407489
KCTD12,189.0631311,158.0816416,210.6755696,183.007119,253.9205888,222.2049058,209.2150701
KDM6A,20.21017742,9.169301979,22.14206559,4.798546459,5.709861725,7.763562981,14.23135503
KLC1,109.371477,40.71240911,153.7459835,27.74160679,29.7105712,26.60843046,63.6972843
KPNA6,65.86385458,52.53260893,94.87294389,31.6686348,42.96098038,29.73975773,51.4502422
LYRM1,319.6264709,142.9607958,159.9922077,46.14510213,61.71507154,58.03014851,145.7150701
MAN2A1,144.3254388,92.02316246,95.8100052,35.26420248,91.40987908,64.81507039,103.2194052
MBNL2,1001.777515,474.9046761,672.8025767,42.71942391,137.0432143,125.8572873,556.510424
MCMBP,116.8350065,60.2421095,47.48659397,42.40184773,51.88677773,54.84693636,44.92815113
MEST,125.7150701,51.13171365,99.57592476,21.79916353,44.49508415,28.18991844,136.7339116
MGAT4A,15.87376713,13.75860973,19.79241952,13.41617668,13.19155979,15.90622774,19.52596599
MLH3,70.2591095,26.60778909,61.3851709,15.55854749,19.7713337,21.0555984,37.45995014
MON2,69.90623367,25.01248439,31.56676009,22.47720579,26.4892785,21.50348023,37.20955713
MPHOSPH9,29.5501506,18.44674324,35.92391856,15.56332333,15.08001675,11.78826581,19.60178179
MRPL16,57.86554623,28.6135802,62.95990151,20.36080353,20.36080353,21.12870809,29.26114634
MRPS17,113.8258408,69.21507017,72.41797463,14.24201469,17.35685588,11.77957102,34.42878418
MXI1,251.4637528,180.3948808,197.8503101,76.01802944,150.6183122,140.6587122,183.430406
MYD88,90.91507012,83.40017455,82.99009056,78.39979559,95.61507012,87.81960996,76.70466268
