Int,C9,sALS,FTLD,VCP,PET,RAV,corMean,Gene1,Gene2
MYH9:SPI1,0.731925055,1,0.723529412,0.607142857,0.676470588,0.697802198,0.739478352,MYH9,SPI1
MYOF:CSF2RA,0.69047619,0.928571429,0.541176471,0.678571429,0.50245098,0.505494505,0.641123501,MYOF,CSF2RA
NDEL1:GNG3,0.610789394,0.75,0.911764706,0.964285714,0.860294118,0.664835165,0.793661516,NDEL1,GNG3
NELL1:SH3GL2,0.658694444,0.857142857,0.923529412,0.607142857,0.651960784,0.752747253,0.741869601,NELL1,SH3GL2
NLK:GORASP2,0.833333333,0.892857143,0.652941176,0.75,0.539215686,0.565934066,0.705713567,NLK,GORASP2
NPEPPS:RTCA,0.538931818,0.857142857,0.505882353,0.571428571,0.681372549,0.813186813,0.66132416,NPEPPS,RTCA
PAFAH1B1:ANKMY2,0.586836868,0.857142857,0.8,0.571428571,0.855392157,0.785714286,0.742752457,PAFAH1B1,ANKMY2
PAFAH1B1:ARMC1,0.738095238,0.75,0.858823529,0.785714286,0.921568627,0.549450549,0.767275372,PAFAH1B1,ARMC1
PCMT1:ARMC1,0.666666667,0.857142857,0.767647059,0.928571429,0.757352941,0.587912088,0.760882173,PCMT1,ARMC1
PCMT1:BCAS2,0.658694444,0.892857143,0.829411765,0.857142857,0.81127451,0.620879121,0.77837664,PCMT1,BCAS2
PCMT1:MORF4L1,0.761904762,0.821428571,0.829411765,0.607142857,0.651960784,0.725274725,0.732853911,PCMT1,MORF4L1
PCMT1:PSMC6,0.904761905,0.964285714,0.844117647,0.964285714,0.884803922,0.78021978,0.890412447,PCMT1,PSMC6
PCMT1:RAN,0.694623232,0.821428571,0.932352941,0.607142857,0.779411765,0.912087912,0.791174546,PCMT1,RAN
PCMT1:SARAF,0.761904762,1,0.770588235,0.892857143,0.93627451,0.664835165,0.837743302,PCMT1,SARAF
PDHB:ARMC1,0.904761905,0.928571429,0.6,0.785714286,0.723039216,0.725274725,0.777893593,PDHB,ARMC1
