Gene.Symbol,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL
LOC102724364 ,137.382740155924,146.001497567104,65.3615623984123,269.326941323536,143.214081802593,389.381468926408,13.225819901011,32.2828273379233,23.5991998074781,162.137897346358
TAAR3,9.6656105331172,9.79751059628612,14.2564589682565,8.40523237744747,12.3846503943563,9.68814474540256,17.1775320266118,16.781261433691,12.8733078140124,9.06869109937506
KRT75,31.8566604623251,31.657151909771,38.6760326659098,22.6989424659634,36.4546241205831,29.1393199594567,56.45680728861,40.1023846866916,43.5622261423587,35.7118527233443
ZSCAN31,14.6635366286298,19.8955633370222,16.9670336632537,10.0797678620794,19.7312787891622,11.2771185187784,21.7523096389072,16.8046562130291,20.2951901224483,14.961497696532
NUS1 ,4.00305984313236,3.74423282581008,3.44482845873803,3.83560328631519,3.53709616829789,4.51677912709214,3.8027399793302,3.62145101804799,3.97157314392919,3.8141015038383
SNORD3A ,11.5937513564705,11.4005309268538,11.4710837285901,10.0401476520377,10.4761569688177,12.9633540052643,16.4206311769638,12.2081408445275,12.2294444452813,10.9666973248917
HMCN1,5.88977738254286,6.43650841868175,4.39764144052316,4.63118693456861,5.1967514246746,5.60734781350435,4.65253278484745,6.77962501859872,7.45229234025983,7.29594421894244
C5orf45,55.5119347172348,63.5007504822851,44.4905180135396,51.3213368324497,51.4787977553415,38.256544648,68.9198565426256,42.667165102758,50.8438149598078,59.1150732679639
KLHDC1,2.88654669671328,3.11184936041065,2.88994493927744,2.76830759850481,3.04233404874608,3.03907267616536,3.33067789203886,3.03539709026021,3.25493394149376,2.99431646170327
ABCG5,10.4645199981344,12.7347251951502,13.9257598041211,10.7726719711291,13.85940293054,10.1970492564781,11.777565428248,12.1373672322941,13.4361125974045,10.6661079833315
DERL2,132.075301226655,125.196345401182,120.164932082114,97.6725220630073,161.419854981489,107.053325645492,180.301543672407,131.866265366033,132.484895358914,137.688435482603
CPAMD8,51.8508186840016,49.8306893500729,49.175492252771,56.7550310677772,33.4610212381178,32.8091763302246,64.1238611988887,80.9115471085246,58.8699888249146,77.2132912365094
SMARCA1,8.65351218316019,8.56011064222701,7.52989380602235,8.21349475659337,7.96506314748386,6.13522609189189,12.6289349275553,8.31070948088376,9.40428527374337,9.64625083641657
CABLES1,38.8766964841273,27.6737605730991,26.7617430682927,26.2088668369812,32.4307937019995,26.4290195223073,47.8980675771405,32.33629140353,38.3220120789028,29.2284628251109
DDX60L,11.4005309268538,11.8421591433273,17.0372610253683,14.6486309973159,12.7026665828989,11.3915459838833,12.5838943440615,13.0072547561978,11.8028264766635,12.4905221562652
DNAJC27-AS1,10.3137138075682,8.37205115495806,8.87545809389193,9.32949849785221,8.46627501603134,6.66401289656934,9.20897721354855,9.4485824864835,11.5185394540947,7.0754462125419
PARD6A,53.673719001139,53.673719001139,56.7150843541494,60.2559005649766,56.7679818786943,45.7845400174234,80.7694480579204,53.4484429505165,62.8362962438145,48.9344623192205
IL36A,24.4638294888563,27.9258606847085,24.9502428797676,14.7576996968117,24.8380663224026,17.4596572796626,37.1468971753499,28.5499478999145,28.5073717245209,22.9133476400081
CALCR,10.2465365080714,10.2753496384694,11.8717478085356,10.1649741789791,9.62222174023765,7.37110033859623,13.9326390730752,10.4206828548907,11.2227183562311,9.95713304912772
LINC01352,15.1340488486068,13.9786609812492,14.0306691729755,9.74225556384923,16.0720865585966,11.4089539024754,18.0205562370575,14.8919498238516,16.0402115200305,10.8554346402334
GEMIN5,25.590474929403,26.1094471653431,26.6376857069313,38.9335172423696,23.961501542485,47.9844454477871,21.8402810552908,24.6974781638312,23.102225924243,24.5735917814553
TSPAN5,47.973124998821,42.6180753619426,51.0321351995594,81.087207918638,39.9530432432196,91.3743425052318,31.0473092720395,49.7227880500973,36.1134881455159,59.9174732146196
HOXA5,126.284581653662,180.585157181295,119.582659165117,287.361407940869,176.615070123755,165.215275284594,77.6785740650032,66.8032917686925,61.2309072545255,154.117559656401
PANX3,5.48877282589691,5.99248575949824,6.73047342971219,4.62536611814475,5.63322845191096,5.06820543929605,7.03154301181641,6.16283250715539,6.71732159667149,5.59023344891323
SPRR1B,10.3070836661334,9.91447282586908,10.0094796575347,7.74593145501374,11.4652937270417,7.51318608680377,12.5838943440615,9.15584441406847,9.64777963588391,9.95976436113503
METTL13,64.9549435513632,53.015127917446,60.7651876737279,45.1412391945445,61.1819522535578,47.9570725889488,96.2150701237552,77.8132390909318,72.9150701305269,57.4342389292549
ARPC1A,31.5462734663744,26.4792594417668,26.9714428611024,26.3916285377917,18.1002997778422,28.6820745985848,31.4337480218115,28.1350704941189,28.0111742712105,29.5771972784291
IFFO2,51.6354073716545,57.3577618871016,42.8035751614915,40.1184705219668,51.7572420219024,76.2150701246726,34.6666890941105,45.6178450346084,38.1205658038688,52.9287431965516
TSPY1,65.0168650122825,71.4217317466343,69.0986917146422,41.4201704116822,65.4442218177938,41.8037764109192,98.5088234261644,74.0489136499885,89.627015822669,54.1160898404896
PIKFYVE,39.1974167729978,48.3272275266177,42.4365186128212,35.7153753688309,45.985303359294,38.0268207558999,56.5099913532196,40.5404659246835,41.6098924107861,32.8887865467078
FAM101B,91.7150701237553,65.3150703900428,72.6250814911831,58.598221056771,51.9956370496336,75.0447409340841,57.4576313777029,69.5571454683077,75.562073832607,124.915070123755
LOC101929040,5.67226339615181,6.50334836339445,5.56027589440414,4.71719407846573,5.47316499427945,4.97380805520618,7.45942114814271,5.502438535345,6.29979071420486,5.41369809657412
KBTBD12,11.2713712856713,9.00470525581049,9.21735841155454,7.50932155765471,12.2466925084422,8.71641403596332,12.5891496980502,10.2436901000569,12.6768718225503,9.61308012194679
RP4-740C4.7,35.5240908926608,18.6210419447151,19.690317045057,46.3435790202844,18.4467432396127,26.3902752900877,29.5703411940269,17.3083900726136,20.8826266609527,31.4823000477138
