Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL
NTHL1,121.446717480891,78.8479438312273,143.721223427692,139.206214490881,142.396682067894,83.2787575403777,134.936504484658,168.154319915753,91.4160109802359,104.390271659642,213.773553957054,99.9743896596806,90.1694853371831,102.802012063066,91.806620711486,133.215238980707,82.9568968614484,81.8552475771821
BSN,693.24468258041,681.537373138065,299.254458976482,772.677587771776,411.740105980938,849.687998041345,601.511820722342,1036.81093838257,263.943627775761,444.951063361963,977.023493839954,631.779678576507,396.199371045419,388.029719404952,158.584014277023,1021.24453786309,593.063547851455,540.896214280158
APC2,603.935068226434,394.85988236458,554.593906288402,581.924228373887,540.95495931109,393.248127557119,658.724123020952,779.463189471733,513.966262909651,824.478985854655,654.835234132063,597.915438783807,497.19395436879,686.10708832096,664.140789687619,788.154643504909,527.657180699158,542.996282544529
COX20,148.493574732523,50.7048106921552,105.002851240782,57.2657739185021,55.8969961827,113.516129159059,77.6930949251493,65.3202060469381,144.674703342462,123.900701938153,51.3915111512155,87.6387815241326,120.77405042176,164.737246181829,114.580194451257,44.9317160971469,117.781948838277,91.3806205478111
COL4A2,66.4102327301459,173.877227056538,85.9591587151311,67.4861777768628,69.1105649376991,120.000411452257,71.3456821548739,98.795736583337,160.158823557273,102.343048229409,77.7088101757533,214.504189746582,129.872990572666,72.3236498076577,217.242349160334,66.0687438133948,76.4359738589912,104.730738907994
LIG1,78.2312579670032,89.5253016840595,85.1242559297763,89.6261413923474,87.3855290339333,75.1783363177057,73.6040251257091,108.97967581023,90.2863270320107,103.420298346086,78.6296529843851,86.1819469988928,75.6744168067484,98.5369400639222,94.1626335196226,161.539355731878,97.356955145239,85.5447300649439
ACTR6,438.224123020952,253.927316723223,106.316098657777,279.291660354592,163.21417591736,242.585421512571,286.769322526974,227.075119387727,268.335252646783,258.851868006712,400.988172029388,446.844736771172,438.058408603196,157.584292832065,123.190716431298,426.335234132063,335.284573987844,341.153153700891
AUTS2,750.373317406439,535.779621117716,611.469809546815,642.97931062422,562.279678576508,466.557456354286,846.559193496382,844.446345243176,836.655860406827,833.421432250514,581.279052225714,563.946345243175,522.743328661434,755.153611674899,947.981149829105,915.867106482472,758.393578808402,714.35845993472
RPL27A,148.703091566414,106.567873004631,127.686225920742,94.9595100215158,146.221592205003,65.647221026702,91.30414089681,89.5486548586883,107.143872589309,95.0852867387004,116.622130700768,112.868228235309,109.533902199578,119.286216673173,180.742490668102,158.910141867652,75.9424790024967,306.885048403333
RTN4,4046.62618802237,5534.80946146096,2287.01987033138,5843.50140385669,3917.72807011367,5195.71980772771,4264.01276595618,6419.21512101129,4960.54100298453,4761.79301992743,5490.48092305782,6466.0040269782,6592.62798221339,3652.36929284291,3570.27995680679,5513.50374378139,7498.01454917415,5629.51646480166
