Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL
VAMP7,353.391540356477,377.023401487614,193.487053841015,287.275862358452,285.503622619478,315.329861585479,308.116909693264,407.517805808032,308.651293770211,364.832357003937,295.054187812359,310.08923438547,400.059310373073,346.481689778917
ACYP1,471.180933465392,202.413413989616,66.4316229510219,244.206768479676,104.735234018637,202.996527412638,246.989844430299,200.605763332507,71.6037178247263,192.733770531772,139.679761758236,217.13307139052,248.167154505176,120.876448634879
APH1B,78.3880440521402,86.9865762159247,108.032774136299,91.0834171729812,92.4006144581721,77.8476155384667,101.588518538764,79.4101945307504,116.273345234292,92.6067220282133,90.8340863939566,84.7815925689914,96.892389791922,86.2253667733343
SPSB1,18.4623922359138,27.0392805128742,19.7565423583896,20.0507871792598,37.9646986347176,44.7679866562749,22.5358464238351,29.1037018488647,43.4076805186996,23.6744641991014,27.9818618740039,24.4688617580019,28.9525489507469,31.8279798010648
CEP41,22.0981587885472,23.4001350113173,34.7786953484283,23.5018185537722,27.8175196602759,25.0736534183267,25.3097960057772,21.4905609958635,31.4963221543855,23.0855667829174,24.2106184529783,27.9615606392987,28.4824725238749,26.4165868570109
MCM6,383.147572787154,390.244059338778,285.723593147049,453.143122459146,344.38108261688,125.114987479964,411.611793611523,472.867176828754,213.867664190764,364.092857279731,332.438472367466,342.573530069389,342.367178886519,191.577228973043
ZSCAN12,53.3517375821897,50.6406189610287,54.6114791595701,53.4570742217031,62.3252629563876,37.4578878498561,51.8822729263648,36.7197160890451,48.3577884810399,51.6351197782668,48.9903265987645,62.238973096123,56.8348491044306,50.459244755953
AMACR,20.7827769818322,22.3114109736508,31.524306047621,21.0406570109686,27.0594777311956,20.8969050789806,21.6029720531342,17.425521854039,18.9573743901606,23.6354583806343,18.1906918649405,22.1042304185073,22.7773867354553,20.9025041745596
AGER,65.6509741366343,67.8579126607542,130.761803508736,63.2486322453008,81.0463453076632,73.4325080640795,60.7270833301249,46.0281715249702,86.5369213377164,61.9698069561863,51.174071271962,47.6299498126369,63.7399298857973,75.7877479080492
PRUNE2,1814.19637723661,1081.58279054901,673.330153728218,1591.83187519491,795.454746997653,996.803520093748,1423.63580857141,1006.80384686196,819.751480971029,1115.81047719739,464.469180472539,1000.774368037,1991.24863506713,863.589234379461
CEP85,153.504357470883,134.782002608385,157.103846947142,154.805350139178,137.864344199502,142.232060714397,152.257037367923,150.489274584877,180.988105227395,142.890667517805,139.593804913836,131.828649759214,220.552936037825,143.298664554222
SLCO5A1,19.1429695670825,17.012464472968,23.6872820701724,17.945944431084,20.2506844532353,19.0904565870177,17.4838928686809,15.4064556441482,21.8976904723005,18.4095825743152,18.373476486618,20.9706291607293,18.5256898749487,19.9248393517665
ESYT1,211.087086424199,329.170267443533,202.119270359096,410.9734701978,263.341022594649,346.083081343546,300.391449880518,175.757441329456,184.861971317613,309.949993757846,279.473828912521,275.935698979337,196.051757935565,230.370245562122
SLC6A6,32.9209746193311,35.791845535775,49.122934070034,33.2537829265488,36.9559203934948,29.1802976097044,30.1450345334991,27.8080331426846,36.8855826603654,32.6482774425101,23.1751141664184,28.6859900813666,28.2439158589352,41.127981389184
PKD1P1,510.675228212344,372.803520093747,353.328632448959,182.59425540136,265.047930836631,315.466137206805,294.938017850661,210.827588922589,185.700443289196,227.411622244839,304.413745696054,193.034301390217,443.464970026298,292.922917222898
DCLRE1A,93.7514846038067,75.6019855284129,65.6198702143305,67.4814425270259,52.404136568067,63.1321013623968,80.4026204487503,68.2064472677833,86.2555574060281,72.8870297447686,76.1463346832101,85.9407876112021,73.1792317802116,59.0733525249482
CROCCP3,62.8030798860326,70.3974112474612,128.905455896786,66.7822154578971,105.894669809235,71.1959957283439,70.9170427668911,66.0597009333883,84.3722258765457,68.9619676108611,59.6597285401079,69.2034414476361,78.6655329044494,68.6682689816314
TFAM,106.124844498163,81.2185929263438,141.735485514611,117.432505202209,135.460689709449,126.620473924603,94.3573473330334,89.9709117473951,85.75883967134,125.320310933989,125.812107595155,69.9619500424222,112.393962914706,94.9414576907513
JRK,253.492884914271,261.955338375165,279.547433505225,255.877342164823,228.128486624867,249.202148186882,245.017819501528,216.659992680687,322.077034977216,258.145722903936,188.144767806632,250.412059949972,325.503889112118,268.819513427506
GTF3C3,138.605641065482,110.135974804985,52.3586865532121,119.861359549469,39.1103145695937,117.471395285687,108.012415861524,112.987393867961,56.0600587776361,80.1953959881714,97.0658983095848,84.1384390628645,94.3062150886681,74.3273076180488
GFPT2,181.03053469439,305.303520104085,122.658388270253,136.900852456283,157.552438592813,369.158409496932,176.926529781125,126.247414684636,170.136009394387,155.555837793558,337.593374454916,284.334223312657,196.938388195975,177.152647035705
MYO1A,34.1529594106789,33.6564679733984,40.3621810076738,31.0058252738973,35.6329018129356,27.5991297661081,34.1705732518471,29.4981569868443,44.2644807684315,31.5824163920649,33.5553080376047,31.9313743285542,33.1560937765672,37.0704553705218
TOR1B,163.25144166444,207.296252522474,136.078712751707,180.15298541017,173.193915661487,138.891351119485,153.10050977122,215.925118288367,108.012366058886,152.350722209694,202.84590343802,186.561065126831,151.24551067467,150.768805591214
FCN2,53.4084371172945,53.6133245870017,91.8010647375838,63.4824312728085,76.2971832690824,55.2962148865129,61.7327018233871,48.5461485465922,104.177507983328,61.2258114409065,56.1973543928043,64.1338646665913,59.3384183641874,69.9100202618121
ARHGEF4,37.1438847231924,42.4003356796908,42.4640743490868,35.8143413572149,41.8551688397667,44.6162263233984,35.8047365585704,35.41186120136,45.2990677229463,38.6077404296624,33.3600520463859,38.8659814502563,49.5868054083626,45.7780004746162
EMR2,27.5779689070191,44.6475614244336,26.3312138380277,24.7557034268292,39.6084938676483,29.1109916846984,21.5264108485811,21.4307214953425,23.3653148530835,24.7568802911894,61.7042322079557,32.024448962582,36.6636419164894,26.6666508236692
HMHB1,16.4728041193849,16.9492069651109,19.7565423583896,17.3628525901407,23.2962982169573,16.4911245571642,15.0767239067267,15.4028214122274,18.0753587537411,15.1514067706207,14.2167218248598,16.2110364602432,16.1837978418368,19.1945306037828
CTD-2269F5.1,57.2352310426932,49.2232196964121,97.9192271582673,47.7259026033708,59.0265623249142,51.6828754222651,60.5250077917575,29.4613999005695,74.9242003870724,57.4420593866986,50.0418740581488,55.4359079926601,61.5104976223683,64.7529923831945
