"SUID","name","selected","shared name"
"115532","ACOT7","false","ACOT7"
"115534","SYNCRIP","false","SYNCRIP"
"115536","ASNS","false","ASNS"
"115537","ALDH7A1","false","ALDH7A1"
"115539","RET","false","RET"
"115541","CALD1","false","CALD1"
"115543","DDX24","false","DDX24"
"115545","TUBB","false","TUBB"
"115547","BCL7B","false","BCL7B"
"115549","STRADB","false","STRADB"
"115551","DAB2","false","DAB2"
"115553","MICAL1","false","MICAL1"
"115555","NPM1","false","NPM1"
"115557","WIPF2","false","WIPF2"
"115559","KRT8","false","KRT8"
"115561","GAREM1","false","GAREM1"
"115563","EPS15","false","EPS15"
"115565","DNAJA3","false","DNAJA3"
"115568","ENO1","false","ENO1"
"115570","FLJ13052","false","FLJ13052"
"115572","EURL","false","EURL"
"115574","ECHS1","false","ECHS1"
"115576","GSTK1","false","GSTK1"
"115578","DBN1","false","DBN1"
"115580","RECQL4","false","RECQL4"
"115582","TBC1D10A","false","TBC1D10A"
"115584","CCDC9","false","CCDC9"
"115586","SULT1C2","false","SULT1C2"
"115588","EMC1","false","EMC1"
"115589","DERL1","false","DERL1"
"115591","PGM1","false","PGM1"
"115593","ANXA5","false","ANXA5"
"115595","DYNC1LI1","false","DYNC1LI1"
"115597","PAGE2","false","PAGE2"
"115599","RLIM","false","RLIM"
"115601","TMSB10","false","TMSB10"
"115603","TYW1","false","TYW1"
"115604","FAM96B","false","FAM96B"
"115606","RNH1","false","RNH1"
"115607","ERO1A","false","ERO1A"
"115609","P8","false","P8"
"115612","MEAF6","false","MEAF6"
"115614","HIST1H3F","false","HIST1H3F"
"115616","KMT2A","false","KMT2A"
"115619","CAD","false","CAD"
"115622","TRRAP","false","TRRAP"
"115624","U2AF1","false","U2AF1"
"115626","KDM1A","false","KDM1A"
"115628","TK1","false","TK1"
"115630","PFN2","false","PFN2"
"115632","PRMT1","false","PRMT1"
"115634","CDC6","false","CDC6"
"115636","BRAF","false","BRAF"
"115638","BTK","false","BTK"
"115640","EEF1G","false","EEF1G"
"115642","KPNB1","false","KPNB1"
"115645","MTOR","false","MTOR"
"115647","MCM7","false","MCM7"
"115649","CDC5L","false","CDC5L"
"115651","ZNF8","false","ZNF8"
"115653","NFIA","false","NFIA"
"115655","MPP6","false","MPP6"
"115657","TOP1","false","TOP1"
"115659","EIF2AK2","false","EIF2AK2"
"115661","HSP90AA1","false","HSP90AA1"
"115663","ERBB2","false","ERBB2"
"115665","TBCB","false","TBCB"
"115667","ABL2","false","ABL2"
"115669","ZNF568","false","ZNF568"
"115671","PRMT5","false","PRMT5"
"115673","ELP2","false","ELP2"
"115675","SIRT1","false","SIRT1"
"115677","HMGB3","false","HMGB3"
"115679","PA2G4","false","PA2G4"
"115681","PPP3CA","false","PPP3CA"
"115683","CYFIP1","false","CYFIP1"
"115685","ELP3","false","ELP3"
"115687","OBFC2B","false","OBFC2B"
"115689","DHX9","false","DHX9"
