GeneSymbol,GeneSymbol.1,INT
XRCC6,GART,PPI
ACTN1,TERF1,PPI
E2F1,PKIB,PPI
MAGEB2,RPL31,PPI
TOX4,TERF1,PPI
TERF1,DDB1,PPI
HSPH1,SAMHD1,PPI
HCLS1,GRB2,PPI
GRB2,KRT73,PPI
YY1,SMAD1,PPI
YY1,TERF1,PPI
HSPA9,GRB2,PPI
KPNA4,MYC,PPI
CUL3,GRB2,PPI
GRB2,CCT3,PPI
HSP90AA1,GRB2,PPI
GRB2,SERBP1,PPI
GRB2,CTTN,PPI
GRB2,DOK3,PPI
HSD17B4,GRB2,PPI
GRB2,FGD6,PPI
GRB2,AGER,PPI
GRB2,FLNA,PPI
HGS,GRB2,PPI
GRB2,MLXIPL,PPI
SMU1,GRB2,PPI
GRB2,AP2M1,PPI
GRB2,TP53BP2,PPI
ERBB3,GRB2,PPI
GRB2,SH3BP2,PPI
RASA1,GRB2,PPI
VAV2,GRB2,PPI
GRB2,PTPN22,PPI
MAP2,GRB2,PPI
GRB2,OCRL,PPI
GRB2,ADAM15,PPI
GRB2,BLNK,PPI
GRB2,DNM1,PPI
GRB2,SKAP1,PPI
MAPK9,GRB2,PPI
GRB2,OTUD5,PPI
GRB2,ABL1,PPI
PLXNB1,GRB2,PPI
GRB2,RBBP6,PPI
ASAP2,GRB2,PPI
UBA52,GRB2,PPI
DLGAP1,GRB2,PPI
GRB2,WDR44,PPI
SHC1,GRB2,PPI
GRB2,MYO18A,PPI
AGT,GRB2,PPI
ITIH4,GRB2,PPI
GRB2,TFG,PPI
CFH,GRB2,PPI
CUTA,GRB2,PPI
GRB2,CD164,PPI
TUBB,GRB2,PPI
VIM,SERBP1,PPI
TERF1,RASGEF1C,PPI
TERF1,ANXA8L1,PPI
ZNF569,CBX5,PPI
RARA,CBX5,PPI
SERBP1,PRMT8,PPI
PML,KAT6A,PPI
GRB2,KRT35,PPI
TP53,KAT6A,PPI
RUNX1,KAT6A,PPI
DCP2,MMS19,PPI
GART,FAF1,PPI
PFKM,DCP2,PPI
APP,ALDH7A1,PPI
ALDH7A1,YWHAG,PPI
G6PD,ALDH7A1,PPI
ALDH7A1,EPS8,PPI
ALDH7A1,PPP1CA,PPI
CAPN2,ALDH7A1,PPI
ERP70,ALDH7A1,PPI
ALDH7A1,NEDD8,PPI
JAK1,AGO4,PPI
PNMT,TERF1,PPI
EGFR,JAK1,PPI
PLCG1,JAK1,PPI
NPM1,JAK1,PPI
CBX5,ZNF649,PPI
JAK1,PML,PPI
JAK1,ARRB1,PPI
JAK1,ABL1,PPI
JAK1,STAT5B,PPI
GHR,JAK1,PPI
ATL1-alpha,CBX5,PPI
JAK1,HIST3H3,PPI
