UniProtAccession	GeneSymbol	
Q13094	LCP2	
P52292	KPNA2	
P54257	HAP1	
Q86T24	ZBTB33	
P52739	ZNF131	
P52292	KPNA2	
P52292	KPNA2	
P62826	RAN	
Q16790	CA9	
P52292	KPNA2	
P52292	KPNA2	
Q96JB5	CDK5RAP3	
P52292	KPNA2	
P52292	KPNA2	
P52292	KPNA2	
P52292	KPNA2	
P52292	KPNA2	
Q13077	TRAF1	
Q14149	MORC3	
Q9P2G1	ANKIB1	
Q9NSK0	KLC4	
P52292	KPNA2	
Q9UQ88	CDK11A	
Q4LE36	ACLY	
Q9BT78	COPS4	
P52292	KPNA2	
P63010	AP2B1	
Q9Y5V3	MAGED1	
P52292	KPNA2	
Q9BYV2	TRIM54	
Q9BRK4	LZTS2	
P52292	KPNA2	
Q08881	ITK	
Q6PJ06	CSNK1A1	
P52292	KPNA2	
P52292	KPNA2	
Q04206	RELA	
Q9Y689	ARL5A	
Q9H211	CDT1	
Q7L2J0	MEPCE	
P52292	KPNA2	
P52292	KPNA2	
Q9HCN4	GPN1	
P52292	KPNA2	
P54274	TERF1	
P52292	KPNA2	
P52292	KPNA2	
P52292	KPNA2	
Q96RF0	SNX18	
P45973	CBX5	
Q12962	TAF10	
P62993	GRB2	
P62304	SNRPE	
P62917	RPL8	
Q96GC6	ZNF274	
Q14839	CHD4	
Q15785	TOMM34	
Q9H832	UBE2Z	
Q8N766	EMC1	
P15374	UCHL3	
Q8N766	EMC1	
Q9NS18	GLRX2	
Q8N766	EMC1	
Q8N766	EMC1	
Q8N766	EMC1	
Q8N766	EMC1	
P45973	CBX5	
P62899	RPL31	
Q96CS2	HAUS1	
Q8IZ69	TRMT2A	
P62993	GRB2	
Q9H832	UBE2Z	
P62899	RPL31	
P62993	GRB2	
Q9BYV6	TRIM55	
Q5T4S7	UBR4	
P62993	GRB2	
Q96PV4	PNMA5	
P01106	MYC	
Q8NC51	SERBP1	
Q969Q1	TRIM63	
Q9UK80	USP21	
Q9Y4E8	USP15	
Q96K21	ZFYVE19	
P15374	UCHL3	
P15374	UCHL3	
P22061	PCMT1	
Q86T74	DKFZp451O0517	
Q99614	TTC1	
P63151	PPP2R2A	
Q9H0W5	CCDC8	
Q9NR30	DDX21	
Q9BYV6	TRIM55	
Q6AHZ1	ZNF518A	
Q9BZ95	NSD3	
P62899	RPL31	
Q9P0M6	H2AFY2	
Q15172	PPP2R5A	
P62993	GRB2	
P62993	GRB2	
P62993	GRB2	
P62993	GRB2	
P62993	GRB2	
Q96HE7	ERO1A	
Q96HE7	ERO1A	
Q9Y570	PPME1	
Q96HE7	ERO1A	
Q96HE7	ERO1A	
Q96HE7	ERO1A	
Q96HE7	ERO1A	
P07737	PFN1	
Q9P2P5	HECW2	
Q96HE7	ERO1A	
Q8NC51	SERBP1	
P45973	CBX5	
Q8WVJ2	NUDCD2	
P62993	GRB2	
P62304	SNRPE	
Q9BYV6	TRIM55	
Q13162	PRDX4	
Q8NC51	SERBP1	
Q8IU60	DCP2	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q96CS2	HAUS1	
P45973	CBX5	
Q15014	MORF4L2	
Q8IUX7	AEBP1	
Q96CS2	HAUS1	
P62993	GRB2	
Q14532	KRT32	
P62993	GRB2	
P62993	GRB2	
Q9NX18	SDHAF2	
Q52M93	ZNF585B	
P54274	TERF1	
Q9HAU5	UPF2	
Q8NFA0	USP32	
P62993	GRB2	
Q9UBS4	DNAJB11	
Q9UBS4	DNAJB11	
Q9H788	SH2D4A	
Q9Y468	L3MBTL1	
P54274	TERF1	
P54274	TERF1	
O75400	PRPF40A	
Q16576	RBBP7	
Q04864	REL	
P62899	RPL31	
P62899	RPL31	
P68431	HIST1H3F	
P62993	GRB2	
P54274	TERF1	
P62249	RPS16	
Q9Y3Z3	SAMHD1	
P62993	GRB2	
P54274	TERF1	
Q6PK81	ZNF773	
Q8NC51	SERBP1	
Q8N766	EMC1	
Q9BY44	EIF2A	
Q16629	SRSF7	
