"SrNo","V1","V2"
21606,"B0ZBE2","P62993"
21608,"B7ZKJ8","P62993"
21609,"P62993","Q92734"
21610,"A0A024R962","P62993"
21611,"O60888","P62993"
21614,"P62993","Q04900"
21745,"P07437","P62993"
21875,"P08670","Q8NC51"
21954,"P54274","Q8N431"
22026,"P54274","Q5VT79"
22145,"A0A024R0G4","P45973"
22167,"P10276","P45973"
22192,"Q8NC51","Q9NR22"
22249,"P29590","Q92794"
22273,"P62993","Q92764"
22311,"P04637","Q92794"
22314,"Q01196","Q92794"
22395,"Q8IU60","Q96T76"
22429,"P22102","Q9UNN5"
22544,"A0A024R0Y5","Q8IU60"
22582,"P05067","P49419"
22583,"P49419","P61981"
22584,"P11413","P49419"
22585,"P49419","Q12929"
22586,"P49419","P62136"
22587,"P17655","P49419"
22588,"A0A090N8Y2","P49419"
22590,"P49419","Q15843"
22758,"P23458","Q9HCK5"
22766,"P11086","P54274"
22772,"P00533","P23458"
22814,"P19174","P23458"
22816,"P06748","P23458"
22841,"P45973","Q9BS31"
22867,"P23458","P29590"
22916,"P23458","P49407"
22917,"P23458","Q59FK4"
22925,"P23458","P51692"
22932,"P10912","P23458"
23004,"L8B7P7","P45973"
23005,"P23458","Q16695"
23215,"O95336","P54274"
23235,"P05067","Q9UP65"
23302,"P19474","Q8IU60"
23361,"O94973","P62993"
23376,"A0A024R525","P62993"
23414,"P45973","Q5TGY3"
23488,"P58107","P62993"
23550,"O60936","P54274"
23555,"P49792","Q9BYV6"
23727,"B0ZBD0","Q8NC51"
23839,"P54274","Q59FK4"
24049,"P62136","P62993"
24074,"P62993","Q99704"
24254,"O14802","Q9Y2S0"
24287,"P02749","P62993"
24356,"P45973","P63146"
24377,"P34932","Q92794"
24548,"P55769","Q9BYV6"
24660,"O14530","Q9Y2X7"
24662,"P54274","Q14749"
24665,"P54274","Q9Y2X7"
24670,"P62993","Q9Y2X7"
24779,"P62993","Q9NRY4"
24869,"P50990","P62993"
24891,"P15374","Q15631"
24938,"P45973","Q00341"
24943,"Q92783","Q9BYV6"
24981,"A0A024R4R8","P45973"
25054,"P15374","Q9Y2K6"
25186,"P62993","Q04695"
25250,"P23497","P54274"
25270,"P54274","Q9NUX5"
25355,"O15355","P54274"
25372,"O00469","P22102"
25402,"O76070","P54274"
25408,"P54274","Q6PG37"
25443,"P62993","Q6ZV89"
25463,"P50135","P54274"
25476,"P54274","Q96EK5"
25481,"P54274","Q99962"
25499,"P22102","Q15637"
25500,"P22102","P61956"
25501,"P22102","Q15843"
25502,"P54274","P84098"
25503,"A0A024R7F7","P54274"
25504,"P12955","P54274"
25505,"A0A024R1M6","P54274"
25506,"P54274","Q53G92"
25507,"P22234","P54274"
25508,"P23528","P54274"
25509,"P54274","Q14318"
25511,"P54274","Q14894"
25512,"B7Z274","P54274"
25513,"B7Z2F8","P54274"
25514,"O60907","P54274"
25515,"P54274","Q9NQC3"
25516,"P05771","P54274"
25517,"A0A024R0Z3","P54274"
25518,"P54274","Q9H4G0"
25519,"O95848","P54274"
25520,"P54274","Q9UNF0"
25521,"P54274","Q14353"
25522,"P54274","Q13247"
25524,"P06454","P54274"
25533,"P17066","P54274"
25535,"P27695","P54274"
25551,"O75592","P01106"
25724,"P62993","Q92835"
25780,"P45973","Q96GD4"
25791,"P01106","P18085"
25811,"Q15637","Q9Y3Z3"
25884,"A0A024RD80","P54274"
25908,"O43602","P54274"
25918,"P48539","P54274"
25951,"P28074","P54274"
25964,"P54274","Q9Y3A5"
25966,"P54274","Q8N4X5"
25971,"P54274","P62380"
25972,"P54274","P62081"
25974,"J3KNL6","P54274"
25975,"O60563","P54274"
25977,"P54274","Q03001"
25978,"O14654","P54274"
25982,"A8K6K1","P54274"
25983,"A0A024R7B7","P54274"
25984,"P54274","Q99496"
25985,"P54274","Q8WXH0"
25986,"O60522","P54274"
26025,"O43776","Q9Y3Z3"
26053,"Q93034","Q9Y3Z3"
26054,"A0A024R475","Q9Y3Z3"
