"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"AID",NA,118459,"AID","false",FALSE,FALSE,FALSE
"AJUBA",NA,119612,"AJUBA","false",FALSE,FALSE,FALSE
"AK1",NA,117365,"AK1","false",FALSE,FALSE,FALSE
"AK8",NA,118700,"AK8","false",FALSE,FALSE,FALSE
"AKAP6",NA,117785,"AKAP6","false",FALSE,FALSE,FALSE
"AKAP8",NA,117982,"AKAP8","false",FALSE,FALSE,FALSE
"AKAP8L",NA,115771,"AKAP8L","false",FALSE,FALSE,FALSE
"AKR1A1",NA,115777,"AKR1A1","false",FALSE,FALSE,FALSE
"AKR1B1",NA,120121,"AKR1B1","false",FALSE,FALSE,TRUE
"AKR1C3",NA,120568,"AKR1C3","false",FALSE,FALSE,FALSE
"AKT1",NA,118075,"AKT1","false",FALSE,FALSE,FALSE
"ALAS2",NA,116449,"ALAS2","false",FALSE,FALSE,FALSE
"ALDH18A1",NA,119107,"ALDH18A1","false",FALSE,FALSE,FALSE
"ALDH7A1",NA,115537,"ALDH7A1","false",TRUE,FALSE,FALSE
"ALG2",NA,117644,"ALG2","false",FALSE,FALSE,FALSE
"ALK",NA,118333,"ALK","false",FALSE,FALSE,FALSE
"ALOX5",NA,119371,"ALOX5","false",FALSE,FALSE,FALSE
"AMBP",NA,119152,"AMBP","false",FALSE,FALSE,FALSE
"AMFR",NA,116282,"AMFR","false",FALSE,FALSE,FALSE
"AMOTL1",NA,120550,"AMOTL1","false",FALSE,FALSE,FALSE
"ANGEL2",NA,115284,"ANGEL2","false",FALSE,FALSE,FALSE
"ANGPTL4",NA,118864,"ANGPTL4","false",FALSE,FALSE,FALSE
"ANKIB1",NA,116659,"ANKIB1","false",FALSE,FALSE,FALSE
"ANKRD1",NA,116840,"ANKRD1","false",FALSE,FALSE,FALSE
"ANKRD27",NA,120110,"ANKRD27","false",FALSE,FALSE,TRUE
"ANXA11",NA,115530,"ANXA11","false",TRUE,FALSE,FALSE
"ANXA2",NA,115410,"ANXA2","false",FALSE,FALSE,FALSE
"ANXA5",NA,115593,"ANXA5","false",FALSE,FALSE,FALSE
"ANXA8L1",NA,115908,"ANXA8L1","false",FALSE,FALSE,FALSE
"AOX1",NA,119839,"AOX1","false",FALSE,FALSE,FALSE
"AP1M1",NA,117076,"AP1M1","false",FALSE,FALSE,FALSE
"AP2A1",NA,116511,"AP2A1","false",FALSE,FALSE,FALSE
"AP2B1",NA,116671,"AP2B1","false",FALSE,FALSE,FALSE
"AP2M1",NA,115843,"AP2M1","false",FALSE,FALSE,FALSE
"AP2S1",NA,115507,"AP2S1","false",FALSE,FALSE,FALSE
"AP4S1",NA,118663,"AP4S1","false",FALSE,FALSE,FALSE
"APBB1",NA,117435,"APBB1","false",FALSE,FALSE,FALSE
"APCS",NA,116922,"APCS","false",FALSE,FALSE,FALSE
"APEX1",NA,116087,"APEX1","false",FALSE,TRUE,FALSE
"APOA1",NA,120789,"APOA1","false",FALSE,FALSE,FALSE
"APOBEC1",NA,116681,"APOBEC1","false",FALSE,FALSE,FALSE
"APOH",NA,115993,"APOH","false",FALSE,FALSE,FALSE
"APP",NA,115929,"APP","false",FALSE,FALSE,FALSE
"APPBP2",NA,120528,"APPBP2","false",FALSE,FALSE,FALSE
"AR",NA,119262,"AR","false",FALSE,TRUE,FALSE
"ARAF",NA,120255,"ARAF","false",FALSE,FALSE,FALSE
"ARAP1",NA,116493,"ARAP1","false",FALSE,FALSE,FALSE
"ARCN1",NA,120231,"ARCN1","false",FALSE,FALSE,FALSE
"ARF4",NA,116095,"ARF4","false",FALSE,FALSE,FALSE
"ARF6",NA,116440,"ARF6","false",FALSE,FALSE,FALSE
"ARFIP2",NA,118690,"ARFIP2","false",FALSE,FALSE,FALSE
"ARHGAP12",NA,118773,"ARHGAP12","false",FALSE,FALSE,FALSE
"ARHGAP17",NA,119869,"ARHGAP17","false",FALSE,FALSE,FALSE
"ARHGAP35",NA,116006,"ARHGAP35","false",FALSE,FALSE,FALSE
"ARHGAP9",NA,115517,"ARHGAP9","false",FALSE,FALSE,FALSE
"ARHGDIA",NA,120188,"ARHGDIA","false",FALSE,FALSE,FALSE
"ARHGEF11",NA,120201,"ARHGEF11","false",FALSE,FALSE,FALSE
"ARHGEF12",NA,120796,"ARHGEF12","false",FALSE,FALSE,FALSE
"ARHGEF5",NA,115505,"ARHGEF5","false",FALSE,FALSE,FALSE
"ARHGEF6",NA,119628,"ARHGEF6","false",FALSE,FALSE,FALSE
