"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"13733","false","2.79","0.00601268","NA","0.35842294","0.03556188","true","38","4","false","RIT1","RIT1","34.34210526","38","0","0","0.642","false","0","RIT1","570624","0.03953503"
"83891",,,,,,,,,,,,"CD68",,,,,,"false",,"CD68",,
"83893",,,,,,,,,,,,"CNKSR1",,,,,,"false",,"CNKSR1",,
"83895",,,,,,,,,,,,"SELENOI",,,,,,"false",,"SELENOI",,
"83897",,,,,,,,,,,,"DOCK4",,,,,,"false",,"DOCK4",,
"83900",,,,,,,,,,,,"ERCC4",,,,,,"false",,"ERCC4",,
"10555","false","3.61777778","4.885E-5","NA","0.27641278","0.0","false","2","5","false","KAT2A","KAT2A","103.0","2","0","0","0.47644444","false","0","KAT2A","4674","0.5049505"
"12167","true","3.76083333","0.0","NA","0.26589852","0.0","false","1","5","false","C9orf72","C9orf72","230.0","1","0","0","0.44783333","false","0","C9orf72","0","0.0"
"83906",,,,,,,,,,,,"MAOA",,,,,,"false",,"MAOA",,
"10578","false","3.3225","1.7998E-4","NA","0.30097818","0.0","false","6","4","false","SUZ12","SUZ12","73.0","6","0","0","0.5355","false","0","SUZ12","34322","0.19726027"
"83909",,,,,,,,,,,,"VAT1",,,,,,"false",,"VAT1",,
"10580","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","FBL","FBL","311.0","1","0","0","0.47105556","false","0","FBL","0","0.0"
"83912",,,,,,,,,,,,"PPIL3",,,,,,"false",,"PPIL3",,
"10584","false","3.36277778","3.6043E-4","NA","0.2973732","0.0","false","4","4","false","TUBG1","TUBG1","134.75","4","0","0","0.52744444","false","0","TUBG1","65764","0.26643426"
"10596","false","3.34888889","1.8138E-4","NA","0.2986065","0.0","false","3","4","false","RAB7A","RAB7A","220.33333333","3","0","0","0.53022222","false","0","RAB7A","88782","0.36494731"
"11199","false","3.32861111","3.7278E-4","NA","0.3004256","0.16666667","false","4","4","false","SNCA","SNCA","147.75","4","0","0","0.53427778","false","0","SNCA","78546","0.26821494"
"10676","false","3.04333333","1.5538E-4","NA","0.32858708","0.17857143","false","8","4","false","ISG15","ISG15","104.75","8","0","0","0.59133333","false","0","ISG15","33664","0.14928571"
"11485","false","4.04527778","0.0","NA","0.24720181","0.0","false","1","5","false","KRTAP10-8","KRTAP10-8","26.0","1","0","0","0.39094444","false","0","KRTAP10-8","0","0.0"
"10598","false","2.93111111","0.00127927","NA","0.34116755","0.12121212","false","12","4","false","UBD","UBD","107.58333333","12","0","0","0.61377778","false","0","UBD","292434","0.1082578"
"83919",,,,,,,,,,,,"MTMR1",,,,,,"false",,"MTMR1",,
"12251","false","3.69805556","0.0","NA","0.27041238","0.0","false","1","5","false","TUBGCP3","TUBGCP3","73.0","1","0","0","0.46038889","false","0","TUBGCP3","0","0.0"
"13434","false","4.03916667","0.0","NA","0.24757582","0.0","false","1","5","false","CDC14B","CDC14B","55.0","1","0","0","0.39216667","false","0","CDC14B","0","0.0"
"10489","false","2.72333333","0.00474666","NA","0.36719706","0.06666667","false","21","4","false","TP53","TP53","78.95238095","21","0","0","0.65533333","false","0","TP53","598854","0.06631364"
"12198","false","3.94","0.0","NA","0.25380711","0.0","false","1","5","false","SKP2","SKP2","31.0","1","0","0","0.412","false","0","SKP2","0","0.0"
"10456","false","3.52194444","1.18E-5","NA","0.28393406","0.0","false","3","5","false","HDAC3","HDAC3","49.33333333","3","0","0","0.49561111","false","0","HDAC3","1766","0.374677"
"10626","false","3.19027778","1.0185E-4","NA","0.31345233","0.3","false","5","4","false","MAGOH","MAGOH","119.8","5","0","0","0.56194444","false","0","MAGOH","37972","0.23359375"
"10501","false","2.72361111","0.00476025","NA","0.36715961","0.08658009","false","22","4","false","CUL3","CUL3","81.0","22","0","0","0.65527778","false","0","CUL3","765174","0.06747813"
"10633","false","3.77333333","0.0","NA","0.26501767","0.0","false","1","5","false","KCTD20","KCTD20","75.0","1","0","0","0.44533333","false","0","KCTD20","0","0.0"
"10650","false","3.42555556","1.228E-5","NA","0.29192345","0.0","false","3","5","false","PPP1CC","PPP1CC","150.5","3","0","1","0.51488889","false","0","PPP1CC","872","0.50506757"
"11186","false","3.39638889","2.5125E-4","NA","0.29443036","0.0","false","4","4","false","UBL4A","UBL4A","128.25","4","0","0","0.52072222","false","0","UBL4A","51486","0.26959746"
"83928",,,,,,,,,,,,"HACD3",,,,,,"false",,"HACD3",,
"13756","false","2.77361111","0.01472629","NA","0.36054081","0.02846847","true","75","4","false","MARK4","MARK4","21.52","75","0","0","0.64527778","false","0","MARK4","1780410","0.02934823"
"11137","false","3.59861111","1.162E-5","NA","0.27788499","0.0","false","2","4","false","CLN3","CLN3","56.0","2","0","0","0.48027778","false","0","CLN3","1212","0.51401869"
"10721","false","3.39833333","7.371E-5","NA","0.29426189","0.0","false","2","5","false","PPP1CA","PPP1CA","179.5","2","0","0","0.52033333","false","0","PPP1CA","14946","0.51293103"
"83933",,,,,,,,,,,,"ATP2B1",,,,,,"false",,"ATP2B1",,
"12323","false","3.7575","0.0","NA","0.2661344","0.0","false","1","5","false","PEX19","PEX19","65.0","1","0","0","0.4485","false","0","PEX19","0","0.0"
"83936",,,,,,,,,,,,"FANCI",,,,,,"false",,"FANCI",,
"83938",,,,,,,,,,,,"C1orf166",,,,,,"false",,"C1orf166",,
"10479","false","3.10083333","2.8106E-4","NA","0.32249395","0.05454545","false","11","4","false","BMI1","BMI1","51.36363636","11","0","0","0.57983333","false","0","BMI1","51646","0.12296882"
"83941",,,,,,,,,,,,"TSPAN17",,,,,,"false",,"TSPAN17",,
"83943",,,,,,,,,,,,"C20orf24",,,,,,"false",,"C20orf24",,
"13277","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","RRAS","RRAS","311.0","1","0","0","0.47105556","false","0","RRAS","0","0.0"
"12345","false","3.35972222","1.918E-5","NA","0.29764365","0.0","false","3","4","false","GABARAPL2","GABARAPL2","72.33333333","3","0","0","0.52805556","false","0","GABARAPL2","3200","0.36026936"
"11133","false","3.97638889","0.0","NA","0.25148446","0.0","false","1","5","false","AURKB","AURKB","28.0","1","0","0","0.40472222","false","0","AURKB","0","0.0"
"10644","false","3.53166667","3.11E-6","NA","0.28315243","0.66666667","false","3","5","false","CEP76","CEP76","67.33333333","3","0","0","0.49366667","false","0","CEP76","734","0.36996337"
"13934","false","2.47638889","0.10131651","NA","0.4038138","0.00706696","true","288","4","false","PCNA","PCNA","12.81560284","288","0","6","0.70472222","false","0","PCNA","11496816","0.00847724"
"10723","false","3.26527778","1.0381E-4","NA","0.30625266","0.1","false","5","4","false","MDC1","MDC1","71.4","5","0","0","0.54694444","false","0","MDC1","19130","0.22692308"
"10725","false","3.615","1.085E-5","NA","0.27662517","0.0","false","2","5","false","NCL","NCL","47.5","2","0","0","0.477","false","0","NCL","790","0.50543478"
"10732","false","3.70583333","0.0","NA","0.26984484","0.0","false","1","5","false","STIP1","STIP1","210.0","1","0","0","0.45883333","false","0","STIP1","0","0.0"
"83952",,,,,,,,,,,,"CDK3",,,,,,"false",,"CDK3",,
"13276","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","RAP2A","RAP2A","311.0","1","0","0","0.47105556","false","0","RAP2A","0","0.0"
