GeneSymbol,GeneSymbol.1,INT
EEF1A1,CUL5,PPI
EEF1A1,CUL2,PPI
CDK2,EEF1A1,PPI
HSP90AA1,EEF1A1,PPI
SHBG,EEF1A1,PPI
RPL30,EEF1A1,PPI
RPL9P7,EEF1A1,PPI
RPL31,EEF1A1,PPI
RPS24,EEF1A1,PPI
EEF1B2,EEF1A1,PPI
EEF1A1,EFTUD2,PPI
EEF1A1,PUF60,PPI
HNRPDL,EEF1A1,PPI
EEF1A1,PCBP2,PPI
EEF1A1,RBM4,PPI
MRPS7,EEF1A1,PPI
PSMB4,EEF1A1,PPI
EEF1A1,SUPT16H,PPI
ENO3,EEF1A1,PPI
UBD,EEF1A1,PPI
VCAM1,EEF1A1,PPI
UBL4A,EEF1A1,PPI
EEF1A1,AID,PPI
STAT6,EEF1A1,PPI
EEF1A1,PFKP,PPI
RPA3,EEF1A1,PPI
ALPL,EEF1A1,PPI
TP53,EEF1A1,PPI
EEF1A1,TUBGCP2,PPI
ISG15,EEF1A1,PPI
KIF1B,EEF1A1,PPI
EEF1A1,ITSN1,PPI
POLE2,EEF1A1,PPI
PQBP1,EEF1A1,PPI
FAS,EEF1A1,PPI
NR4A1,EEF1A1,PPI
EEF1A1,KMT5C,PPI
RALGDS,FADD,PPI
AGO3,EEF1A1,PPI
MME,EEF1A1,PPI
EEF1A1,NEDD8,PPI
CASP2,EEF1A1,PPI
SNCA,EEF1A1,PPI
DIABLO,EEF1A1,PPI
KRAS,EEF1A1,PPI
ITGB1BP1,EEF1A1,PPI
GADD45A,EEF1A1,PPI
SNRPD1,EEF1A1,PPI
SHC1,DDR1,PPI
PTN,DFNA5,PPI
CDK2,IFITM2,PPI
RPS4X,EEF1A1,PPI
MXI1,SMC3,PPI
WDR57,DDR1,PPI
ZWINT,RCN1,PPI
UBL4A,UBE2G2,PPI
RPSA,EEF1A1,PPI
RPSA,PRUNE2,PPI
-,CEBPB,PPI
TOM1L2,RCN1,PPI
GMPS,RCN1,PPI
CUL1,CDK3,PPI
COPS5,CDK3,PPI
CDK3,COPS6,PPI
LNX1,CTNND2,PPI
HSP90AA1,CDK3,PPI
RB1,CDK3,PPI
CDK3,SKP2,PPI
CDK2,CDK3,PPI
TFDP1,CDK3,PPI
LYN,PRUNE2,PPI
ZBTB33,CTNND2,PPI
CDK3,CDK5R1,PPI
EEF1A1,AMFR,PPI
KIAA1841,SRPK1,PPI
RPS8,EEF1A1,PPI
BUB1B,MXI1,PPI
KRAS,RALGDS,PPI
TP53,NQO1,PPI
LAMB1,NQO1,PPI
NQO1,POLDIP3,PPI
NQO1,YTHDF1,PPI
PARP1,NQO1,PPI
NQO1,NFE2L2,PPI
NQO1,ING1,PPI
NQO1,STUB1,PPI
CEBPD,HDAC4,PPI
SUMO3,EEF1A1,PPI
ARRB1,RALGDS,PPI
COPS5,EEF1A1,PPI
FAF2,HACD3,PPI
CUL3,HACD3,PPI
CFTR,HACD3,PPI
ATP2A2,HACD3,PPI
STAU1,HACD3,PPI
VARS,EEF1A1,PPI
CPSF4,MEOX2,PPI
SIAH2,CEBPD,PPI
EEF1A1,SMN1,PPI
LIG4,EEF1A1,PPI
AQP1,KRT33B,PPI
ENTPD5,MXI1,PPI
AQP1,KCTD9,PPI
NUDT3,DDR1,PPI
UBE2G2,ZNRF4,PPI
RGS2,DDR1,PPI
HIPK3,MTMR4,PPI
RPL17-C18orf32,EEF1A1,PPI
FAM107A,HOOK2,PPI
SEM1,EEF1A1,PPI
ENO2,RCN1,PPI
YBX1,EEF1A1,PPI
UBE2G2,SEM1,PPI
FOS,AQP1,PPI
MAGOH,DOCK4,PPI
UBE1L2,UBE2G2,PPI
ATN1,CTNND2,PPI
CORO1A,UBE2G2,PPI
MAST4,SMAD1,PPI
PABPC1,EEF1A1,PPI
CEBPB,HDAC1,PPI
CEBPD,HDAC1,PPI
AQP1,CRTAC1,PPI
RCN1,HDAC11,PPI
RAP1B,RALGDS,PPI
HADHA,CD74,PPI
RPS23,EEF1A1,PPI
HACD3,HECW2,PPI
CEBPD,UBE2I,PPI
HNRNPK,EEF1A1,PPI
GFAP,TUBGCP4,PPI
RCN1,NEDD8,PPI
EEF1A1,CCDC8,PPI
PPP4C,EEF1A1,PPI
IRS4,RCN1,PPI
BMI1,RCN1,PPI
UBE2G2,RNF157,PPI
APP,PYROXD1,PPI
DHX16,PYROXD1,PPI
PYROXD1,LSM2,PPI
AQP1,KRTAP9-2,PPI
POU1F1,CEBPD,PPI
CEBPD,E2F1,PPI
CBL,EEF1A1,PPI
NDUFS4,UBE2G2,PPI
NEDD4,MTMR4,PPI
AQP1,CCDC36,PPI
RPL21,EEF1A1,PPI
RPS2,EEF1A1,PPI
CD81,EEF1A1,PPI
BAG3,UBE2G2,PPI
CEBPD,RELA,PPI
EEF1A1,RUVBL2,PPI
EWSR1,SELENOI,PPI
EEF1A1,RBM3,PPI
PRUNE2,EIF2A,PPI
CEBPD,FANCD2,PPI
PARN,UPF3A,PPI
RCN1,EFHD2,PPI
EGFR,DOCK4,PPI
CUL3,DLG5,PPI
SMAP,RCN1,PPI
CTNNB1,DLG5,PPI
DFNA5,EGFR,PPI
EGFR,UBE2G2,PPI
RFC5,EEF1A1,PPI
EEF1A1,PCDHA4,PPI
EEF1A1,TP63,PPI
EEF1A1,MAPK14,PPI
HTRA2,EEF1A1,PPI
CPSF4,CCDC8,PPI
UBE2G2,USP15,PPI
UQCRH,EEF1A1,PPI
UBE2G2,AUP1,PPI
AQP1,SIAH1,PPI
INPPL1,EEF1A1,PPI
RCN1,PCSK9,PPI
DCP2,UPF3A,PPI
EEF1A1,RBBP8,PPI
EGFR,EEF1A1,PPI
NPM1,EEF1A1,PPI
EEF1A1,IMMT,PPI
TMPRSS3,EEF1A1,PPI
