"SrNo","V1","V2"
50539,"Q8IU60","Q9H1J1"
50541,"P68104","Q99708"
50572,"P00533","P68104"
50602,"P06748","P68104"
50603,"P68104","Q16891"
50658,"P57727","P68104"
50701,"D3DU92","Q9H1J1"
50750,"K7N7S0","P68104"
50759,"P35080","P68104"
51027,"H6UYS5","Q12967"
51040,"Q8IYB3","Q9H1J1"
51226,"P20073","P68104"
51229,"A0A024R3Z2","P68104"
51428,"Q8N1I0","Q9Y4L5"
51566,"A0A024RE15","Q9UQB3"
51850,"P29972","Q9C0F1"
52319,"P29972","Q15834"
52406,"Q96Q15","Q9H1J1"
52463,"P42858","Q9H1J1"
53340,"Q15293","Q9BYN0"
53802,"P16104","P68104"
53982,"P49810","Q6PIL6"
54249,"P60604","Q9H1D9"
54277,"A0A024QZ47","Q9C0D9"
54303,"A0A024RCQ4","P60604"
54322,"P68104","Q8IYB3"
54387,"O95639","Q7L523"
54483,"P10451","P68104"
54507,"P68363","Q15293"
54534,"P68104","Q53HF2"
54600,"A0A024R475","P68104"
54790,"P68104","Q96SL4"
54840,"P60604","Q8N4G2"
54887,"O95793","P68104"
54944,"L7RT18","P68104"
54971,"P68104","Q96CW1"
55119,"P62913","P68104"
55120,"P62424","P68104"
55121,"P61956","P68104"
55155,"A2RUM7","P68104"
55175,"O60264","P17676"
55180,"P17676","Q14790"
55229,"P21754","Q8N349"
55245,"P17676","P49336"
55246,"P62906","P68104"
55250,"P17676","Q3SB16"
55259,"P17676","P61956"
55269,"A0A024R2Q4","P68104"
55270,"P35228","Q15293"
55293,"P35228","Q9P035"
55298,"P17676","Q01196"
55309,"P17676","Q04206"
55311,"A0A024R3Z2","P17676"
55313,"P17676","P35398"
55315,"O75376","P17676"
55319,"P17676","Q02447"
55320,"P17676","P18847"
55321,"A0A024R774","P17676"
55324,"P17676","Q9UKV0"
55656,"P68104","Q9H8Y8"
55657,"P68104","Q9BUJ2"
55722,"P62750","P68104"
55723,"P62263","P68104"
55729,"P61247","P68104"
56036,"P38159","P68104"
56078,"O00567","P68104"
56080,"A3RJH1","P68104"
56081,"P68104","Q13344"
56136,"P68104","Q02543"
56412,"P68104","Q9Y2W1"
56440,"P60842","P68104"
56494,"O60934","P63146"
56556,"A0A024RB14","Q8WUY3"
56621,"O43175","P68104"
56644,"P14866","P68104"
56649,"O43290","P68104"
57193,"P17676","Q9H836"
57284,"P68104","Q96GG9"
57489,"P17676","P28482"
57497,"P10242","P17676"
57535,"P17676","Q92831"
57611,"P30050","P68104"
57904,"O95071","P63146"
58209,"A0A024R3X4","Q14108"
59212,"O95990","Q9BRK4"
59603,"O94887","P60604"
60104,"C9JE98","P17676"
61006,"A0A024RAV8","P17676"
61030,"A0A024R1A4","P63146"
61207,"P01112","Q12967"
61335,"F4ZW62","P68104"
61344,"F4ZW62","Q15293"
61367,"F4ZW62","Q8WU10"
61488,"O95990","Q6NUQ1"
61518,"P61960","Q15293"
61808,"P68104","Q13573"
61875,"Q8TDM6","Q9UL15"
61884,"A0A024R2B3","Q8N5K1"
61954,"Q15293","Q96FF1"
62393,"P0DME0","Q99536"
63099,"A0A024RCY2","P29972"
63501,"A0A024RA42","Q9P035"
63812,"P02511","P14136"
64379,"P29972","Q8N5Z5"
64460,"Q9BRQ6","Q9P035"
64713,"P68104","Q9NRD1"
64930,"Q15293","Q15436"
65227,"Q9H1J1","Q9NPD3"
65707,"P62280","P68104"
65728,"Q15293","Q9NR20"
65902,"P27348","P68104"
66051,"P68104","Q96L21"
