SUID,ALSOD,AverageShortestPathLength,BetweennessCentrality,Cell.type,Cell.type.x,Cell.type.y,ClosenessCentrality,ClusteringCoefficient,DEG,Degree,Eccentricity,IsSingleNode,Matching.Attribute,Matching.Attribute.1,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,OG_Gene,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
93280,FALSE,,,,NA,,,,FALSE,,,,,RP11-311P8.3,RP11-311P8.3,,,,FALSE,,,FALSE,,RP11-311P8.3,,
93281,FALSE,3.37888889,1.12E-04,NA,NA,NA,0.29595528,0,FALSE,3,4,FALSE,BTBD2,BTBD2,BTBD2,144,3,0,FALSE,0,0.52422222,FALSE,0,BTBD2,21514,0.3504902
93282,FALSE,3.83722222,0,NA,NA,NA,0.26060518,0,FALSE,1,5,FALSE,CANX,CANX,CANX,38,1,0,FALSE,0,0.43255556,FALSE,0,CANX,0,0
93283,FALSE,3.85722222,0,NA,NA,NA,0.25925392,0,FALSE,1,5,FALSE,BHLHE40,BHLHE40,BHLHE40,28,1,0,FALSE,0,0.42855556,FALSE,0,BHLHE40,0,0
93284,FALSE,3.71356218,3.66E-05,NA,NA,NA,0.26928322,0,FALSE,2,6,FALSE,MAPRE1,MAPRE1,MAPRE1,145,2,0,FALSE,0,0.72864378,FALSE,0,MAPRE1,11990,0.52554745
93285,FALSE,,,,NA,,,,FALSE,,,,,CXCR4,CXCR4,,,,FALSE,,,FALSE,,CXCR4,,
93286,FALSE,3.85706246,0.01605322,NA,NA,NA,0.25926466,0,TRUE,41,7,FALSE,MLH3,MLH3,MLH3,1.7804878,41,0,FALSE,0,0.71429375,FALSE,0,MLH3,4985346,0.02787456
93287,FALSE,,,,NA,,,,FALSE,,,,,NDRG4,NDRG4,,,,TRUE,,,FALSE,,NDRG4,,
93288,FALSE,3.77416667,0,NA,NA,NA,0.26495915,0,FALSE,1,5,FALSE,AGTRAP,AGTRAP,AGTRAP,80,1,0,FALSE,0,0.44516667,FALSE,0,AGTRAP,0,0
93289,FALSE,4.07681486,1.11E-04,NA,NA,NA,0.24528953,0,FALSE,2,7,FALSE,MUC1,MUC1,MUC1,67.5,2,0,FALSE,0,0.69231851,FALSE,0,MUC1,33720,0.51153846
93290,FALSE,3.70793472,6.50E-05,NA,NA,NA,0.26969191,0,FALSE,2,8,FALSE,DLEU1,DLEU1,DLEU1,160.5,2,0,FALSE,0,0.72920653,FALSE,0,DLEU1,17612,0.51785714
93291,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,MLLT3,MLLT3,MLLT3,292,1,0,FALSE,0,0.72563309,FALSE,0,MLLT3,0,0
93292,FALSE,4.04727068,0,NA,NA,NA,0.24708009,0,FALSE,1,8,FALSE,LRRK2,LRRK2,LRRK2,60,1,0,FALSE,0,0.69527293,FALSE,0,LRRK2,0,0
93293,FALSE,,,,NA,,,,FALSE,,,,,UBXN11,UBXN11,,,,FALSE,,,FALSE,,UBXN11,,
