"SrNo","V1","V2"
31030,"P12931","P17600"
31077,"P62837","Q9NQ86"
31078,"Q8TAU3","Q9NQ86"
31109,"O75586","Q969H0"
31236,"O75182","P29375"
31502,"A8K379","P28223"
31539,"A8K379","Q14289"
31622,"O75182","P51608"
31882,"O15519","Q92851"
31925,"O43251","Q9UNN4"
32031,"P28347","Q15788"
32202,"P13473","Q9Y3B4"
32259,"A0A024R7T3","O43251"
32310,"P03891","Q05586"
32349,"O75182","O96028"
32391,"B1ALF6","O75182"
32392,"O75182","Q9H836"
32393,"H0YLB0","O75182"
32409,"O75182","P61956"
32414,"A0A024RD16","P28347"
32506,"Q969H0","Q96G25"
32511,"A0A024R7K5","Q9UKV0"
32804,"P56524","Q9UKV0"
33498,"O14578","Q9Y5V0"
34242,"Q6NZI2","Q7Z4F3"
34247,"Q14978","Q6NZI2"
34248,"F4ZW62","Q6NZI2"
34250,"P55769","Q6NZI2"
34251,"Q08211","Q6NZI2"
34262,"P06748","Q6NZI2"
34273,"A0A024R3Z2","Q6NZI2"
34311,"P04155","Q6NZI2"
34329,"Q2YDC4","Q9NSC5"
34384,"A0A024R7E0","O14682"
34484,"O75563","Q14289"
34682,"O43251","Q16637"
34799,"Q969H0","Q96BA8"
34872,"O75182","Q16637"
35364,"Q8IZQ8","Q969V6"
35401,"A0A024RDY7","Q969H0"
35428,"B3KUN1","Q9NPH2"
35481,"A0A024RDY7","Q96PU8"
35623,"P13473","Q16665"
35648,"Q16204","Q969H0"
35698,"Q969V6","Q9Y6Q9"
35884,"O15031","P19174"
36271,"A0A024R7C0","O14682"
36317,"P08247","Q8IY97"
36343,"O43251","Q6FIE9"
36681,"P53779","Q9UKV0"
36964,"Q969H0","Q9H2X6"
37248,"P14317","Q96PU8"
37249,"P84101","Q96PU8"
37251,"P05067","Q96PU8"
37252,"Q86U06","Q96PU8"
37254,"B4E3T4","Q96PU8"
37255,"Q8WVV9","Q96PU8"
37257,"Q93074","Q96PU8"
37296,"P28347","Q9HAC8"
37297,"P28347","Q86T74"
37466,"Q6IBS0","Q9Y4G6"
37477,"P02768","Q9Y4G6"
37523,"P60896","Q9Y4G6"
37584,"O15031","O60925"
37587,"P0CG48","Q9Y4G6"
37937,"O43251","Q07666"
38022,"Q9BRT9","Q9UBB6"
38087,"O75182","P48431"
38263,"A0A024R9B0","Q969H0"
38408,"O15519","P25445"
38547,"Q86V38","Q9H2X0"
38567,"O43251","Q86V38"
39070,"Q14289","Q9HCN6"
39305,"P07814","P13473"
39586,"Q13547","Q9UKV0"
39645,"P04278","Q9C0C9"
39647,"P34947","Q9C0C9"
39669,"Q8N1G0","Q9C0C9"
