"SUID","name","selected","shared name"
"168250","SOX2","false","SOX2"
"168252","MEF2C","false","MEF2C"
"168254","DLGAP4","false","DLGAP4"
"168256","DLGAP1","false","DLGAP1"
"168258","DLGAP2","false","DLGAP2"
"168260","CTTN","false","CTTN"
"168262","HIST1H4L","false","HIST1H4L"
"168264","MKI67","false","MKI67"
"168267","DAZ1","false","DAZ1"
"168269","SMC3","false","SMC3"
"168271","DKFZp451O0517","false","DKFZp451O0517"
"168273","RFXANK","false","RFXANK"
"168275","MYO5A","false","MYO5A"
"168277","HTR2A","false","HTR2A"
"168279","TLN1","false","TLN1"
"168281","TICAM1","false","TICAM1"
"168284","ZBTB4","false","ZBTB4"
"168286","RPS4X","false","RPS4X"
"168287","PTRF","false","PTRF"
"168290","TP53","false","TP53"
"168292","RBM23","false","RBM23"
"168294","GRB7","false","GRB7"
"168296","POT1","false","POT1"
"168298","PRPF19","false","PRPF19"
"168300","SF3A1","false","SF3A1"
"168302","MED12","false","MED12"
"168304","HEY2","false","HEY2"
"168306","SRC","false","SRC"
"168308","UBE2D2","false","UBE2D2"
"168310","ZNF417","false","ZNF417"
"168312","MED6","false","MED6"
"168314","KDM5A","false","KDM5A"
"168316","LYN","false","LYN"
"168319","MECP2","false","MECP2"
"168321","CASP10","false","CASP10"
"168323","GTF2A1L","false","GTF2A1L"
"168326","SF3B6","false","SF3B6"
"168328","HNRPF","false","HNRPF"
"168330","MT-ND2","false","MT-ND2"
"168332","NSD2","false","NSD2"
"168335","SMARCB1","false","SMARCB1"
"168337","PBX1","false","PBX1"
"168340","SRF","false","SRF"
"168342","MED8","false","MED8"
"168344","MEF2B","false","MEF2B"
"168346","HDAC4","false","HDAC4"
"168348","ZNF706","false","ZNF706"
"168350","CAV1","false","CAV1"
"168352","NOLC1","false","NOLC1"
"168354","ILF2","false","ILF2"
"168356","SNU13","false","SNU13"
"168358","DHX9","false","DHX9"
"168361","SUMO1","false","SUMO1"
"168363","TFF1","false","TFF1"
"168366","BTBD14B","false","BTBD14B"
"168368","SKAP2","false","SKAP2"
"168370","SMN1","false","SMN1"
"168372","CREB3L1","false","CREB3L1"
"168375","MYOCD","false","MYOCD"
"168377","MED4","false","MED4"
"168379","PPP2CA","false","PPP2CA"
"168382","HIF1A","false","HIF1A"
"168384","CCDC6","false","CCDC6"
"168387","PLCG1","false","PLCG1"
"168389","KEAP1","false","KEAP1"
