GeneSymbol,GeneSymbol.1,INT
SFRS3,ATP6V0A1,PPI
FRYL,HOMER3,PPI
RBFOX2,RBM22,PPI
CBL,HTR2A,PPI
HIST2H3D,HDAC9,PPI
CCNB1,TSPYL2,PPI
YTHDC1,SEPT10,PPI
SNAPC5,NOL4,PPI
KANK2,CCDC36,PPI
RPS18,ATP6V0A1,PPI
FBXW7,MED9,PPI
RBFOX2,RBM42,PPI
CASP1,XK,PPI
TRAF2,CFLAR,PPI
PLXNB2,NIF3L1,PPI
TBR1,TSPYL2,PPI
MEOX2,VEZF1,PPI
STX1A,SYP,PPI
ENC1,ACTB,PPI
TGFB1I1,PTK2B,PPI
HNRNPK,QKI,PPI
FBXW7,NCOA3,PPI
SIN3B,MRGBP,PPI
RICTOR,FBXW7,PPI
CCNC,FBXW7,PPI
QKI,MED10,PPI
SYK,PTK2B,PPI
DYNLL1,SHANK2,PPI
SYK,HDAC9,PPI
MED1,FBXW7,PPI
ITPR2,CCDC8,PPI
PLXNB2,CCDC8,PPI
MED1,QKI,PPI
INPPL1,XK,PPI
DISC1,CIT,PPI
CTBP1,HDAC9,PPI
PRMT5,PHYHIP,PPI
BAZ1A,BAZ1B,PPI
SYNGR1,FATE1,PPI
HSP90AA1,CAMK1G,PPI
CDC45,CAMK1G,PPI
ETV6,HDAC9,PPI
USP30,QKI,PPI
TNF,LAMP2,PPI
SIN3B,KLF16,PPI
LAMP2,NCSTN,PPI
SIN3B,MYT1,PPI
SNX4,ATP6V0A1,PPI
SLC30A5,ATP6V0A1,PPI
SYP,EPOR,PPI
MED13L,FBXW7,PPI
RBM14,HDAC9,PPI
RPS15,ATP6V0A1,PPI
LAMP2,TUBA1B,PPI
CEBPB,HDAC9,PPI
PTK2B,PDCD6IP,PPI
RBFOX2,ATXN1,PPI
PIN1,FBXW7,PPI
CFLAR,CBLB,PPI
ZNF587,TRIM36,PPI
RBFOX2,ATXN1L,PPI
RBFOX2,HNRNPK,PPI
ACD,NCDN,PPI
POT1,NCDN,PPI
CFLAR,FADD,PPI
SYN1,BLM,PPI
PDHA1,NCDN,PPI
LAMP2,SUB1,PPI
RBFOX2,ESR2,PPI
ATP6V0A1,PTRH2,PPI
SURB7,FBXW7,PPI
MYB,FBXW7,PPI
FBXW7,MED11,PPI
MTOR,FBXW7,PPI
MCL1,FBXW7,PPI
NOP2,HDAC9,PPI
CFLAR,RIPK2,PPI
CUL3,SEPT10,PPI
CIT,HGS,PPI
NDUFA7,QKI,PPI
RBFOX2,CHAF1A,PPI
RNF13,LAMP2,PPI
MEOX2,CHRD,PPI
KRTAP10-1,CHRD,PPI
CDK1,TSPYL2,PPI
TWSG1,CHRD,PPI
CFLAR,CASP3,PPI
ATXN1,QKI,PPI
GRIN1,CACNG2,PPI
RBFOX2,GLIS2,PPI
CBLB,PTK2B,PPI
RBFOX2,HNRNPH2,PPI
CARD4,CFLAR,PPI
RELA,FKBP11,PPI
DYNLL1,KANK2,PPI
MAST3,YWHAE,PPI
BZRAP1,DLGAP2,PPI
DGCR6,DLGAP2,PPI
ARHGEF40,LGR4,PPI
CCNB2,TSPYL2,PPI
PPP1R2,NCDN,PPI
WDR77,QKI,PPI
RBFOX2,MAGED1,PPI
SYN1,DDX5,PPI
PLXNB2,FBXO6,PPI
SLC6A12,ERBIN,PPI
NFKB2,FBXW7,PPI
