"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"CDK1",NA,168683,"CDK1","false",FALSE,FALSE,FALSE
"CDK19",NA,169067,"CDK19","false",FALSE,FALSE,FALSE
"CDK2",NA,169039,"CDK2","false",FALSE,FALSE,FALSE
"CDK4",NA,168137,"CDK4","false",FALSE,FALSE,FALSE
"CDKN1A",NA,170196,"CDKN1A","false",FALSE,FALSE,FALSE
"CDKN2C",NA,170078,"CDKN2C","false",FALSE,FALSE,FALSE
"CEBPB",NA,168627,"CEBPB","false",FALSE,FALSE,FALSE
"CEBPE",NA,170403,"CEBPE","false",FALSE,FALSE,FALSE
"CENPF",NA,170367,"CENPF","false",FALSE,FALSE,FALSE
"CENPH",NA,168014,"CENPH","false",FALSE,FALSE,FALSE
"CENPU",NA,170427,"CENPU","false",FALSE,FALSE,TRUE
"CEP70",NA,168085,"CEP70","false",FALSE,FALSE,FALSE
"CETN3",NA,169976,"CETN3","false",FALSE,FALSE,FALSE
"CFLAR",NA,167910,"CFLAR","false",TRUE,FALSE,FALSE
"CFTR",NA,167930,"CFTR","false",FALSE,FALSE,FALSE
"CHAF1A",NA,168676,"CHAF1A","false",FALSE,FALSE,FALSE
"CHD3",NA,169749,"CHD3","false",FALSE,FALSE,FALSE
"CHMP2A",NA,168857,"CHMP2A","false",FALSE,FALSE,FALSE
"CHRAC1",NA,168046,"CHRAC1","false",FALSE,FALSE,FALSE
"CHRD",NA,168433,"CHRD","false",TRUE,FALSE,FALSE
"CIITA",NA,168959,"CIITA","false",FALSE,FALSE,FALSE
"CKMT2",NA,169954,"CKMT2","false",FALSE,FALSE,FALSE
"CLIC1",NA,168236,"CLIC1","false",FALSE,FALSE,FALSE
"CLN8",NA,168847,"CLN8","false",FALSE,FALSE,FALSE
"CLTC",NA,169873,"CLTC","false",FALSE,FALSE,FALSE
"CNTNAP4",NA,170491,"CNTNAP4","false",FALSE,FALSE,FALSE
"COIL",NA,169562,"COIL","false",FALSE,FALSE,FALSE
"COPS2",NA,168816,"COPS2","false",FALSE,FALSE,FALSE
"COPS6",NA,170389,"COPS6","false",FALSE,FALSE,FALSE
"COX17",NA,169485,"COX17","false",FALSE,FALSE,FALSE
"CPE",NA,169978,"CPE","false",FALSE,FALSE,FALSE
"CPM",NA,169400,"CPM","false",TRUE,FALSE,FALSE
"CPNE1",NA,169933,"CPNE1","false",FALSE,FALSE,FALSE
"CPNE2",NA,169931,"CPNE2","false",FALSE,FALSE,FALSE
"CPNE4",NA,169531,"CPNE4","false",FALSE,FALSE,FALSE
"CRADD",NA,169439,"CRADD","false",FALSE,FALSE,FALSE
"CRCT1",NA,169424,"CRCT1","false",FALSE,FALSE,FALSE
"CREB3",NA,170350,"CREB3","false",FALSE,FALSE,FALSE
"CREB3L1",NA,168372,"CREB3L1","false",FALSE,FALSE,FALSE
"CREB3L2",NA,169128,"CREB3L2","false",FALSE,FALSE,FALSE
"CRK",NA,169013,"CRK","false",FALSE,FALSE,FALSE
"CRKL",NA,167822,"CRKL","false",FALSE,FALSE,FALSE
"CSNK2A1",NA,168068,"CSNK2A1","false",FALSE,FALSE,FALSE
"CTBP1",NA,168589,"CTBP1","false",FALSE,FALSE,FALSE
"CTBP2",NA,169182,"CTBP2","false",FALSE,FALSE,TRUE
"CTNNB1",NA,169996,"CTNNB1","false",FALSE,FALSE,FALSE
"CTSA",NA,169989,"CTSA","false",FALSE,FALSE,FALSE
"CTTN",NA,168260,"CTTN","false",FALSE,FALSE,FALSE
"CUL1",NA,169742,"CUL1","false",FALSE,FALSE,FALSE
"CUL2",NA,168176,"CUL2","false",FALSE,FALSE,FALSE
"CUL3",NA,168050,"CUL3","false",FALSE,FALSE,FALSE
"CYB5B",NA,170407,"CYB5B","false",TRUE,FALSE,FALSE
"DAB2IP",NA,168874,"DAB2IP","false",FALSE,FALSE,FALSE
"DAXX",NA,169723,"DAXX","false",FALSE,FALSE,FALSE
"DAZ1",NA,168267,"DAZ1","false",FALSE,FALSE,FALSE
"DAZ4",NA,169302,"DAZ4","false",FALSE,FALSE,FALSE
"DAZAP2",NA,169141,"DAZAP2","false",FALSE,FALSE,FALSE
"DCLRE1C",NA,169169,"DCLRE1C","false",FALSE,FALSE,FALSE
"DCP1A",NA,168083,"DCP1A","false",FALSE,FALSE,FALSE
"DCP1B",NA,168211,"DCP1B","false",FALSE,FALSE,FALSE
"DDIT4",NA,169789,"DDIT4","false",FALSE,FALSE,FALSE
"DDX21",NA,168502,"DDX21","false",FALSE,FALSE,TRUE
"DDX5",NA,168718,"DDX5","false",FALSE,FALSE,FALSE
"DEDD",NA,168232,"DEDD","false",FALSE,FALSE,TRUE
"DEDD2",NA,168894,"DEDD2","false",FALSE,FALSE,FALSE
"DEPP",NA,168903,"DEPP","false",FALSE,FALSE,FALSE
"DGCR6",NA,168705,"DGCR6","false",FALSE,FALSE,FALSE
"DHX9",NA,168358,"DHX9","false",FALSE,FALSE,FALSE
"DIAPH1",NA,169766,"DIAPH1","false",FALSE,FALSE,FALSE
"DISC1",NA,168587,"DISC1","false",FALSE,TRUE,FALSE
"DKFZp451O0517",NA,168271,"DKFZp451O0517","false",FALSE,FALSE,FALSE
