Genes,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
G3BP2,31.50106913,41.53130212,38.8675438,50.84834666,46.84772705,36.35917528,29.23328395,37.93624727
STXBP3,18.99905243,14.55264917,16.97105965,14.70089376,21.13075104,16.612832,14.80287654,15.86831991
NAV1,6.916956631,7.911322693,8.276887348,7.491296522,6.916956631,8.099991741,9.814208038,9.788684472
SAFB2,42.27858502,39.47942146,40.10409971,33.65581536,39.76061755,41.67951497,42.40130157,39.47942146
ANKRD6,7.048772252,3.900682532,4.935750389,5.943230648,4.767684956,5.052401377,4.388657047,6.094427985
DENND1B,8.288823132,6.697621506,6.620306349,7.200188576,7.334804093,6.046749296,5.660916308,7.666165365
FAM175B,1.650967069,1.268682401,1.457595906,1.556578286,1.556578286,1.330092504,1.4613342,1.675701518
TRIM35,5.205128875,4.009028574,4.946995957,4.423970199,4.42141996,5.618870977,5.075516128,4.786693447
ANKRD13C,1.979830928,1.846785102,1.795553813,1.756614812,1.397055823,1.460346109,1.833257903,1.557743182
S100A11,3.120696011,2.787468738,2.549550748,2.502907061,2.706718478,3.310282435,2.208300397,3.183478054
CERS1,13.01221352,21.67952427,16.45926533,13.01221352,12.67354889,13.01221352,21.31444253,12.18739924
APOOL,12.41125859,12.41125859,11.98864617,12.41125859,11.22695855,11.23515128,8.415532193,12.41125859
FBXO9,2.327739664,2.871286541,3.284056208,2.804242581,3.142176071,2.488493377,3.948740846,2.491001384
PTMA,25.50881265,40.9989453,32.38894439,23.03461378,20.59912525,23.89314723,37.42361938,32.52903201
IRAK1,16.73371058,21.05119367,19.44086226,20.81799139,14.84947347,13.69699201,20.58558274,19.03898106
DYNLT1,6.32462996,6.619155396,5.753537841,7.360924422,7.189952495,7.12988161,8.361139881,8.148283668
WRB,6.511383253,15.30773411,12.50182722,9.163830729,11.59329505,9.814208038,7.943603598,8.881522512
STMN2,47.5819985,205.5756194,108.0592653,245.0301648,378.0788489,159.479908,177.3938012,186.8956351
ATP1B2,19.88906998,22.03469514,13.02583008,14.55402356,14.55839656,13.07959552,18.20816852,15.95025235
CDK7,1.979830928,3.593380377,3.700946721,3.265426059,2.648104943,1.9812131,2.567336041,2.830621551
SC5D,22.16677598,26.84858754,21.75583829,26.84858754,32.30289736,18.9941704,17.34047164,26.65209743
TMEM14A,37.3472857,31.72128687,38.31790288,50.01597634,54.18558668,31.66134748,26.1472814,36.37787584
SLCO4A1,4.42369975,9.076787167,6.510542197,5.817894643,5.895696195,6.848430624,12.5930767,15.22484437
STYK1,2.331860123,2.136552477,1.847754505,4.248707603,3.073783553,2.299768223,1.556578286,5.095268638
KLF15,16.62774626,13.19690546,12.46381638,12.56494868,11.58294233,12.46381638,15.91382639,15.33434963
RDX,36.9334499,36.75743762,22.21643597,40.78459715,48.36381815,21.77724477,14.98289852,38.93925576
ACYP2,4.044387699,4.59658581,6.303795626,5.195415357,6.116007614,4.373747087,3.532237337,3.755378184
C1orf109,8.264967868,6.725507448,7.26423225,7.855614763,8.931548894,7.619866816,6.525841464,8.652103076
C6orf203,1.383667116,1.523177708,1.691330108,1.642107455,1.43508761,1.642107455,1.460961653,1.642107455
C12orf75,3.027160777,1.390744586,2.03621631,1.669254082,2.022476372,1.757200267,1.497005187,1.979830928
STK4,13.28781456,14.01921594,13.1091133,13.93562546,13.28781456,15.35121805,13.1091133,14.77385857
NKAIN2,17.7124488,9.515578796,11.60068776,11.23515128,9.825583736,9.814208038,9.192206533,11.69568924
HLA-DRB1,7.612092859,14.06473536,7.125695088,14.82718862,7.612092859,7.221830457,9.378912805,8.952881786
NAV2,32.54201911,25.97521825,26.81918112,27.51504163,23.77568686,33.08661567,26.8529038,28.12114843
SLC2A14,7.319647586,7.018410631,4.738814816,5.608894929,8.871388072,5.284118861,6.301959754,6.473633754
ASAP3,32.12107918,37.27550816,40.63400735,40.36760594,34.00036579,32.12107918,35.63166604,33.04073008
TNS3,15.99532696,22.02468245,25.66723221,12.58658715,12.52574268,33.97269652,17.16479249,28.22224276
PPP2R2A,36.56102916,23.46496335,23.30276729,30.01247964,28.41134102,24.57747846,22.46628007,21.38904168
TYRP1,18.09170279,24.36824661,52.17582826,25.7581413,22.05562715,5.284118861,15.91382639,11.12480381
B3GALT4,4.154462565,4.83797133,4.91471805,4.91471805,4.67054123,4.783734496,3.451291139,4.91471805
INPP5K,4.183420206,4.444938838,4.163929702,4.796441917,3.473232361,4.677709227,3.735103483,4.111680936
H1F0,7.612092859,8.583478061,7.834075974,6.280929852,6.778571309,5.278222632,6.139775603,6.085845618
SHC1,66.48881295,48.75926254,74.7566253,48.04466284,35.79030212,46.76017444,43.59555117,52.4976261
CAMK2D,103.1024652,69.89443559,91.01491771,60.57561939,70.95894599,104.6444543,66.75045025,76.16723087
ANAPC7,5.407013762,5.337527573,4.744967212,4.642736066,4.333482819,4.946995957,4.551234099,3.921218805
ALKBH6,65.51376332,66.95580123,64.07052791,74.84834666,70.64788276,70.64788276,62.05143294,69.32941294
ASAH2B,2.706718478,2.521984284,2.716662563,2.275907599,3.073783553,2.299768223,2.261660766,2.716662563
PTCHD3P1,6.435714898,4.44611494,4.261887333,5.565193735,4.578649157,4.155063332,4.886823621,3.999219629
LYN,1.225972534,1.735744826,1.313472154,1.451575491,1.322744832,1.322744832,1.336946135,1.331731059
MCF2,7.811295218,9.440679112,7.588100818,9.814208038,8.677027756,7.065391933,6.672735511,8.360684111
TUBA1A,1431.009196,1426.035406,1532.749677,2676.345198,2616.768107,1713.240763,1335.547011,2291.278436
PRKCA,15.52489207,20.92252586,29.13465641,8.762667855,11.74749919,11.79992239,15.33585287,14.77385857
HYPK,73.30289212,100.4730076,106.547117,86.72208958,101.466413,74.57561939,91.19690719,66.33027154
CLCN5,2.556460173,2.329533241,2.31202394,1.863079717,6.43205207,2.299768223,1.775213579,2.403286718
WDR48,15.79763369,15.02402291,12.64042031,13.31989231,12.798258,10.77997774,13.72957398,20.57365475
PKIG,5.301715713,7.036770969,7.285301425,8.626971986,6.169997132,6.169997132,7.336256925,6.891916811
POLR2A,14.78968902,15.71709168,13.8551525,12.5828705,11.39753545,12.5930767,11.39753545,9.830971639
EEF1E1,3.999219629,4.093214677,3.999219629,4.27678332,3.629408446,3.598813026,3.131378849,3.033462584
SLC25A28,45.2196002,46.21198303,37.20788726,49.75743757,39.98147928,38.66652849,35.7842823,44.85129767
SH3GL3,13.28781456,12.67696807,11.6829915,11.71653778,14.89022831,16.06979249,10.82460168,14.18200421
FAM149A,3.723151529,2.864396818,2.50437371,2.91267853,4.135353765,2.257350317,2.50437371,3.315654436
MRPS18B,7.612092859,8.800487531,8.800487531,8.460032092,9.030666063,7.265704319,5.903683197,7.971461571
BMS1P20,8.915132148,6.265678809,7.064803547,7.47831074,7.382291509,4.446470843,4.862215411,4.169653815
PRPF4B,4.425444378,4.794621234,4.406123347,5.753537841,3.957582472,3.965931649,4.405377971,4.003315685
SETD7,9.210932149,7.756787871,8.361071471,7.158176429,8.61581341,6.336338108,7.299552591,7.577429875
AHCTF1,3.497053917,5.148474784,3.401639023,3.728604807,3.551882984,3.551882984,4.509683257,3.999219629
IFITM1,6.83359031,16.77045076,12.53184211,9.814208038,9.814208038,9.814208038,14.93369317,14.84445923
MEF2D,34.13419703,30.47936783,35.01406332,32.46427166,26.98877913,29.6635698,28.16281178,24.51231931
SHISA5,12.10406875,11.88942457,15.59319819,13.1091133,13.67980463,10.34289844,11.66696067,16.30434202
C11orf96,69.21198303,71.39380121,70.30289212,63.84130701,56.15681976,55.83782216,95.21962379,185.732276
SPTSSB,1.288725252,1.268710197,1.378404644,1.082010643,1.268710197,0.828903257,1.051506298,1.094329034
DVL1,18.50483163,22.86267295,20.22021523,18.20756529,17.03845042,20.73948721,16.69446849,20.13513692
ACTR1A,1.802254982,3.166900835,2.399146971,3.29471121,3.629408446,2.460413652,2.353044755,3.052755627
GJA1,56.75904482,104.800883,110.7274581,28.48478479,44.03016485,82.9349671,113.8253624,132.6476093
SRGN,27.42872674,60.01946209,42.17236685,27.41294798,23.53137213,33.45399193,49.21198303,160.6676212
SDC4,14.77385857,17.40241928,19.7095307,14.49385999,15.02417495,16.70221256,20.03798139,17.43138073
PARG,3.073855786,3.227090311,3.701231545,3.377465809,3.337373449,2.904163247,2.979918512,2.849624028
PTN,18.66005552,21.83598927,24.10741046,17.78476611,18.45667896,14.32211446,17.78476611,22.7618866
CNOT6,2.706718478,2.674409603,2.447557435,2.381341195,1.978612049,2.851036338,2.765804667,2.447557435
SNHG12,16.77718312,12.46785702,9.469598648,10.8876335,16.25412534,10.29939769,15.39322893,13.95173027
CCDC104,2.283947674,4.044061878,5.258893569,4.151388163,4.303283052,2.675081315,4.151388163,3.067476041
CSRNP1,5.241482415,4.928324899,4.394159183,4.308888781,3.679558915,4.796688859,9.566643718,5.326845146
SLC16A14,4.968124626,2.831159878,4.406123347,3.733038516,6.190134457,2.734221612,1.895484688,4.807227919
CORO1B,9.813471491,14.86461087,11.60409357,15.14021634,12.57227841,10.79618508,13.94294329,12.60786326
AHNAK2,7.626213694,9.44601076,8.038417956,5.008901797,6.215618024,7.670175545,7.626213694,4.232705648
MAST2,12.77683042,14.06126875,10.49200423,16.88781605,11.26091259,11.86295708,10.04120208,8.360684111
SGK1,26.44171312,34.48892792,27.48091004,27.48495106,26.05056508,37.88211729,32.50606174,39.56728686
KCTD4,1.520270978,1.0267146,1.180054095,1.263438152,1.072999654,1.370675352,1.051506298,1.463250269
HTATSF1,4.339459988,4.587197274,4.406123347,3.483230428,4.359132777,3.312622287,3.305581912,4.406123347
RRAGA,6.530484602,9.09272148,10.98794304,10.60598791,10.80851638,7.246060869,4.8617833,9.988497991
MPRIP,61.45656376,52.81578163,62.03016485,48.30289212,56.57561939,47.90208772,47.04281616,44.21198303
FAM188A,7.349924889,8.140338844,11.52762557,7.234218744,8.140338844,7.684461047,7.061774566,5.485776475
AK4,10.65970333,9.307297141,13.97565823,7.351510925,10.65277961,11.18636802,9.307297141,15.79602025
FITM2,3.188289878,3.86431827,2.845208781,4.3764703,4.082815825,2.827957673,3.541478015,4.644220931
SUMF1,4.284672426,4.238118555,3.904957147,3.719365039,4.151388163,3.963967986,4.103629597,4.284672426
DENND6A,9.814208038,11.40104184,9.723299016,10.44068771,9.723299016,9.723299016,10.74126544,12.32034949
SLC24A2,26.56702732,16.71380039,26.28852035,27.78719425,32.90710453,22.37134489,22.522843,32.17765153
SYT17,5.158371501,8.670935702,5.725221807,10.10718151,13.31847779,7.73112011,7.109286385,16.52859953
SLC10A4,206.0725567,179.9986286,216.3059864,170.3938012,230.0350967,131.5756194,113.2915708,129.4553131
CNTN6,9.666046681,8.303647301,9.543794357,9.289576613,8.458507538,7.521195064,8.455563273,9.543794357
MT1F,46.02711511,72.87570153,74.28211693,50.74570126,51.75743757,60.98435012,70.63132751,62.77111204
JAK1,17.08330288,22.03469514,21.59939453,19.6224148,15.54647198,19.06839805,17.4046732,19.6224148
LOC101930657,1.331731059,1.154181783,1.331731059,1.566301274,1.045498435,1.256516949,1.023366116,1.331731059
TOB1,5.567603859,4.893469419,7.427132027,5.282089866,6.848430624,5.535581728,7.589995821,6.084423311
