gene.name,SUID,annotation.name.1,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID.1,Ensembl.Protein.ID.1,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID.1,Entrez.Gene.ID,IsSingleNode,log.score.1,log.score,name,NeighborhoodConnectivity,node.type.1,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID.1,RefSeq.Protein.ID.1,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name.1,shared.name,Stress,sumRank,Synonym,TopologicalCoefficient,Uniprot.ID.1,Uniprot.ID,RankVar
AHCYL1,17441,,,,2.02752294,0.00049305,0.49321267,0.25541126,22,3,ENSG00000168710,ENSP00000377238,ENSG00000168710,ENSP00000377238,10768,10768,FALSE,-0.1197538,-0.1197538,H__sapiens__1_-Hs:721841,54.86363636,query,query,0,22,0,0.74311927,NM_006621,NP_006612,NM_006621,NP_006612,0.887138823,FALSE,0,H__sapiens__1_-Hs:721841,H__sapiens__1_-Hs:721841,830,544.2857143,XPVKONA,0.18535012,SAHH2_HUMAN,SAHH2_HUMAN,292.3
AHR,17659,,,,1.81345566,0.00636433,0.55143339,0.23701923,65,3,ENSG00000106546,ENSP00000436466,ENSG00000106546,ENSP00000436466,196,196,FALSE,-0.178255105,-0.178255105,H__sapiens__1_-Hs:712624,50.84615385,query,query,0,65,0,0.79663609,NM_001621,NP_001612,NM_001621,NP_001612,0.836728943,FALSE,0,H__sapiens__1_-Hs:712624,H__sapiens__1_-Hs:712624,11616,132.8571429,bHLHe76,0.15741843,P35869,P35869,931.1
AKAP13,17604,,,,1.9235474,0.00284513,0.51987281,0.23897582,38,3,ENSG00000170776,ENSP00000453768,ENSG00000170776,ENSP00000453768,11214,11214,FALSE,-0.100108345,-0.100108345,H__sapiens__1_-Hs:722323,51,query,query,0,38,0,0.76911315,NM_007200,NP_009131,NM_007200,NP_009131,0.904739388,FALSE,0,H__sapiens__1_-Hs:722323,H__sapiens__1_-Hs:722323,5306,351.4285714,PROTO-LB,0.16242038,Q12802,Q12802,4484
AKR1B1,17651,,,,1.99388379,0.00201777,0.50153374,0.24137931,30,3,ENSG00000085662,ENSP00000414399,ENSG00000085662,ENSP00000414399,231,231,FALSE,-0.159439693,-0.159439693,H__sapiens__1_-Hs:710955,39.56666667,query,query,0,30,0,0.75152905,NM_001628,NP_001619,NM_001628,NP_001619,0.852621385,FALSE,0,H__sapiens__1_-Hs:710955,H__sapiens__1_-Hs:710955,3634,445.1428571,ALDR1,0.13266219,P15121,P15121,3737.466667
AKR1C1,17385,,,,2.43119266,0.00012905,0.41132075,0.27777778,9,3,ENSG00000266592,ENSP00000464152,ENSG00000266592,ENSP00000464152,1645,1645,FALSE,-0.062989086,-0.062989086,H__sapiens__1_-Hs:725989,37.66666667,query,query,0,9,0,0.64220183,NM_001353,NP_001344,NM_001353,NP_001344,0.938953721,FALSE,0,H__sapiens__1_-Hs:725989,H__sapiens__1_-Hs:725989,180,342,MBAB,0.21338384,Q04828,Q04828,13117.5
ALMS1,17414,,,,1.93883792,0.00162105,0.51577287,0.28571429,35,3,ENSG00000116127,ENSP00000399833,ENSG00000116127,ENSP00000399833,7840,7840,FALSE,-0.104771,-0.104771,H__sapiens__1_-Hs:713846,52.45714286,query,query,0,35,0,0.76529052,NM_015120,NP_055935,NM_015120,NP_055935,0.90053072,FALSE,0,H__sapiens__1_-Hs:713846,H__sapiens__1_-Hs:713846,3316,288.2857143,KIAA0328,0.16813187,Q8TCU4,Q8TCU4,15950.56667
ALOX5,17507,,,,2.08562691,0.00064797,0.47947214,0.35930736,22,3,ENSG00000262552,ENSP00000459805,ENSG00000262552,ENSP00000459805,240,240,FALSE,-0.144361791,-0.144361791,H__sapiens__1_-Hs:709597,45.27272727,query,query,0,22,0,0.72859327,NM_001256154,NP_001243083,NM_001256154,NP_001243083,0.865574534,FALSE,0,H__sapiens__1_-Hs:709597,H__sapiens__1_-Hs:709597,1184,266,5-LOX,0.16386693,P09917,P09917,14747.76667
ALPK1,17709,,,,2.14067278,0.00077001,0.46714286,0.33684211,20,3,ENSG00000073331,ENSP00000426044,ENSG00000073331,ENSP00000426044,80216,80216,FALSE,-0.047064586,-0.047064586,H__sapiens__1_-Hs:710512,41.3,query,query,0,20,0,0.7148318,NM_025144,NP_079420,NM_025144,NP_079420,0.954025779,FALSE,0,H__sapiens__1_-Hs:710512,H__sapiens__1_-Hs:710512,1324,177.4285714,KIAA1527,0.15823755,Q96QP1,Q96QP1,6089.1
AMD1,17500,,,,1.80733945,0.00382229,0.55329949,0.29903846,65,3,ENSG00000123505,ENSP00000433396,ENSG00000123505,ENSP00000433396,262,262,FALSE,-0.143603571,-0.143603571,H__sapiens__1_-Hs:714716,58.30769231,query,query,0,65,0,0.79816514,NM_001634,NP_001625,NM_001634,NP_001625,0.866231079,FALSE,0,H__sapiens__1_-Hs:714716,H__sapiens__1_-Hs:714716,7486,326.5714286,SAMDC,0.17940828,P17707,P17707,12184.7
AMPD3,17506,,,,2.04587156,0.00072594,0.48878924,0.27173913,24,3,ENSG00000133805,ENSP00000436987,ENSG00000133805,ENSP00000436987,272,272,FALSE,-0.09265024,-0.09265024,H__sapiens__1_-Hs:716130,44.625,query,query,0,24,0,0.73853211,NM_001172431,NP_001165902,NM_001172431,NP_001165902,0.911512255,FALSE,0,H__sapiens__1_-Hs:716130,H__sapiens__1_-Hs:716130,1278,313.7142857,,0.15494792,Q01432,Q01432,5256.4
