gene.name,X,SUID,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID,IsSingleNode,log.score,name,NeighborhoodConnectivity,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name,Stress,Synonym,TopologicalCoefficient,Uniprot.ID,RankVar
KCNMB4,27,24937,,,2.07575758,0.04369417,0.48175182,0.11111111,9,3,ENSG00000135643,ENSP00000431137,27345,FALSE,-0.066478484,H__sapiens__2_-Hs:716463,8.66666667,query,0,9,0,0.73106061,NM_014505,NP_055320,0.935683048,FALSE,0,H__sapiens__2_-Hs:716463,652,,0.1712963,Q86W47,196.2666667
LPCAT4,28,24955,,,2.22727273,0.02074246,0.44897959,0.25,8,4,ENSG00000176454,ENSP00000454422,254531,FALSE,-0.081169771,H__sapiens__2_-Hs:723555,9,query,0,8,0,0.69318182,NM_153613,NP_705841,0.922037143,FALSE,0,H__sapiens__2_-Hs:723555,384,LPEAT2,0.20833333,Q643R3,204.4
LRRC14,29,24986,,,2.68181818,0.00162837,0.37288136,0,2,4,ENSG00000160959,ENSP00000436452,9684,FALSE,-0.101262282,H__sapiens__2_-Hs:719949,11.5,query,0,2,0,0.57954545,NM_014665,NP_055480,0.903695979,FALSE,0,H__sapiens__2_-Hs:719949,22,LRRC14A,0.5,Q15048,21.36666667
MARK4,30,25000,,,2.51515152,0.00507288,0.39759036,0.33333333,4,4,ENSG00000007047,ENSP00000466843,57787,FALSE,-0.089511731,H__sapiens__2_-Hs:709442,10,query,0,4,0,0.62121212,NM_031417,NP_113605,0.914377538,FALSE,0,H__sapiens__2_-Hs:709442,62,PAR-1D,0.3362069,Q96L34,181.8666667
MED8,31,25002,,,2.81818182,0,0.35483871,1,2,4,ENSG00000159479,ENSP00000361535,112950,FALSE,-0.099319903,H__sapiens__2_-Hs:719746,9,query,0,2,0,0.54545455,NM_201542,NP_963836,0.905453005,FALSE,0,H__sapiens__2_-Hs:719746,0,MGC19641,0.5625,Q96G25,47.2
MGST3,32,24945,,,2.16666667,0.01282289,0.46153846,0.30555556,9,4,ENSG00000143198,ENSP00000356864,4259,FALSE,-0.137524345,H__sapiens__2_-Hs:717698,11.88888889,query,0,9,0,0.70833333,NM_004528,NP_004519,0.871513133,FALSE,0,H__sapiens__2_-Hs:717698,308,GST-III,0.25295508,O14880,478.5666667
NDEL1,33,24949,,,1.96969697,0.06019383,0.50769231,0.16666667,12,3,ENSG00000166579,ENSP00000464634,81565,FALSE,-0.177247352,H__sapiens__2_-Hs:721303,10,query,0,12,0,0.75757576,NM_030808,NP_110435,0.837572584,FALSE,0,H__sapiens__2_-Hs:721303,956,NUDEL,0.17857143,Q9GZM8,63.46666667
OAT,34,24973,,,1.86363636,0.05933989,0.53658537,0.175,17,3,ENSG00000065154,ENSP00000439042,4942,FALSE,-0.159934178,H__sapiens__2_-Hs:710200,9.9375,query,0,17,1,0.78409091,NM_001171814,NP_001165285,0.852199881,FALSE,0,H__sapiens__2_-Hs:710200,1168,HOGA,0.17025862,P04181,31.1
PCDH17,35,24947,,,2.25757576,0.02317171,0.44295302,0.14285714,8,4,ENSG00000118946,ENSP00000432899,27253,FALSE,-0.122325091,H__sapiens__2_-Hs:714174,9,query,0,8,0,0.68560606,NM_001040429,NP_001035519,0.884860662,FALSE,0,H__sapiens__2_-Hs:714174,456,PCH68,0.22115385,PCD17_HUMAN,208.3
PDE4A,36,24997,,,2.95454545,0,0.33846154,0,1,4,ENSG00000065989,ENSP00000468507,5141,FALSE,-0.070579978,H__sapiens__2_-Hs:710239,13,query,0,1,0,0.51136364,NM_006202,NP_006193,0.931853208,FALSE,0,H__sapiens__2_-Hs:710239,0,DPDE2,0,PDE4A_HUMAN,233.4666667
PEF1,37,24989,,,2.37878788,0.01381247,0.42038217,0.2,6,3,ENSG00000162517,ENSP00000411934,553115,FALSE,-0.106614336,H__sapiens__2_-Hs:720146,8.83333333,query,0,6,0,0.65530303,NM_012392,NP_036524,0.898872269,FALSE,0,H__sapiens__2_-Hs:720146,202,PEF1A,0.25490196,Q9UBV8,134.8
PHYH,38,24946,,,1.96969697,0.04117454,0.50769231,0.23076923,14,3,ENSG00000107537,ENSP00000420117,5264,FALSE,-0.153348237,H__sapiens__2_-Hs:712722,10.21428571,query,0,14,0,0.75757576,NM_006214,NP_006205,0.857830941,FALSE,0,H__sapiens__2_-Hs:712722,828,PHYH1,0.19137466,PAHX_HUMAN,397.9
PLCB1,39,24953,,,2.25757576,0.01499593,0.44295302,0.25,9,3,ENSG00000182621,ENSP00000431704,23236,FALSE,-0.108271202,H__sapiens__2_-Hs:724804,8.88888889,query,0,9,0,0.68560606,NM_182734,NP_877398,0.897384191,FALSE,0,H__sapiens__2_-Hs:724804,298,PLC154,0.22507123,Q9NQ66,21.36666667
PPP1R11,40,24938,,,2.13636364,0.02367775,0.46808511,0.0952381,7,3,ENSG00000237829,ENSP00000416038,6992,FALSE,-0.132516727,H__sapiens__2_-Hs:729846,11.57142857,query,0,7,0,0.71590909,NM_021959,NP_068778,0.875888283,FALSE,0,H__sapiens__2_-Hs:729846,484,Tctex5,0.23913043,PP1RB_HUMAN,117.7666667
PPP3CA,41,24983,,,2.1969697,0.05395885,0.45517241,0.11111111,10,3,ENSG00000138814,ENSP00000434599,5530,FALSE,-0.177734314,H__sapiens__2_-Hs:717102,6.8,query,0,10,0,0.70075758,NM_001130692,NP_001124164,0.837164817,FALSE,0,H__sapiens__2_-Hs:717102,714,PPP2B,0.1625,Q08209,27.76666667
PSMB2,42,24948,,,2.06060606,0.05601468,0.48529412,0.15151515,13,3,ENSG00000126067,ENSP00000362334,5690,FALSE,-0.160286111,H__sapiens__2_-Hs:715110,8.41666667,query,0,13,1,0.73484848,NM_002794,NP_002785,0.851900016,FALSE,0,H__sapiens__2_-Hs:715110,912,HC7-I,0.17777778,PSB2_HUMAN,218.6666667
PSMF1,43,24987,,,2.60606061,0.01032511,0.38372093,0.1,5,4,ENSG00000125818,ENSP00000401404,9491,FALSE,-0.116381336,H__sapiens__2_-Hs:715045,6.6,query,0,5,0,0.59848485,NM_178578,NP_848693,0.890135718,FALSE,0,H__sapiens__2_-Hs:715045,158,PI31,0.26086957,Q92530,83.86666667
R3HCC1,44,24984,,,2.57575758,0.00156488,0.38823529,0,3,4,ENSG00000104679,ENSP00000430607,203069,FALSE,-0.111723116,H__sapiens__2_-Hs:712242,11.33333333,query,0,3,0,0.60606061,NM_001136108,NP_001129580,0.894291838,FALSE,0,H__sapiens__2_-Hs:712242,34,DKFZp564N123,0.41333333,R3HC1_HUMAN,324.5666667
RIMS1,45,24996,,,2.77272727,0.00196557,0.36065574,0,3,4,ENSG00000079841,ENSP00000439730,22999,FALSE,-0.111152527,H__sapiens__2_-Hs:710767,9.66666667,query,0,3,0,0.55681818,NM_014989,NP_055804,0.894802257,FALSE,0,H__sapiens__2_-Hs:710767,58,RIM1,0.43333333,RIMS1_HUMAN,176.3
RPH3A,46,24985,,,2.33333333,0.00638195,0.42857143,0.4,6,4,ENSG00000089169,ENSP00000450382,22895,FALSE,-0.143005553,H__sapiens__2_-Hs:711116,11.16666667,query,0,6,0,0.66666667,NM_014954,NP_055769,0.866749256,FALSE,0,H__sapiens__2_-Hs:711116,192,rabphilin,0.28632479,RP3A_HUMAN,500
SAMM50,47,24959,,,2.28787879,0.03173599,0.43708609,0.28888889,10,4,ENSG00000100347,ENSP00000379505,25813,FALSE,-0.133073759,H__sapiens__2_-Hs:711570,7.8,query,0,10,0,0.6780303,NM_015380,NP_056195,0.875400521,FALSE,0,H__sapiens__2_-Hs:711570,418,YNL026W,0.2,SAM50_HUMAN,372.2666667
SEPT6,48,24954,,,2.62121212,0.00274446,0.38150289,0,3,4,ENSG00000125354,ENSP00000435818,23157,FALSE,-0.14194808,H__sapiens__2_-Hs:714956,9.66666667,query,0,3,0,0.59469697,NM_145802,NP_665801,0.867666305,FALSE,0,H__sapiens__2_-Hs:714956,76,MGC20339,0.39393939,SEPT6_HUMAN,218.9666667
SIGMAR1,49,24941,,,2.36363636,0.01231036,0.42307692,0.06666667,6,3,ENSG00000147955,ENSP00000434453,10280,FALSE,-0.134202798,H__sapiens__2_-Hs:718404,8.66666667,query,0,6,0,0.65909091,NM_147157,NP_671513,0.874412717,FALSE,0,H__sapiens__2_-Hs:718404,234,SR-BP1,0.25,SGMR1_HUMAN,59.06666667
SLC12A5,50,24944,,,2.16666667,0.05427357,0.46153846,0.06060606,12,3,ENSG00000124140,ENSP00000476885,57468,FALSE,-0.146008885,H__sapiens__2_-Hs:714779,6.5,query,0,12,0,0.70833333,NM_020708,NP_065759,0.864150026,FALSE,0,H__sapiens__2_-Hs:714779,936,KIAA1176,0.16008772,S12A5_HUMAN,517.8666667
SLC41A3,51,24999,,,2.62121212,0.00142376,0.38150289,0.33333333,4,4,ENSG00000114544,ENSP00000427409,54946,FALSE,-0.06935607,H__sapiens__2_-Hs:713614,9,query,0,4,0,0.59469697,NM_017836,NP_060306,0.93299441,FALSE,0,H__sapiens__2_-Hs:713614,22,FLJ20473,0.36458333,S41A3_HUMAN,86.3
SMARCA2,52,24963,,,2.16666667,0.02793641,0.46153846,0.15555556,10,4,ENSG00000080503,ENSP00000415218,6595,FALSE,-0.172693921,H__sapiens__2_-Hs:710783,8.7,query,0,10,0,0.70833333,NM_139045,NP_620614,0.841395109,FALSE,0,H__sapiens__2_-Hs:710783,460,Sth1p,0.19318182,SMCA2_HUMAN,41.86666667
SNX11,53,24939,,,2.57575758,0.01121046,0.38823529,0,4,4,ENSG00000002919,ENSP00000464410,29916,FALSE,-0.081520476,H__sapiens__2_-Hs:709304,7.75,query,0,4,0,0.60606061,NM_152244,NP_689450,0.921713836,FALSE,0,H__sapiens__2_-Hs:709304,182,,0.32142857,SNX11_HUMAN,119.5
SPOCK1,54,24980,,,2.42424242,0.01222167,0.4125,0.1,5,4,ENSG00000152377,ENSP00000424517,6695,FALSE,-0.121460155,H__sapiens__2_-Hs:718898,8.4,query,0,5,0,0.64393939,NM_004598,NP_004589,0.885626341,FALSE,0,H__sapiens__2_-Hs:718898,198,TIC1,0.2516129,TICN1_HUMAN,24.3
SSBP3,55,24990,,,2.31818182,0.01127917,0.43137255,0.26666667,6,4,ENSG00000157216,ENSP00000431654,23648,FALSE,-0.069170851,H__sapiens__2_-Hs:719460,9.83333333,query,0,6,0,0.67045455,NM_145716,NP_663768,0.933167234,FALSE,0,H__sapiens__2_-Hs:719460,214,SSDP1,0.25,SSBP3_HUMAN,234.5666667
TCEAL1,56,24960,,,2.18181818,0.01217965,0.45833333,0.27777778,9,4,ENSG00000172465,ENSP00000361709,9338,FALSE,-0.171239651,H__sapiens__2_-Hs:722754,11.55555556,query,0,9,0,0.70454545,NM_004780,NP_004771,0.842619615,FALSE,0,H__sapiens__2_-Hs:722754,246,SIIR,0.25120773,TCAL1_HUMAN,203.6
TMOD2,57,24998,,,2.93939394,0.00222348,0.34020619,0,2,4,ENSG00000128872,ENSP00000453524,29767,FALSE,-0.06121754,H__sapiens__2_-Hs:715403,7,query,0,2,0,0.51515152,NM_014548,NP_055363,0.940618596,FALSE,0,H__sapiens__2_-Hs:715403,26,NTMOD,0.5,TMOD2_HUMAN,666.7
TMX4,58,24943,,,2.18181818,0.02350753,0.45833333,0.25,9,3,ENSG00000125827,ENSP00000435735,56255,FALSE,-0.100246383,H__sapiens__2_-Hs:715050,9.33333333,query,0,9,0,0.70454545,NM_021156,NP_066979,0.904614509,FALSE,0,H__sapiens__2_-Hs:715050,390,TXNDC13,0.20959596,TMX4_HUMAN,112.9666667
TPGS2,59,24957,,,2.46969697,0.00470175,0.40490798,0,4,4,ENSG00000134779,ENSP00000468292,25941,FALSE,-0.10382618,H__sapiens__2_-Hs:716295,10.5,query,0,4,0,0.63257576,NM_015476,NP_056291,0.901381962,FALSE,0,H__sapiens__2_-Hs:716295,86,HsT3006,0.33928571,TPGS2_HUMAN,199.7666667
TSPYL5,60,24958,,,2.33333333,0.00768425,0.42857143,0.19047619,7,3,ENSG00000180543,ENSP00000322802,85453,FALSE,-0.133870093,H__sapiens__2_-Hs:724376,10,query,0,7,0,0.66666667,NM_033512,NP_277047,0.874703688,FALSE,0,H__sapiens__2_-Hs:724376,170,KIAA1750,0.27027027,TSYL5_HUMAN,250.9666667
TXN2,61,24966,,,2.48484848,0.00442389,0.40243902,0.3,5,4,ENSG00000100348,ENSP00000469160,25828,FALSE,-0.122504049,H__sapiens__2_-Hs:711571,10,query,0,5,0,0.62878788,NM_012473,NP_036605,0.884702322,FALSE,0,H__sapiens__2_-Hs:711571,98,MT-TRX,0.33103448,THIOM_HUMAN,327.5
UCHL1,62,24956,,,2.03030303,0.02675203,0.49253731,0.24242424,12,3,ENSG00000154277,ENSP00000426895,7345,FALSE,-0.148368112,H__sapiens__2_-Hs:719128,11,query,0,12,0,0.74242424,NM_004181,NP_004172,0.862113702,FALSE,0,H__sapiens__2_-Hs:719128,562,Uch-L1,0.21405229,UCHL1_HUMAN,11.06666667
VDAC1,63,24972,anion channel activity,GO:0005253,2.45454545,0.00482278,0.40740741,0.38095238,8,4,ENSG00000213585,ENSP00000390129,7416,FALSE,-0.154392458,H__sapiens__2_-Hs:732704,9.71428571,query,0,8,1,0.63636364,NM_003374,NP_003365,0.856935644,FALSE,0,H__sapiens__2_-Hs:732704,116,PORIN,0.30875576,VDAC1_HUMAN,811.8666667
VDAC3,64,24961,anion channel activity,GO:0005253,2.18181818,0.01850042,0.45833333,0.30909091,13,3,ENSG00000078668,ENSP00000442811,7419,FALSE,-0.13668852,H__sapiens__2_-Hs:710721,10.18181818,query,0,13,2,0.70454545,NM_005662,NP_005653,0.87224187,FALSE,0,H__sapiens__2_-Hs:710721,358,HD-VDAC3,0.24025974,VDAC3_HUMAN,98.3
WASF1,65,24976,,,2.16666667,0.02513742,0.46153846,0.21428571,8,4,ENSG00000112290,ENSP00000407041,8936,FALSE,-0.170502524,H__sapiens__2_-Hs:713348,9.875,query,0,8,0,0.70833333,NM_003931,NP_003922,0.843240961,FALSE,0,H__sapiens__2_-Hs:713348,458,WAVE1,0.20744681,WASF1_HUMAN,557.3666667
WIPI2,66,24979,,,2.37878788,0.00471416,0.42038217,0.46666667,6,4,ENSG00000157954,ENSP00000429654,26100,FALSE,-0.097137895,H__sapiens__2_-Hs:719544,11.83333333,query,0,6,0,0.65530303,NM_016003,NP_057087,0.907430868,FALSE,0,H__sapiens__2_-Hs:719544,144,FLJ42984,0.31981982,WIPI2_HUMAN,275.2
ZBTB7A,67,24993,,,2.31818182,0.00778787,0.43137255,0.38095238,7,4,ENSG00000178951,ENSP00000471865,51341,FALSE,-0.094579878,H__sapiens__2_-Hs:724060,10.28571429,query,0,7,0,0.67045455,NM_015898,NP_056982,0.909755063,FALSE,0,H__sapiens__2_-Hs:724060,200,ZNF857A,0.26373626,ZBT7A_HUMAN,486.1666667
