gene.name,SUID,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID,IsSingleNode,log.score,name,NeighborhoodConnectivity,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name,Stress,Synonym,TopologicalCoefficient,Uniprot.ID,sumRank
MFN1,658,,,1.88379205,0.00248786,0.53084416,0.29487179,52,3,ENSG00000171109,ENSP00000420617,55669,FALSE,-0.130774046,H__sapiens__1_-Hs:722411,59.63461538,query,0,52,0,0.77905199,NM_033540,NP_284941,0.877416008,FALSE,0,H__sapiens__1_-Hs:722411,4386,FLJ20693,0.19052593,Q8IWA4,166.5714286
MLH3,509,,,2.0030581,0.00039476,0.49923664,0.39492754,24,3,ENSG00000119684,ENSP00000452316,27030,FALSE,-0.105678419,H__sapiens__1_-Hs:714255,66.16666667,query,0,24,0,0.74923547,NM_014381,NP_055196,0.899713932,FALSE,0,H__sapiens__1_-Hs:714255,898,,0.21909492,Q9UHC1,218.8571429
MON2,512,,,1.88379205,0.00254669,0.53084416,0.31935709,54,3,ENSG00000061987,ENSP00000450136,23041,FALSE,-0.118458003,H__sapiens__1_-Hs:710120,57.5,query,0,54,0,0.77905199,NM_015026,NP_055841,0.88828912,FALSE,0,H__sapiens__1_-Hs:710120,4522,KIAA1040,0.18488746,Q7Z3U7,262
MUS81,426,,,2.13455657,0.00072055,0.46848138,0.22222222,19,3,ENSG00000172732,ENSP00000435277,80198,FALSE,-0.106469227,H__sapiens__1_-Hs:722805,43.10526316,query,0,19,0,0.71636086,NM_025128,NP_079404,0.899002713,FALSE,0,H__sapiens__1_-Hs:722805,834,SLX3,0.16327751,Q96NY9,176.2857143
MYOF,646,,,1.9204893,0.00326717,0.52070064,0.24051804,47,3,ENSG00000138119,ENSP00000432708,26509,FALSE,-0.134097253,H__sapiens__1_-Hs:716965,42.65957447,query,0,47,0,0.76987768,NM_133337,NP_579899,0.874505012,FALSE,0,H__sapiens__1_-Hs:716965,4574,KIAA1207,0.13941037,Q9NZM1,302.8571429
N4BP2L2,720,,,1.97859327,0.00094188,0.50540958,0.4031746,36,3,ENSG00000244754,ENSP00000427477,10443,FALSE,-0.087537594,H__sapiens__1_-Hs:751334,57.13888889,query,0,36,0,0.75535168,NM_033111,NP_149102,0.916184428,FALSE,0,H__sapiens__1_-Hs:751334,2120,PFAAP5,0.19174124,Q92802,347.1428571
NAA50,663,,,1.86238532,0.00323936,0.53694581,0.26868687,55,3,ENSG00000121579,ENSP00000419729,80218,FALSE,-0.121876528,H__sapiens__1_-Hs:714495,52.81818182,query,0,55,0,0.78440367,NM_025146,NP_079422,0.885257667,FALSE,0,H__sapiens__1_-Hs:714495,5538,San,0.16661887,Q9GZZ1,355.4285714
NBPF1,411,,,2.12844037,0.00012486,0.46982759,0.31868132,14,3,ENSG00000219481,ENSP00000474816,55672,FALSE,-0.026206444,H__sapiens__1_-Hs:734178,57.71428571,query,0,14,0,0.71788991,NM_017940,NP_060410,0.974133965,FALSE,0,H__sapiens__1_-Hs:734178,252,KIAA1693,0.21296784,,423.4285714
NBR1,592,,,1.93272171,0.00187213,0.51740506,0.15120968,32,3,ENSG00000188554,ENSP00000467816,4077,FALSE,-0.131032821,H__sapiens__1_-Hs:726332,47,query,0,32,0,0.76681957,NM_031862,NP_114068,0.877188984,FALSE,0,H__sapiens__1_-Hs:726332,2746,M17S2,0.14863528,Q14596,371.1428571
NCOA6,557,,,1.83180428,0.00505587,0.54590985,0.24440411,58,3,ENSG00000198646,ENSP00000363929,23054,FALSE,-0.171845955,H__sapiens__1_-Hs:727492,52.39655172,query,0,58,0,0.79204893,NM_014071,NP_054790,0.842108886,FALSE,0,H__sapiens__1_-Hs:727492,8686,TRBP,0.16171775,Q14686,320.8571429
NEK1,682,,,1.95107034,0.00178528,0.51253918,0.23674242,33,3,ENSG00000137601,ENSP00000427653,4750,FALSE,-0.119323195,H__sapiens__1_-Hs:716847,53.84848485,query,0,33,0,0.76223242,NM_012224,NP_036356,0.887520912,FALSE,0,H__sapiens__1_-Hs:716847,3396,NY-REN-55,0.17370479,Q96PY6,258.2857143
NEK4,559,receptor signaling protein activity,GO:0005057,1.85626911,0.00376866,0.53871499,0.26753247,56,3,ENSG00000114904,ENSP00000437703,6787,FALSE,-0.138135559,H__sapiens__1_-Hs:713656,53.53571429,query,0,56,0,0.78593272,NM_003157,NP_003148,0.870980614,FALSE,0,H__sapiens__1_-Hs:713656,6054,pp12301,0.1683513,P51957,212.8571429
NKTR,501,,,1.9204893,0.00177052,0.52070064,0.38310709,52,3,ENSG00000114857,ENSP00000408660,4820,FALSE,-0.105727797,H__sapiens__1_-Hs:713651,55.57692308,query,0,52,0,0.76987768,NM_005385,NP_005376,0.899669507,FALSE,0,H__sapiens__1_-Hs:713651,3800,p104,0.18464094,P30414,372
NOTCH2,503,,,1.88990826,0.00318462,0.52912621,0.17940199,43,3,ENSG00000134250,ENSP00000473427,4853,FALSE,-0.119321316,H__sapiens__1_-Hs:716200,46.48837209,query,0,43,0,0.77752294,NM_024408,NP_077719,0.88752258,FALSE,0,H__sapiens__1_-Hs:716200,5022,,0.14527616,Q04721,382
NR2C1,727,,,1.96024465,0.00171588,0.51014041,0.33333333,40,3,ENSG00000120798,ENSP00000450225,7181,FALSE,-0.094140818,H__sapiens__1_-Hs:714415,58.1,query,0,40,0,0.75993884,NM_003297,NP_003288,0.910154587,FALSE,0,H__sapiens__1_-Hs:714415,3152,TR2-11,0.19366667,P13056,188.8571429
NSMAF,654,receptor signaling protein activity,GO:0005057,1.83792049,0.00438227,0.54409318,0.22402597,56,3,ENSG00000035681,ENSP00000430982,8439,FALSE,-0.132647997,H__sapiens__1_-Hs:709803,56.51785714,query,0,56,0,0.79051988,NM_003580,NP_003571,0.875773313,FALSE,0,H__sapiens__1_-Hs:709803,7764,FAN,0.17443783,Q92636,228.8571429
NUDT21,478,"RNA splicing|termination of RNA polymerase II transcription|mRNA 3'-end processing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|RNA 3'-end processing|mRNA processing",GO:0008380|GO:0006369|GO:0031124|GO:0000398|GO:0000375|GO:0000377|GO:0031123|GO:0006397,1.96024465,0.00139007,0.51014041,0.33658537,41,3,ENSG00000167005,ENSP00000457942,11051,FALSE,-0.15151732,H__sapiens__1_-Hs:721412,53.29268293,query,0,41,0,0.75993884,NM_007006,NP_008937,0.859402997,FALSE,0,H__sapiens__1_-Hs:721412,2622,CPSF5,0.1782364,O43809,338.8571429
NUP43,446,,,2.03058104,0.00085459,0.49246988,0.30952381,28,3,ENSG00000120253,ENSP00000438031,348995,FALSE,-0.082936273,H__sapiens__1_-Hs:714342,56.17857143,query,0,28,0,0.74235474,NM_198887,NP_942590,0.920409801,FALSE,0,H__sapiens__1_-Hs:714342,1488,FLJ13287,0.19438952,Q8NFH3,286
OGT,611,,,1.81039755,0.00429804,0.55236486,0.27599068,66,3,ENSG00000147162,ENSP00000407659,8473,FALSE,-0.144943161,H__sapiens__1_-Hs:718298,56.63636364,query,0,66,0,0.79740061,NM_181673,NP_858059,0.865071462,FALSE,0,H__sapiens__1_-Hs:718298,7458,O-GLCNAC,0.17534478,OGT1_HUMAN,477.1428571
PABPC1,560,"RNA splicing|mRNA 3'-end processing|mRNA splicing, via spliceosome|catalytic step 2 spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|RNA 3'-end processing|mRNA processing",GO:0008380|GO:0031124|GO:0000398|GO:0071013|GO:0000375|GO:0000377|GO:0031123|GO:0006397,1.88379205,0.00261465,0.53084416,0.20708749,43,3,ENSG00000070756,ENSP00000430716,26986,FALSE,-0.170154909,H__sapiens__1_-Hs:710413,53.58139535,query,0,43,0,0.77905199,NM_002568,NP_002559,0.843534136,FALSE,0,H__sapiens__1_-Hs:710413,4340,PABPL1,0.16640185,PABP1_HUMAN,546.2857143
PALLD,550,,,1.87155963,0.00457881,0.53431373,0.20478723,48,3,ENSG00000129116,ENSP00000426947,23022,FALSE,-0.132691225,H__sapiens__1_-Hs:715429,44.77083333,query,0,48,0,0.78211009,NM_016081,NP_057165,0.875735455,FALSE,0,H__sapiens__1_-Hs:715429,8216,SIH002,0.139473,Q8WX93,418
PAPOLA,517,"RNA splicing|termination of RNA polymerase II transcription|mRNA 3'-end processing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|RNA 3'-end processing|mRNA processing",GO:0008380|GO:0006369|GO:0031124|GO:0000398|GO:0000375|GO:0000377|GO:0031123|GO:0006397,1.86238532,0.00223883,0.53694581,0.33091437,53,3,ENSG00000090060,ENSP00000452578,10914,FALSE,-0.114920286,H__sapiens__1_-Hs:711154,61.22641509,query,0,53,0,0.78440367,NM_032632,NP_116021,0.891437201,FALSE,0,H__sapiens__1_-Hs:711154,4478,,0.19193234,PAPOA_HUMAN,379.4285714
PCNA,455,,,1.91437309,0.00321301,0.52236422,0.21594684,43,3,ENSG00000132646,ENSP00000368458,5111,FALSE,-0.256443114,H__sapiens__1_-Hs:715964,46.1627907,query,0,43,0,0.77140673,NM_182649,NP_872590,0.773799012,FALSE,0,H__sapiens__1_-Hs:715964,4564,,0.14795766,PCNA_HUMAN,200
PCSK5,693,,,2.05504587,0.00114,0.48660714,0.26449275,24,3,ENSG00000099139,ENSP00000446280,5125,FALSE,-0.114990976,H__sapiens__1_-Hs:711371,43.16666667,query,0,24,0,0.73623853,NM_006200,NP_006191,0.891374188,FALSE,0,H__sapiens__1_-Hs:711371,1778,SPC6,0.15146199,Q92824,144.5714286
PDE4B,469,,,1.94189602,0.00174566,0.51496063,0.26794872,40,3,ENSG00000184588,ENSP00000437249,5142,FALSE,-0.127879596,H__sapiens__1_-Hs:725317,47.275,query,0,40,0,0.76452599,NM_002600,NP_002591,0.879959323,FALSE,0,H__sapiens__1_-Hs:725317,2762,DPDE4,0.15449346,Q07343,427.1428571
PDS5A,679,,,1.83792049,0.00228142,0.54409318,0.35768556,59,3,ENSG00000121892,ENSP00000426749,23244,FALSE,-0.121908807,H__sapiens__1_-Hs:714525,62.6779661,query,0,59,0,0.79051988,NM_001100400,NP_001093870,0.885229091,FALSE,0,H__sapiens__1_-Hs:714525,4614,SCC-112,0.19525846,Q29RF7,241.1428571
PHF21A,594,,,1.9969419,0.00126293,0.5007657,0.20615385,26,3,ENSG00000135365,ENSP00000437110,51317,FALSE,-0.096040087,H__sapiens__1_-Hs:716398,48.19230769,query,0,26,0,0.75076453,NM_016621,NP_057705,0.908427599,FALSE,0,H__sapiens__1_-Hs:716398,2160,KIAA1696,0.15997956,Q96BD5,276
PHF3,642,,,1.79204893,0.00552321,0.55802048,0.28404928,78,3,ENSG00000118482,ENSP00000425338,23469,FALSE,-0.13639209,H__sapiens__1_-Hs:714129,56.94871795,query,0,78,0,0.80198777,NM_015153,NP_055968,0.872500467,FALSE,0,H__sapiens__1_-Hs:714129,9324,,0.17964895,Q92576,248
PHIP,511,,,1.87155963,0.00299516,0.53431373,0.29419986,54,3,ENSG00000146247,ENSP00000275034,55023,FALSE,-0.094323334,H__sapiens__1_-Hs:718183,57.42592593,query,0,54,0,0.78211009,NM_017934,NP_060404,0.909988484,FALSE,0,H__sapiens__1_-Hs:718183,5356,ndrp,0.18230453,Q8WWQ0,292.5714286
PHKB,587,,,1.81651376,0.00576141,0.55050505,0.22371032,64,3,ENSG00000102893,ENSP00000461770,5257,FALSE,-0.150453014,H__sapiens__1_-Hs:712016,54.359375,query,0,64,0,0.79587156,NM_001031835,NP_001027005,0.860318152,FALSE,0,H__sapiens__1_-Hs:712016,9376,,0.16829528,Q93100,238.5714286
PHLDA1,705,,,2.13149847,0.00047349,0.46915352,0.28947368,20,3,ENSG00000139289,ENSP00000473593,22822,FALSE,-0.107917006,H__sapiens__1_-Hs:717156,43.8,query,0,20,0,0.71712538,NM_007350,NP_031376,0.897702097,FALSE,0,H__sapiens__1_-Hs:717156,696,TDAG51,0.16590909,Q8WV24,248
PIGA,486,,,1.9266055,0.00141299,0.51904762,0.28698752,34,3,ENSG00000165195,ENSP00000442653,5277,FALSE,-0.120472279,H__sapiens__1_-Hs:720950,56.67647059,query,0,34,0,0.76834862,NM_020473,NP_065206,0.886501662,FALSE,0,H__sapiens__1_-Hs:720950,2764,GPI3,0.17879013,PIGA_HUMAN,47.14285714
PIK3C2A,492,,,1.77981651,0.00676874,0.56185567,0.22918919,75,3,ENSG00000011405,ENSP00000438687,5286,FALSE,-0.135415597,H__sapiens__1_-Hs:709573,53.17333333,query,0,75,0,0.80504587,NM_002645,NP_002636,0.873352873,FALSE,0,H__sapiens__1_-Hs:709573,10780,PI3K-C2alpha,0.16411523,P3C2A_HUMAN,323.1428571
PIKFYVE,505,,,1.77370031,0.00536555,0.5637931,0.25981982,75,3,ENSG00000115020,ENSP00000414477,200576,FALSE,-0.125802079,H__sapiens__1_-Hs:713669,57.61333333,query,0,75,0,0.80657492,NM_152671,NP_689884,0.881789354,FALSE,0,H__sapiens__1_-Hs:713669,9418,ZFYVE29,0.17672802,Q9Y2I7,286.2857143
PKIA,606,,,1.96330275,0.00197373,0.50934579,0.21609195,30,3,ENSG00000171033,ENSP00000430887,5569,FALSE,-0.145870459,H__sapiens__1_-Hs:722392,50.63333333,query,0,30,0,0.75917431,NM_181839,NP_862822,0.864269654,FALSE,0,H__sapiens__1_-Hs:722392,3706,PRKACN1,0.16386192,P61925,382.2857143
PLEKHA2,438,,,2.03058104,0.00063682,0.49246988,0.22380952,21,3,ENSG00000169499,ENSP00000430938,59339,FALSE,-0.076112592,H__sapiens__1_-Hs:722032,47.42857143,query,0,21,0,0.74235474,NM_021623,NP_067636,0.92671186,FALSE,0,H__sapiens__1_-Hs:722032,1016,TAPP2,0.1606134,Q9HB19,349.4285714
PLOD2,475,,,1.96330275,0.00157272,0.50934579,0.27272727,33,3,ENSG00000152952,ENSP00000420094,5352,FALSE,-0.154645578,H__sapiens__1_-Hs:718973,47.81818182,query,0,33,0,0.75917431,NM_182943,NP_891988,0.856718764,FALSE,0,H__sapiens__1_-Hs:718973,3126,LH2,0.15626857,PLOD2_HUMAN,355.4285714
PLSCR1,566,,,1.8440367,0.00425257,0.54228856,0.24318658,54,3,ENSG00000188313,ENSP00000420523,5359,FALSE,-0.166000798,H__sapiens__1_-Hs:726269,50.87037037,query,0,54,0,0.78899083,NM_021105,NP_066928,0.847045558,FALSE,0,H__sapiens__1_-Hs:726269,7970,MMTRA1B,0.15700732,PLS1_HUMAN,337.1428571
PNISR,599,,,1.73394495,0.00686523,0.57671958,0.30362047,90,3,ENSG00000132424,ENSP00000435246,25957,FALSE,-0.147889153,H__sapiens__1_-Hs:715917,55.86666667,query,0,90,0,0.81651376,NM_032870,NP_116259,0.862526718,FALSE,0,H__sapiens__1_-Hs:715917,12774,SRrp130,0.17242798,Q8TF01,404
PNN,647,"RNA splicing|mRNA splicing, via spliceosome|catalytic step 2 spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing",GO:0008380|GO:0000398|GO:0071013|GO:0000375|GO:0000377|GO:0006397,1.87767584,0.00141552,0.53257329,0.41291727,53,3,ENSG00000100941,ENSP00000452318,5411,FALSE,-0.134053209,H__sapiens__1_-Hs:711707,66.39622642,query,0,53,0,0.78058104,NM_002687,NP_002678,0.87454353,FALSE,0,H__sapiens__1_-Hs:711707,3242,memA,0.21145295,Q9H307,394
POGZ,500,,,1.82568807,0.00426587,0.54773869,0.32261072,66,3,ENSG00000143442,ENSP00000472860,23126,FALSE,-0.128840627,H__sapiens__1_-Hs:717756,56.45454545,query,0,66,0,0.79357798,NM_207171,NP_997054,0.879114061,FALSE,0,H__sapiens__1_-Hs:717756,8112,ZNF635m,0.17753002,Q7Z3K3,263.7142857
POT1,552,,,1.93272171,0.00250263,0.51740506,0.22332859,38,3,ENSG00000128513,ENSP00000477320,25913,FALSE,-0.17743589,H__sapiens__1_-Hs:715353,52.76315789,query,0,38,0,0.76681957,NM_015450,NP_056265,0.837414684,FALSE,0,H__sapiens__1_-Hs:715353,4292,hPot1,0.17011885,Q9NUX5,195.1428571
PPFIA1,713,,,1.97553517,0.00166317,0.50619195,0.22459893,34,3,ENSG00000131626,ENSP00000437024,8500,FALSE,-0.102093862,H__sapiens__1_-Hs:715802,53.05882353,query,0,34,0,0.75611621,NM_177423,NP_803172,0.902944795,FALSE,0,H__sapiens__1_-Hs:715802,2604,LIPRIN,0.17627516,Q13136,327.7142857
PPP1R12B,719,,,2.08256881,0.00081205,0.48017621,0.23157895,20,3,ENSG00000077157,ENSP00000476755,4660,FALSE,-0.099983413,H__sapiens__1_-Hs:710660,42.75,query,0,20,0,0.7293578,NM_032104,NP_115287,0.904852426,FALSE,0,H__sapiens__1_-Hs:710660,1506,PP1bp55,0.15267857,O60237,382.8571429
PPP4R2,447,,,2.09480122,0.00037597,0.47737226,0.34666667,25,3,ENSG00000163605,ENSP00000420098,151987,FALSE,-0.080272304,H__sapiens__1_-Hs:720465,60.64,query,0,25,0,0.72629969,NM_174907,NP_777567,0.922865012,FALSE,0,H__sapiens__1_-Hs:720465,746,,0.22376384,Q9NY27,178.2857143
PRDX4,538,,,2,0.00404525,0.5,0.1954023,30,3,ENSG00000123131,ENSP00000413736,10549,FALSE,-0.190300174,H__sapiens__1_-Hs:714667,39.56666667,query,0,30,0,0.75,NM_006406,NP_006397,0.826710939,FALSE,0,H__sapiens__1_-Hs:714667,4394,AOE37-2,0.13355856,Q13162,241.1428571
PROSER1,683,,,2.14067278,0.00041043,0.46714286,0.33157895,20,3,ENSG00000120685,ENSP00000413879,80209,FALSE,-0.061296965,H__sapiens__1_-Hs:714395,59.85,query,0,20,0,0.7148318,NM_025138,NP_079414,0.94054389,FALSE,0,H__sapiens__1_-Hs:714395,662,FLJ12661,0.23,Q86XN7,98.85714286
PRPF40A,575,,,1.9204893,0.00175684,0.52070064,0.34396135,46,3,ENSG00000196504,ENSP00000444656,55660,FALSE,-0.160440233,H__sapiens__1_-Hs:726751,59.91304348,query,0,46,0,0.76987768,NM_017892,NP_060362,0.851768729,FALSE,0,H__sapiens__1_-Hs:726751,3106,Prp40,0.19515649,PR40A_HUMAN,321.1428571
PRPF4B,651,"RNA splicing|mRNA splicing, via spliceosome|catalytic step 2 spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing",GO:0008380|GO:0000398|GO:0071013|GO:0000375|GO:0000377|GO:0006397,1.81039755,0.00320692,0.55236486,0.36066253,70,3,ENSG00000112739,ENSP00000439331,8899,FALSE,-0.13362381,H__sapiens__1_-Hs:713416,62.5,query,0,70,0,0.79740061,NM_003913,NP_003904,0.874919138,FALSE,0,H__sapiens__1_-Hs:713416,6516,PR4H,0.19592476,Q13523,355.4285714
PRPSAP1,598,,,1.94801223,0.00542898,0.5133438,0.14438503,34,3,ENSG00000161542,ENSP00000414624,5635,FALSE,-0.148613689,H__sapiens__1_-Hs:719998,41.47058824,query,0,34,0,0.76299694,NM_002766,NP_002757,0.861902013,FALSE,0,H__sapiens__1_-Hs:719998,5704,PAP39,0.13445378,Q14558,384.5714286
PRR11,440,,,2.02140673,0.00141476,0.49470499,0.36898396,34,3,ENSG00000068489,ENSP00000464392,55771,FALSE,-0.088148296,H__sapiens__1_-Hs:710329,49.52941176,query,0,34,0,0.74464832,NM_018304,NP_060774,0.915625083,FALSE,0,H__sapiens__1_-Hs:710329,2564,FLJ11029,0.17317976,Q96HE9,232
PSAP,460,,,1.94189602,0.00224522,0.51496063,0.22857143,36,3,ENSG00000197746,ENSP00000378394,5660,FALSE,-0.187589304,H__sapiens__1_-Hs:727174,40.72222222,query,0,36,0,0.76452599,NM_002778,NP_002769,0.828955086,FALSE,0,H__sapiens__1_-Hs:727174,3286,GLBA,0.13136201,SAP_HUMAN,542.8571429
PTK2,623,,,1.85015291,0.00377681,0.54049587,0.21040724,52,3,ENSG00000169398,ENSP00000445742,5747,FALSE,-0.143198347,H__sapiens__1_-Hs:722012,52.51923077,query,0,52,0,0.78746177,NM_153831,NP_722560,0.866582168,FALSE,0,H__sapiens__1_-Hs:722012,6510,PPP1R71,0.16209639,Q05397,309.4285714
PTP4A3,462,,,2.01834862,0.00154911,0.49545455,0.1884058,24,3,ENSG00000184489,ENSP00000430332,11156,FALSE,-0.150506197,H__sapiens__1_-Hs:725291,38.95833333,query,0,24,0,0.74541284,NM_032611,NP_116000,0.860272399,FALSE,0,H__sapiens__1_-Hs:725291,2254,PRL-R,0.13117284,TP4A3_HUMAN,258.2857143
PTPRA,660,,,1.99388379,0.00066396,0.50153374,0.23913043,24,3,ENSG00000132670,ENSP00000414089,5786,FALSE,-0.130693689,H__sapiens__1_-Hs:715968,56.95833333,query,0,24,0,0.75152905,NM_080841,NP_543031,0.877486517,FALSE,0,H__sapiens__1_-Hs:715968,1158,RPTPA,0.18674863,PTPRA_HUMAN,310.8571429
PTPRC,539,,,1.85015291,0.00285315,0.54049587,0.28860936,54,3,ENSG00000262418,ENSP00000471843,5788,FALSE,-0.190175251,H__sapiens__1_-Hs:710820,57.2962963,query,0,54,0,0.78746177,NM_080921,NP_563578,0.826814221,FALSE,0,H__sapiens__1_-Hs:710820,5262,T200,0.17793881,PTPRC_HUMAN,212
PUM2,569,,,1.74311927,0.00719679,0.57368421,0.27496947,91,3,ENSG00000055917,ENSP00000440093,23369,FALSE,-0.164112151,H__sapiens__1_-Hs:710036,56.13186813,query,0,91,0,0.81422018,NM_015317,NP_056132,0.84864684,FALSE,0,H__sapiens__1_-Hs:710036,11928,PUMH2,0.17541209,Q8TB72,405.7142857
PXDN,673,,,1.98776758,0.00165656,0.50307692,0.25806452,32,3,ENSG00000130508,ENSP00000414098,7837,FALSE,-0.125447824,H__sapiens__1_-Hs:715604,41.46875,query,0,32,0,0.7530581,NM_012293,NP_036425,0.882101787,FALSE,0,H__sapiens__1_-Hs:715604,2658,MG50,0.13941498,Q92626,212.2857143
PXMP4,422,,,2.77675841,0.00004104,0.36013216,0.33333333,3,4,ENSG00000101417,ENSP00000386385,11264,FALSE,-0.06917504,H__sapiens__1_-Hs:711817,25.66666667,query,0,3,0,0.5558104,NM_183397,NP_899634,0.933163325,FALSE,0,H__sapiens__1_-Hs:711817,58,PMP24,0.36190476,Q9Y6I8,49.42857143
RAB27A,641,,,1.96636086,0.0013531,0.50855365,0.18850575,30,3,ENSG00000069974,ENSP00000458127,5873,FALSE,-0.136727377,H__sapiens__1_-Hs:710376,47.6,query,0,30,0,0.75840979,NM_183236,NP_899059,0.872207978,FALSE,0,H__sapiens__1_-Hs:710376,2072,RAB27,0.15494028,RB27A_HUMAN,96
RALGDS,612,,,1.94189602,0.00117346,0.51496063,0.23790323,32,3,ENSG00000160271,ENSP00000437518,5900,FALSE,-0.144499681,H__sapiens__1_-Hs:719849,53.375,query,0,32,0,0.76452599,NM_006266,NP_006257,0.865455188,FALSE,0,H__sapiens__1_-Hs:719849,2042,RGF,0.16998408,Q12967,404.2857143
RANGRF,423,,,2.49235474,0.00003864,0.40122699,0.2,5,3,ENSG00000108961,ENSP00000462310,29098,FALSE,-0.088019857,H__sapiens__1_-Hs:712925,42.8,query,0,5,0,0.62691131,NM_016492,NP_057576,0.915742693,FALSE,0,H__sapiens__1_-Hs:712925,58,RANGNRF,0.26625,Q9HD47,127.7142857
RAP1A,556,,,1.93883792,0.00131111,0.51577287,0.24201681,35,3,ENSG00000116473,ENSP00000443009,5906,FALSE,-0.172897592,H__sapiens__1_-Hs:713886,54.97142857,query,0,35,0,0.76529052,NM_002884,NP_002875,0.841223758,FALSE,0,H__sapiens__1_-Hs:713886,2362,SMGP21,0.17666514,RAP1A_HUMAN,343.7142857
RAP1B,547,,,1.66972477,0.01473095,0.5989011,0.2198437,109,3,ENSG00000127314,ENSP00000446318,5908,FALSE,-0.183103968,H__sapiens__1_-Hs:715224,54.96330275,query,0,109,0,0.83256881,NM_015646,NP_056461,0.832681579,FALSE,0,H__sapiens__1_-Hs:715224,24284,RAL1B,0.16859909,RAP1B_HUMAN,384.8571429
RBBP6,502,,,1.8470948,0.00312541,0.54139073,0.31151373,59,3,ENSG00000122257,ENSP00000460821,5930,FALSE,-0.126123085,H__sapiens__1_-Hs:714568,57.47457627,query,0,59,0,0.7882263,NM_032626,NP_116015,0.88150634,FALSE,0,H__sapiens__1_-Hs:714568,6180,SNAMA,0.18073766,RBBP6_HUMAN,257.1428571
RBM12,513,,,1.9235474,0.00129593,0.51987281,0.38794926,44,3,ENSG00000244462,ENSP00000411692,10137,FALSE,-0.117611879,H__sapiens__1_-Hs:751204,65.68181818,query,0,44,0,0.76911315,NM_152838,NP_690051,0.889041041,FALSE,0,H__sapiens__1_-Hs:751204,3000,SWAN,0.21325266,RBM12_HUMAN,188.5714286
RBM5,595,"RNA splicing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing",GO:0008380|GO:0000398|GO:0000375|GO:0000377|GO:0006397,1.82874618,0.00349594,0.54682274,0.34125874,66,3,ENSG00000003756,ENSP00000419534,10181,FALSE,-0.150245405,H__sapiens__1_-Hs:709316,57.16666667,query,0,66,0,0.79281346,NM_005778,NP_005769,0.86049678,FALSE,0,H__sapiens__1_-Hs:709316,6568,LUCA15,0.18033649,RBM5_HUMAN,306.5714286
RBM6,631,,,1.84097859,0.00380157,0.54318937,0.34320465,62,3,ENSG00000004534,ENSP00000443165,10180,FALSE,-0.139803092,H__sapiens__1_-Hs:709327,54.14516129,query,0,62,0,0.78975535,NM_005777,NP_005768,0.869529436,FALSE,0,H__sapiens__1_-Hs:709327,6834,NY-LU-12,0.17080493,RBM6_HUMAN,293.4285714
RBPJ,496,,,1.8470948,0.00344559,0.54139073,0.28374456,53,3,ENSG00000168214,ENSP00000427344,3516,FALSE,-0.130781504,H__sapiens__1_-Hs:721717,58.52830189,query,0,53,0,0.7882263,NM_203284,NP_976029,0.877409464,FALSE,0,H__sapiens__1_-Hs:721717,6568,RBPSUH,0.18064291,SUH_HUMAN,380.8571429
RCN1,570,,,1.88073394,0.00432493,0.53170732,0.21853741,49,3,ENSG00000049449,ENSP00000436482,5954,FALSE,-0.163898709,H__sapiens__1_-Hs:709945,45.91836735,query,0,49,0,0.77981651,NM_002901,NP_002892,0.848827996,FALSE,0,H__sapiens__1_-Hs:709945,7110,RCN,0.14485289,RCN1_HUMAN,280.5714286
RCN2,553,,,1.8440367,0.00477788,0.54228856,0.212627,53,3,ENSG00000117906,ENSP00000453052,5955,FALSE,-0.177042898,H__sapiens__1_-Hs:714082,53.03773585,query,0,53,0,0.78899083,NM_002902,NP_002893,0.837743847,FALSE,0,H__sapiens__1_-Hs:714082,8144,TCBP49,0.16319303,RCN2_HUMAN,448.8571429
REL,608,,,1.85626911,0.00331569,0.53871499,0.22352941,51,3,ENSG00000162924,ENSP00000377989,5966,FALSE,-0.145725533,H__sapiens__1_-Hs:720262,52.7254902,query,0,51,0,0.78593272,NM_002908,NP_002899,0.864394919,FALSE,0,H__sapiens__1_-Hs:720262,5284,I-Rel,0.16323681,REL_HUMAN,119.4285714
