"SUID","annotation name","annotations","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Ensembl Gene ID","Ensembl Protein ID","Entrez Gene ID","gene name","IsSingleNode","log score","name","NeighborhoodConnectivity","node type","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","RefSeq mRNA ID","RefSeq Protein ID","score","selected","SelfLoops","shared name","Stress","Synonym","TopologicalCoefficient","Uniprot ID"
"468","","","1.79816514","0.00671592","0.55612245","0.20807726","68","3","ENSG00000178695","ENSP00000366694","115207","KCTD12","false","-0.16559804541732803","H__sapiens__1_-Hs:724010","48.32352941","query","0","68","0","0.80045872","NM_138444","NP_612453","0.8473867767417018","false","0","H__sapiens__1_-Hs:724010","11204","PFET1","0.14868778","Q96CX2"
"469","","","1.94189602","0.00174566","0.51496063","0.26794872","40","3","ENSG00000184588","ENSP00000437249","5142","PDE4B","false","-0.12787959628749834","H__sapiens__1_-Hs:725317","47.275","query","0","40","0","0.76452599","NM_002600","NP_002591","0.8799593231358469","false","0","H__sapiens__1_-Hs:725317","2762","DPDE4","0.15449346","Q07343"
"470","","","2.13761468","7.2327E-4","0.46781116","0.31601732","22","3","ENSG00000103811","ENSP00000435329","1512","CTSH","false","-0.1397936579241367","H__sapiens__1_-Hs:712151","39.68181818","query","0","22","0","0.71559633","NM_004390","NP_004381","0.8695376390903954","false","0","H__sapiens__1_-Hs:712151","1050","CPSB","0.15345314","P09668"
"471","","","1.99388379","0.00201777","0.50153374","0.24137931","30","3","ENSG00000085662","ENSP00000414399","231","AKR1B1","false","-0.15943969264779212","H__sapiens__1_-Hs:710955","39.56666667","query","0","30","0","0.75152905","NM_001628","NP_001619","0.8526213851841487","false","0","H__sapiens__1_-Hs:710955","3634","ALDR1","0.13266219","P15121"
"472","","","1.74617737","0.00808198","0.57267951","0.24131327","86","3","ENSG00000009413","ENSP00000402003","5980","REV3L","false","-0.15926519667987504","H__sapiens__1_-Hs:709511","56.23255814","query","0","86","0","0.81345566","NM_002912","NP_002903","0.8527701771594455","false","0","H__sapiens__1_-Hs:709511","13554","REV3","0.17355728","O60673"
"473","","","1.8440367","0.00472734","0.54228856","0.22154882","55","3","ENSG00000111252","ENSP00000473529","10019","SH2B3","false","-0.1568397803978064","H__sapiens__1_-Hs:713177","49.69090909","query","0","55","0","0.78899083","NM_005475","NP_005466","0.8548410101328318","false","0","H__sapiens__1_-Hs:713177","7868","LNK","0.15384182","SH2B3_HUMAN"
"474","","","1.88990826","0.00204084","0.52912621","0.24878049","41","3","ENSG00000143622","ENSP00000476612","6016","RIT1","false","-0.1331626509760862","H__sapiens__1_-Hs:717798","53.70731707","query","0","41","0","0.77752294","NM_006912","NP_008843","0.8753227084367458","false","0","H__sapiens__1_-Hs:717798","3594","RIT","0.16679291","RIT1_HUMAN"
"475","","","1.96330275","0.00157272","0.50934579","0.27272727","33","3","ENSG00000152952","ENSP00000420094","5352","PLOD2","false","-0.15464557816276084","H__sapiens__1_-Hs:718973","47.81818182","query","0","33","0","0.75917431","NM_182943","NP_891988","0.8567187635198392","false","0","H__sapiens__1_-Hs:718973","3126","LH2","0.15626857","PLOD2_HUMAN"
"476","","","2.14678899","4.0854E-4","0.46581197","0.22058824","17","3","ENSG00000272957","ENSP00000477371","7700","ZNF141","false","-0.09477632931684404","H__sapiens__1_-Hs:715736","47.64705882","query","0","17","0","0.71330275","NM_003441","NP_003432","0.9095763572827393","false","0","H__sapiens__1_-Hs:715736","614","pHZ-44","0.181859","ZN141_HUMAN"
"477","","","1.84097859","0.00385847","0.54318937","0.27995324","59","3","ENSG00000165392","ENSP00000298139","7486","WRN","false","-0.1518046899827104","H__sapiens__1_-Hs:720990","55.61016949","query","0","59","0","0.78975535","NM_000553","NP_000544","0.859156066141638","false","0","H__sapiens__1_-Hs:720990","7084","RECQL2","0.17378178","WRN_HUMAN"
"478","RNA splicing|termination of RNA polymerase II transcription|mRNA 3'-end processing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|RNA 3'-end processing|mRNA processing","GO:0008380|GO:0006369|GO:0031124|GO:0000398|GO:0000375|GO:0000377|GO:0031123|GO:0006397","1.96024465","0.00139007","0.51014041","0.33658537","41","3","ENSG00000167005","ENSP00000457942","11051","NUDT21","false","-0.15151732025957035","H__sapiens__1_-Hs:721412","53.29268293","query","0","41","0","0.75993884","NM_007006","NP_008937","0.8594029970610348","false","0","H__sapiens__1_-Hs:721412","2622","CPSF5","0.1782364","O43809"
"479","","","2.23853211","0.00132913","0.44672131","0.32051282","13","3","ENSG00000268249","ENSP00000470340","1678","TIMM8A","false","-0.09867464927870813","H__sapiens__1_-Hs:715204","44.84615385","query","0","13","0","0.69036697","NM_004085","NP_004076","0.9060374400099411","false","0","H__sapiens__1_-Hs:715204","1370","MTS","0.19050736","TIM8A_HUMAN"
"480","","","2.27217125","2.0399E-4","0.44010767","0.11111111","9","3","ENSG00000178568","ENSP00000405564","2066","ERBB4","false","-0.15079546374452116","H__sapiens__1_-Hs:723987","43.66666667","query","0","9","0","0.68195719","NM_005235","NP_005226","0.8600235866748962","false","0","H__sapiens__1_-Hs:723987","326","","0.19174041","Q15303"
"481","","","1.83792049","0.00293047","0.54409318","0.30333139","59","3","ENSG00000088205","ENSP00000415604","8886","DDX18","false","-0.1505238839459988","H__sapiens__1_-Hs:711054","56.74576271","query","0","59","0","0.79051988","NM_006773","NP_006764","0.8602571834259334","false","0","H__sapiens__1_-Hs:711054","5576","MrDb","0.17677808","Q9NVP1"
"482","","","1.86850153","0.00273835","0.53518822","0.28653061","50","3","ENSG00000120063","ENSP00000439647","10672","GNA13","false","-0.15026649421677954","H__sapiens__1_-Hs:714320","55.64","query","0","50","0","0.78287462","NM_006572","NP_006563","0.8604786332876717","false","0","H__sapiens__1_-Hs:714320","4968","MGC46138","0.173875","Q14344"
