,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneID
14260,-0.766399429297906,2.76532609740371,-4.23412379526569,0.000206779845250468,0.308237068755278,0.266712382064667,GTF2H2B
15870,-0.436789193913369,8.13852965428012,-3.92502225924346,0.000481992342933366,0.308237068755278,-0.107601699209651,LIMK1
448,-0.428589692645255,7.26681491380983,-3.88005934965255,0.00054454610134448,0.310507966216642,-0.208169369798376,LOC283070
14,-0.339216309364867,8.08040718564733,-3.5805572467923,0.00121677455642438,0.314633037927144,-0.888771347726949,ARHGEF4
29,0.30078916337392,3.31232001867367,3.36506515599104,0.00214555497622181,0.314633037927144,-1.46554051958202,LNX2
56,-0.736480711326574,2.45826966195882,-3.47863308264747,0.00159328013025329,0.314633037927144,-1.3107331424287,LOC100128822
203,-0.697516906814322,-0.218019972223147,-3.40322353475373,0.00194205787789564,0.314633037927144,-2.07648582535205,LOC100289361
385,-0.749667418005641,1.79765943490702,-3.76849707459923,0.000736067531660688,0.314633037927144,-0.907703362270375,LOC143666
409,-0.320962898276967,4.71921395952819,-3.49557578801591,0.00152369631135007,0.314633037927144,-1.09408061794989,LOC152217
433,0.76286495650144,0.0492824103784438,3.30461923183338,0.00251056412861639,0.314633037927144,-2.27272061651884,ABI3BP
633,0.926034131640931,-1.69877476715381,3.37469773890322,0.00209232648433272,0.314633037927144,-2.64317871657546,LOC643387
1272,-0.281177136301337,6.18459589424891,-3.33911284423747,0.00229553601164561,0.314633037927144,-1.42289385374592,MEA1
1480,0.306784251806809,7.76366600657078,3.34671465183314,0.00225058957054851,0.314633037927144,-1.40638616134337,MINK1
1504,-0.681587221399384,1.42374928054948,-3.58306155343218,0.00120870749351765,0.314633037927144,-1.35098531497826,ATOH7
1563,-0.301663863570862,6.77482964988255,-3.53080200609839,0.00138831288209347,0.314633037927144,-0.998727222708701,ATP5J
1652,-0.288614134461514,8.6263848148469,-3.34876029504888,0.00223863992727807,0.314633037927144,-1.40251071399786,ATXN7L3
2047,0.759377134515739,0.0502185380767178,3.67509152834236,0.000945747993071779,0.314633037927144,-1.76536319172274,MYCBPAP
2111,-0.390320764911938,5.50976924600108,-3.46013533380084,0.00167275968839543,0.314633037927144,-1.15863018012406,MYPOP
2284,-0.427159678580893,6.62892166911471,-3.37515134194244,0.00208985156333998,0.314633037927144,-1.34377123794564,NDUFA1
2296,-0.428239940084431,5.24269891900477,-3.71544501349667,0.000848851135782367,0.314633037927144,-0.593511410599869,NDUFA7
2305,-0.460528275243095,5.75858149477933,-3.37949942280572,0.00206627054606338,0.314633037927144,-1.3348686244848,NDUFB1
2306,-0.351245139874016,6.52403162621928,-3.4308398446993,0.00180653200879071,0.314633037927144,-1.22091342885694,NDUFB10
2308,-0.285088860278264,6.50121015680314,-3.74875882209183,0.000776208853993121,0.314633037927144,-0.507115742222911,NDUFB2
2325,-0.306530271903241,6.29395078768606,-3.76611520215247,0.000740801877852413,0.314633037927144,-0.467755591644763,BAG1
2343,-0.318946940080948,6.93023700661351,-3.42505245901482,0.00183415468492193,0.314633037927144,-1.23380587962685,NEDD8
2422,-0.25353114813517,5.57302606488299,-3.48730657720146,0.0015572824973203,0.314633037927144,-1.09836336296155,NFYB
2781,0.315909765946073,6.39648021487093,3.30922207675774,0.00248078932423281,0.314633037927144,-1.48823063547497,NUFIP2
2842,-0.251615188362982,5.70176720796635,-3.42768081808772,0.0018215595820899,0.314633037927144,-1.22925335128958,OBFC2B
2846,-0.441733113837967,4.20770551492241,-3.56858822211251,0.00125605724517374,0.314633037927144,-0.954210186731332,OCEL1
3096,0.375993816097126,3.485283916022,3.3581738037756,0.0021844338233328,0.314633037927144,-1.46535068385029,PAN2
3105,-0.490856557050882,6.7652625689229,-3.83863154550543,0.000609173677570405,0.314633037927144,-0.302401276404852,PANX2
3136,-0.339199976211801,7.92326663646468,-3.66138730953538,0.000981041211023599,0.314633037927144,-0.706797742304918,PARK7
3137,-0.384414746390632,5.07728009073624,-3.37970834296466,0.00206514398792225,0.314633037927144,-1.33892709823265,PARL
