,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_symbol
5200,0.208617963777778,2.6278259612381,1.49861159775348,0.147479889644167,0.832443241069437,-4.67672846112252,ADAM9
5201,0.181104721305555,-0.863516392047619,0.457157532704862,0.651816417691603,0.832443241069437,-5.55947361651,ADAM32
5202,0.086785501527778,-3.33928585461905,0.402318962248762,0.691137802772761,0.832443241069437,-5.58091277912078,SLC16A6
5204,0.0867855013333335,-2.85529021195238,0.402318961459518,0.691137803345462,0.832443241069437,-5.58091277940998,tMDC
5205,0.086785501416667,-2.89643853590476,0.402318961802775,0.691137803096384,0.832443241069437,-5.5809127792842,BC032040
5206,0.0867855014722222,-3.1506489987619,0.402318962022174,0.69113780293718,0.832443241069437,-5.58091277920381,ADAM18
5207,0.0867855015277783,-2.85559237261905,0.402318962248764,0.691137802772759,0.832443241069437,-5.58091277912078,ADAM2
5208,0.0867855015000003,-2.92924706985714,0.402318962246736,0.691137802774231,0.832443241069437,-5.58091277912152,INDO
5209,0.1969318215,-2.85327966090476,0.873155417271611,0.39154033758176,0.832443241069437,-5.31131418184283,IDO2
5212,0.467103282694444,0.169546564428571,0.956058984354034,0.348914692943923,0.832443241069437,-5.24443577858322,SFRP1
