GeneSymbol	P_GSM329692.CEL	P_GSM329694.CEL	P_GSM329697.CEL	P_GSM329700.CEL	P_GSM329703.CEL	P_GSM329704.CEL	P_GSM329707.CEL	P_GSM329709.CEL	P_GSM329711.CEL	P_GSM329714.CEL
CST3	8085.582778	5877.607596	4859.149993	4788.057095	5413.750463	6106.584927	7033.925197	6543.883616	4598.608326	3569.330575
CTDSP2	721.7359424	710.0269135	624.1128145	416.1916595	602.6124474	717.1499928	852.7549628	478.2141263	403.667034	859.3166595
CTNNB1	592.7740572	572.4440452	564.8319649	553.0098251	522.2034969	470.8374928	461.0488905	550.9824561	527.8230921	557.3983652
CXorf40B	206.9271078	285.3166596	409.3999928	321.9111668	380.7357594	186.605784	262.7924711	438.2434412	369.3981655	264.7208829
CYP1B1	394.8368037	206.9243635	89.2595192	480.4257388	147.182286	169.358087	203.9005544	128.6104628	104.2252188	215.4590287
DCN	3154.330915	1535.180658	404.1192263	1836.379434	499.0924306	1101.587534	1919.995043	731.7008437	720.3583261	1379.587493
DDX5	3792.212493	2533.358424	1730.735295	3257.256652	3449.936016	1881.173163	2060.110261	1904.492128	3095.413462	3670.095697
DLST	163.2427452	203.897474	250.1545165	155.2131382	146.9516124	130.4848589	156.4912218	195.0807109	146.6323964	127.4620219
DMD	447.7699528	325.400285	286.7274346	340.8139798	355.0911364	210.6087876	173.9777287	293.4451736	441.4545493	427.1239446
DST	14.60214797	11.05945925	12.15209126	81.23333347	242.67745	14.20857812	13.23511197	11.89215277	13.67741273	15.79223598
EIF2S2	862.0693832	661.8594627	655.0888582	963.1044408	863.2429015	553.1758426	631.3497744	694.040199	771.3096621	864.9338667
ERGIC2	483.6196458	361.7013214	322.7090513	479.3972391	600.4789635	426.8386569	262.7020414	454.3112768	483.0893529	426.9680373
ERH	1916.464611	2652.939085	2051.899993	1834.266251	2113.980366	2035.676371	2179.876768	1931.851202	2352.001715	2006.042362
FAM120A	154.1888102	171.309484	123.6328859	144.0121039	150.1622978	193.7999644	205.9354163	147.3934375	142.9223794	156.8095353
FAM129A	92.40431549	30.96415282	34.71501113	42.25245722	64.99131283	42.94715011	58.68455541	31.10808852	29.5690543	34.48271472
FAM168B	833.5666595	962.6312157	955.8740634	1161.591796	845.6347533	880.470324	577.2493583	1169.445106	1096.174873	1072.004694
FBN1	116.248639	56.5091018	31.17696919	92.04365904	52.35335282	61.99890235	66.86203138	38.82289779	64.24566062	58.43363568
FBXW7	405.060017	529.8011444	833.5874928	990.5796848	475.6667168	662.5666595	527.1914869	822.3999928	969.5164191	761.6486642
GBAS	778.5390573	783.8514591	627.2298648	845.4416595	1048.149993	746.8583261	761.2221116	635.4139854	935.0383215	695.2641188
GLTSCR2	2536.983326	3156.879159	2543.969738	1872.297396	1577.442228	2482.390552	2700.712493	2193.959925	1679.288954	2090.408907
GULP1	147.3359794	90.06050543	222.7832325	366.1499928	55.87488262	84.10101338	49.40721459	186.4141661	392.0666595	193.6096451
HBB	1850.972045	1865.289953	972.1291595	6535.929064	2608.86066	2822.60433	5265.170826	1379.940587	755.2134753	1048.654646
HCFC2	82.01210433	70.22079459	58.76143144	69.11430388	97.26088557	57.94368839	66.13354865	39.76782706	69.74697389	55.60172724
HMOX2	255.9243798	339.9416595	706.6772536	401.3394563	355.2262783	212.976114	256.4475184	683.1916595	405.2490539	273.9590945
HNRNPH3	333.1499928	217.7802633	267.3787293	262.8896931	259.5107211	191.6596515	189.360117	158.8336389	209.4419797	409.1230741
HNRNPUL1	277.3759325	361.815871	338.9563604	242.9597649	250.7708596	358.3528158	429.7832867	319.6037236	210.4732834	242.2288344
HSP90AB1	2903.608326	3480.922094	5419.385988	4576.422217	3684.415178	2484.966325	2138.480111	5628.823897	4183.640837	5267.39499
ID2	838.8412563	280.587362	37.50234311	95.22234515	89.86808331	114.7271466	87.00652127	63.70025674	168.3835424	60.73820433
IL1R1	288.8237172	110.5333239	36.89036014	243.3671641	203.2595072	83.76822524	162.8743825	33.65804591	62.74543102	297.3374611
ITGA6	395.6499928	182.7365504	136.0670652	219.4502904	248.1764803	131.5341454	177.8707175	99.58382478	166.4164363	185.5966887
JAG1	39.3779461	30.08825648	25.2368017	47.61266876	41.77960065	23.24287433	41.48727105	26.89343594	42.2882809	45.43416579
KAT7	335.3120211	452.6728639	610.4983698	401.8298811	332.8843639	371.4442095	355.1562179	619.5275472	411.0896584	370.1950089
KCTD12	457.7642841	530.7138371	254.6252138	551.7150427	1073.288663	458.0988662	377.1059145	217.1652475	407.2716297	571.1499259
KDM6A	21.75617238	30.10265115	21.7082165	27.7548339	49.77877437	37.46767555	31.57049525	15.56421137	21.41963788	38.81057157
KLC1	870.8151854	1295.233234	2064.680908	1597.303851	1294.104304	568.3321578	413.6278466	2907.267702	1922.054279	1256.614531
KPNA6	536.6691417	646.0645159	893.3791595	668.7839024	589.4833261	645.8643652	554.2064971	844.7605522	588.7654628	652.3766398
LYRM1	301.4817507	396.3997169	422.2851421	399.1797699	348.5367237	295.6854132	369.3853169	491.9649239	429.7200615	251.2957927
MAN2A1	553.4833261	344.4664551	166.3687077	442.5703483	678.6294223	247.6228012	178.1098317	131.7256958	420.8101483	528.5173331
MBNL2	1076.418505	835.3014506	975.1839694	1282.881362	1302.149993	873.7749928	711.5908552	919.3179158	1543.577341	2089.457354
MCMBP	48.44318292	49.0867487	41.06884405	42.22949542	51.38065789	51.29493627	54.04793294	40.76497006	39.50461547	46.63138164
MEST	477.7292285	303.0985742	528.1851921	578.4818491	358.396695	402.1599575	224.5730476	691.9039699	617.3054122	478.0801594
MGAT4A	17.91740007	17.19521467	13.85971403	36.0488538	43.88193157	18.30979134	14.33134207	17.71121419	24.72789669	15.36936907
MLH3	115.8181866	86.41737748	137.0043704	90.45215919	94.17564142	107.510478	95.24710949	93.43334374	94.19045476	81.74477207
MON2	428.1414473	242.8877225	208.0491112	305.2118973	437.4729126	267.1002127	274.842203	201.9153125	355.8375122	318.2805923
MPHOSPH9	77.21465628	59.68586217	49.10216623	76.47816655	41.81030696	45.04604122	34.08642095	53.33261966	62.44499531	94.22901338
MRPL16	423.9918545	569.3758015	800.7414984	369.9284436	318.7427898	397.1894304	556.0894532	666.7739722	395.5666595	315.7115959
MRPS17	169.6655649	181.7732677	352.392257	198.2646363	216.5304038	144.1775299	150.4075915	300.5268244	155.8360213	177.7796832
MXI1	2609.513018	3330.552382	1747.241752	2038.897184	2191.43342	3426.86143	3002.391438	1770.414346	2329.092696	3275.406238
MYD88	381.4474222	286.1916596	247.7774601	302.5744732	316.2980409	260.3770735	389.9881983	210.0933788	159.3515122	219.5737492
NACA	4746.670826	3760.109994	2389.649696	4210.397441	4147.399993	4180.688894	3473.96958	3278.070086	4493.53549	4513.389313
NDUFC2	972.7800498	1168.396079	1562.853823	1111.649993	947.8328376	634.8110456	786.9833261	1447.284432	1204.925534	783.9250283
NDUFS5	1677.630145	2457.094832	3238.00811	2373.473207	2014.776334	1982.097659	1853.785566	2923.843004	2625.936986	1973.314584
NISCH	1721.61305	1749.811651	2824.052974	1801.066659	1264.189951	1477.813036	1309.858326	2701.05167	2026.682483	2476.99375
NKTR	986.5874928	763.487567	320.6772225	1163.113715	1257.948032	1256.050063	1000.358326	352.5737271	1288.941659	1068.795826
NPEPPS	813.0072221	1048.936543	1395.752764	980.3977626	856.9702687	885.6131382	791.9680874	1325.893514	910.3032692	801.7531223
NPTX2	78.24614279	134.4003227	321.0041799	320.7901986	523.5820031	101.1899947	85.15567115	631.5813709	456.5007958	113.3318221
NSFL1C	298.4565022	370.2943894	488.0958668	302.3026591	287.6101319	289.9833262	388.7472156	407.6574736	367.8202256	200.5203347
NUTF2	118.5650922	122.1317517	133.9709118	102.0247725	119.1321248	117.0376329	123.5687067	165.2412457	97.24083533	78.21195107
ORAI2	82.35093125	137.9565303	149.7048493	87.02198516	140.7717453	74.11711282	68.65374889	183.6608586	95.37574124	107.5484385
OTUB1	249.5199689	356.3822501	562.7381355	310.6916595	355.8053361	194.9399063	195.5983509	407.921134	373.4000521	233.8276504
PABPC1	1774.925291	1495.847223	1019.34802	1151.399977	1316.608326	1453.995421	1638.747765	1027.054902	919.8143698	1276.057434
PCDH9	3375.430778	3270.341836	1777.94688	3482.186702	4116.418501	4577.274993	3932.524993	2020.411197	3323.307568	3867.427178
PDCL3	215.0351776	243.5970333	187.8223525	253.6916634	247.0646143	211.7752782	203.4439005	192.2926178	260.9870144	141.1643839
PFDN1	251.3166647	294.6910775	358.8482724	318.4007321	303.3937491	396.4361519	341.8999928	481.6673323	309.6857281	270.4416911
PFDN5	2247.270723	2603.135436	2805.457065	1992.766093	1729.858326	2275.149993	2674.790064	2462.811604	2157.555569	2235.565236
PI4KA	1561.048112	2032.297163	3622.169071	2445.484113	1557.143663	1984.69619	1248.373841	3365.592704	2859.688464	2525.407588
PIAS3	183.4071343	210.525313	208.733685	151.5519678	138.2580735	166.8101762	185.7554608	214.4835272	184.91908	151.9242242
PITPNB	831.4249154	670.2580407	756.3720311	1220.355511	850.7469966	735.4531451	523.7535279	973.2091786	1109.776909	1034.222905
PLEKHB1	2681.578284	3737.508165	2626.966821	1635.837493	2763.219308	3966.039039	4238.931783	2134.110859	1669.279924	2218.566659
PLOD2	160.9573234	127.267913	67.65310466	171.491045	184.1851675	102.7626099	99.82766378	44.34211519	90.13019157	190.710562
POGZ	805.4246919	668.5239505	556.7373603	567.4738945	523.8450143	681.8763934	535.6708261	490.6099601	602.1262758	924.0135821
PPFIA1	180.0829177	166.6816704	144.7689214	174.2068839	170.052699	135.2170984	183.7850704	102.4675006	153.3013353	168.5545887
PPP1R7	92.46946574	124.3190766	145.3677358	88.03599587	94.11331556	109.6332558	128.2482235	153.7520142	119.8869601	96.80832843
PPP2CA	1333.973698	1451.494402	1856.649993	1958.024993	1962.001182	1296.726973	961.069111	1995.820072	1871.251123	1752.614923
PPP2CB	23.53281102	27.1116865	27.78848254	26.6578455	29.02990564	28.22628107	29.9382811	29.17684396	22.25506141	27.25691758
PRKD1	103.4138392	132.4951398	100.1142778	85.13391106	91.12170274	78.52095857	75.81589904	72.26917095	87.02419457	82.45031991
PRPF3	179.3467512	128.2482235	188.4864372	182.3317991	129.6700587	91.55458115	120.7074981	115.1217262	128.1841812	179.7583093
PSAP	3146.670892	2913.46555	2535.29352	1880.638605	2000.918704	1357.817581	2136.608326	2298.757696	2019.599553	1709.989364
PSMD4	635.6916595	824.8206476	1195.733326	733.6277937	554.5200331	644.2097595	750.7925595	1082.498824	751.3999928	583.7352011
PSMD6	721.5933236	727.3662827	857.3261695	794.0019155	786.4350684	462.4432206	665.6916595	955.3058383	704.7462842	547.0958904
PTPN13	256.3238406	141.330295	70.3260515	148.1666435	215.4288552	112.5880491	83.83447191	62.03566137	119.0498463	191.261172
RAB40B	802.711271	862.6623412	1109.666956	971.6124908	1350.983326	685.6579145	808.3888766	1139.72628	1125.363237	877.0600195
RAP1GDS1	729.0762191	820.3596615	1443.871758	1032.8015	1271.807682	564.7657396	477.9409726	1252.024993	790.0249928	812.7333261
RBM15	246.8166674	209.5669797	234.8232989	291.9833262	251.2751262	188.9853052	180.6987727	190.3330866	141.0471063	238.5865069
RNF130	868.6291595	868.7019505	501.352794	397.9974305	605.2333261	630.0352239	841.2749928	489.1000643	302.4736996	488.8894973
RNF7	208.1253128	207.3689022	264.7634678	203.9683828	191.0037352	148.2557056	195.9427305	281.1442068	159.2911866	188.1441672
ROBO1	578.8206755	340.9202192	356.8366	504.0666595	721.9736222	327.1014574	242.5787936	403.1378204	456.6308164	346.0825858
RPL12	2436.438482	2462.009192	1623.983326	2094.566659	1949.611752	2084.358326	2370.813015	2239.646114	1377.908602	1611.817896
RPL15	133.7178961	162.8490206	244.1236863	154.0418379	150.0571574	167.5093769	205.5524587	201.3108066	140.4755613	167.8261918
RPL35A	2818.925682	3573.995321	3206.600119	2764.765728	2550.094948	2934.703128	3062.108326	3004.017746	2398.941659	2582.638971
RPL36AL	1065.180145	1035.587584	847.6394576	932.3690374	791.2333261	598.4250263	666.9408322	1037.111283	867.8172106	828.9392197
RPL37	4782.975009	5423.171632	4932.566659	4424.135753	4635.429241	4859.905427	4548.643354	4044.430371	4108.615958	4331.756855
RPLP2	2530.149037	3307.383176	2286.634633	2424.783205	2292.470734	2484.070641	2412.921142	2481.10643	1776.50992	2433.035321
RPSA	4510.771824	5053.479217	7520.774993	4501.311418	3398.646186	4458.793578	5336.970099	5806.524993	3386.480315	4758.048577
RSAD1	344.8226175	366.224361	482.0268926	442.2605732	286.9308953	341.6078188	301.0373384	438.9252388	293.9546111	550.7519066
RUVBL2	328.9233806	406.0891036	709.1476293	364.3052638	338.128696	348.3775455	395.7743944	661.3505023	357.6787449	311.4632042
SCN1B	342.2749928	558.6084866	967.7774545	859.7885388	392.8468522	656.7093222	735.9204229	823.3583261	463.4419446	583.6496677
SERBP1	529.820631	572.8448022	431.3149139	640.5435966	817.0874928	628.1253612	709.9646989	486.2749928	437.3714312	424.7481969
SF3A1	338.4711161	369.5882758	435.6658791	328.0631278	302.8756628	236.9227827	304.5633503	407.5666595	291.5713596	245.0159228
SF3B1	369.1748728	374.223175	286.3255193	385.001257	530.1083261	468.4805969	417.8193638	217.0268192	417.1797037	429.1064473
SKIV2L2	327.2479283	263.7079631	360.8324671	366.1499928	388.9165005	228.7899458	206.6896708	274.1083265	387.1083261	326.3846619
SLC2A1	187.5239938	331.5945162	276.1251384	138.0456856	129.5521621	180.9116481	513.0788555	172.3854439	199.8606335	137.4686955
SNAPC5	440.0196728	487.3583261	575.5666595	613.9573823	436.7749928	484.7749928	415.9633684	884.976932	637.8076476	480.8440088
SNRPF	297.2522366	255.9132807	229.9623039	261.9081305	221.0061005	169.8747827	227.6419843	264.1389191	220.9150285	196.4124384
SON	480.2424449	723.8126052	428.4390091	621.1852118	788.3730971	698.1239076	721.6692421	403.7387882	454.002483	467.2750481
SPARC	2494.553968	3023.313359	730.3915173	1415.024993	3519.867844	1351.774993	2091.363823	986.3015125	949.1107874	2099.175024
SRP19	511.75883	461.8907754	422.5638811	788.0097887	697.5469719	411.4997986	360.6419463	599.9307988	689.6868379	388.7333261
SRSF11	238.9409335	127.5563653	140.8073837	164.1560059	176.1931546	146.3545414	105.1102279	78.99213065	176.2821935	332.0423891
SSBP3	212.7482748	434.1876037	432.4596932	471.9730677	202.9457644	509.3636216	356.0312158	662.4139452	385.3381427	368.4126629
STAT3	1118.379159	1377.42783	1019.198476	1198.844551	1129.204675	914.0138124	1719.252956	690.1141784	672.7139343	1064.015629
STMN1	274.183169	389.7253553	692.4416595	490.3999928	184.1529218	311.603644	232.3218588	704.8108454	404.8886282	367.9619286
SUN1	480.5666595	604.1265809	571.074021	510.0572748	399.8225897	462.7828228	487.2333261	456.8100547	590.6280111	694.9266073
SYT11	1564.812487	1727.990107	2181.739407	1770.866728	2034.649993	1260.378559	1538.792976	2382.246859	1735.606157	1385.682536
TAB2	504.8887382	495.0249928	227.0010492	465.9929709	336.5246719	316.3061365	261.3166611	167.6246132	309.6006448	524.4416595
TARDBP	605.5813747	432.8840183	502.8517165	486.7320696	495.1341669	345.8456922	340.3043345	503.1565451	350.0366466	628.3893373
TARS	349.2351981	288.3452406	374.3082466	453.3811934	461.1718368	229.8783692	224.1849875	371.8362722	283.6845957	395.3925959
TBCB	1415.55251	1780.191659	1954.982549	1394.74615	1319.663365	1308.024993	1488.629159	1987.233326	1480.008053	1092.399993
TCF4	1176.641559	1263.671939	1030.569811	1483.855685	2061.59042	1737.537295	1327.60189	1158.619397	1414.2731	1579.320197
TERF2IP	1786.473231	2201.456583	2505.625694	2615.309849	1945.230001	1584.164581	1194.89231	2750.906058	2459.481456	1965.219642
TM4SF1	509.1744374	449.5196459	450.152211	798.6499928	565.4490038	428.2123531	850.3266356	246.9888122	309.6967618	606.8847003
TMEM260	146.8542837	109.5400955	61.45160642	125.5309271	167.9545911	145.1318871	83.94822576	73.05617057	160.4456302	157.2580424
TMEM43	466.1910308	418.3759055	373.243868	376.4781511	310.0783369	333.6020043	469.2925448	351.9792331	305.9413869	336.9109263
TMX1	117.8944199	59.31331486	37.18086372	59.36174389	69.68715518	45.88536433	38.78338046	28.48342918	53.17630121	64.97649429
TSPAN7	3783.583583	4245.899993	4737.130113	4813.987748	4122.952761	3895.186413	3715.097568	5447.230649	5120.82136	3952.783556
TUG1	465.9844194	288.901511	171.6229576	401.8016849	375.4970247	301.6369225	271.6207922	218.8718455	352.3776938	445.6499928
UBE2L3	337.8899024	422.7202002	557.9416595	399.2085078	278.1510532	491.9249534	409.9816474	610.9779967	238.8180111	425.6154168
VPS13B	281.1166298	168.5142344	219.3734822	195.2038006	249.462153	160.6008832	149.5562399	191.9733026	213.5639746	219.8151788
XPOT	616.8318197	412.4944891	348.672211	646.3958639	635.6241502	425.9433084	306.2466887	323.7626191	620.4961517	623.2769226
YLPM1	396.5265399	423.0452592	465.2255515	407.2464504	348.506626	299.8554763	308.0393049	462.6995317	496.5556279	405.4774397
YME1L1	448.4351633	319.4182113	350.2528189	509.2404691	541.2562326	249.6336062	185.6434079	219.2334667	439.2049843	449.1213261
ZFP36	730.6024068	801.301779	283.1369842	1764.041478	2221.751084	303.6195287	500.085636	176.1265685	364.7749928	2525.958121
ZFYVE26	205.5376065	143.1802831	142.2663845	122.1769191	127.0581835	116.2629497	162.8722772	118.1089716	119.7082489	132.4882189
ZMYND11	2135.576691	1867.406042	1171.893331	2086.775199	2690.000927	2333.265479	1845.259554	1494.486163	2431.33411	2063.931375
ZNF24	498.2468168	608.0555495	285.4763048	549.7403855	637.9820123	714.4873261	577.6931722	332.1152515	472.6665042	609.7465238
ZNF273	53.58322483	34.95207751	24.63448682	61.85978811	85.3436106	28.77786628	24.73980145	21.20030197	84.97424026	75.37061183
ZNF506	60.75143702	59.96965087	78.99692691	72.63632025	54.63566877	47.20164009	49.98410823	80.91701857	73.58259674	118.0868197
ZNF518A	76.48981875	31.60760429	24.2019495	34.58465438	51.48705354	20.35634901	26.60448805	23.70672859	57.9469979	45.20558521
