GeneSymbol	P_GSM329677.CEL	P_GSM329679.CEL	P_GSM329681.CEL	P_GSM329683.CEL	P_GSM329686.CEL	P_GSM329689.CEL
DDX5	1495.555527	1456.165414	2950.2363	4130.36919	3252.962493	2717.441659
DLST	119.9509283	162.1114173	151.0086782	166.4285453	134.1246609	108.2161632
DMD	166.674098	225.0784975	558.3757906	370.2892028	178.049227	238.4552785
DST	15.28555153	15.50713864	12.65459837	18.42139019	16.52931314	14.21277905
EIF2S2	495.2747552	540.8889136	954.3590588	835.2496662	1021.803988	756.8374928
ERGIC2	326.268717	340.070624	307.0648125	525.5242026	543.4044632	446.849482
ERH	1843.490315	2463.472157	1750.006549	2135.279005	1609.649993	1450.803473
FAM120A	197.6448196	163.2726847	238.002891	182.2782171	188.6685545	216.3147077
FAM129A	39.72978079	29.17547848	92.24605645	50.96313463	46.57502086	73.71392627
FAM168B	861.6916595	844.8467598	656.7949332	664.8781544	811.977367	716.7264602
FBN1	68.30200795	44.36683385	175.1157656	93.28217641	69.6967737	57.95991648
FBXW7	393.4833261	827.7752213	271.5622102	303.6311044	252.7148597	338.4208261
GBAS	643.0497736	717.1226583	676.5758536	534.3716905	657.0198116	552.7339878
GLTSCR2	2492.011414	2723.966398	3289.12074	2894.701861	3220.684823	2567.736253
GULP1	58.5403569	117.1829987	67.87223237	102.4410071	86.54904271	83.165544
HBB	3369.598312	2166.024993	3693.709199	265.2124938	1019.328462	2882.94391
HCFC2	59.54468569	56.46183668	61.59919531	68.16914282	74.34677948	73.47085666
HMOX2	212.946602	488.4249753	210.6573186	188.7520378	228.7738091	189.2631532
HNRNPH3	286.4122484	215.5462956	288.4515533	280.8583263	281.8318203	284.6469976
HNRNPUL1	446.4084464	376.6546941	410.5449627	342.5741275	425.7854337	434.7092238
HSP90AB1	1730.015578	3490.753438	1985.828106	1338.90597	1990.013173	2008.057036
ID2	100.5149034	107.9533743	664.4182042	219.4079132	105.8432292	99.99085337
IL1R1	89.17027716	27.21911808	484.988751	512.2794062	419.3293842	216.6844386
ITGA6	180.9984544	77.08411031	195.0438334	472.3276454	229.0691134	208.3821189
JAG1	27.21195941	26.44577267	40.62218026	44.41571081	29.53009445	36.87959901
KAT7	280.3035759	422.914472	264.2333273	222.6803013	296.4759132	218.7646664
KCTD12	268.1298562	392.5004162	1084.078873	882.4858479	949.3945463	744.7912914
KDM6A	33.14008699	23.65704801	27.41345698	28.70858983	49.62325083	31.37166467
KLC1	314.6455764	1441.55535	250.2471851	199.7652267	327.0320443	264.3998125
KPNA6	399.4384128	681.2132109	552.0840815	452.7878471	535.3653443	611.5967171
LYRM1	212.343459	398.2713651	351.0390848	354.6834764	217.9486198	213.8742573
MAN2A1	280.5166612	220.39603	291.2395149	664.7862809	1182.691912	439.9552225
MBNL2	756.1484594	913.7282953	604.7694143	956.2847241	1451.154673	886.8079908
MCMBP	56.85124377	44.43386148	64.74040106	72.73730983	68.3245739	64.60131005
MEST	111.0239378	376.2004951	252.9833307	117.8066346	84.23831676	142.2871936
MGAT4A	13.76353636	17.11983918	26.25747319	22.09137419	21.3312348	19.22186565
MLH3	121.4557614	102.0066269	98.11199159	68.71653766	94.31770493	104.382593
MON2	266.8016878	258.191662	283.8191679	408.0507159	413.493583	219.8862785
MPHOSPH9	50.78287588	42.5866704	51.57081853	64.38972851	61.27761431	48.47464442
MRPL16	291.8077585	653.8492539	518.1827916	400.1677532	285.5118279	326.4435442
MRPS17	103.1887343	192.818121	167.8446774	130.3817204	136.0712729	132.601485
MXI1	3762.374416	2397.217832	4897.304406	4524.283448	5104.216791	5299.188155
MYD88	308.1422581	220.7390024	642.4932463	574.1033905	295.6562947	345.7151435
NACA	4214.75847	3225.387079	4213.530209	4604.094372	5090.144857	4439.087555
NDUFC2	425.7587891	1153.552869	886.1473275	657.6758972	683.758715	519.9367256
NDUFS5	1261.152235	2876.468881	1588.700133	1676.238808	1317.510528	1238.938095
NISCH	1327.917527	1438.80067	1265.740706	1214.31795	1261.560854	1087.685936
NKTR	1324.587493	830.0658294	862.8638467	1906.421742	2175.9314	1386.233326
NPEPPS	463.6149688	972.6119462	1211.082974	903.9632511	884.1191325	838.8132222
NPTX2	94.08362962	170.8663491	113.8217913	187.6372634	523.5666595	278.600795
NSFL1C	324.5737895	363.7333261	252.9365165	357.7366436	279.6347585	203.8096302
NUTF2	106.5057578	143.0208187	104.1501587	109.8753849	93.47492175	88.78243128
ORAI2	72.38302375	100.8498334	106.5768734	71.30456228	78.37917526	61.92622427
OTUB1	126.4959615	333.892845	185.6940721	183.7185995	131.0437041	142.5301812
PABPC1	1355.338569	1191.752177	2213.879159	1485.140104	2218.697334	2015.095813
PCDH9	5485.505992	3786.092954	3381.605301	5343.214605	6599.441659	4702.205839
PDCL3	231.1817857	206.7476032	216.6112369	301.3649101	335.7702493	259.6274166
PFDN1	350.4135105	455.3674784	223.5029302	261.7313317	311.917726	310.9482948
PFDN5	2677.333323	2622.938408	2417.725395	2646.730269	2600.473103	2354.983326
PI4KA	1044.816583	2583.415882	1510.227899	1044.067131	1294.867305	1227.024223
PIAS3	162.6633183	177.6438449	165.9156765	200.6105875	163.0639862	121.6087221
PITPNB	562.6085488	894.3940015	640.5462569	799.4650084	882.9613045	838.3122427
PLEKHB1	5991.001753	3880.543891	3063.743629	2577.960903	4044.616545	4078.349759
PLOD2	86.28620974	83.34252537	186.3334715	139.4115993	101.4784815	211.3550247
POGZ	487.7531375	494.4138027	633.3885787	788.1036887	889.7749928	611.997493
PPFIA1	151.2490658	170.3819074	198.460068	175.2299143	185.1569884	146.6837219
PPP1R7	108.3682466	113.0387685	99.14001515	84.09885516	99.36918274	101.7139656
PPP2CA	618.6758291	1483.568042	846.4521253	561.5249928	859.7273766	874.7886724
PPP2CB	29.69844746	33.90134105	30.56507113	20.42730663	27.61147873	31.40335566
PRKD1	80.58656184	73.78663148	108.7109087	81.42138843	79.82714349	92.68220329
PRPF3	80.48398464	97.64217676	147.1370663	211.5808878	165.821094	96.9799705
PSAP	1232.045661	1795.182174	2188.104549	1369.559819	1416.05624	1580.585271
PSMD4	638.6757101	1015.264009	668.5503295	673.5423583	593.0146725	556.4812411
PSMD6	316.5205756	739.5246031	640.3796664	649.287039	645.6734623	524.6469667
PTPN13	162.3064664	88.66375562	244.9896376	401.6593071	149.5272671	210.9836115
RAB40B	839.5155565	958.0288516	494.6627946	696.4991191	999.7823375	645.1102266
RAP1GDS1	446.8147748	1001.358843	351.6916595	267.8918568	487.2767022	450.7869216
RBM15	179.1571059	194.9065014	217.6972301	229.6917115	219.3406515	204.0185687
RNF130	959.8999928	624.5393431	1020.424215	674.9158465	1201.018496	1019.536956
RNF7	98.27393079	161.2627279	257.3584018	205.2895403	144.2594811	115.2455262
ROBO1	319.6777962	337.0356794	379.5666595	368.8955271	424.9574325	295.5282285
RPL12	2359.474738	2241.493257	2850.363014	2312.515411	2676.277695	2106.354288
RPL15	161.1227934	182.2116207	178.6958324	139.6594282	131.1235172	196.8743687
RPL35A	3155.210773	2859.116309	3141.714309	2817.838942	3014.358326	2912.464812
RPL36AL	705.6256428	732.705187	1155.353127	831.4110703	1199.774125	818.0658169
RPL37	5439.793593	4838.649993	5447.28696	5072.896391	5406.44373	4948.739567
RPLP2	2852.11565	2488.166201	3562.053201	2834.549201	2955.595495	2680.413037
RPSA	5153.420826	5545.245705	4823.441659	4607.781503	4793.920826	4842.848459
RSAD1	330.2489453	286.204304	301.7604712	306.2862793	445.8508547	372.7429193
RUVBL2	259.3214179	467.8478935	369.8167486	297.1160347	300.882292	294.5703677
SCN1B	413.8563007	1217.783278	378.707519	349.3564762	393.2258581	429.9707288
SERBP1	575.8460604	576.0016334	898.5423495	748.4916067	912.5249928	692.2278122
SF3A1	194.2941649	291.8982217	338.6436108	288.4614538	280.4198805	220.9194679
SF3B1	284.9359275	431.5622937	565.1532838	528.365595	627.6568436	462.21039
SKIV2L2	167.5523038	239.9274475	228.2346123	229.0235875	283.1796476	240.4296618
SLC2A1	396.5533419	232.3422502	362.1096703	455.7751548	329.4562365	346.2749928
SNAPC5	306.0981384	535.3166595	465.9416595	393.8910683	341.0392092	306.7226323
SNRPF	184.2698367	229.5445823	216.8602911	204.3714592	212.9107473	148.3086332
SON	658.4754594	784.9317644	1024.118863	1153.450239	1162.044873	721.7222101
SPARC	1227.590024	1000.421883	4023.299522	3231.037091	2068.123466	2521.389846
SRP19	220.1506499	475.0672973	454.2324648	573.9282072	387.5149708	369.679987
SRSF11	150.4205864	132.6890068	137.8754859	265.2124938	288.9221938	192.3181212
SSBP3	273.2951638	469.7576452	271.0341654	205.8525735	233.5403007	284.3433544
STAT3	1411.358326	831.1916595	2007.564645	1733.162536	1523.124826	1803.869608
STMN1	229.5079524	480.2655649	158.1057187	187.8347029	257.4817688	182.4893466
SUN1	362.1766854	350.2921611	527.3675208	713.7939518	575.7110992	399.4556879
SYT11	1270.759164	1686.111887	1023.858326	1154.819068	1269.841819	1073.367236
TAB2	232.3334953	192.0287954	489.7139872	286.3103858	343.010179	363.9833261
TARDBP	330.4291938	318.310988	449.5426734	437.1360249	573.5150362	413.5952399
TARS	157.5764555	246.5072153	289.6529432	301.9966639	293.6345117	330.342287
TBCB	1334.425104	1851.660577	982.9526147	922.760599	1376.649993	928.3766123
TCF4	1212.47576	1371.881074	1362.334112	1765.178712	1844.924813	1492.979433
TERF2IP	966.584727	1894.587305	1173.158388	878.1689305	1119.756606	1117.511861
TM4SF1	245.7870933	192.3192166	990.7749928	1335.840355	1236.726663	802.8556813
TMEM260	82.83028528	95.31105766	101.229135	164.2872579	143.1151312	101.9070577
TMEM43	261.6080894	256.377606	433.7323206	491.5345777	375.5993559	340.2431995
TMX1	26.94491999	27.82511723	78.40914062	50.72952707	48.97551292	51.90840042
TSPAN7	1674.874071	4649.627114	1979.412342	1132.014065	1656.814572	1824.223622
TUG1	241.1691917	190.9612109	287.9973549	455.6227274	397.8290409	339.8522305
UBE2L3	433.6498775	431.311824	373.1723731	379.7642646	323.3615343	359.2077878
VPS13B	166.1782504	129.0987033	184.7271506	171.2487804	180.6116807	140.5671197
XPOT	366.5183572	363.8078044	459.86682	539.8908664	419.1005586	455.7228366
YLPM1	326.034405	348.9968006	281.3863326	267.4014237	421.144344	272.3410733
YME1L1	167.0869663	251.7287016	382.1063611	390.1314537	281.1754841	328.2166663
ZFP36	455.1811206	173.7096767	1269.164514	947.4416595	642.0767385	1070.099485
ZFYVE26	159.0891267	130.2527195	174.6479257	225.0346942	193.64004	172.4392075
ZMYND11	2336.066659	1866.562543	2222.950881	1990.974123	2787.913365	2785.499289
ZNF24	780.8706163	530.9283933	553.9172659	816.1522239	1029.955244	806.7645788
ZNF273	26.50423269	23.84412409	31.85666277	51.79819867	47.11132784	33.69306846
ZNF506	58.34974202	51.25820305	53.68590559	68.93542036	69.88032299	52.96375033
ZNF518A	21.9729951	21.10787883	18.619543	41.19553039	35.36476574	21.52432629
