"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"ARID1A","ARID1A",0.193718909466576,"ARID1A",0.348487577515975,FALSE
"RPUSD2","RPUSD2",0.700141296444764,"RPUSD2",0.739467353182858,FALSE
"EEA1","EEA1",0.0220936965984411,"EEA1",0.0204105055130134,FALSE
"HEG1","HEG1",0.124439549544507,"HEG1",0.00140530134318989,FALSE
"MPP6","MPP6",0.460556051765464,"MPP6",0.101253677275548,FALSE
"IKBKB","IKBKB",0.059307583658122,"IKBKB",0.00015048204583997,FALSE
"HIP1R","HIP1R",0.104661692172378,"HIP1R",0.787926701576396,FALSE
"SP140L","SP140L",0.999297519222774,"SP140L",0.128746352024451,FALSE
"FLNB","FLNB",0.00558741112934102,"FLNB",0.00395780765177995,FALSE
"RPP38","RPP38",0.144712262795044,"RPP38",0.181331215903444,FALSE
"MIIP","MIIP",0.489817142432557,"MIIP",0.996170130866938,FALSE
"USP24","USP24",0.215743977966791,"USP24",0.00569602345137287,FALSE
"CXorf57","CXorf57",0.999499420402556,"CXorf57",0.055992162132995,FALSE
"IKZF1","IKZF1",0.00201280575682806,"IKZF1",5.07802452328478e-09,FALSE
"GPA33","GPA33",0.214866357107002,"GPA33",0.573373885919494,FALSE
"SREK1","SREK1",0.541856451480228,"SREK1",0.644594559912291,FALSE
"OGFRL1","OGFRL1",0.480946542343888,"OGFRL1",1.18011996044459e-05,FALSE
"CHI3L2","CHI3L2",0.493664791416135,"CHI3L2",5.64631502329526e-07,FALSE
"SELL","SELL",0.000190525795140819,"SELL",3.83032602767226e-11,FALSE
"WDR19","WDR19",0.692443129935915,"WDR19",0.0463258846544455,FALSE
"PSME3","PSME3",0.481932849317192,"PSME3",0.367938021273176,FALSE
"PARP12","PARP12",0.15307865749976,"PARP12",4.22039441506647e-06,FALSE
"METTL18","METTL18",0.936101659830179,"METTL18",0.0536196673285135,FALSE
"NUP205","NUP205",0.784415175312127,"NUP205",0.00806576909079878,FALSE
"RBM19","RBM19",0.479130441622466,"RBM19",0.168290911343676,FALSE
"SYT17","SYT17",0.0328663611529162,"SYT17",0.0515038252107021,FALSE
"STAT5A","STAT5A",0.0239169228846334,"STAT5A",4.39967585864202e-06,FALSE
"MARCKSL1","MARCKSL1",0.0250758300892891,"MARCKSL1",0.0272406917426402,FALSE
"AIDA","AIDA",0.863510046463734,"AIDA",0.00211859604899079,FALSE
"CPSF7","CPSF7",0.476955500623095,"CPSF7",0.00142411249569611,FALSE
"ZNF224","ZNF224",0.542733033858824,"ZNF224",0.0815459577360789,TRUE
"RPAP3","RPAP3",0.818409081760576,"RPAP3",0.000293577385671594,FALSE
"ABCC1","ABCC1",0.00528337455615932,"ABCC1",0.0306836962392923,FALSE
"SSBP1","SSBP1",0.127713542245352,"SSBP1",0.239711937089708,FALSE
"FH","FH",0.017977103877684,"FH",0.0987829892502345,FALSE
"GEMIN2","GEMIN2",0.205064937592507,"GEMIN2",0.0774197606048747,FALSE
