"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"SYNE2","SYNE2",0.000648599484925358,"SYNE2",8.55773313565007e-05,FALSE
"HERPUD1","HERPUD1",0.00265260266084252,"HERPUD1",0.00367102780638613,FALSE
"CD69","CD69",1.88476482072688e-09,"CD69",1.05938078815793e-16,FALSE
"CNOT4","CNOT4",0.650702849921351,"CNOT4",0.0993550005297295,FALSE
"LIMS1","LIMS1",0.0177199645919724,"LIMS1",0.496952828902545,FALSE
"NME3","NME3",0.0424296613498199,"NME3",0.210134651418548,FALSE
"MAPRE2","MAPRE2",0.327224380047152,"MAPRE2",0.313681499480535,FALSE
"CEACAM8","CEACAM8",0.000910164631066984,"CEACAM8",1.55379083069789e-08,FALSE
"SLC16A5","SLC16A5",0.85886206240091,"",NA,FALSE
"VPS37C","VPS37C",0.756077765132917,"VPS37C",0.993554595499021,FALSE
"CCR2","CCR2",4.29661290118977e-07,"",NA,FALSE
"EBI3","EBI3",1.87809724063878e-09,"EBI3",5.95527218622975e-06,FALSE
"ZMYM2","ZMYM2",0.000153547408752263,"ZMYM2",0.044832219825106,FALSE
"HP","HP",0.0357942455172741,"",NA,FALSE
"PEX14","PEX14",0.431844749866452,"PEX14",0.183565719821889,FALSE
"SHARPIN","SHARPIN",0.502268001454929,"SHARPIN",0.287820987761635,FALSE
"TJP2","TJP2",0.0367698789212852,"TJP2",0.0533965687460832,FALSE
"DUSP1","DUSP1",0.000553012691834371,"DUSP1",7.77386862315946e-08,FALSE
"ZBTB32","ZBTB32",0.00306836099259235,"ZBTB32",0.254608732494944,FALSE
"TUBA4A","TUBA4A",0.0181023607084423,"TUBA4A",0.513518323399231,FALSE
"ESR1","ESR1",0.00148838192181657,"ESR1",0.792805195886174,FALSE
"CREB3L2","CREB3L2",0.757726272429693,"CREB3L2",0.998964271407772,FALSE
"GNPDA1","GNPDA1",0.634577436651984,"GNPDA1",0.668438503242264,FALSE
"PIM1","PIM1",0.00633767305137602,"PIM1",1.00569019855368e-07,FALSE
"KANK1","KANK1",0.234105279945046,"KANK1",0.9395756973334,FALSE
"RNASE3","RNASE3",4.22221074270972e-05,"RNASE3",1.44591628999406e-05,FALSE
"PGAP3","PGAP3",0.449081670839124,"PGAP3",0.0265173183764869,FALSE
"SLC35D2","SLC35D2",0.458017096133545,"SLC35D2",0.147427389447866,FALSE
"KEAP1","KEAP1",0.00127033241166765,"KEAP1",0.440622008503045,FALSE
"ANP32B","ANP32B",0.199121126112487,"ANP32B",0.408719486181681,FALSE
"LXN","LXN",0.215222056745741,"LXN",0.135608611095003,FALSE
"ATP6V1F","ATP6V1F",0.114069063600389,"ATP6V1F",0.29031495159999,FALSE
"FAM46C","FAM46C",0.952133535918467,"FAM46C",2.6292899147748e-07,FALSE
"DVL1","DVL1",0.219587890007772,"",NA,FALSE
"DOCK6","DOCK6",0.111516567695628,"DOCK6",0.998030102006255,FALSE
"NFAT5","NFAT5",0.000299497429319737,"NFAT5",0.0161491306616955,FALSE
"ZNF512B","ZNF512B",0.343144338683124,"ZNF512B",0.0687988487860804,FALSE
"RP4-724E16.2","",NA,"",NA,FALSE
"TM7SF2","TM7SF2",0.0524247442302707,"TM7SF2",0.135970081835178,FALSE
"PEX10","PEX10",0.236786876587903,"PEX10",0.398190720310343,FALSE
"EDF1","EDF1",0.0726113281925229,"EDF1",0.173599876642596,FALSE
"DOK3","DOK3",0.00100342939378467,"DOK3",2.33513987599714e-05,FALSE
"TPM2","TPM2",0.117369988752122,"TPM2",0.970873822062927,FALSE
"TRAF4","TRAF4",0.00213253915272437,"TRAF4",0.0182470825689136,FALSE
"SRRM2","SRRM2",0.251756233723295,"SRRM2",0.00281296680705614,FALSE
"HABP4","HABP4",0.0159579253084857,"HABP4",0.850450144062001,FALSE
"BAX","BAX",0.000264652346442842,"BAX",0.178644423318184,FALSE
"SCN3A","SCN3A",0.0946641122908429,"SCN3A",0.86375809718709,FALSE
"NT5E","NT5E",0.00230237655920052,"NT5E",0.00244039571092659,FALSE
