Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
TUBA1B,-0.102720849,9.097828263,-0.139643964,0.891529644,0.999972288,-4.69701313,-1.07379668,550.3747842,1181.35072,364.4150701,1329.690464,847.6102615,1879.788198,165.9150701,275.754819,205.1594973,707.8242829,10
ZNF57,0.058091084,3.847387897,0.139546454,0.89160485,0.999972288,-4.697015912,1.041087324,10.76724352,24.10320421,10.5593002,32.2508316,15.83795775,20.94944935,9.304807227,9.203699892,10.17005201,14.94759956,5
GLYATL2,0.022360834,3.65071227,0.139476362,0.891658911,0.999972288,-4.697017911,1.015620087,12.70671055,12.03924678,12.53584321,11.48749657,12.0101785,11.02761332,17.85230491,12.09738334,13.12554832,11.80846384,3
SETD7,0.049699767,6.546598408,0.139376996,0.891735551,0.999972288,-4.697020744,1.035049501,114.1233946,90.71507012,73.39982023,136.5432232,94.86026669,178.5480386,55.62242114,97.01459462,53.08467258,101.2302024,7
RPL30,-0.070990482,8.834039036,-0.139121322,0.891932756,0.999972288,-4.697028022,-1.050437614,461.5731724,560.4291664,407.4257426,697.3723893,593.6235985,834.552471,123.5150701,668.3035229,298.9150701,436.1405927,9
CCNT2,0.054367754,4.168376231,0.062230385,0.892058754,0.999972288,-4.697032666,1.038403934,17.71819456,20.70785698,16.28599768,41.05860784,19.31849046,33.34196643,10.68269028,16.17989468,18.00678452,17.34281995,6
UQCRH ,-0.109356043,7.676426632,-0.138904432,0.892100051,0.999972288,-4.697034186,-1.078746623,201.5735675,346.0150701,143.9150701,853.9718679,296.6407404,436.9980978,60.8257371,76.36205623,81.70752269,304.3203124,10
NBPF10 ,-0.055415357,8.505635297,-0.138707168,0.892252214,0.999972288,-4.697039784,-1.039158238,337.1671647,389.4566695,396.3521227,654.3428206,476.598817,535.9364573,148.4436938,304.5002061,241.6544197,423.3623859,10
HSPB1,0.085774308,6.346404939,0.138703854,0.89225477,0.999972288,-4.697039878,1.061257175,68.82670124,130.3150701,53.01512792,116.4062842,105.3497165,335.7150701,28.7548341,57.94249729,53.19524454,73.32795654,4
RSRC2,0.075774153,6.421691013,0.139342429,0.89228567,0.999972288,-4.696113383,1.054703649,76.3111597,97.10457176,81.30442527,168.4941958,117.4848025,201.3547146,32.75261368,70.50857678,49.07581924,99.89084567,9
TMEM47,-0.067495586,6.378683123,-0.093952116,0.892321858,0.999972288,-4.69612761,-0.049599756,82.19366897,69.58379113,128.7775398,230.2768204,108.7039061,120.3821842,50.84509341,68.42803947,77.14829175,60.90021206,9.5
SMIM11,0.048605467,4.713288893,0.138569338,0.892358533,0.999972288,-4.697043691,1.034264703,30.98564382,25.87570547,20.97706405,61.80016144,23.23664865,28.42012336,17.01208683,26.69695325,17.09122753,28.96238448,10
TOPBP1,-0.09445748,5.458492935,-0.138378497,0.892505749,0.999972288,-4.697049094,-1.067663842,51.25419215,55.61590095,34.22113953,153.588062,54.91275734,80.11110097,16.4562846,19.3968349,17.09180493,75.14571304,10
FOXP1-IT1,-0.031795254,6.19388217,-0.138286872,0.89257643,0.999972288,-4.697051685,-1.022283439,74.69273496,64.07050526,85.86105882,54.27486188,68.92891848,52.41512796,96.18728094,91.99794495,94.71507012,65.45438922,10
SYTL2,0.061892972,5.936240474,0.138313387,0.892577136,0.999972288,-4.697014019,1.043835502,62.93517132,53.55628462,66.07344111,160.0146775,46.11184343,111.6303207,42.13269264,41.62608785,49.66381135,64.6359213,7.5
UTP11L,0.043762305,5.288472338,0.138251724,0.892603544,0.999972288,-4.697052679,1.030798473,37.09355711,36.88982331,40.93515585,56.02517678,35.87980257,72.70497969,32.3362914,30.25257419,22.46118235,46.22787698,4
CHST15,0.047542829,6.454382566,0.138161751,0.892672952,0.999972288,-4.697055221,1.033503181,68.85292848,94.96031997,96.24293629,199.5707066,82.51507012,106.3150701,49.75443525,73.96809222,75.18504766,88.21887418,6
FBN2,0.028789481,3.060297938,0.138141184,0.892688818,0.999972288,-4.697055802,1.020155787,9.743093133,6.885143126,8.296882775,7.180536611,8.621767223,5.6020903,10.90848451,8.907950722,9.919300922,8.76523128,9
ZNF254,0.025377853,4.354407429,0.051092513,0.892708841,0.999972288,-4.696785901,0.01811172,47.54286379,40.1121316,44.40294384,34.98249467,36.93064137,40.40953482,51.29213868,53.24552771,48.188555,46.8113427,9
SNAPC3,0.06045616,4.693161009,0.138029742,0.89277479,0.999972288,-4.697058948,1.042795426,25.32961877,28.57847524,22.11346252,57.9014093,27.43861492,46.22448258,10.31615592,15.73225389,11.50408467,23.65268797,8
WDFY3-AS2,0.057139897,3.413600393,0.137973605,0.892818097,0.999972288,-4.697060532,1.040401148,12.02907428,11.66352196,7.936055351,24.33231067,9.18914159,20.13205516,6.81576884,9.254188588,6.209891079,9.616364561,6
NR2F1,-0.055128065,5.344637374,-0.137970782,0.892820275,0.999972288,-4.697060612,-1.038951325,34.52285263,40.75438807,51.67224945,55.54802659,57.78188847,85.08089,24.48178557,29.68450146,21.53584306,39.49991119,10
KLHL24,0.061222585,6.384700204,0.07198427,0.892956018,0.999972288,-4.697065572,1.043349554,128.7150701,67.80249287,61.14783883,113.315135,160.1551391,122.1015138,11.14515687,47.35926829,50.81854796,132.4150701,5
CASP8,-0.038870512,4.878561811,-0.137595857,0.893109524,0.999972288,-4.697071174,-1.02730923,20.82959378,33.15892012,39.00063185,19.19288369,38.99719682,24.0019284,26.54494841,35.80400193,43.13336767,24.45879203,4
CCDC148,0.024637778,2.77485014,0.137410457,0.893252562,0.999972288,-4.697076386,1.017224262,6.505383872,6.436689088,7.386332011,5.051677321,8.202208973,6.955108384,9.074054702,6.689921651,6.792712304,6.135232007,4
LOC100507431,-0.044662119,5.368470311,-0.13737351,0.893281067,0.999972288,-4.697077424,-1.031441586,47.38083992,49.74254783,31.92381168,55.91508436,43.15736872,74.68400415,26.30784015,31.93472924,27.12591139,46.85070318,3
COA3,0.063760968,7.117013832,0.137312243,0.893328337,0.999972288,-4.697079144,1.045186915,120.9657728,218.0676799,92.41507012,383.8611939,131.5861985,197.4212206,90.81015774,105.1625242,73.83189533,155.0001052,5
LRIF1,0.057613656,3.317897518,0.137215668,0.893402849,0.999972288,-4.697081855,1.040742857,17.48803362,6.563738863,7.944133442,17.03438954,7.360829777,13.95863295,5.698285986,9.361960754,6.718898668,16.99896826,7
PELP1,-0.023285536,6.56686696,-0.137209157,0.893407873,0.999972288,-4.697082037,-1.016271262,93.97595447,111.4528607,84.15580638,84.68902766,78.9245712,95.12088164,121.3977377,89.90608982,112.8629865,84.95340439,3
ANXA6,-0.050002982,6.721751456,-0.137199367,0.893415426,0.999972288,-4.697082312,-1.035267064,80.04655533,144.458442,109.363121,168.1261179,94.26856064,196.7511373,69.72565172,86.96625978,60.75901461,118.102268,4
MAGOH ,0.104849133,4.764971796,0.137192056,0.893421067,0.999972288,-4.697082517,1.075381929,27.83460096,33.46816738,18.52250173,88.65248733,27.21601414,87.40765375,5.03161389,23.03532771,15.27778934,34.2649961,7
BC052775 ,0.027889078,3.158921457,0.137084344,0.893504173,0.999972288,-4.697085537,1.019519294,9.577999486,6.193748361,11.53271417,9.523342144,7.835189118,11.13405513,9.873959671,8.918938263,7.215996454,8.944337426,8
APRT,0.02769441,5.786086943,0.136850448,0.893684641,0.999972288,-4.697092087,1.019381736,55.86936829,68.61507017,42.09752162,66.37766287,68.50580907,64.13162677,51.7697596,42.81628129,46.16333841,54.35050181,5
LINC00086,-0.101463464,5.692539255,-0.136838466,0.893693887,0.999972288,-4.697092423,-1.072861217,55.96799075,80.69460674,35.50033268,158.371978,78.65899709,130.2138517,18.5219185,20.56502887,17.76630253,77.75668666,9
SLC35D1,-0.060670767,5.550930508,-0.136777417,0.893740992,0.999972288,-4.69709413,-1.042950558,69.18656764,29.15228918,55.80191784,74.33219139,21.54440411,22.87348465,48.91114657,63.01205063,63.53988951,63.51855758,9
HNRNPH2 ,0.111770555,4.370577269,0.136627014,0.893857044,0.999972288,-4.697098334,1.080553538,27.5871634,16.66807752,16.35967989,74.36612764,33.14490487,53.41885333,4.15182324,14.2268071,6.958531021,35.23958861,8
TRIM2,-0.033864641,7.040138951,-0.136620777,0.893861856,0.999972288,-4.697098508,-1.023750844,120.5103837,137.6585805,142.8957827,422.5871776,221.3150701,444.8308462,91.9724041,90.59919856,114.0606427,174.2150701,8
PIGW,-0.074000977,4.727041722,-0.136562026,0.89390719,0.999972288,-4.697100149,-1.052631867,31.1983847,39.64694927,16.72564376,64.66230293,29.78216449,56.9437492,14.37720531,15.06478197,12.43076266,27.79074455,9
MTDH,-0.025816499,6.488683268,-0.056755792,0.893925044,0.999972288,-4.697100795,-1.018055702,90.53627259,119.9622296,66.38584516,117.245541,63.52140117,138.0038065,26.63541012,91.28723382,27.45424537,120.2502736,8
FAM222A,0.028052728,5.133730695,0.136254863,0.89414421,0.999972288,-4.697108716,1.019634948,33.22728513,42.6162887,29.33704763,30.52448338,41.05670595,50.73630138,30.82522325,39.57555906,30.38244171,29.05863475,7
KLK7,-0.065852623,6.351642859,-0.136194111,0.89419109,0.999972288,-4.697110408,-1.046703351,46.4712165,133.7782981,96.41951654,167.7566296,65.51507039,147.6833281,58.11967583,46.79059777,44.18173828,112.859628,10
OR7E24,0.03024337,3.429533186,0.136016057,0.89432849,0.999972288,-4.697115364,1.021184376,11.51820963,10.68780326,9.722655819,9.366367377,12.94009522,9.760402327,17.86002108,9.827141263,10.31799682,8.222129719,6
RBM27,0.059510361,4.896470565,0.135993738,0.894345713,0.999972288,-4.697115984,1.042112016,31.1277809,31.23740224,24.9178301,61.61507154,37.6220317,55.81508436,18.23211991,20.86243604,14.03865324,32.81734308,10
CDK10,-0.026563164,5.482203731,-0.135992602,0.89434659,0.999972288,-4.697116016,-1.018582732,55.21508436,38.08377028,44.14869477,54.27930004,31.65968618,47.13867004,48.68289667,45.09246533,37.12102651,51.96890543,8
GRIN2D,0.028040247,5.573741583,0.135811911,0.894486029,0.999972288,-4.697121037,1.019626127,44.98279469,48.11078768,47.92645503,47.16088273,41.94683891,38.97031171,68.33330346,46.10075515,64.24625346,37.11645866,4
NHSL1,0.051132456,5.313700828,0.135639303,0.894619234,0.999972288,-4.697125827,1.036077883,44.84377929,38.56437835,33.7704948,42.21275221,55.71457759,94.1980514,26.56950841,25.75205479,26.54804394,42.14296057,7
PBLD,0.088778483,4.484988059,0.135638371,0.894619953,0.999972288,-4.697125853,1.063469371,16.35123477,32.65076568,18.48338084,70.99761886,14.98104507,68.55265892,9.022883128,14.51760593,11.68097985,28.80077768,10
BEX4,0.125651239,7.026247563,0.135589411,0.894657737,0.999972288,-4.697127211,1.091000104,114.1598651,203.0260834,79.5859626,696.5639516,236.8026264,476.9150701,33.71490279,58.14516139,39.91734134,124.7169036,10
BEND7,-0.067624647,5.402143316,-0.135574539,0.894669215,0.999972288,-4.697127623,-1.04798978,50.40296063,38.92373092,42.5305332,92.34403876,36.83508528,88.36702225,17.79386053,40.47764381,19.75433771,51.23795736,8
OSBP2,-0.03326049,5.277153497,-0.135531517,0.894702416,0.999972288,-4.697128815,-1.023322222,34.41999609,38.33671564,46.38150247,25.03854429,32.23629852,44.20337656,42.11893847,60.67301414,42.25745128,32.60306513,4
ATRN,-0.08581318,5.317516996,-0.135425415,0.8947843,0.999972288,-4.697131755,-1.06128577,38.75051577,57.35475116,32.32938059,117.4692541,47.69169214,99.82473235,17.52916179,22.9606709,14.47744821,43.43442444,10
GMEB2,0.022112072,6.554532944,0.135390607,0.894811163,0.999972288,-4.697132718,1.01544498,104.5434104,96.00802512,80.12175203,105.9910333,98.93542197,119.7832795,86.79837423,91.97242502,75.87613255,87.99622636,4
CPNE6,-0.033166418,5.243801607,-0.13529584,0.894884301,0.999972288,-4.697135341,-1.023255498,35.66191647,54.1150992,29.5847681,37.75811405,35.13476778,62.2370328,38.1205658,34.68342122,33.22231878,29.46571421,3
