Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL,countP
MIR612 ,0.470626785,5.922582497,1.184304382,0.247544677,0.490793234,-5.364101809,1.385711366,40.03225131,148.1762587,46.318702,35.49486587,32.90339147,60.48413594,45.75267686,36.2245082,80.58656184,35.33773219,130.6194029,317.6256097,69.49010901,61.61562586,119.5495244,84.29949809,19.65590409,65.49572195,177.0326886,35.03093526,32.31032864,24.58183402,61.80208635,95.72089111,17
LRPPRC,-0.311643205,8.778820741,-1.203747114,0.255899822,0.491210876,-5.313661719,-1.243660087,638.2263262,601.9502301,253.7760502,602.7571683,408.9878527,615.5384203,502.1288321,601.5415072,240.6330253,469.3453283,137.8315122,322.1017186,349.6999126,293.1578447,559.5637492,451.7574173,610.7144112,642.2326362,614.9599105,361.1618721,258.718938,623.6677822,769.0668006,469.2496922,24
C19orf60,-0.14308575,8.206123164,-1.211360579,0.264112469,0.491425153,-5.284553904,-1.104348888,346.3106843,278.7547993,348.8235144,426.1496856,370.5725656,267.711904,407.9516167,352.1729645,324.3274256,360.370054,264.6705409,267.981152,251.0961189,254.3173908,343.3108613,373.0781714,389.4396605,364.3856575,260.7969062,296.533117,288.1269442,548.8698359,329.2546452,253.7167105,17
FPR2,-0.112926196,3.966694471,-1.183219566,0.24796634,0.491454283,-5.365291141,-1.08141944,15.52117949,17.36494049,24.22294609,16.14681847,17.47795654,15.12513854,14.01169399,13.88231201,19.40849815,15.59932708,17.87359596,15.12513854,15.4838993,19.44567005,12.67988152,12.93054494,14.47862692,14.30704121,14.31738827,15.83202306,16.52009732,13.10341523,13.52238279,15.12272098,5
CRCP,-0.015961437,7.130891709,-0.141083931,0.249894312,0.491535141,-5.349882509,-0.012176537,132.3420153,152.9153255,178.7758002,143.1381061,149.3042292,118.3000324,135.0772545,153.3872994,172.6598426,169.4859286,135.1897146,140.5675338,137.0619226,140.5736203,94.54723389,124.8196453,147.6124582,134.0971497,135.4340662,144.9986085,159.4118021,152.6978887,154.9597206,135.0855977,23.5
LIPE,-0.058145521,6.451493931,-0.488673601,0.276650439,0.491637824,-5.201996441,-0.045471395,141.0851854,127.0082218,127.0026243,157.9711117,164.058264,105.7977925,155.0592511,160.4242851,246.9176506,188.0725385,100.937046,144.8943888,205.0968022,149.914285,106.2855474,160.3298847,179.3422657,120.8178769,129.1634135,148.4200902,217.1892142,147.1357992,109.837743,113.1611815,12
TBX2,0.051800958,6.288699402,0.403545333,0.268461207,0.491802954,-5.255238098,0.040264268,69.07360041,74.4601185,105.7451752,78.2225693,89.99325102,72.15688002,73.010485,61.53280017,116.4105635,80.32803126,80.95052779,105.9276796,108.0088922,100.3648735,73.6939302,75.82849497,57.33991571,61.29958352,60.01244702,80.13009033,101.1247545,64.40893242,63.56645728,72.52241069,7.5
ATMIN,-0.087637271,8.518215729,-0.635036549,0.295929196,0.491888631,-5.095391646,-0.068760776,466.5202564,412.0043587,262.3093477,443.9663997,364.1025001,334.5836408,458.8612979,394.7178334,274.1233189,407.4053833,317.6329549,322.4906467,310.0954094,278.8756925,421.5757102,394.2772865,364.1557271,448.3142592,427.8217726,381.9544607,289.845384,441.8125442,550.3431188,394.4870271,24
CYP27B1,-0.077723627,4.493910172,-1.181641367,0.248580729,0.491937032,-5.367019665,-1.055351528,21.49977744,26.48643504,24.57204756,20.63318898,25.98773504,25.34902536,21.85757237,21.30110065,21.58460486,18.9716166,21.64918485,21.71703292,23.26694135,22.04926724,21.67099391,19.92473275,20.93066596,20.54066266,24.21975208,26.74953264,24.04616921,21.34038283,22.5948642,24.04400949,3
FGD2,0.149414339,4.513377003,1.181629586,0.24858532,0.491937032,-5.36703256,1.109119134,23.5391282,15.10093914,24.27793105,20.0106996,20.24658393,26.68985981,19.72198005,23.14697877,25.15766522,17.33893675,32.98609711,26.56621439,25.97748415,31.57313061,32.38228559,22.88168867,26.05921284,17.782237,23.42927921,23.02195463,23.40226308,16.7498663,17.97152362,23.26520377,8
MX1,0.360714441,8.392771098,1.18176148,0.24853393,0.491937032,-5.366888183,1.284061624,208.8400258,321.1916595,263.5881475,373.3337428,225.002256,179.9677886,393.1982833,408.4019155,340.5666595,380.2310074,327.5225694,2339.816659,242.4926685,286.6540514,714.4833261,329.7267855,344.7201465,314.676774,217.0868754,263.1916609,472.4247805,404.6499928,266.6499937,196.0070096,24
TMEM50B,0.227460434,8.121334403,1.18165956,0.248573641,0.491937032,-5.366999751,1.170772232,277.6482713,266.0045588,114.2333899,307.1606245,128.314638,330.0666595,313.4294922,453.2893309,189.2308233,272.3137248,455.3446968,264.1035004,275.8892792,282.7467187,375.4195164,350.3029088,324.3112898,315.3941965,312.6499928,230.2424616,255.8340335,243.9216853,301.9913215,343.4778464,24
FAM208A,0.512534814,7.538600915,1.688239795,0.425782615,0.491969659,-3.536975971,0.52786646,247.7377325,117.353558,178.640357,114.0597739,131.0604934,183.5935195,165.7407734,160.7884365,280.8569179,134.9171901,209.0836254,325.8664949,323.3452588,231.8372676,340.5403401,183.7040891,129.8517775,227.6655804,226.2965163,169.9412281,162.9326855,140.89879,242.2852949,281.0136559,24
LINC00260,0.165365344,5.109226293,1.181056035,0.248808885,0.492213895,-5.36766023,1.121450035,46.04345732,32.74677652,49.21438717,23.55765372,32.19907979,33.71128947,23.51984835,24.49830607,32.25007648,30.32195133,43.28754875,35.64187376,35.24259853,40.90583358,41.2218589,28.79379548,27.47605866,34.4707978,37.8146608,47.85271499,30.54035146,33.63119265,29.86722368,55.1193468,6
PDYN,-0.723934744,5.975084398,-1.180889479,0.248873835,0.492289329,-5.367842451,-1.65168062,39.79893617,281.1545158,46.06769507,38.56557543,36.44740556,1512.194965,41.26440453,78.78555817,50.39890316,40.35886508,34.0592656,23.678527,27.64458675,36.42246692,35.16158484,35.45603219,112.6516653,38.97078747,747.235851,43.93875523,29.57373567,165.4386541,62.67283757,45.44738398,6
