Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
PIK3R3,0.304172062,7.20420678,1.481554321,0.165005183,0.643622629,-4.488581459,1.234709855,100.4603561,143.1802072,143.1802072,169.9172614,103.5595475,159.8864442,126.2798073,179.8045003,168.9268782,218.7712043,10
ZNF202,0.157195358,6.349221637,1.481347845,0.165059307,0.643741895,-4.488781983,1.115117209,79.04654004,70.66765459,77.16881913,94.86514081,90.98818901,94.70940518,84.3092712,81.55989407,74.04903965,72.30361568,9
PNKP,0.160481803,5.980993068,1.480924967,0.165170205,0.643775239,-4.489192619,1.11766033,61.93653707,60.40757439,53.31948898,66.79508546,56.46685052,57.73132092,66.61577823,72.84812495,76.22925992,62.8915244,8
CCDC88A,0.242457823,4.08598921,1.579944153,0.165174784,0.639222567,-4.364947344,1.186773348,14.85121034,16.17410854,14.88572987,20.79038879,20.99835455,28.52406297,16.12705282,19.59615659,15.09697448,18.03209679,7
KIAA1671,0.453025587,6.968759621,1.542689477,0.165205936,0.640577032,-4.411563542,1.369742236,278.2874913,315.8055398,156.6437774,756.5887672,334.8998965,198.7551759,173.473556,348.7212112,491.4954798,345.2266531,8
XPO4,0.561866304,8.063953306,1.567047976,0.16536353,0.640746984,-4.380876727,1.484662481,318.7372062,317.4311662,259.4915714,523.2874548,263.329118,564.9486985,199.164707,468.5134493,337.1362203,748.7772434,10
CECR3,-0.166056781,4.00315035,-1.480000475,0.165412869,0.643972416,-4.490090105,-1.121987638,19.24499873,17.37098603,15.70498736,13.81317584,17.92240072,14.09412521,17.87961301,16.39790744,14.59939044,14.33158618,3
IQGAP1,0.295758915,7.795429885,1.479906098,0.165437659,0.643996488,-4.490181707,1.227530537,171.2346794,184.2631245,194.5924218,334.9431191,186.1871565,445.5148975,220.0230962,188.9741261,202.431735,203.9360199,10
ZBTB20,0.123449647,9.9432693,1.488738559,0.165495,0.641868947,-4.479005382,1.089398865,770.7444568,865.9404371,898.2277599,1353.082745,1118.621476,1086.269551,969.5956876,938.2801825,1018.777469,936.7854893,10
RMDN1,0.225206727,7.999898428,1.697585805,0.165535446,0.63931814,-4.218169909,1.171181071,225.2580979,245.3389385,230.294118,336.4720837,303.3515237,290.2553142,229.4484193,244.1434166,280.564828,255.9985756,10
FAM208A,0.248808136,6.596446112,1.725067451,0.165593569,0.638513649,-4.184150721,1.188547324,93.55035137,83.89117267,87.08419475,126.816307,100.9719971,134.4911612,81.66828863,100.6984203,98.49888159,104.3013917,9.5
TPCN2,0.291543339,4.999777365,1.47869516,0.16575601,0.643996488,-4.491356724,1.223948911,32.15373486,28.37223706,23.48664375,28.43431223,50.65713641,33.49594199,39.63601034,27.18942631,25.93449673,38.908121,8
OSBPL9,-0.190490079,9.859157463,-1.478588067,0.16578419,0.643996488,-4.491460613,-1.141151295,924.504995,1195.120811,956.7667904,913.0924218,963.171908,927.2816901,1101.496087,822.2269938,723.9606159,844.8395975,10
RNFT1 ,0.393780389,5.95361016,1.478301557,0.165859599,0.644060624,-4.491738527,1.313831617,42.66092099,68.58942926,45.85903559,70.09370507,115.3571112,88.44268275,71.24135598,51.62435359,47.23572097,50.14151194,10
ID3,0.534438952,6.993239531,1.477548808,0.166057863,0.644235988,-4.492468544,1.448378787,123.1111348,78.26689852,98.58177009,408.6494235,117.008414,105.8227458,103.1058543,139.0722842,140.5178808,116.325271,6
SOD1,0.180417988,11.48380972,1.477506565,0.166068995,0.644235988,-4.492509504,1.13321216,2461.710796,2811.472266,2610.292422,3135.053947,2402.794677,3797.803317,2977.772904,2736.4208,2911.353454,3028.226592,10
CHCHD5,0.20238467,6.684620816,1.477384959,0.166101045,0.644235988,-4.492627414,1.15059864,83.03195561,122.1924218,79.90693791,102.8739722,91.46313505,98.09900522,111.0011132,113.8966571,117.5750002,119.2532513,10
ZC2HC1A,0.262692915,3.997296758,1.477187505,0.166153097,0.644235988,-4.492818856,1.199715989,17.66440567,10.4448025,15.06103009,19.42113775,18.09201728,22.51547956,14.63724162,15.82728645,14.48630922,14.62655335,8
NBPF10 ,0.308431668,9.07916987,1.476767058,0.166263978,0.644306116,-4.493226449,1.238360765,546.5599783,420.7978843,439.154097,975.1664714,608.4135486,651.7559491,481.6817078,492.2924218,507.0993068,456.3072713,10
SLC35B3,-0.063173342,5.103796398,-0.271267961,0.16629389,0.640759588,-4.431700822,-0.051807292,43.60194721,47.21630453,47.60346689,52.60510967,52.49048168,63.09816479,45.40138327,45.23535589,46.22839353,42.15091917,6.5
MIR6890 ,0.124004723,10.92068243,1.475882201,0.166497542,0.644732195,-4.49408403,1.08975568,1999.038117,1823.692422,1667.996333,1953.59404,1972.739142,2036.548019,1858.093418,2109.094629,2122.35218,1887.045598,10
PIM1,0.230632847,6.336066614,1.475567027,0.166580801,0.644732195,-4.494389414,1.173349534,93.39168072,71.83984996,56.17811427,85.20942298,82.58988057,91.70833156,71.7311328,92.05427085,71.66765654,102.8779251,10
ZBTB46,0.265584844,5.485472239,1.475542863,0.166587186,0.644732195,-4.494412827,1.202123271,33.58499535,44.51895804,40.85938825,45.65002474,30.27876856,54.51535323,49.57814038,48.83328409,47.93311356,60.98104158,7
PCYT1A,0.192408035,6.795538648,1.475418432,0.166620068,0.644732195,-4.494533381,1.14266938,88.93038496,109.2881737,106.5924219,108.1878874,137.9829865,134.394871,109.8338294,91.33697527,110.3924218,124.3229024,10
CASQ2,0.583864502,10.96796751,1.474866393,0.166766015,0.644732195,-4.495068147,1.498858823,2250.782356,983.6272109,1551.672524,3853.469851,946.5195839,2128.752184,1686.878734,3355.818301,2065.152506,3334.01009,10
ZBTB5,0.117661051,7.271845924,1.474538515,0.16685275,0.644732195,-4.49538571,1.084974436,146.8924218,149.2924218,141.8120467,153.8924218,162.1461725,139.2834098,161.4682285,165.5142769,165.7924218,162.2469898,10
MIR21 ,0.55769458,6.953791041,2.143651988,0.166997048,0.632176844,-3.683045809,1.530360026,132.59272,168.3402426,136.7909917,218.495924,209.9681455,221.6744811,159.7691366,158.4466349,157.8738421,132.4604286,10
COL4A2,0.403308158,7.660550473,1.474792647,0.166998169,0.644933712,-4.494906203,1.323731039,253.2786279,221.3069363,256.0809559,506.4465122,215.4487191,346.7275897,302.006993,216.8711613,267.7754316,432.6083113,10
SULT1A2,-0.157652576,7.147369915,-1.47393466,0.167012591,0.644732195,-4.495970457,-1.115470667,165.557689,155.4875548,139.2308062,162.1150107,114.9843444,144.9482434,129.6944994,133.7691711,144.1451945,135.3924218,10
CNN3,0.281851194,6.439444647,1.473853665,0.16703404,0.644732195,-4.496048878,1.215753878,84.64363652,75.4930919,67.87667541,124.5218765,70.13686553,123.1777491,77.66607554,79.73428913,108.1471864,77.59287913,10
CXCL14,0.413977234,9.262918684,1.550373006,0.167036665,0.642705576,-4.399936541,1.337663125,571.068497,578.2001314,396.1844132,821.933421,761.6853758,427.4117447,693.4958699,1087.536074,655.3452813,468.204406,10
