Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_JK C 05-07.CEL,C_JK C 12-07.CEL,C_JK C 35-96.CEL,C_JK C 39-97.CEL,C_JK CC2.CEL,C_JK CC4.CEL,P_LC 04-06.CEL,P_LC 299-99.CEL,P_LC 96-06.CEL,countP
POLE4,-0.920245212,2.877223128,-1.907088205,0.089489164,0.50030914,-4.40393711,-1.896125474,5.030431355,15.78407691,12.32239628,19.03388226,8.048999165,6.162477161,4.027498254,9.255824156,4.218380001,3
TMEM74,-0.319472446,1.528403216,-1.892781838,0.089758357,0.500363774,-4.4261679,-1.247874152,4.079761171,2.805603832,2.518718809,3.008942807,3.635279429,2.845249495,2.514956634,2.266200717,2.704675633,5
KCTD5,-0.525130717,2.974891279,-1.892405085,0.089813001,0.500512264,-4.426690323,-1.439063962,7.031383067,12.42992785,9.07243308,10.70428329,10.80363961,5.333206821,5.035663375,7.995786282,5.827958676,7
RBMS2,-0.279427851,1.215410711,-1.892430576,0.089809303,0.500512264,-4.426654977,-1.21371345,2.72159881,2.223548983,2.223548983,2.223548983,3.095870322,2.493077881,2.223548983,2.121178125,1.802059279,4
IL6ST,-0.720656475,3.904726387,-1.943249206,0.095339693,0.50053801,-4.339268408,-1.665672235,35.84012543,18.9117059,22.99052949,20.1112771,20.39686329,25.86804752,6.348216691,29.78204974,9.304420697,7.5
ANAPC16,-0.338423861,4.173525252,-1.214958791,0.089596288,0.500630626,-4.387724507,-1.26702977,32.23936378,24.21978284,22.64830047,23.76017877,24.03003478,25.2977631,13.14880494,22.44971202,18.84379849,9
C11orf31,0.479118827,1.917541447,1.889651763,0.091423334,0.50084543,-4.428897002,1.394324158,2.40489891,4.320980589,3.491717105,3.351869331,3.168619937,4.106403292,3.496649214,6.583131516,4.62351761,6.5
ICK,-0.354272581,0.332527679,-1.891206403,0.089987064,0.500889205,-4.428352194,-1.278340869,1.750503714,1.116055112,1.097165275,1.343918802,1.787344041,1.265308029,1.137821623,1.073656846,1.000159789,6
LOC100506639 ,0.41648551,2.526463231,1.384693764,0.092767572,0.500911627,-4.380007031,1.336615007,5.037736975,9.5841169,4.996121924,6.080719566,7.884979832,5.00543434,5.69503933,7.300950554,5.059867645,6
EPOR,0.285334519,1.160096598,1.890688201,0.090062412,0.500983046,-4.429070506,1.21869281,2.07718401,2.289158498,2.265690193,1.667132433,2.159234945,2.162386814,2.91586218,2.103047977,2.702986932,3
TSR1,1.410330762,4.886401525,1.890388854,0.090105964,0.501029663,-4.429485414,2.657980944,40.75521052,29.8615013,9.123772154,5.257626577,28.73439023,56.48796379,98.36150622,31.19922813,59.56552795,7
ADSL,-0.673883184,4.198800934,-1.889971852,0.090166667,0.501059795,-4.430063354,-1.595361297,11.16812258,36.66552831,22.46380782,33.10378356,19.18684173,16.70727591,16.45527927,13.53792211,10.92244102,4
LINC00868,0.287179703,2.269241545,1.890050468,0.09015522,0.501059795,-4.429954401,1.220252496,4.538576027,3.891971121,5.104005768,4.538576027,4.538576027,4.538576027,6.750875953,4.39961482,5.616347131,3
ANAPC11,-0.588492873,4.905019237,-1.88839901,0.090395971,0.501123746,-4.432242757,-1.503675096,30.22588622,54.49489315,35.55947064,45.07453787,30.22588622,20.49533733,26.31494034,28.59733431,15.80657599,9
LOC100506844,-0.558302247,4.0278319,-1.889068212,0.090298341,0.501123746,-4.431315569,-1.472535329,37.33700604,14.86215675,17.53023752,18.61881288,12.66098336,17.81116019,11.76606919,12.17081283,13.97694418,7
MYSM1,0.537078426,3.321584967,1.88748877,0.090528924,0.501123746,-4.433503697,1.451031084,12.94385233,11.5543845,7.307622158,9.929402077,8.680301797,5.034802581,11.17704958,11.98551127,15.70579104,9
PDSS1,-0.361181757,0.798644024,-1.888467477,0.090385978,0.501123746,-4.432147901,-1.284477623,1.648207925,1.966325199,1.43313774,2.610969142,1.703184277,2.212734332,1.469603235,1.357162139,1.599419924,5
RTFDC1,-0.877055691,3.712694467,-1.887789589,0.090484965,0.501123746,-4.433087004,-1.83662322,10.5651223,23.97068255,21.58819481,35.8095066,10.75184491,8.074693064,6.439960071,11.57369528,7.295924179,8
ZNF92,0.664628155,4.704652613,1.888046014,0.090447509,0.501123746,-4.432731786,1.585159656,15.95259256,31.80079887,21.24589344,28.67405184,28.62548778,14.14220243,24.45613688,60.94243823,29.89255288,9
HLA-F,-0.598644352,4.472740047,-1.888417443,0.0904511,0.501146604,-4.432140262,-1.515462591,39.69532463,52.73571067,28.15577685,21.3352422,24.76122047,50.47425023,15.21451289,27.56978827,25.15080659,5.5
LOC100507395,0.365347986,1.692293136,1.886649881,0.090651617,0.501355796,-4.434665579,1.288192311,2.223677978,2.819206355,3.907723718,3.390874037,3.390874037,2.437129693,4.150244922,3.390874037,3.97987111,6
KMT2B,-0.346663735,1.864710899,-1.885077776,0.090881967,0.501669316,-4.436842425,-1.271616582,4.78007205,5.032615836,3.056222862,4.136435275,3.46975144,3.575839425,3.050741612,3.575839425,2.738457104,3
POLR2J ,0.415291904,2.009616542,1.885141823,0.090872572,0.501669316,-4.436753756,1.333568474,3.93005787,3.93005787,2.853952552,3.452935117,3.780618151,4.165840539,3.93005787,7.42381711,3.97987111,6
GNB1,-0.561394042,5.013040893,-1.883281768,0.091145796,0.501953706,-4.439328409,-1.475694458,27.92551637,58.50920487,43.62433112,80.08987009,17.57326225,32.39321022,24.95231615,30.70777407,15.32793834,8
MYZAP,0.314582172,1.89545116,1.882289535,0.09129186,0.50209993,-4.440701422,1.243651419,3.42354642,3.549603655,3.549603655,2.713947316,3.549603655,4.125830336,4.415830476,3.477679286,5.186308925,3
TMEM185B,-0.441588597,0.732447465,-1.882737662,0.091225865,0.50209993,-4.440081358,-1.35809895,2.017318764,1.945764031,1.700634304,2.610969142,1.103425126,2.017318764,1.326980608,1.30235547,1.438828494,3
NGDN,0.126278197,2.450277145,-0.118519173,0.091940661,0.502181296,-4.430103707,0.163882364,6.765809076,9.243878395,9.082199625,9.721640838,6.49744143,6.882470597,7.321791685,7.989532842,4.994511859,4.5
EML1,-0.909552481,3.068147541,-2.281009483,0.150603092,0.502201762,-3.755974404,-1.91275806,6.749621524,14.41212936,13.30771328,15.86229122,10.41605915,7.182969657,3.559210268,10.45681094,4.645806167,8
DDX59,0.16019127,3.759035983,-0.094236535,0.092197402,0.502319918,-4.438609343,0.192606949,25.52970636,17.58833374,11.78724978,8.021829409,20.92900219,35.49032278,39.88400782,22.18062029,30.66166416,5.5
AP2B1,-0.945254643,3.419948063,-2.013730598,0.103084217,0.502334141,-4.218895423,-1.949428928,8.979128093,17.79881993,19.71340442,28.6257702,11.72584636,6.351890798,6.358848343,11.95628837,5.521845802,4
DNTTIP1,-0.679012821,2.880290823,-1.881336634,0.091432339,0.502367918,-4.442019732,-1.60104385,6.773051457,11.63809645,10.9504922,15.92801322,6.688425121,4.441652862,5.123455187,5.411759204,5.616347131,3
NHP2L1,-0.842766973,4.61052887,-1.881429746,0.091418604,0.502367918,-4.441890927,-1.793486609,18.52017517,42.25577451,41.95507743,62.11395013,14.79786904,22.65359747,13.49076577,22.65359747,14.83038411,8
SMA4,0.603422977,2.319427152,2.110858338,0.113402069,0.502771077,-4.055649776,1.530309532,5.444903355,5.071901755,4.399801735,2.916325053,5.026864338,7.123741896,7.344698045,5.210734237,9.034546343,6
LRP1B,0.935365492,3.029719026,1.87998578,0.091631834,0.502908101,-4.443888137,1.912375054,9.482210065,6.376972845,8.513843762,9.745400948,7.256106997,2.228016924,8.563144352,23.62769014,9.844655507,8
BEND3,-0.412985337,2.005530898,-1.878488847,0.091853376,0.503084632,-4.445957954,-1.331438081,5.19550339,3.187771559,6.214868324,3.787776061,4.726939467,4.03162939,3.97987111,3.350873047,2.738457104,4
