Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
ARL15,0.127220649242237,6.70589652227367,0.741576194731912,0.473035869292179,0.814461853363246,-5.07268898843702,1.09218757476151,114.552048484108,84.5845912583186,97.5685165753882,134.612462477432,73.8532498902796,113.348196021794,125.492421780391,120.340244325898,96.8467407789836,98.6673130645501,10
IL15,-0.0341690355822857,6.0607114263858,-0.243964322447272,0.483100822939996,0.814533686681896,-5.0493869916896,-0.026018430405933,104.659600457854,100.154318800865,77.3148512746676,67.2922775614755,92.931499710972,121.981545184535,69.6134004152569,87.5772055284049,76.7324197972884,94.3317993761206,8.5
RPS6KA2,0.113374156214018,7.93638650854096,0.750453802425051,0.487405921527793,0.814534695737835,-5.03763344434817,1.08288287604039,205.592105614073,294.146260897211,214.350030300118,230.363413521063,242.740706798354,225.684015911462,247.850904218185,257.91748121918,289.766631427377,272.987267200501,10
BMPR1B,0.257152654464774,6.23286018833946,0.740051160303036,0.477148665974454,0.814576842326811,-5.06863497087877,1.19542674903518,82.0242325545016,53.4071671733485,76.1428288587337,48.1892703924912,59.238396451671,190.36306637522,97.4355977995761,97.2290544081072,72.9433215878393,76.9057093293304,10
C9orf64,-0.0337946212392062,7.81334200902618,-0.0294468496358229,0.473172494117443,0.814629735028281,-5.07233651390399,-0.0250614324510194,395.274661838116,404.910573095715,350.160046054128,405.742985379433,425.437495561235,377.652695361085,362.717069193328,418.35330175407,428.557685390245,354.678580419218,7.5
SRSF11,0.1237412675534,7.87209669590347,0.740820821571606,0.476465391095303,0.814638855340171,-5.06855779796056,1.08958689318713,179.148872645846,225.347861810892,212.345411947183,291.624649374529,282.018038589505,294.67683379234,253.022366764071,218.433232762687,223.871480839715,220.127351460881,10
ZNF133,-0.0947906431258184,6.87858643822219,-0.750020730793554,0.487778356318267,0.81468078531039,-5.03768136640172,-1.06830689854815,130.127457135205,121.916111693284,118.162690993037,99.8845308412685,139.008138514212,124.170401082361,135.749395317853,109.790864952092,106.64374231432,99.7662244518105,10
FLVCR1,0.144849533254897,4.35852642546344,0.74345333030085,0.48320280318976,0.81468303724733,-5.05434869376302,1.1057328801574,22.3389910261931,19.1103047723745,17.3046481287478,30.1736667721602,21.4354810413574,28.4087596998111,17.9764839352138,21.460151768937,16.9967655929035,18.5303749310819,10
TTLL11,0.232755736106528,5.95788705927808,0.758568376006257,0.535479370990493,0.814749304704421,-4.94757724011299,1.18489325703229,62.7459275193527,43.8097422242311,64.695858496521,131.167135087465,47.0825733268415,84.9881855984346,51.3226016761456,48.9536501723156,82.1358328675599,63.4140306787371,9.5
POLR2B,0.10056388808045,6.78375925147107,0.739963337407831,0.482205231911572,0.814808342411373,-5.06098301139837,1.07224755366842,469.477582278614,507.789413418117,483.701566906915,492.716308632526,591.705597954819,688.851809831263,470.384150756817,527.962492264313,490.604843614038,461.953033747784,7
NCOA1,0.0908562505197788,9.29569322011439,0.745305818797249,0.486495553745809,0.814981199665197,-5.04653797028932,1.06512173989578,596.731516299774,665.315212693509,566.989532563229,651.495476652737,542.812859012142,691.488325301167,585.327417769937,689.34821443949,575.201282980463,781.053670271892,10
WBP11,-0.0801682876167792,7.52932739974249,-0.733899497862584,0.564036526259173,0.814994086707526,-4.87695255611102,-0.0589334262789621,332.533096956587,333.302378969641,336.707661597827,357.424314288093,332.451718372313,349.274082789117,322.064552867065,331.959919596101,270.691728061775,368.692929244998,10
ZNF92,-0.0896983605348324,4.90119248416138,-0.738454834770129,0.480055367102125,0.815054935772036,-5.06650257764128,-1.06416446232129,58.8552232485098,66.9918122618585,60.1886743852074,62.3959733398929,84.0620239756849,50.1134079278245,58.7497131108702,59.1272175156608,53.861769744389,44.4680287337373,6.5
ADAMTS9-AS2,-0.0896505966701047,5.35426721069629,-0.770643139779947,0.551791161227219,0.815058905340628,-4.90194749387853,-1.06551385575962,58.8039726037509,66.5275929117682,53.4078701842673,60.0968516164996,40.931745644745,68.6710274729856,65.0218513039577,69.9688692003541,54.1792978400038,52.9642169339189,9.5
SAR1A,0.125612748221624,6.86275859408514,0.740014254389638,0.473947564104559,0.815259683795388,-5.0735798375949,1.09097099661013,95.545891269566,131.244794020085,99.3696737773974,124.803404634848,144.233028718793,162.292421780282,98.1052638368606,105.602336156445,109.875214701561,110.042123541366,10
RP11-285F7.2,0.069820216269894,6.52161992540758,0.739689232346038,0.474137414918358,0.815293912422941,-5.07376500377789,1.04958587966441,81.3635338076481,94.5924271071331,91.0302478355998,92.8727938054207,88.2838373047797,98.4824739089579,100.152346552702,104.299038291264,87.7382677144702,82.6610907133602,9
NUCKS1,-0.049242147355816,9.68214584913685,-0.0530896533863974,0.475999147474967,0.81536794537705,-5.07399934623703,-0.0378540683312937,1228.51913981594,1370.96403984785,1580.41217144667,1926.34903124146,1109.53957398823,1495.31153565722,1276.94666205775,1564.95252633266,1421.65892691829,1535.71306476555,10
SARS,0.0965537706578046,7.40752000380056,0.738636406078372,0.479683098545319,0.815376865654787,-5.06681019040623,1.06932920400596,352.546988036785,371.023355711085,316.492814816156,376.808771014078,324.082680303547,369.680258117155,317.134522719817,363.780255086103,353.332410482498,475.815936918161,10
EFHC1,0.145328244854218,5.41260636929726,0.755572478872804,0.507037045791261,0.815393773086114,-4.99905823045841,1.10837065729119,58.5927678287556,50.9345197596361,43.944750918881,69.0686530628845,44.4866003396187,70.2451085182158,50.4020960827531,46.0063844840875,53.2858256570021,48.6176569641681,8
CRKL,0.0888787902039239,7.17444982121237,0.736825909452931,0.482597975673888,0.815495012338337,-5.06496140414644,1.06381024498977,332.481106739094,339.594876368616,276.215432974478,300.779507854416,391.091717816379,430.135349649282,350.140028155589,292.589432800071,321.387740321229,326.192801030759,7.5
C1orf56,-0.102988381908293,5.38926554505892,-0.751510161759552,0.536414350058283,0.815547753458333,-4.95621996638164,-1.07520311606704,38.355593133254,53.6628985062126,45.4309351921763,44.2478874224632,44.7401000736853,31.220448867426,47.8741960913447,43.4940474136123,41.7548453758627,48.9338256802142,8
BTAF1,0.0996913694514527,6.91980686318199,0.739018835018417,0.474529154743969,0.81565472711811,-5.07414670350808,1.07154420642651,119.642158309633,122.14649210946,105.05624108928,117.063094827707,132.692421780288,168.220784036123,111.453335294179,124.739607873587,118.145680000844,102.765215996809,10
CDC25B,0.0917630758087685,6.61314146862115,0.739042384309692,0.474515390543586,0.81565472711811,-5.07413330060662,1.06567171353396,98.9075363973379,81.571471880229,101.738408364107,98.2215951032243,95.0153918352687,111.256938325447,94.5013823094778,102.768558425307,121.167661558634,80.5886073573654,10
DTNA,0.0761193310737917,7.37346199870089,0.221004685828705,0.474551422732811,0.81565472711811,-5.07416838566579,1.05417861501187,162.290240595193,200.567256524291,180.594609077186,183.657501842792,223.405250239119,237.745969906835,143.921375355031,141.776481006978,153.171047862954,218.133836344576,10
DENND4C,-0.104958412647898,7.54732353282644,-0.741080443893048,0.485548595584688,0.815689396589054,-5.05417088752337,-1.07616309682215,214.453037219069,225.05685524783,185.251009554586,200.404420861652,213.431003156333,222.799654878591,209.156760379418,187.33929669143,182.894745468346,159.292630599855,10
SMARCAL1,0.0839600546946608,7.09642041970169,0.738804536297293,0.474654420484946,0.815699615877915,-5.07426865259258,1.05992343585658,141.51699945129,126.788311642674,126.398510097331,165.126198380047,141.775353003322,140.325829212727,155.327125753512,125.753890244438,113.68726601473,139.216080362253,10
ARPC2,0.129774794768877,10.3553590397915,0.738625482357485,0.474759100088936,0.815727516517805,-5.07437052117306,1.0941228949398,1491.50186192887,1068.56731161202,1146.3403941203,1385.88172697832,1520.36214299891,1479.92961386304,1363.88617696478,1161.19592371602,1590.47031539861,1037.2277163773,10
NUPL2,-0.0895767109572995,6.76710213754094,-0.73870790565237,0.474710911496724,0.815727516517805,-5.07432363107545,-1.06405794034032,108.417332321146,124.692830211219,108.890267191338,108.301288473706,126.180865305181,128.435162123843,107.471462580763,95.5085891799017,97.9081985199119,90.4924395575311,7
PPP2R3A,0.0243436298367687,10.6611012051584,0.300810557779916,0.474775452227062,0.815727516517805,-5.07438643095688,1.01701688368211,1655.69242178028,1582.09242178028,1564.34700691784,1700.6924579536,1920.74242178028,1942.43566168595,1510.12248001324,1613.39242178028,1769.84886934333,1555.52648681031,10
B3GAT2,0.0859216030665664,3.7956595410017,0.738265760882917,0.474969446053595,0.815787216504267,-5.07457511011726,1.06136553212868,13.5874605804569,12.3006081317476,14.1397192898565,14.0050492730605,11.7490462555185,14.7576053031035,15.7046427085759,13.5375918151255,12.7230585072136,17.1831957845205,3
IQCE,0.108799609711798,4.70862549641269,0.738332824717316,0.474930226298674,0.815787216504267,-5.07453697476239,1.07833064120528,27.710606025142,21.5377296185094,25.5674554106059,23.3050829457651,23.2415283155074,23.1202437546707,27.3083772152391,26.5366559151466,29.2699244872185,36.8612656747254,5
TCAP,0.076991140764992,12.0367046317767,0.73841240787066,0.474883687705672,0.815787216504267,-5.07449171640026,1.05481583968383,3808.70905950101,4500.24230931159,3868.50161217144,4024.9438364386,3730.63773772211,4869.28606273653,4233.93660400411,4028.20575403437,4250.39242178028,4877.99929825548,10
RTF1,0.0416137992793204,8.28210917737739,0.420554747655828,0.504638837351112,0.81579334802415,-5.00639065226739,0.0304304585936488,359.091711680288,374.797788289479,316.342768617009,336.574894729246,406.603562346614,381.000593082389,363.718130363319,319.13529658748,329.564791261953,328.451184491534,10
