Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
DIP2B,-0.322596026080982,3.25573094440297,-1.63249885715238,0.127066925293085,0.815773642961054,-4.54058785074551,-1.2505788522662,9.79619850880358,13.6605054874572,10.6065071689979,7.10928638452482,11.6115213937395,9.81420803782737,6.31417791413338,12.667371931303,7.99892911983557,9.81420803782737,8.3606841105064,10
LEPROT,0.300386784955796,2.17186379155903,1.63191615174693,0.127190613655404,0.815773642961054,-4.54132273245208,1.23147452605929,5.57005336335604,2.84368928408096,4.24097732787468,5.52589868265439,6.37819434226804,4.4496137251009,4.29255373783377,3.58245252962785,3.99921962948639,3.66724951920087,6.94349569447878,7
SLC9A7,-0.492330078530676,6.48322440771733,-1.6311771765993,0.127347623669331,0.815773642961054,-4.5422544652239,-1.40671500964909,105.393801209065,136.121073936338,105.088071236491,139.545333257159,77.8483466636106,101.93044806989,68.2433920237416,113.066435695025,73.0301648454287,37.2119830727744,83.9369657638896,11
YWHAZ,-0.376228898099908,5.44467635099821,-1.63136668947303,0.127307341778439,0.815773642961054,-4.5420155434057,-1.29794468260101,26.6490198514563,59.2969488571886,84.969509699499,39.6830738054299,45.5101146711345,52.6093054080988,49.6692745700834,52.6665284817924,35.9908255663795,27.0828669545903,32.8744446225421,11
LRBA,0.310170303364318,1.06387954539636,1.55787287664507,0.192365551623739,0.815815812613922,-4.55978695552683,1.2523035405529,2.07309865961825,1.65080242063304,1.75398856437138,2.95677308064377,2.1867228149612,1.83654139909364,2.10304087058529,2.64725119164372,2.27301727111026,1.97824360150705,2.187107504968,3
MATN3,0.164302625958042,0.0627979440078779,1.63063526047524,0.127462871911253,0.815866712822767,-4.54293757417139,1.12062425653745,0.964733673940005,1.02975242026731,0.894662361688578,1.07588876793205,1.19915854830796,1.1034216078355,1.00126306892198,1.0515062977062,0.898509672006767,1.1704829178869,1.15215765302871,3
MRPL44,-0.335904175226527,2.4987898608693,-1.63069852934854,0.127449411958352,0.815866712822767,-4.5428578281081,-1.26216819526874,5.75353784082716,8.98010040468162,5.80811695429202,7.48721783680033,5.97217255993927,6.20442554695193,5.75353784082716,5.1687053106616,3.54255338670426,4.33448089074061,4.94699595741017,10
ANXA2,-0.345671335811514,7.88087753960621,-1.62974277348851,0.12765287350679,0.816158651655951,-4.5440622921286,-1.27074216518106,179.919589165125,299.283204980205,408.225123120551,188.211983027247,276.347297872727,232.086285097749,250.714560580544,251.445272813583,200.888542186023,172.891876481469,213.7254705084,11
CTBP2,0.334215972937548,4.1900840460442,1.62987436674037,0.127624843109416,0.816158651655951,-4.54389648099116,1.26069210436737,14.9250797642443,14.4754736482244,16.9809852817109,18.6866498126089,21.9529731111143,21.8969418287923,11.4444591461132,18.6866498126089,17.9938372761501,23.4208688117436,19.4493188264077,11
LIPI,0.241979075500726,0.209806173589312,1.62910100260441,0.127789652643644,0.816158651655951,-4.5448708244461,1.18261384777508,1.17804764643592,0.847175410437539,1.07499776726143,1.07499776726143,1.04033699233264,1.06365734239456,1.10054988766557,1.159277561172,1.44218875544748,1.56663831469353,1.3459296126695,3
